baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifre-n.1.7.42-ref-sifre-n.1.7.47,ref-sifre-d.255.5.17-ref-sifre-d.255.5.28,4424,4459,ref-sifre-n.1.7.42,ref-sifre-n.1.7.47,248960,249014,ref-sifre-d.255.5.17,ref-sifre-d.255.5.28,מחנה ישראל ומחנה לויה ומחנה שכינה ,למחנה זו מחנה לויה לא יבא אל תוך המחנה זו מחנה שכינה ,6,12,1001,1001.0,0,0.0,0.5283018867924528,0.625,28,מחנה ומחנה לויה ומחנה שכינה ,0.4716981132075472,5060000001
ref-sifre-n.5.1.30-ref-sifre-n.5.1.40,ref-sifre-d.166.1.1-ref-sifre-d.166.1.6,10307,10367,ref-sifre-n.5.1.30,ref-sifre-n.5.1.40,188237,188273,ref-sifre-d.166.1.1,ref-sifre-d.166.1.6,ראשית דגנך תירושך ויצהרך רבי עקיבא אומר_בא_הכתוב_ללמדך שאם ,ראשית דגנך תירושך ויצהרך מלמד שאין ,8,6,805,805.0,1,1.0,0.4576271186440678,0.6,33,ראשית דגנך תירושך ויצהרך מלמד שא ,0.44067796610169496,5060000002
ref-sifre-n.6.1.158-ref-sifre-n.6.1.168,ref-sifre-d.106.3.27-ref-sifre-d.106.3.32,11843,11899,ref-sifre-n.6.1.158,ref-sifre-n.6.1.168,144646,144677,ref-sifre-d.106.3.27,ref-sifre-d.106.3.32,טעון הבאת מקום ונטע רבעי טעון הבאת מקום אם למדתי למעשר ,טעון הבאת מקום ומעשר טעון הבאת ,11,6,600,598.0,2,2.0,0.4727272727272727,0.5,29,טעון הבאת מקום וער טעון הבאת ,0.4727272727272728,5060000003
ref-sifre-n.6.1.213-ref-sifre-n.6.1.244,ref-sifre-d.106.3.26-ref-sifre-d.106.3.35,12114,12285,ref-sifre-n.6.1.213,ref-sifre-n.6.1.244,144641,144690,ref-sifre-d.106.3.26,ref-sifre-d.106.3.35,טעון הבאת מקום ומעשר טעון הבאת מקום מה בכור טעון הבאת מקום ומעשר טעון הבאת מקום,בכור טעון הבאת מקום ומעשר טעון הבאת מקום ומעשר טעון הבאת מקום מה בכור,16,14,599,599.0,3,3.0,0.34177215189873417,0.0,58,טעון הבאת מקום ומעשר טעון הבאת מקום ור טעון הבאת מקום מה ו,0.26582278481012656,5060000004
ref-sifre-n.6.1.286-ref-sifre-n.6.1.295,ref-sifre-d.106.3.26-ref-sifre-d.106.3.32,12501,12553,ref-sifre-n.6.1.286,ref-sifre-n.6.1.295,144641,144677,ref-sifre-d.106.3.26,ref-sifre-d.106.3.32,טעונה הבאת מקום ולא בכורים שאף_על_פי שטעונים הבאת ,בכור טעון הבאת מקום ומעשר טעון הבאת ,8,7,598,598.0,5,5.0,0.58,0.6666666666666667,26,טעו הבאת מקום ועשטעו הבאת ,0.48,5060000005
ref-sifre-n.6.1.301-ref-sifre-n.6.1.307,ref-sifre-d.36.2.76-ref-sifre-d.36.2.82,12577,12611,ref-sifre-n.6.1.301,ref-sifre-n.6.1.307,51438,51476,ref-sifre-d.36.2.76,ref-sifre-d.36.2.82,אלמד דבר מדבר ואדון דבר מדבר אלמד ,אלמוד דבר מדבר ואדון דבר מדבר אלמוד ,7,7,136,101.0,6,6.0,0.05555555555555555,0.0,34,אלמד דבר מדבר ואדון דבר מדבר אלמד ,0.05555555555555558,5060000006
ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.196.2.9-ref-sifre-d.196.2.15,14072,14108,ref-sifre-n.7.1.97,ref-sifre-n.7.1.102,207217,207261,ref-sifre-d.196.2.9,ref-sifre-d.196.2.15,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",ואלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט ,6,7,911,910.0,7,7.0,0.17073170731707318,0.2857142857142857,34,אלמנה לכג גרושה וחלוצה לכהן הדיוט ,0.1707317073170732,5060000007
ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.215.9.28-ref-sifre-d.215.9.34,14072,14108,ref-sifre-n.7.1.97,ref-sifre-n.7.1.102,217976,218018,ref-sifre-d.215.9.28,ref-sifre-d.215.9.34,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",אלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט ,6,7,931,931.0,8,7.0,0.15,0.2857142857142857,34,אלמנה לכג גרושה וחלוצה לכהן הדיוט ,0.15000000000000002,5060000008
ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.271.1.35-ref-sifre-d.271.1.41,14072,14108,ref-sifre-n.7.1.97,ref-sifre-n.7.1.102,259653,259699,ref-sifre-d.271.1.35,ref-sifre-d.271.1.41,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",ואלמנה לכהן גדול וגרושה וחלוצה לכהן הדיוט ,6,7,1071,1070.0,9,7.0,0.19047619047619047,0.2857142857142857,34,אלמנה לכג גרושה וחלוצה לכהן הדיוט ,0.19047619047619047,5060000009
ref-sifre-n.7.3.148-ref-sifre-n.7.3.161,ref-sifre-d.36.4.18-ref-sifre-d.36.4.32,15954,16016,ref-sifre-n.7.3.148,ref-sifre-n.7.3.161,51985,52057,ref-sifre-d.36.4.18,ref-sifre-d.36.4.32,זה בנה אב כל מקום שנאמר עד הרי בכלל שנים עד שיפרוט לך הכתוב ,זה בנה אב בכל מקום שנאמר מזוזות הרי אין בכלל שתים עד שיפרוט לך הכתוב ,14,15,170,170.0,10,10.0,0.17391304347826086,0.3125,57,זה בנה אב כל מקום שנאמר  הרי בכלל שים עד שיפרוט לך הכתוב ,0.17391304347826086,5060000010
ref-sifre-n.7.3.149-ref-sifre-n.7.3.162,ref-sifre-d.148.1.19-ref-sifre-d.148.2.1,15957,16020,ref-sifre-n.7.3.149,ref-sifre-n.7.3.162,177431,177503,ref-sifre-d.148.1.19,ref-sifre-d.148.2.1,בנה אב כל מקום שנאמר עד הרי בכלל שנים עד שיפרוט לך הכתוב אחד ,בנין אב שכל מקום שנאמר ימצא בשנים עדים ובשלשה עדים הכתוב מדבר באחד ,14,13,764,763.0,11,10.0,0.4626865671641791,0.6842105263157895,44,בנ אב כל מקום שנאמר י בשנים עדי ל הכתוב אחד ,0.34328358208955223,5060000011
