baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.2.1.7.2.12.27-ref-y.2.1.7.2.12.34,1938,1976,ref-sifre-n.1.4.25,ref-sifre-n.1.4.32,996596,996639,ref-y.2.1.7.2.12.27,ref-y.2.1.7.2.12.34,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היית' ויצאת מן הכלל לחילוק על הכלל ,8,8,308,308.0,0,0.0,0.375,0.625,5,בכלל מן הכלל על הכלל,5070000001,8,8
ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.4.4.7.5.2.17-ref-y.4.4.7.5.2.24,1938,1976,ref-sifre-n.1.4.25,ref-sifre-n.1.4.32,3228289,3228328,ref-y.4.4.7.5.2.17,ref-y.4.4.7.5.2.24,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היו ויצאו מן הכלל לחלוק על הכלל ,8,8,1789,1789.0,1,0.0,0.3513513513513513,0.3333333333333333,5,בכלל מן הכלל על הכלל,5070000002,8,8
ref-sifre-n.1.4.60-ref-sifre-n.1.4.67,ref-y.1.8.2.4.5.1-ref-y.1.8.2.4.5.14,2128,2166,ref-sifre-n.1.4.60,ref-sifre-n.1.4.67,713395,713472,ref-y.1.8.2.4.5.1,ref-y.1.8.2.4.5.14,בטמאין טמא מת שאין בלי חרש מיטמא מאחוריו אבל בטמאין טומאת זיבה שהזב מיטמא,בטמאין טמא מת שאין בלי חרש מיטמא מאחוריו אבל בטמאין טומאת זיבה שהזב מיטמא,14,14,168,168.0,5,5.0,0.0,0.0,14,בטמאין טמא מת שאין בלי חרש מיטמא מאחוריו אבל בטמאין טומאת זיבה שהזב מיטמא,5070000003,14,14
ref-sifre-n.1.4.55-ref-sifre-n.1.4.65,ref-y.2.3.9.1.1.113-ref-y.2.3.9.1.1.126,2101,2158,ref-sifre-n.1.4.55,ref-sifre-n.1.4.65,1364361,1364427,ref-y.2.3.9.1.1.113,ref-y.2.3.9.1.1.126,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא ,טמא זיבה וטמא צרעת מניין תלמו' לומ' טמא מת ריבה מה תלמוד לומר טמא ,11,12,389,386.0,2,2.0,0.6363636363636364,0.8666666666666667,1,מת,5070000004,11,12
ref-sifre-n.1.4.55-ref-sifre-n.1.4.65,ref-y.4.6.2.1.7.48-ref-y.4.6.2.1.7.62,2101,2158,ref-sifre-n.1.4.55,ref-sifre-n.1.4.65,3349561,3349647,ref-y.4.6.2.1.7.48,ref-y.4.6.2.1.7.62,לטומאת המת תדחה לטומאת שרץ ולידיעתה ואין שם לטומאה קלה אצל טומאה חמורה נטמא במת,לטומאת המת תדחה לטומאת שרץ ולידיעתה ואין שם לטומאה קלה אצל טומאה חמורה נטמא במת,15,15,1982,1982.0,3,3.0,0.0,0.0,15,לטומאת המת תדחה לטומאת שרץ ולידיעתה ואין שם לטומאה קלה אצל טומאה חמורה נטמא במת,5070000005,15,15
ref-sifre-n.1.4.71-ref-sifre-n.1.4.84,ref-y.4.6.2.1.7.48-ref-y.4.6.2.1.7.62,2182,2242,ref-sifre-n.1.4.71,ref-sifre-n.1.4.84,3349561,3349647,ref-y.4.6.2.1.7.48,ref-y.4.6.2.1.7.62,מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת ,לטומאת המת תדחה לטומאת שרץ ולידיעתה ואין שם לטומאה קלה אצל טומאה חמורה נטמא במת ,9,15,1983,1982.0,7,7.0,0.55,0.8888888888888888,0,,5070000006,14,15
ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,ref-y.2.12.3.2.7.13-ref-y.2.12.3.2.7.24,2266,2338,ref-sifre-n.1.4.90,ref-sifre-n.1.4.102,1976690,1976764,ref-y.2.12.3.2.7.13,ref-y.2.12.3.2.7.24,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,מחוסר כיפורים שאינו פוסל בתרומה הרי פוסל בקודש רביעי שהוא פוסל בתרומה ,13,12,880,880.0,8,8.0,0.4428571428571428,0.75,4,פוסל פוסל שהוא פוסל,5070000007,13,12
ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,ref-y.2.12.3.2.7.217-ref-y.2.12.3.2.7.229,2266,2338,ref-sifre-n.1.4.90,ref-sifre-n.1.4.102,1977768,1977846,ref-y.2.12.3.2.7.217,ref-y.2.12.3.2.7.229,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,מחוסר כיפורים שאינו פוסל בתרומה הרי הו' פוסל בקודש שלישי שהוא פוסל בתרומה ,13,13,881,881.0,9,8.0,0.4459459459459459,0.7647058823529411,4,פוסל פוסל שהוא פוסל,5070000008,13,13
ref-sifre-n.1.5.287-ref-sifre-n.1.5.294,ref-y.2.10.1.8.3.72-ref-y.2.10.1.8.3.83,3793,3833,ref-sifre-n.1.5.287,ref-sifre-n.1.5.294,1857731,1857790,ref-y.2.10.1.8.3.72,ref-y.2.10.1.8.3.83,ואל תתמה בכלים שאף על פי שאין מטמאים ,אל תתמה על מי שפרחה בכולו שאף על פי שטהר וסימני מטמאיו ,6,10,739,739.0,10,10.0,0.4727272727272727,0.75,2,תתמה שאף_על_פי,5070000009,6,10
ref-sifre-n.2.1.124-ref-sifre-n.2.1.132,ref-y.4.1.5.6.1.9-ref-y.4.1.5.6.1.16,5892,5928,ref-sifre-n.2.1.124,ref-sifre-n.2.1.132,2990096,2990129,ref-y.4.1.5.6.1.9,ref-y.4.1.5.6.1.16,וכי יפתח איש בור או כי יכרה איש בור ,כי יפתח איש בור וכי יכרה איש בור ,9,8,1545,1545.0,11,11.0,0.0833333333333333,0.0,6,יפתח איש בור יכרה איש בור,5070000010,9,8
ref-sifre-n.2.1.245-ref-sifre-n.2.1.252,ref-y.2.5.5.4.4.150-ref-y.2.5.5.4.4.171,6495,6533,ref-sifre-n.2.1.245,ref-sifre-n.2.1.252,1452181,1452299,ref-y.2.5.5.4.4.150,ref-y.2.5.5.4.4.171,מעלת ואומר ומעלה בו מעל הא אין מעילה ,למעלן מה דמים אמורין בו למטה שבע אף דמים אמורין בו למעלן שבע נראה למי דומה דנין שלמעלן משלמעלן ואין דנין שלמעלן ,8,22,444,444.0,13,12.0,0.7410714285714286,0.9375,1,בו,5070000011,8,22
ref-sifre-n.2.1.245-ref-sifre-n.2.1.252,ref-y.2.4.7.3.8.10-ref-y.2.4.7.3.8.25,6495,6533,ref-sifre-n.2.1.245,ref-sifre-n.2.1.252,1568679,1568760,ref-y.2.4.7.3.8.10,ref-y.2.4.7.3.8.25,מעלת ואומר ומעלה בו מעל הא אין מעילה ,שימעלו בה והן גזרו שלא ימעלו בה והא תני חטאת מלמד שמועלין בה בה מועלין ואין ,8,16,579,579.0,14,12.0,0.6842105263157895,0.8461538461538461,0,,5070000012,8,16
ref-sifre-n.2.1.235-ref-sifre-n.2.1.249,ref-y.3.5.9.5.3.51-ref-y.3.5.9.5.3.66,6445,6520,ref-sifre-n.2.1.235,ref-sifre-n.2.1.249,2347328,2347404,ref-y.3.5.9.5.3.51,ref-y.3.5.9.5.3.66,במעלו אשר מעל בה' ואומר בעוזיה צא מן המקדש כי מעלת ואומר ומעלה בו מעל ,עול עול לגזירה שוה מה עול האמור בעגלה עשה בה שאר כל העבודות כעול אף עול ,15,14,1181,1180.0,12,12.0,0.7083333333333334,0.8125,0,,5070000013,15,14
ref-sifre-n.4.1.19-ref-sifre-n.4.1.43,ref-y.4.1.9.9.1.24-ref-y.4.1.9.9.1.39,8298,8428,ref-sifre-n.4.1.19,ref-sifre-n.4.1.43,3013648,3013735,ref-y.4.1.9.9.1.24,ref-y.4.1.9.9.1.39,בגוזל את הגר ונשבע לו ומת שמשלם קרן וחומש לכחנים ואשם למזבח ואם אין לאיש גואל,בגוזל את הגר ונשבע לו ומת שמשלם קרן וחומש לכחנים ואשם למזבח ואם אין לאיש גואל,14,14,1548,1548.0,17,17.0,0.0,0.0,14,בגוזל את הגר ונשבע לו ומת שמשלם_קרן_וחומש לכחנים ואשם למזבח ואם אין לאיש גואל,5070000014,14,14
ref-sifre-n.3.1.153-ref-sifre-n.4.1.43,ref-y.4.1.9.9.1.56-ref-y.4.1.9.9.1.80,8194,8428,ref-sifre-n.3.1.153,ref-sifre-n.4.1.43,3013820,3013952,ref-y.4.1.9.9.1.56,ref-y.4.1.9.9.1.80,בגוזל את הגר ונשבע לו ומת שמשלם קרן וחומש לכחנים ואשם למזבח שנאמר ואם אין לאיש גואל וגו' אין לך אדם בישראל שאין לו גואל,בגוזל את הגר ונשבע לו ומת שמשלם קרן וחומש לכחנים ואשם למזבח שנאמר ואם אין לאיש גואל וגו' אין לך אדם בישראל שאין לו גואל,23,23,1550,1550.0,15,15.0,0.0,0.0,23,בגוזל את הגר ונשבע לו ומת שמשלם_קרן_וחומש לכחנים ואשם למזבח שנאמר ואם אין לאיש גואל וגו' אין לך אדם בישראל שאין לו גואל,5070000015,23,23
ref-sifre-n.4.1.119-ref-sifre-n.4.1.133,ref-y.1.9.4.4.14.4-ref-y.1.9.4.4.14.18,8812,8892,ref-sifre-n.4.1.119,ref-sifre-n.4.1.133,803716,803805,ref-y.1.9.4.4.14.4,ref-y.1.9.4.4.14.18,לכהן קנאו השם ונתנו לכהנים באנשי משמר הכתוב מדבר או אינו מדבר אלא בכל כהן ,לאנשי משמר ויש מהן נותנין לכל כהן הבכורות והביכורים לאנשי משמר ושאר כולהן לכל כהן ,10,15,236,236.0,19,19.0,0.7195121951219512,0.75,2,משמר כהן,5070000016,10,15
ref-sifre-n.4.4.7-ref-sifre-n.4.4.29,ref-y.4.1.9.9.1.118-ref-y.4.1.9.9.1.128,9893,10017,ref-sifre-n.4.4.7,ref-sifre-n.4.4.29,3014135,3014203,ref-y.4.1.9.9.1.118,ref-y.4.1.9.9.1.128,נתן את הכסף ליהויריב במשמר ידעיה ואשם לידעיה במשמר יהויריב יצא,נתן את הכסף ליהויריב במשמר ידעיה ואשם לידעיה במשמר יהויריב יצא,11,11,1552,1552.0,21,21.0,0.0,0.0,11,נתן את הכסף ליהויריב במשמר ידעיה ואשם לידעיה במשמר יהויריב יצא,5070000017,11,11
ref-sifre-n.4.4.7-ref-sifre-n.4.4.29,ref-y.4.1.9.9.1.176-ref-y.4.1.9.9.1.183,9893,10017,ref-sifre-n.4.4.7,ref-sifre-n.4.4.29,3014453,3014500,ref-y.4.1.9.9.1.176,ref-y.4.1.9.9.1.183,נתן את הכסף ליהויריב במשמר ידעיה אשם לידעיה,נתן את הכסף ליהויריב במשמר ידעיה אשם לידעיה,8,8,1554,1554.0,20,20.0,0.0,0.0,8,נתן את הכסף ליהויריב במשמר ידעיה אשם לידעיה,5070000018,8,8
ref-sifre-n.5.1.42-ref-sifre-n.5.1.52,ref-y.1.2.1.1.1.97-ref-y.1.2.1.1.1.109,10371,10431,ref-sifre-n.5.1.42,ref-sifre-n.5.1.52,201636,201704,ref-y.1.2.1.1.1.97,ref-y.1.2.1.1.1.109,לעשות כל גרנו תרומה רשאי ובלבד שישייר מקצת וכל תרומה לכל ,לעשו' כל כריו תרומ' אינו עושה דתנינן תמן האומר כל גורני תרומה וכל ,11,13,62,62.0,24,24.0,0.4848484848484848,0.7647058823529411,3,כל תרומה וכל,5070000019,11,13
ref-sifre-n.5.1.149-ref-sifre-n.5.1.155,ref-y.1.2.5.5.3.45-ref-y.1.2.5.5.3.51,10908,10943,ref-sifre-n.5.1.149,ref-sifre-n.5.1.155,261195,261230,ref-y.1.2.5.5.3.45,ref-y.1.2.5.5.3.51,ראשית בכורי אדמתך תביא בית ה' אלהיך ,ראשית בכורי אדמתך תביא בית ה' אלהיך ,7,7,77,77.0,25,25.0,0.0,0.0,7,ראשית בכורי אדמתך תביא בית ה' אלהיך,5070000020,7,7
ref-sifre-n.5.1.174-ref-sifre-n.6.1.22,ref-y.2.1.16.3.4.15-ref-y.2.1.16.3.4.24,11032,11161,ref-sifre-n.5.1.174,ref-sifre-n.6.1.22,1074845,1074896,ref-y.2.1.16.3.4.15,ref-y.2.1.16.3.4.24,נתונים לכהנים ואיש את קדשיו לו יהיו כל הקדשים היו בכלל שנאמר ואיש את קדשיו לו יהיו משך הכתוב כל הקדשים ונתנם לכהנים ולא ,כתבי הקודש תני אף מטמאין להציל והתני בכל קודש לא ,16,10,318,318.0,26,26.0,0.7666666666666667,1.0,0,,5070000021,16,10
ref-sifre-n.5.1.175-ref-sifre-n.6.1.25,ref-y.3.5.3.7.3.22-ref-y.3.5.3.7.4.13,11039,11174,ref-sifre-n.5.1.175,ref-sifre-n.6.1.25,2290363,2290563,ref-y.3.5.3.7.3.22,ref-y.3.5.3.7.4.13,ותהא בכלל גזירה ולא תצא אם אומר את כן נמצאת מדחה פרשת טמאות כהן אוכל בקדשי הקדשים אין כהנת אוכלת בקדשי הקדשים דכתיב כל,לא אל הכוהנת דלכן מה אנן אמרין הואיל והיא בכלל גזירה לא תצא ותהא בכלל גזירה ולא תצא אם אומר את כן נמצאת מדחה פרשת טמאות כהן אוכל בקדשי הקדשים אין כהנת אוכלת בקדשי הקדשים דכתיב כל זבר בכהנים,20,32,1080,1080.0,27,27.0,0.3756613756613756,0.1999999999999999,20,ותהא בכלל גזירה ולא תצא אם_אומר_את_כן_נמצאת מדחה פרשת טמאות כהן אוכל בקדשי הקדשים אין כהנת אוכלת בקדשי הקדשים דכתיב כל,5070000022,20,32
ref-sifre-n.6.1.67-ref-sifre-n.6.1.73,ref-y.3.5.8.5.4.22-ref-y.3.5.8.5.4.28,11389,11428,ref-sifre-n.6.1.67,ref-sifre-n.6.1.73,2338134,2338175,ref-y.3.5.8.5.4.22,ref-y.3.5.8.5.4.28,ובשנה הרביעית יהיה כל פריו קדש הלולים ,ובשנה הרביעית יהיה כל פריו קודש הילולים ,7,7,1179,1179.0,29,29.0,0.05,0.0,5,ובשנה הרביעית יהיה כל פריו,5070000023,7,7
ref-sifre-n.6.1.361-ref-sifre-n.6.1.366,ref-y.1.2.7.5.9.2-ref-y.1.2.7.5.9.13,12857,12893,ref-sifre-n.6.1.361,ref-sifre-n.6.1.366,280939,281004,ref-y.1.2.7.5.9.2,ref-y.1.2.7.5.9.13,ובשנה החמישית תאכלו את פריו להוסיף ,ובשנה החמישית תאכלו את פריו רבי יוסי הגלילי אומר הרי את כמוסיף ,6,9,80,80.0,30,30.0,0.4444444444444444,0.4444444444444444,5,ובשנה החמישית תאכלו את פריו,5070000024,6,9
ref-sifre-n.6.1.361-ref-sifre-n.6.1.367,ref-y.1.8.5.2.17.2-ref-y.1.8.5.2.17.8,12857,12897,ref-sifre-n.6.1.361,ref-sifre-n.6.1.367,745965,746005,ref-y.1.8.5.2.17.2,ref-y.1.8.5.2.17.8,ובשנה החמישית תאכלו את פריו להוסיף לכם ,ובשנה החמישית תאכלו את פריו להוסיף לכם ,7,7,174,174.0,31,30.0,0.0,0.0,7,ובשנה החמישית תאכלו את פריו להוסיף לכם,5070000025,7,7
