baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.1.1.1.1.34-ref-t.1.1.1.1.41,ref-bible.0310.4.15.4-ref-bible.310.4.15.11,185,235,ref-t.1.1.1.1.34,ref-t.1.1.1.1.41,1400464,1400514,ref-bible.0310.4.15.4,ref-bible.0310.4.15.11,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,8,8,1064,1064.0,0,0.0,0.0,0.0,8,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים,2090000001,8,8
ref-t.1.1.1.10.27-ref-t.1.1.1.10.37,ref-bible.0105.16.3.14-ref-bible.0105.16.3.24,2623,2673,ref-t.1.1.1.10.27,ref-t.1.1.1.10.37,372955,373017,ref-bible.0105.16.3.14,ref-bible.0105.16.3.24,מצרים למען תזכר את יום צאתך מארץ מצרים כל ימי חייך,יצאת מארץ מצרים למען תזכר את יום צאתך מארץ מצרים כל ימי חייך,11,13,479,479.0,1,1.0,0.1666666666666666,0.1111111111111111,9,מצרים למען תזכר את יום צאתך מארץ מצרים כל_ימי_חייך,2090000002,11,13
ref-t.1.1.1.10.80-ref-t.1.1.1.10.100,ref-bible.0208.23.8.6-ref-bible.0208.23.8.14,2890,2986,ref-t.1.1.1.10.80,ref-t.1.1.1.10.100,909015,909060,ref-bible.0208.23.8.6,ref-bible.0208.23.8.14,העלה ואשר הביא את זרע בית ישראל מארץ צפונה,העלה ואשר הביא את זרע בית ישראל מארץ צפונה,2,2,817,817.0,3,3.0,0.0,0.0,9,העלה ואשר הביא את זרע בית ישראל מארץ צפונה,2090000003,9,9
ref-t.1.1.1.10.122-ref-t.1.1.1.10.129,ref-bible.0101.35.10.2-ref-bible.0101.35.10.13,3104,3136,ref-t.1.1.1.10.122,ref-t.1.1.1.10.129,69719,69769,ref-bible.0101.35.10.2,ref-bible.0101.35.10.13,לו אלהים שמך יעקב לא יקרא שמך עוד יעקב כי אם ישראל,לו אלהים שמך יעקב לא יקרא שמך עוד יעקב כי אם ישראל,12,12,57,57.0,5,5.0,0.0,0.0,12,לו אלהים שמך יעקב לא יקרא שמך עוד יעקב כי אם ישראל,2090000004,12,12
ref-t.1.1.1.11.3-ref-t.1.1.1.11.25,ref-bible.0207.43.18.1-ref-bible.0207.43.19.5,3228,3356,ref-t.1.1.1.11.3,ref-t.1.1.1.11.25,835664,835722,ref-bible.0207.43.18.1,ref-bible.0207.43.19.5,אל תזכרו ראשנות וקדמניות אל תתבננו הנני עשה,אל תזכרו ראשנות וקדמניות אל תתבננו הנני עשה,8,8,794,794.0,7,7.0,0.0,0.0,8,אל תזכרו ראשנות וקדמניות אל תתבננו הנני עשה,2090000005,8,8
ref-t.1.1.1.12.3-ref-t.1.1.1.12.15,ref-bible.0101.17.5.1-ref-bible.101.17.5.11,3680,3736,ref-t.1.1.1.12.3,ref-t.1.1.1.12.15,26282,26329,ref-bible.0101.17.5.1,ref-bible.0101.17.5.11,לא יקרא עוד את שמך אברם והיה שמך אברהם כתחלה הרי את אב ,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב ,13,11,18,17.0,10,10.0,0.2,0.25,9,יקרא עוד את שמך אברם והיה שמך אברהם אב,2090000006,13,11
ref-t.1.1.1.12.25-ref-t.1.1.1.13.8,ref-bible.0101.17.4.6-ref-bible.0101.17.5.14,3780,3835,ref-t.1.1.1.12.25,ref-t.1.1.1.13.8,26267,26345,ref-bible.0101.17.4.6,ref-bible.0101.17.5.14,לאב המון גוים ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב המון גוים נתתיך,לאב המון גוים ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב המון גוים נתתיך,17,17,17,17.0,11,11.0,0.0,0.0,17,לאב המון גוים ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב המון גוים נתתיך,2090000007,17,17
ref-t.1.1.1.13.3-ref-t.1.1.1.13.12,ref-bible.0101.17.15.5-ref-bible.101.17.15.14,3812,3850,ref-t.1.1.1.13.3,ref-t.1.1.1.13.12,27015,27053,ref-bible.0101.17.15.5,ref-bible.0101.17.15.14,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,10,10,21,21.0,13,11.0,0.0,0.0,10,שרי אשתך לא תקרא את שמה שרי כי שרה שמה,2090000008,10,10
ref-t.1.1.1.14.69-ref-t.1.1.1.15.7,ref-bible.0301.76.2.5-ref-bible.301.76.3.5,4279,4329,ref-t.1.1.1.14.69,ref-t.1.1.1.15.7,1203652,1203692,ref-bible.0301.76.2.5,ref-bible.0301.76.3.5,לגדול' כיוצא בו ויהי בשלם סוכו ומעונתו בציון ,גדול שמו ויהי בשלם סכו ומעונתו בציון ,8,7,968,968.0,14,14.0,0.2222222222222222,0.5,4,ויהי בשלם ומעונתו בציון,2090000009,8,7
ref-t.1.1.1.15.20-ref-t.1.1.1.15.25,ref-bible.0208.32.31.3-ref-bible.208.32.31.8,4382,4409,ref-t.1.1.1.15.20,ref-t.1.1.1.15.25,932155,932182,ref-bible.0208.32.31.3,ref-bible.0208.32.31.8,אפי ועל חמתי היתה לי העיר ,אפי ועל חמתי היתה לי העיר ,6,6,831,831.0,15,15.0,0.0,0.0,6,אפי ועל חמתי היתה לי העיר,2090000010,6,6
ref-t.1.1.1.15.72-ref-t.1.1.1.15.85,ref-bible.0101.22.14.1-ref-bible.101.22.14.13,4656,4724,ref-t.1.1.1.15.72,ref-t.1.1.1.15.85,37854,37919,ref-bible.0101.22.14.1,ref-bible.0101.22.14.13,ויקרא אברהם את שם המקום ההוא ייי יראה אשר יאמר היום בהר ייי יראה ,ויקרא אברהם שם המקום ההוא יהוה יראה אשר יאמר היום בהר יהוה יראה ,14,13,29,29.0,16,16.0,0.1692307692307692,0.4,8,ויקרא אברהם יראה אשר יאמר היום בהר יראה,2090000011,14,13
ref-t.1.1.1.15.87-ref-t.1.1.1.15.103,ref-bible.0301.137.7.1-ref-bible.301.137.7.13,4731,4822,ref-t.1.1.1.15.87,ref-t.1.1.1.15.103,1248395,1248457,ref-bible.0301.137.7.1,ref-bible.0301.137.7.13,זכור ייי לבני אדום את יום ירושלם אימתי כשיעקרו יסודותיה ממנה האמרים ערו ערו עד היסוד בה ,זכר יהוה לבני אדום את יום ירושלם האמרים ערו ערו עד היסוד בה ,17,13,982,982.0,17,17.0,0.3636363636363636,0.2857142857142857,11,לבני אדום את יום ירושלם האמרים ערו ערו עד היסוד בה,2090000012,17,13
ref-t.1.1.2.14.36-ref-t.1.1.2.14.40,ref-bible.0303.38.9.1-ref-bible.303.38.9.5,7567,7595,ref-t.1.1.2.14.36,ref-t.1.1.2.14.40,1328298,1328325,ref-bible.0303.38.9.1,ref-bible.0303.38.9.5,בשומי ענן לבושו וערפל חתלתו ,בשומי ענן לבשו וערפל חתלתו ,5,5,1025,1025.0,18,18.0,0.0357142857142857,0.0,4,בשומי ענן וערפל חתלתו,2090000013,5,5
ref-t.1.1.2.14.41-ref-t.1.1.2.14.47,ref-bible.0303.38.9.1-ref-bible.303.38.9.5,7596,7634,ref-t.1.1.2.14.41,ref-t.1.1.2.14.47,1328298,1328325,ref-bible.0303.38.9.1,ref-bible.0303.38.9.5,בשומי ענן לבושו זה השפיר וערפל חתלתו ,בשומי ענן לבשו וערפל חתלתו ,7,5,1026,1025.0,19,19.0,0.2702702702702703,0.2857142857142857,4,בשומי ענן וערפל חתלתו,2090000014,7,5
ref-t.1.1.2.21.4-ref-t.1.1.2.21.15,ref-bible.0207.54.3.8-ref-bible.0207.54.4.6,9190,9243,ref-t.1.1.2.21.4,ref-t.1.1.2.21.15,850081,850126,ref-bible.0207.54.3.8,ref-bible.0207.54.4.6,וערים נשמות יושיבו אל תיראי כי לא תבושי ואל,וערים נשמות יושיבו אל תיראי כי לא תבושי ואל,9,9,798,798.0,21,21.0,0.0,0.0,9,וערים נשמות יושיבו אל תיראי כי לא תבושי ואל,2090000015,9,9
ref-t.1.1.2.21.3-ref-t.1.1.2.21.19,ref-bible.0209.8.15.1-ref-bible.209.8.15.11,9186,9261,ref-t.1.1.2.21.3,ref-t.1.1.2.21.19,992235,992292,ref-bible.0209.8.15.1,ref-bible.0209.8.15.11,או' אל תראה ערום אל תראה לבוש אל תראה עומד ואל תראה יושב אל תראה צוחק ואל ,ויאמר אלי הראית בן אדם עוד תשוב תראה תועבות גדלות מאלה ,17,11,846,846.0,20,20.0,0.6216216216216216,0.875,1,תראה,2090000016,17,11
ref-t.1.1.3.4.46-ref-t.1.1.3.4.49,ref-bible.0301.10.17.5-ref-bible.301.10.17.8,10261,10280,ref-t.1.1.3.4.46,ref-t.1.1.3.4.49,1157691,1157710,ref-bible.0301.10.17.5,ref-bible.0301.10.17.8,תכין לבם תקשיב אזנך ,תכין לבם תקשיב אזנך ,4,4,938,938.0,23,23.0,0.0,0.0,4,תכין לבם תקשיב אזנך,2090000017,4,4
