baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-mek,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.1.1.1.9.41-ref-t.1.1.1.10.5,ref-mek.1.17.2.4-ref-mek.1.17.2.15,2473,2514,ref-t.1.1.1.9.41,ref-t.1.1.1.10.5,65466,65535,ref-mek.1.17.2.4,ref-mek.1.17.2.15,עם המברך מזכירין יציאת מצרים בלילות אמ' ,העם וגו' אין לי אלא שמזכירים יציאת מצרים בימים בלילות מנין שנאמר ,7,10,87,87.0,0,0.0,0.4923076923076923,0.6923076923076923,3,יציאת מצרים בלילות,2030000001,7,10
ref-t.1.1.1.10.70-ref-t.1.1.1.10.78,ref-mek.1.17.1.493-ref-mek.1.17.1.502,2848,2885,ref-t.1.1.1.10.70,ref-t.1.1.1.10.78,64447,64486,ref-mek.1.17.1.493,ref-mek.1.17.1.502,לכן הנה ימים נאם ייי ולא יאמר עוד חי ,לכן הנה ימים באים נאם ה' לא יאמר עוד חי ,9,10,77,77.0,5,1.0,0.2,0.2222222222222222,7,לכן הנה ימים נאם יאמר עוד חי,2030000002,9,10
ref-t.1.1.1.10.19-ref-t.1.1.1.10.76,ref-mek.1.17.2.9-ref-mek.1.17.2.46,2580,2878,ref-t.1.1.1.10.19,ref-t.1.1.1.10.76,65487,65693,ref-mek.1.17.2.9,ref-mek.1.17.2.46,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח אמר להם בן,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר,38,7,89,88.0,1,1.0,0.7731958762886598,0.7307692307692308,7,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר,2030000003,38,7
ref-t.1.1.1.10.62-ref-t.1.1.1.10.94,ref-mek.1.17.2.51-ref-mek.1.17.2.89,2799,2958,ref-t.1.1.1.10.62,ref-t.1.1.1.10.94,65717,65899,ref-mek.1.17.2.51,ref-mek.1.17.2.89,מזכירין יציאת מצרים לימות המשיח והלא כבר נאמ' לכן הנה ימים נאם ייי ולא יאמר עוד חי ייי אשר העלה את בני ישראל מארץ מצרים כי אם חי ייי אשר העלה ואשר הביא ,להזכיר יציאת מצרים לעתיד לבוא שנאמר לכן הנה ימים באים נאם ה' לא יאמר עוד חי ה' אשר העלה את ישראל ממצרים כי אם חי ה' אשר העלה את ישראל מארץ צפון ר' נתן אומר אשר העלה ואשר הביא ,31,37,91,91.0,4,1.0,0.4628571428571428,0.4444444444444444,20,יציאת מצרים לכן הנה ימים נאם יאמר עוד חי אשר העלה את ישראל כי אם חי אשר העלה ואשר הביא,2030000004,31,37
ref-t.1.1.1.10.70-ref-t.1.1.1.10.86,ref-mek.3.8.1.633-ref-mek.3.8.1.647,2848,2924,ref-t.1.1.1.10.70,ref-t.1.1.1.10.86,167939,168008,ref-mek.3.8.1.633,ref-mek.3.8.1.647,לכן הנה ימים נאם ייי ולא יאמר עוד חי ייי אשר העלה את בני ישראל מארץ מצרים ,לכן הנה ימים באים נאום ה' ולא יאמר עוד חי ה' אשר העלה ישראל ממצרים ,17,15,255,255.0,6,1.0,0.3108108108108108,0.3125,10,לכן הנה ימים ולא יאמר עוד חי אשר העלה ישראל,2030000005,17,15
ref-t.1.1.1.10.120-ref-t.1.1.1.10.130,ref-mek.1.17.1.595-ref-mek.1.17.1.603,3094,3141,ref-t.1.1.1.10.120,ref-t.1.1.1.10.130,64948,64989,ref-mek.1.17.1.595,ref-mek.1.17.1.603,כיוצא בו לא יקרא עוד שמך יעקב כי אם ישראל וגו' ,כיוצא בו דרש ולא יקרא שמך עוד יעקב וגו' ,11,9,84,80.0,7,7.0,0.4680851063829787,0.4,6,כיוצא בו יקרא שמך יעקב וגו',2030000006,11,9
ref-t.1.1.1.11.38-ref-t.1.1.1.11.74,ref-mek.1.17.1.523-ref-mek.1.17.1.560,3413,3603,ref-t.1.1.1.11.38,ref-t.1.1.1.11.74,64586,64772,ref-mek.1.17.1.523,ref-mek.1.17.1.560,והיה נודר בחיי הבן ר' שמעון בן יוחאי אומר למה הדבר דומה לאחד שהיה מהלך בדרך ופגע בו זאב ניצל והיה מספר מעשה זאב פגע בו ארי וניצל הימנו הניח מעשה זאב והיה מספר מעשה ארי כיוצא בו,והיה נודר בחיי הבן ר' שמעון בן יוחאי אומר למה הדבר דומה לאחד שהיה מהלך בדרך ופגע בו זאב ניצל והיה מספר מעשה זאב פגע בו ארי וניצל הימנו הניח מעשה זאב והיה מספר מעשה ארי כיוצא בו,31,31,78,78.0,8,8.0,0.0,0.0,31,והיה נודר בחיי הבן ר'_שמעון_בן_יוחאי_אומר למה_הדבר_דומה_לאחד שהיה מהלך בדרך ופגע בו זאב ניצל והיה מספר מעשה זאב פגע בו ארי וניצל הימנו הניח מעשה זאב והיה מספר מעשה ארי כיוצא בו,2030000007,31,31
ref-t.1.1.1.11.85-ref-t.1.1.1.12.10,ref-mek.1.17.1.569-ref-mek.1.17.1.581,3659,3713,ref-t.1.1.1.11.85,ref-t.1.1.1.12.10,64807,64873,ref-mek.1.17.1.569,ref-mek.1.17.1.581,הראשונות כיוצא בהן לא יקרא עוד את שמך אברם והיה שמך ,הראשון ונתקיים השני כיוצא בו דרש ולא יקרא עוד שמך אברם עבר שם ,11,13,80,80.0,10,10.0,0.4354838709677419,0.6666666666666667,5,כיוצא יקרא עוד שמך אברם,2030000008,11,13
ref-t.1.1.1.13.1-ref-t.1.1.1.13.8,ref-mek.1.17.1.572-ref-mek.1.17.1.591,3802,3835,ref-t.1.1.1.13.1,ref-t.1.1.1.13.8,64830,64926,ref-mek.1.17.1.572,ref-mek.1.17.1.591,כיוצא בו דרש ולא יקרא עוד שמך אברם עבר שם הראשון ונתקיים השני כיוצא בו דרש שרי אשתך עבר שם,כיוצא בו דרש ולא יקרא עוד שמך אברם עבר שם הראשון ונתקיים השני כיוצא בו דרש שרי אשתך עבר שם,20,20,82,82.0,11,11.0,0.0,0.0,20,כיוצא בו דרש ולא יקרא עוד שמך אברם עבר שם הראשון ונתקיים השני כיוצא בו דרש שרי אשתך עבר שם,2030000009,20,20
ref-t.1.1.1.14.50-ref-t.1.1.1.14.67,ref-mek.1.1.1.477-ref-mek.1.1.1.502,4189,4269,ref-t.1.1.1.14.50,ref-t.1.1.1.14.67,2439,2569,ref-mek.1.1.1.477,ref-mek.1.1.1.502,הגדול הוא חדקל ואומר היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו בחוצה לארץ שנאמר היה היה דבר ה' היה שנדבר עמו,הגדול הוא חדקל ואומר היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו בחוצה לארץ שנאמר היה היה דבר ה' היה שנדבר עמו,26,26,2,1.0,13,13.0,0.0,0.0,26,הגדול הוא חדקל ואומר היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו בחוצה לארץ שנאמר היה היה דבר ה' היה שנדבר עמו,2030000010,26,26
ref-t.1.1.1.15.3-ref-t.1.1.1.15.7,ref-mek.2.2.3.169-ref-mek.2.2.3.173,4297,4329,ref-t.1.1.1.15.3,ref-t.1.1.1.15.7,95909,95941,ref-mek.2.2.3.169,ref-mek.2.2.3.173,ויהי בשלם סוכו ומעונתו בציון ,ויהי בשלם סוכו והעונתו בציון ,5,5,170,170.0,15,15.0,0.0344827586206896,0.4,4,ויהי בשלם סוכו בציון,2030000011,5,5
ref-t.1.1.1.15.98-ref-t.1.1.1.15.103,ref-mek.3.10.1.234-ref-mek.3.10.1.239,4794,4822,ref-t.1.1.1.15.98,ref-t.1.1.1.15.103,174462,174487,ref-mek.3.10.1.234,ref-mek.3.10.1.239,האמרים ערו ערו עד היסוד בה ,אמרו ערו ערו עד היסוד בה ,6,6,260,260.0,16,16.0,0.1111111111111111,0.4,5,ערו ערו עד היסוד בה,2030000012,6,6
ref-t.1.1.3.6.47-ref-t.1.1.3.6.56,ref-mek.2.3.2.157-ref-mek.2.3.2.163,10664,10716,ref-t.1.1.3.6.47,ref-t.1.1.3.6.56,103429,103471,ref-mek.2.3.2.157,ref-mek.2.3.2.163,תפלה שנאמר ערב ובקר וצהרים אשיחה ואהמה,תפלה שנאמר ערב ובקר וצהרים אשיחה ואהמה,7,7,173,173.0,17,17.0,0.0,0.0,7,תפלה שנאמר ערב ובקר וצהרים אשיחה ואהמה,2030000013,7,7
ref-t.1.1.4.16.16-ref-t.1.1.4.16.39,ref-mek.2.6.2.182-ref-mek.2.6.2.213,18978,19104,ref-t.1.1.4.16.16,ref-t.1.1.4.16.39,121286,121444,ref-mek.2.6.2.182,ref-mek.2.6.2.213,אמר לו למדתנו רבנו שעל זכות יוסף היה אמרו לו רבנו השותה מים לצמאו כיצד הוא מברך אמר להם בורא נפשות רבות וחסרונן על כל מה שבראת חי העולמים אמרו לו למדתנו,אמר לו למדתנו רבנו שעל זכות יוסף היה אמרו לו רבנו השותה מים לצמאו כיצד הוא מברך אמר להם בורא נפשות רבות וחסרונן על כל מה שבראת חי העולמים אמרו לו למדתנו,32,32,184,184.0,19,19.0,0.0,0.0,32,אמר לו למדתנו רבנו שעל זכות יוסף היה אמרו לו רבנו השותה מים לצמאו כיצד הוא מברך אמר להם בורא נפשות רבות וחסרונן על כל מה שבראת חי העולמים אמרו לו למדתנו,2030000014,32,32
ref-t.1.1.4.16.19-ref-t.1.1.4.16.27,ref-mek.2.6.2.215-ref-mek.2.6.2.223,18996,19043,ref-t.1.1.4.16.19,ref-t.1.1.4.16.27,121451,121498,ref-mek.2.6.2.215,ref-mek.2.6.2.223,השותה מים לצמאו מאי מברך אמרו לו ילמדנו רבינו ,השותה מים לצמאו כיצד מברך אמרו לו למדנו רבינו ,9,9,188,188.0,21,19.0,0.108695652173913,0.3333333333333333,7,השותה מים לצמאו מברך אמרו לו רבינו,2030000015,9,9
ref-t.1.1.4.17.55-ref-t.1.1.4.17.71,ref-mek.2.6.2.211-ref-mek.2.6.2.234,19641,19725,ref-t.1.1.4.17.55,ref-t.1.1.4.17.71,121430,121551,ref-mek.2.6.2.211,ref-mek.2.6.2.234,אמ' להם אשאל אמרו לו ילמדנו רבנו אמ' להם מפני מה זכה יהודה למלכות מפני שהודה בתמר ,אמרו לו למדתנו רבינו השותה מים לצמאו כיצד מברך אמרו לו למדנו רבינו באי זו זכות זכה יהודה למלכות אמר להם רבי טרפון אמרו ,17,24,187,184.0,22,22.0,0.5882352941176471,0.7272727272727273,5,אמרו לו זכה יהודה למלכות,2030000016,17,24
ref-t.1.1.4.18.71-ref-t.1.1.4.18.90,ref-mek.2.6.2.226-ref-mek.2.6.2.254,20101,20200,ref-t.1.1.4.18.71,ref-t.1.1.4.18.90,121506,121658,ref-mek.2.6.2.226,ref-mek.2.6.2.254,אמרו בזכות שאמר מה בצע כי נהרוג את אחינו שהצילו ממיתה אמר להם דייה להצלה שתעמוד ותכפר על המכירה,זכות זכה יהודה למלכות אמר להם רבי טרפון אמרו אתם אמרו בזכות שאמר מה בצע כי נהרוג את אחינו שהצילו ממיתה אמר להם דייה להצלה שתעמוד ותכפר על המכירה,19,29,190,190.0,23,23.0,0.3402777777777778,0.2380952380952381,19,אמרו בזכות שאמר מה בצע כי נהרוג את אחינו שהצילו ממיתה אמר להם דייה להצלה שתעמוד ותכפר על המכירה,2030000017,19,29
ref-t.1.1.4.18.165-ref-t.1.1.4.18.171,ref-mek.2.6.2.211-ref-mek.2.6.2.230,20548,20586,ref-t.1.1.4.18.165,ref-t.1.1.4.18.171,121430,121536,ref-mek.2.6.2.211,ref-mek.2.6.2.230,אמרו לו למדתנו רבינו השותה מים לצמאו כיצד מברך אמרו לו למדנו רבינו באי זו זכות זכה יהודה למלכות אמר להם,אמרו לו למדתנו רבינו השותה מים לצמאו כיצד מברך אמרו לו למדנו רבינו באי זו זכות זכה יהודה למלכות אמר להם,21,21,186,186.0,25,25.0,0.0,0.0,21,אמרו לו למדתנו רבינו השותה מים לצמאו כיצד מברך אמרו לו למדנו רבינו באי זו זכות זכה יהודה למלכות אמר להם,2030000018,21,21
ref-t.1.1.4.18.182-ref-t.1.1.4.18.201,ref-mek.2.6.1.19-ref-mek.2.6.1.47,20636,20729,ref-t.1.1.4.18.182,ref-t.1.1.4.18.201,118827,118975,ref-mek.2.6.1.19,ref-mek.2.6.1.47,שבטים ועמדו על הים זה אומ' אני ארד וזה אומ' אני ארד קפץ שבטו של יהודה וירד תחלה וקדש שמו ,כשעמדו שבטים על הים זה אומר אני יורד תחלה לים וזה אומר אני יורד תחלה לים מתוך שהיו עומדין וצווחין קפץ שבטו של בנימן וירד לים תחלה שנאמר שם ,20,25,182,182.0,28,27.0,0.5539568345323741,0.5833333333333333,10,שבטים על הים זה וזה קפץ שבטו של וירד תחלה,2030000019,20,25
ref-t.1.1.4.18.182-ref-t.1.1.4.18.191,ref-mek.2.6.2.307-ref-mek.2.6.2.317,20636,20682,ref-t.1.1.4.18.182,ref-t.1.1.4.18.191,121914,121967,ref-mek.2.6.2.307,ref-mek.2.6.2.317,שבטים ועמדו על הים זה אומ' אני ארד וזה אומ' ,כשעמדו שבטים על הים זה אומר אני יורד תחלה וזה אומר ,10,9,192,192.0,27,27.0,0.392156862745098,0.6363636363636364,5,שבטים על הים זה וזה,2030000020,10,9
ref-t.1.1.4.18.211-ref-t.1.1.4.18.222,ref-mek.2.6.2.45-ref-mek.2.6.2.57,20769,20828,ref-t.1.1.4.18.211,ref-t.1.1.4.18.222,120550,120617,ref-mek.2.6.2.45,ref-mek.2.6.2.57,הושיעני אלים כי באו מים עד נפש טבעתי ביון מצולה ואין מעמד ,הושיעני אלהים כי באו מים עד נפש ואומר טבעתי ביון מצולה ואין מעמד ,12,13,183,183.0,29,29.0,0.1076923076923077,0.0999999999999999,11,הושיעני כי באו מים עד נפש טבעתי ביון מצולה ואין מעמד,2030000021,12,13
ref-t.1.1.4.18.229-ref-t.1.1.4.18.239,ref-mek.2.6.2.354-ref-mek.2.6.2.367,20858,20911,ref-t.1.1.4.18.229,ref-t.1.1.4.18.239,122169,122240,ref-mek.2.6.2.354,ref-mek.2.6.2.367,היתה יהודה לקדשו וגו' יהודה קדש שמו של הקב'ה על הים ,"היתה יהודה לקדשו לכך ישראל ממשלותיו אמר להם הקב""ה מי שקדש שמי על הים ",11,14,193,193.0,30,30.0,0.4782608695652174,0.6,5,היתה יהודה לקדשו על הים,2030000022,11,14
ref-t.1.1.6.1.6-ref-t.1.1.6.1.36,ref-mek.1.17.2.127-ref-mek.1.17.2.151,27251,27408,ref-t.1.1.6.1.6,ref-t.1.1.6.1.36,66110,66242,ref-mek.1.17.2.127,ref-mek.1.17.2.151,ואכלת ושבעת וברכת זו ברכת הזימון את ייי אלהיך זו ברכה ראשנה על הארץ זו ברכת הארץ הטובה זו ירושלם שנא' ההר הטוב הזה והלבנון אשר נתן לך ייי זו הטוב ,ואכלת ושבעת וברכת זו ברכה ראשונה על הארץ זו ברכה שניה הטובה זו ירושלים שנאמר ההר הטוב הזה והלבנון אשר נתן לך שגמלם כל טוב ,31,25,92,92.0,31,31.0,0.3082191780821918,0.375,17,ואכלת ושבעת וברכת זו ברכה על הארץ זו הטובה זו ההר הטוב הזה והלבנון אשר נתן לך,2030000023,31,25
ref-t.1.1.6.1.29-ref-t.1.1.6.1.45,ref-mek.1.17.2.166-ref-mek.1.17.2.185,27371,27461,ref-t.1.1.6.1.29,ref-t.1.1.6.1.45,66309,66407,ref-mek.1.17.2.166,ref-mek.1.17.2.185,הזה והלבנון אשר נתן לך ייי זו הטוב והמטיב מניין שכשם שאתה מברך לאחריו כך מברך לפניו ,זה מחוסר אשר נתן לך בין מדה טובה למדה פורענות אין לי אלא ברכת המזון שהוא טעון ברכה לאחריו לפניו ,17,18,93,93.0,32,31.0,0.5729166666666666,0.7083333333333333,5,אשר נתן לך לאחריו לפניו,2030000024,17,18
ref-t.1.1.6.1.93-ref-t.1.1.6.1.108,ref-mek.1.17.2.168-ref-mek.1.17.2.175,27682,27762,ref-t.1.1.6.1.93,ref-t.1.1.6.1.108,66318,66354,ref-mek.1.17.2.168,ref-mek.1.17.2.175,אשר נתן לך ייי אלהיך אליך דיינך בכל דין שדנך בין במדת הטוב בין במדת פורענות ,אשר נתן לך בין מדה טובה למדה פורענות ,16,8,94,93.0,33,33.0,0.5657894736842105,0.5714285714285714,5,אשר נתן לך בין פורענות,2030000025,16,8
ref-t.1.2.1.2.13-ref-t.1.2.1.2.19,ref-mek.1.19.9.408-ref-mek.1.19.9.415,34654,34693,ref-t.1.2.1.2.13,ref-t.1.2.1.2.19,91909,91955,ref-mek.1.19.9.408,ref-mek.1.19.9.415,על ע'ז ועל גלוי עריות ועל שפיכות דמים ,על עבודה זרה ועל גילוי עריות ועל שפיכות דמים ,8,9,166,166.0,34,34.0,0.1777777777777777,0.375,6,על ועל עריות ועל שפיכות דמים,2030000026,8,9
ref-t.1.2.1.2.13-ref-t.1.2.1.2.19,ref-mek.6.2.2.30-ref-mek.6.2.2.37,34654,34693,ref-t.1.2.1.2.13,ref-t.1.2.1.2.19,239301,239347,ref-mek.6.2.2.30,ref-mek.6.2.2.37,על ע'ז ועל גלוי עריות ועל שפיכות דמים ,על עבודה זרה ועל גילוי עריות ועל שפיכות דמים ,8,9,326,326.0,35,34.0,0.1777777777777777,0.375,6,על ועל עריות ועל שפיכות דמים,2030000027,8,9
