baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifra,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.1.1.1.10.105-ref-t.1.1.1.10.113,ref-sifra.5.10-12.4.41-ref-sifra.5.10-12.4.50,3005,3054,ref-t.1.1.1.10.105,ref-t.1.1.1.10.113,306446,306507,ref-sifra.5.10-12.4.41,ref-sifra.5.10-12.4.50,יציאת מצרים ממקומה אלא שתהא יציאת מצרים מוסף על ,ביציאת מצרים וכל הכופר בעול מצות כופר ביציאת מצרים להיות ,9,10,1670,1668.0,0,0.0,0.5087719298245614,0.7272727272727273,2,מצרים מצרים,2040000001,9,10
ref-t.1.1.1.14.17-ref-t.1.1.1.14.25,ref-sifra.2.1-01.12.15-ref-sifra.2.1-01.12.23,4013,4058,ref-t.1.1.1.14.17,ref-t.1.1.1.14.25,7189,7229,ref-sifra.2.1-01.12.15,ref-sifra.2.1-01.12.23,הוא אברם עד שלא נדבר עמו והוא אברהם משנדבר ,הוא משה עד שלא נדבר עמו הוא משה משנדבר ,9,9,23,22.0,1,1.0,0.2093023255813953,0.2857142857142857,6,הוא עד שלא נדבר עמו משנדבר,2040000002,9,9
ref-t.1.1.1.14.37-ref-t.1.1.1.14.58,ref-sifra.2.1-01.12.1-ref-sifra.2.1-01.12.23,4121,4228,ref-t.1.1.1.14.37,ref-t.1.1.1.14.58,7118,7229,ref-sifra.2.1-01.12.1,ref-sifra.2.1-01.12.23,משה משה אברהם אברהם יעקב יעקב שמואל שמואל כולן לשון חיבה לשון זירוז הן הן עד שלא נדבר עמהן והן הן משנדבר ,משה משה אברהם אברהם יעקב יעקב שמואל שמואל לשון חיבה לשון זירוז דבר אחר הוא משה עד שלא נדבר עמו הוא משה משנדבר ,22,23,22,22.0,2,2.0,0.2272727272727272,0.3125,16,משה משה אברהם אברהם יעקב יעקב שמואל שמואל לשון חיבה לשון זירוז עד שלא נדבר משנדבר,2040000003,22,23
ref-t.1.1.3.6.82-ref-t.1.1.3.6.87,ref-sifra.5.1.20.81-ref-sifra.5.1.20.86,10843,10877,ref-t.1.1.3.6.82,ref-t.1.1.3.6.87,243064,243097,ref-sifra.5.1.20.81,ref-sifra.5.1.20.86,רננו צדיקים בייי לישרים נאוה תהלה ,רננו צדיקים בה' לישרים נאוה תהלה ,6,6,1272,1272.0,3,3.0,0.088235294117647,0.1999999999999999,5,רננו צדיקים לישרים נאוה תהלה,2040000004,6,6
ref-t.1.1.3.21.5-ref-t.1.1.3.21.15,ref-sifra.5.7-00.6.34-ref-sifra.5.7-00.7.8,14329,14383,ref-t.1.1.3.21.5,ref-t.1.1.3.21.15,287544,287592,ref-sifra.5.7-00.6.34,ref-sifra.5.7-00.7.8,מתוך סיחה ולא מתוך השחוק ולא מתוך קלות ראש אלא מתוך ,תוכו אל תוכו כשיפול לתוכו טמא ולא כשיפול לתוך ,11,9,1448,1448.0,4,4.0,0.6538461538461539,0.75,1,ולא,2040000005,11,9
ref-t.1.1.3.21.25-ref-t.1.1.3.21.35,ref-sifra.5.7-00.6.34-ref-sifra.5.7-00.7.8,14426,14478,ref-t.1.1.3.21.25,ref-t.1.1.3.21.35,287544,287592,ref-sifra.5.7-00.6.34,ref-sifra.5.7-00.7.8,מתוך שיחה ולא מתוך שחוק ולא מתוך קלות ראש אלא מתוך ,תוכו אל תוכו כשיפול לתוכו טמא ולא כשיפול לתוך ,11,9,1449,1448.0,5,5.0,0.6666666666666666,0.75,1,ולא,2040000006,11,9
ref-t.1.1.4.15.53-ref-t.1.1.4.15.57,ref-sifra.3.9-15.6.5-ref-sifra.3.9-15.6.9,18201,18227,ref-t.1.1.4.15.53,ref-t.1.1.4.15.57,133694,133722,ref-sifra.3.9-15.6.5,ref-sifra.3.9-15.6.9,חטין פת שעורין ופת כוסמין ,חטין ופת שעורים ופת כוסמין ,5,5,491,491.0,6,6.0,0.074074074074074,0.4,3,חטין ופת כוסמין,2040000007,5,5
ref-t.1.1.4.17.3-ref-t.1.1.4.17.7,ref-sifra.5.1.35.20-ref-sifra.5.1.35.29,19372,19405,ref-t.1.1.4.17.3,ref-t.1.1.4.17.7,249907,249962,ref-sifra.5.1.35.20,ref-sifra.5.1.35.29,ויקרבו וישאום בכתנותם אל מחוץ ,ויקרבו וישאום בכתנתם ר' אליעזר אומר לא מתו אלא בחוץ ,5,5,1280,1280.0,7,7.0,0.4807692307692308,0.3333333333333333,2,ויקרבו וישאום,2040000008,5,5
ref-t.1.1.4.17.3-ref-t.1.1.4.17.8,ref-sifra.5.1.35.121-ref-sifra.5.1.35.126,19372,19412,ref-t.1.1.4.17.3,ref-t.1.1.4.17.8,250463,250504,ref-sifra.5.1.35.121,ref-sifra.5.1.35.126,ויקרבו וישאום בכתנותם אל מחוץ למחנה ,ויקרבו וישאום בכתנתם מלמד שהטילו חנית ,6,6,1281,1281.0,8,7.0,0.3157894736842105,0.6666666666666667,2,ויקרבו וישאום,2040000009,6,6
ref-t.1.1.5.6.21-ref-t.1.1.5.6.35,ref-sifra.5.1.39.8-ref-sifra.5.1.39.15,22521,22604,ref-t.1.1.5.6.21,ref-t.1.1.5.6.35,252296,252346,ref-sifra.5.1.39.8,ref-sifra.5.1.39.15,מתחילין מן הגדול לאחר המזון מתחילין מן המברך רצה לחלוק כבוד לרבו או למי שגדול ,רבי אומר בגדולה מתחילין מן הגדול ובקללה מתחילין ,15,8,1285,1285.0,9,9.0,0.6410256410256411,0.7142857142857143,4,מתחילין מן הגדול מתחילין,2040000010,15,8
ref-t.1.1.5.18.7-ref-t.1.1.5.18.23,ref-sifra.10.7-12.1.23-ref-sifra.10.7-12.2.6,23735,23829,ref-t.1.1.5.18.7,ref-t.1.1.5.18.23,468610,468663,ref-sifra.10.7-12.1.23,ref-sifra.10.7-12.2.6,בן ברית אף גר בן ברית אשר תאכל אין אכילה פחותה מכזית,בן ברית אף גר בן ברית אשר תאכל אין אכילה פחותה מכזית,12,12,2798,2798.0,10,10.0,0.0,0.0,12,בן ברית אף גר בן ברית אשר תאכל אין אכילה פחותה מכזית,2040000011,12,12
ref-t.1.1.6.16.8-ref-t.1.1.6.16.16,ref-sifra.5.1.34.60-ref-sifra.5.1.34.75,31657,31713,ref-t.1.1.6.16.8,ref-t.1.1.6.16.16,249327,249417,ref-sifra.5.1.34.60,ref-sifra.5.1.34.75,ביציאתו ר' שמעון או' ארבע שתים בכניסתו ושתים ביציאתו ,יצא מבית קדש הקדשים ונחלקו לארבעה ונכנסו שנים בחוטמו של זה ושנים בחוטמו של זה ותצא ,7,10,1279,1279.0,12,12.0,0.6867469879518072,0.9166666666666666,0,,2040000012,7,10
ref-t.1.1.6.19.1-ref-t.1.1.6.19.12,ref-sifra.11.3-07.9.3-ref-sifra.11.3-07.9.13,32729,32794,ref-t.1.1.6.19.1,ref-t.1.1.6.19.12,504661,504733,ref-sifra.11.3-07.9.3,ref-sifra.11.3-07.9.13,לא יכנס אדם להר הבית במעות צרורין לו בסדינו ובאבק שעל רגליו ,לא יכנס להר הבית במקלו ובתרמילו במנעלו ובאפונדתו ובאבק שעל רגליו ,12,11,2907,2907.0,13,13.0,0.3538461538461538,0.5714285714285714,7,לא יכנס להר הבית ובאבק שעל רגליו,2040000013,12,11
ref-t.1.1.6.20.1-ref-t.1.1.6.20.6,ref-sifra.10.8-13.2.94-ref-sifra.10.8-13.2.101,33079,33110,ref-t.1.1.6.20.1,ref-t.1.1.6.20.6,474763,474800,ref-sifra.10.8-13.2.94,ref-sifra.10.8-13.2.101,הפותח ביוד הי וחותם ביוד הי ,פותח בהם ביוד הא וחותם בהם ביוד הא ,6,8,2816,2816.0,14,14.0,0.3142857142857143,0.25,3,ביוד וחותם ביוד,2040000014,6,8
ref-t.1.1.6.20.1-ref-t.1.1.6.20.6,ref-sifra.10.8-13.2.175-ref-sifra.10.8-13.2.181,33079,33110,ref-t.1.1.6.20.1,ref-t.1.1.6.20.6,475156,475189,ref-sifra.10.8-13.2.175,ref-sifra.10.8-13.2.181,הפותח ביוד הי וחותם ביוד הי ,פותח בהן ביוד הא וחותם ביוד הא ,6,7,2817,2817.0,15,14.0,0.2258064516129032,0.25,3,ביוד וחותם ביוד,2040000015,6,7
ref-t.1.2.1.5.1-ref-t.1.2.1.5.29,ref-sifra.11.1-01.9.19-ref-sifra.11.1-01.9.29,35211,35356,ref-t.1.2.1.5.1,ref-t.1.2.1.5.29,487001,487051,ref-sifra.11.1-01.9.19,ref-sifra.11.1-01.9.29,בסוף מיכן אמרו נתן בין בתחלה בין באמצע הרי זו פאה,בסוף מיכן אמרו נתן בין בתחלה בין באמצע,11,8,2838,2837.0,16,16.0,0.2244897959183673,0.3,8,בסוף מיכן אמרו נתן בין בתחלה בין באמצע,2040000016,11,8
