baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.1.1.4.18.40-ref-t.1.1.4.18.45,ref-sifre-n.12.1.178-ref-sifre-n.12.1.183,19943,19975,ref-t.1.1.4.18.40,ref-t.1.1.4.18.45,24173,24206,ref-sifre-n.12.1.178,ref-sifre-n.12.1.183,אשר חכמים יגידו ולא כחדו מאבתם ,אשר חכמים הגידו ולא כחדו מאבותם ,6,6,119,119.0,0,0.0,0.0625,0.0,4,אשר חכמים ולא כחדו,2050000001,6,6
ref-t.1.2.1.11.8-ref-t.1.2.1.11.16,ref-sifre-n.110.2.126-ref-sifre-n.110.2.146,37407,37460,ref-t.1.2.1.11.8,ref-t.1.2.1.11.16,158618,158739,ref-sifre-n.110.2.126,ref-sifre-n.110.2.146,שחיבים בחלה שהיה בדין ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן,לקט שכחה ופאה שחיבים בחלה שהיה בדין ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן המעשר,17,16,475,475.0,1,1.0,0.1818181818181818,0.0,15,שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן,2050000002,17,21
ref-t.1.2.1.11.8-ref-t.1.2.1.11.16,ref-sifre-n.110.2.169-ref-sifre-n.110.2.180,37407,37460,ref-t.1.2.1.11.8,ref-t.1.2.1.11.16,158875,158941,ref-sifre-n.110.2.169,ref-sifre-n.110.2.180,פטור מן הלקט ומן השכחה ומן הפיאה וחייב במעשרות ,שפטורים מן החלה שהיה בדין ומה לקט שכחה ופאה שפטורים מן המעשר ,4,7,479,478.0,3,1.0,0.6065573770491803,0.7692307692307692,1,מן,2050000003,9,12
ref-t.1.2.1.11.10-ref-t.1.2.1.11.16,ref-sifre-n.110.2.261-ref-sifre-n.110.2.266,37415,37460,ref-t.1.2.1.11.10,ref-t.1.2.1.11.16,159392,159429,ref-sifre-n.110.2.261,ref-sifre-n.110.2.266,הלקט ומן השכחה ומן הפיאה וחייב במעשרות ,בלקט שכחה ופאה שמינם חיבת במעשרות ,7,6,487,485.0,4,1.0,0.4102564102564102,0.5,1,במעשרות,2050000004,7,6
ref-t.1.2.2.10.20-ref-t.1.2.2.11.3,ref-sifre-n.110.2.126-ref-sifre-n.110.2.146,39118,39189,ref-t.1.2.2.10.20,ref-t.1.2.2.11.3,158618,158739,ref-sifre-n.110.2.126,ref-sifre-n.110.2.146,לקט שכחה ופאה שחיבים בחלה שהיה בדין ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן המעשר,לקט שכחה ופאה שחיבים בחלה שהיה בדין ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן המעשר,16,16,476,474.0,6,6.0,0.0,0.0,19,לקט שכחה ופאה שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן המעשר,2050000005,21,21
ref-t.1.2.2.10.20-ref-t.1.2.2.11.3,ref-sifre-n.110.2.169-ref-sifre-n.110.2.180,39118,39189,ref-t.1.2.2.10.20,ref-t.1.2.2.11.3,158875,158941,ref-sifre-n.110.2.169,ref-sifre-n.110.2.180,שפטורים מן החלה שהיה בדין ומה לקט שכחה ופאה שפטורים מן המעשר,שפטורים מן החלה שהיה בדין ומה לקט שכחה ופאה שפטורים מן המעשר,7,7,480,480.0,7,7.0,0.0,0.0,10,שפטורים מן החלה שהיה_בדין_ומה לקט שכחה ופאה שפטורים מן המעשר,2050000006,12,12
ref-t.1.2.2.10.13-ref-t.1.2.2.11.2,ref-sifre-n.110.2.256-ref-sifre-n.110.2.275,39083,39182,ref-t.1.2.2.10.13,ref-t.1.2.2.11.2,159370,159484,ref-sifre-n.110.2.256,ref-sifre-n.110.2.275,חיבת בחלה לא אם אמרת בלקט שכחה ופאה שמינם חיבת במעשרות לפיכך חייבים בחלה תאמר בעיסת שביעית שמינם פטורים מן,חיבת בחלה לא אם אמרת בלקט שכחה ופאה שמינם חיבת במעשרות לפיכך חייבים בחלה תאמר בעיסת שביעית שמינם פטורים מן,20,20,486,486.0,5,5.0,0.0,0.0,18,חיבת בחלה לא_אם_אמרת בלקט שכחה ופאה שמינם חיבת במעשרות לפיכך חייבים בחלה תאמר בעיסת שביעית שמינם פטורים מן,2050000007,20,20
ref-t.1.2.2.13.28-ref-t.1.2.2.13.37,ref-sifre-n.117.2.536-ref-sifre-n.117.2.542,39579,39636,ref-t.1.2.2.13.28,ref-t.1.2.2.13.37,186674,186713,ref-sifre-n.117.2.536,ref-sifre-n.117.2.542,ושאר מתנות כהונה כגון הזרוע והלחיים והקבה יש כהן משם ,אשר יתנו זה הזרוע והלחיים והקיבה לה' ,10,7,576,576.0,11,11.0,0.4339622641509434,0.6666666666666667,2,הזרוע והלחיים,2050000008,10,7
ref-t.1.2.3.6.21-ref-t.1.2.3.6.34,ref-sifre-n.134.2.193-ref-sifre-n.134.2.206,43205,43265,ref-t.1.2.3.6.21,ref-t.1.2.3.6.34,240871,240937,ref-sifre-n.134.2.193,ref-sifre-n.134.2.206,שהורע כח עני בה הרי היא מצלת את העומר עומר שייפה כח עני בו ,שהורע כחה במקום הבן הרי היא יורשת בת הבן בן שיפה כחו במקום הבן ,14,14,851,850.0,12,12.0,0.4761904761904761,0.5833333333333333,3,שהורע הרי היא,2050000009,14,14
ref-t.1.2.4.13.11-ref-t.1.2.4.13.17,ref-sifre-n.116.1.310-ref-sifre-n.116.1.317,48641,48677,ref-t.1.2.4.13.11,ref-t.1.2.4.13.17,179311,179349,ref-sifre-n.116.1.310,ref-sifre-n.116.1.317,לו לשם מתנה וחוזרין ונותנין לו לשם ,לכם מתנה נתונים לה' לה' הם נתונים ולא ,7,8,548,548.0,13,13.0,0.6842105263157895,0.8888888888888888,1,מתנה,2050000010,7,8
