baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-t,dam-lev,jac,id
ref-t.1.1.1.1.1-ref-t.1.1.1.1.22,ref-y.1.1.1.1.1.1-ref-y.1.1.1.1.1.12,0,121,ref-t.1.1.1.1.1,ref-t.1.1.1.1.22,0,69,ref-y.1.1.1.1.1.1,ref-y.1.1.1.1.1.12,מאימתי קורין את שמע בערבין כו' אנן תנינן משעה שהכהנים נכנסין לוכל,מאימתי קורין את שמע בערבין כו' אנן תנינן משעה שהכהנים נכנסין לוכל,20,12,0,0.0,0,0.0,0.0,0.0,2070000001
ref-t.1.1.1.1.6-ref-t.1.1.1.1.19,ref-y.1.1.1.1.1.45-ref-y.1.1.1.1.1.54,28,104,ref-t.1.1.1.1.6,ref-t.1.1.1.1.19,247,298,ref-y.1.1.1.1.1.45,ref-y.1.1.1.1.1.54,משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי ר' מאיר וחכמים אומ' משעה ,משעה שדרך בני אדם נכנסין לאכול פתן בלילי שבת שעה ,14,10,2,2.0,2,0.0,0.4931506849315068,0.625,2070000002
ref-t.1.1.1.1.24-ref-t.1.1.1.1.41,ref-y.1.1.1.1.4.1-ref-y.1.1.1.1.4.23,130,235,ref-t.1.1.1.1.24,ref-t.1.1.1.1.41,980,1116,ref-y.1.1.1.1.4.1,ref-y.1.1.1.1.4.23,וסימן לדבר צאת הכוכבים אע'פ שאין ראיה לדבר זכר לדבר וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,סימן לדבר משיצאו הכוכבים ואף על פי שאין ראיה לדבר זכר לדבר ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבי' ,18,23,3,3.0,3,3.0,0.25984251968503935,0.35,2070000003
ref-t.1.1.1.1.52-ref-t.1.1.1.1.66,ref-y.1.1.1.1.29.194-ref-y.1.1.1.1.29.206,288,367,ref-t.1.1.1.1.52,ref-t.1.1.1.1.66,11760,11829,ref-y.1.1.1.1.29.194,ref-y.1.1.1.1.29.206,אחת עד שלא עלה עמוד השחר ואחת משעלה עמוד השחר ונמצא יוצא ידי חובתו של יום ,אחת לפני עמוד השחר ואחת לאחר עמוד השחר ונמיא ירצא ידי חובתו של יום ,16,14,11,11.0,4,4.0,0.21621621621621623,0.5625,2070000004
ref-t.1.1.1.2.10-ref-t.1.1.1.2.27,ref-y.1.1.1.2.4.42-ref-y.1.1.1.2.4.64,643,738,ref-t.1.1.1.2.10,ref-t.1.1.1.2.27,15651,15778,ref-y.1.1.1.2.4.42,ref-y.1.1.1.2.4.64,חבירו רחוק ממנו ארבע אמות ומכירו מצותה עם הנץ החמה כדי שיהא סומך לה תפלה ונמצא מתפלל ביום ,רחוק מחבירו ארבע אמות ומכירו כמן דמר בין תכלת ללבן אבל אמרו מצותה עם הנץ החמה כדי שיסמוך גאולה לתפילה ונמצא מתפלל ביום ,18,23,20,20.0,5,5.0,0.4117647058823529,0.3913043478260869,2070000005
ref-t.1.1.1.2.17-ref-t.1.1.1.2.46,ref-y.1.1.1.2.4.83-ref-y.1.1.1.2.5.23,683,827,ref-t.1.1.1.2.17,ref-t.1.1.1.2.46,15875,16028,ref-y.1.1.1.2.4.83,ref-y.1.1.1.2.5.23,עם הנץ החמה כדי שיהא סומך לה תפלה ונמצא מתפלל ביום אמ' ר' יהוד' פעם אחת הייתי מהלך אחר ר' עקיבא ואחר ר' אלעזר בן עזריה והגיע זמן קרית שמע ,שיסמכו לה תפילתן עם הנץ החמה תני אמר רבי יודה מעשה שהייתי מהלך בדרך אחרי רבי אלעזר בן עזריה ואחרי רבי עקיבה והיו עסוקין במצות והגיע עונת קרית שמע ,30,29,21,21.0,6,5.0,0.6506849315068494,0.6486486486486487,2070000006
ref-t.1.1.1.2.56-ref-t.1.1.1.3.8,ref-y.1.1.1.2.5.18-ref-y.1.1.1.2.5.41,886,996,ref-t.1.1.1.2.56,ref-t.1.1.1.3.8,15994,16131,ref-y.1.1.1.2.5.18,ref-y.1.1.1.2.5.41,מקרית שמע וקריתי ושניתי ואחר כך התחילו הם וכבר היתה החמה על ראשי ההרים,עסוקין במצות והגיע עונת קרית שמע והייתי סבור שמא נתייאשו מקרית שמע וקריתי ושניתי ואחר כך התחילו הם וכבר היתה החמה על ראשי ההרים,12,24,22,22.0,7,7.0,0.44881889763779526,0.35,2070000007
ref-t.1.1.1.3.12-ref-t.1.1.1.4.28,ref-y.1.1.1.2.8.340-ref-y.1.1.1.3.2.33,1013,1216,ref-t.1.1.1.3.12,ref-t.1.1.1.4.28,18617,18862,ref-y.1.1.1.2.8.340,ref-y.1.1.1.3.2.33,בשבתך בביתך פרט לעוסקים במצות ובלכתך בדרך פרט לחתני' תני מעשה בר' אלעזר בן עזרי' ור' ישמעאל שהיו שרויין במקו' אחד והיה ר' אלעזר בן עזריה מוטה ור' ישמעאל זקוף הגיע זמן עונת קרית שמע נזקף ר' אלעזר בן עזריה והיטה רבי ישמעאל,ובלכתך בדרך בשבתך בביתך פרט לעוסקים במצות ובלכתך בדרך פרט לחתני' תני מעשה בר' אלעזר בן עזרי' ור' ישמעאל שהיו שרויין במקו' אחד והיה ר' אלעזר בן עזריה מוטה ור' ישמעאל זקוף הגיע זמן עונת קרית שמע נזקף ר' אלעזר בן עזריה והיטה רבי ישמעאל,36,43,29,29.0,9,9.0,0.05172413793103448,0.0,2070000008
ref-t.1.1.1.4.49-ref-t.1.1.1.4.85,ref-y.1.1.1.3.2.44-ref-y.1.1.1.3.2.90,1303,1502,ref-t.1.1.1.4.49,ref-t.1.1.1.4.85,18906,19170,ref-y.1.1.1.3.2.44,ref-y.1.1.1.3.2.90,"זקנך מגודל והוא אומר יהיה כנגד המשחיתים אני שהייתי מוטה נזקפתי ואת' שהיית זקוף הטית אמר לו אתה נזקפת כדברי בית שמאי ואני היטיתי כדברי ב""ה ר""א שלא יראוני התלמידים ויעשו הלכה קבע כדברי בית שמאי מתני' א""ר טרפון אני הייתי בא בדרך והטיתי לקרו' כדברי ב""ש","זקנך מגודל והוא אומר יהיה כנגד המשחיתים אני שהייתי מוטה נזקפתי ואת' שהיית זקוף הטית אמר לו אתה נזקפת כדברי בית שמאי ואני היטיתי כדברי ב""ה ר""א שלא יראוני התלמידים ויעשו הלכה קבע כדברי בית שמאי מתני' א""ר טרפון אני הייתי בא בדרך והטיתי לקרו' כדברי ב""ש",36,33,31,31.0,11,11.0,0.0,0.0,2070000009
ref-t.1.1.1.5.2-ref-t.1.1.1.5.32,ref-y.1.1.1.4.3.116-ref-y.1.1.1.4.3.138,1520,1684,ref-t.1.1.1.5.2,ref-t.1.1.1.5.32,20835,20959,ref-y.1.1.1.4.3.116,ref-y.1.1.1.4.3.138,אחת ארוכה ואחת קצרה מקו' שאמרו להאריך אינו שאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו רשאי,אחת ארוכה ואחת קצרה מקו' שאמרו להאריך אינו שאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו רשאי,20,22,44,44.0,13,13.0,0.0,0.0,2070000010
