,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-mek,dam-lev,jac,id
0,0,ref-y.2.4.5.1.4.8-ref-y.2.4.5.1.4.19,ref-mek.1.1.1.31-ref-mek.1.1.1.46,1535591,1535647,228660,228669,ref-y.2.4.5.1.4.8,ref-y.2.4.5.1.4.19,150,223,21,31,ref-mek.1.1.1.31,ref-mek.1.1.1.46,מה תלמוד לומר סופר אלא כשם שהיה סופר בדברי תורה כך היה ,מה תלמוד לומר אל משה ואל אהרן אלא מלמד שכשם שהיה משה כלל לדברות כך היה ,9,10,500.0,0.0,0.4507042253521127,0.5384615384615384,4050000001
1,1,ref-y.1.1.1.1.24.111-ref-y.1.1.1.1.24.116,ref-mek.1.1.1.174-ref-mek.1.1.1.179,8145,8175,1284,1289,ref-y.1.1.1.1.24.111,ref-y.1.1.1.1.24.116,853,883,125,130,ref-mek.1.1.1.174,ref-mek.1.1.1.179,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,5,5,4.0,1.0,0.0,0.0,4050000002
2,2,ref-y.2.12.2.1.16.276-ref-y.2.12.2.1.16.282,ref-mek.1.1.1.178-ref-mek.1.1.1.184,1953227,1953269,292204,292210,ref-y.2.12.2.1.16.276,ref-y.2.12.2.1.16.282,873,917,129,135,ref-mek.1.1.1.178,ref-mek.1.1.1.184,ארץ לשמים אלא מלמד ששניהן שקולים זה בזה ,ארץ ושמים מגיד ששניהם שקולים כאחד זה בזה ,6,6,712.0,1.0,0.3170731707317073,0.6,4050000003
3,3,ref-y.4.4.11.5.1.342-ref-y.4.4.11.5.1.346,ref-mek.1.1.1.531-ref-mek.1.1.1.537,3315578,3315608,499536,499540,ref-y.4.4.11.5.1.342,ref-y.4.4.11.5.1.346,2717,2757,424,430,ref-mek.1.1.1.531,ref-mek.1.1.1.537,ויקם יונה לברוח תרשישה מלפני ,ויקם יונה לברוח תרשישה וגו' וכי מלפני ,4,6,1411.0,3.0,0.23684210526315788,0.2857142857142857,4050000004
4,4,ref-y.1.1.9.2.9.26-ref-y.1.1.9.2.9.30,ref-mek.1.1.1.657-ref-mek.1.1.1.662,185186,185210,29084,29088,ref-y.1.1.9.2.9.26,ref-y.1.1.9.2.9.30,3357,3383,540,545,ref-mek.1.1.1.657,ref-mek.1.1.1.662,וה' הטיל רוח גדולה בימי ,וה' הטיל רוח גדולה אל הים ,4,5,143.0,4.0,0.19230769230769232,0.33333333333333337,4050000005
5,5,ref-y.2.9.2.1.14.28-ref-y.2.9.2.1.14.44,ref-mek.1.1.1.760-ref-mek.1.1.1.771,1766438,1766522,263398,263414,ref-y.2.9.2.1.14.28,ref-y.2.9.2.1.14.44,3896,3952,640,651,ref-mek.1.1.1.760,ref-mek.1.1.1.771,אמר ולא יעשה ודבר ולא וקימנה ורבנן אמרי לא איש היא שעשה דבריו של אל כאילו אינן ,שנאמר ויהי דבר ה' אל יונה שנית לאמר שנית נדבר עמו ולא ,16,11,596.0,5.0,0.6329113924050633,0.8,4050000006
6,6,ref-y.3.1.10.3.2.95-ref-y.3.1.10.3.2.107,ref-mek.1.1.1.858-ref-mek.1.1.1.876,2174265,2174341,325085,325097,ref-y.3.1.10.3.2.95,ref-y.3.1.10.3.2.107,4383,4491,728,742,ref-mek.1.1.1.858,ref-mek.1.1.1.876,אומרי' טהור' ואילו אומ' טמיא' כמי שאילו אומ' נשבית ואילו אומרי' לא נשבית ,ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר וישב ,12,14,755.0,6.0,0.7,1.0,4050000007
7,7,ref-y.3.2.2.2.3.234-ref-y.3.2.2.2.3.246,ref-mek.1.1.1.858-ref-mek.1.1.1.876,2386181,2386252,357256,357267,ref-y.3.2.2.2.3.234,ref-y.3.2.2.2.3.246,4383,4491,728,742,ref-mek.1.1.1.858,ref-mek.1.1.1.876,אומ' טהורה ואילו אומרי' טמאה כמי שאילו או' נשבית ואילו או' לא נשבית ,ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר וישב ,11,14,880.0,6.0,0.72,1.0,4050000008
8,8,ref-y.2.9.3.4.3.21-ref-y.2.9.3.4.3.37,ref-mek.1.1.1.1051-ref-mek.1.1.1.1067,1784912,1784998,266203,266218,ref-y.2.9.3.4.3.21,ref-y.2.9.3.4.3.37,5451,5533,898,912,ref-mek.1.1.1.1051,ref-mek.1.1.1.1067,שנים שהיו ישראל כמנודים לא היה מדבר עם משה שנאמ' ויהי כאשר תמו כל אנשי המלחמה למות ,שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ,15,14,606.0,8.0,0.25301204819277107,0.3125,4050000009
9,9,ref-y.1.5.6.1.1.44-ref-y.1.5.6.1.1.53,ref-mek.1.1.1.1116-ref-mek.1.1.1.1123,477098,477142,73254,73262,ref-y.1.5.6.1.1.44,ref-y.1.5.6.1.1.53,5774,5809,954,961,ref-mek.1.1.1.1116,ref-mek.1.1.1.1123,ה' בכם וגו' ושמתם את דברי אלה על לבבכם וגו' ,ה' וגו' ויהי דבר ה' אל ירמיהו וגו' ,8,7,207.0,9.0,0.5,0.6,4050000010
10,10,ref-y.4.4.10.2.5.68-ref-y.4.4.10.2.5.82,ref-mek.1.1.1.1237-ref-mek.1.1.1.1246,3285215,3285280,494593,494604,ref-y.4.4.10.2.5.68,ref-y.4.4.10.2.5.82,6393,6432,1069,1076,ref-mek.1.1.1.1237,ref-mek.1.1.1.1246,אם אין גדיים אין תיישים אם אין תיישים אין צאן אם אין צאן אין רועה ,אם אין כרם אין סייג אם אין צאן אין רועה ,11,7,1395.0,10.0,0.45454545454545453,0.5714285714285714,4050000011
11,11,ref-y.1.6.3.4.2.26-ref-y.1.6.3.4.2.41,ref-mek.1.2.1.95-ref-mek.1.2.1.112,562776,562858,85811,85824,ref-y.1.6.3.4.2.26,ref-y.1.6.3.4.2.41,7069,7155,1184,1199,ref-mek.1.2.1.95,ref-mek.1.2.1.112,זה הגומר בלב אתה אומר זה הגומר כלב או אינו אלא המוציא בשפתיו כשהוא אומר מוצא ,הזה זה ניסן אתה אומר זה ניסן או אינו אלא אחד מחדשי השנה כשהוא אומר חג האסיף בצאת ,13,15,220.0,11.0,0.5308641975308642,0.6666666666666667,4050000012
12,12,ref-y.3.4.5.1.2.25-ref-y.3.4.5.1.2.40,ref-mek.1.2.1.95-ref-mek.1.2.1.112,2756593,2756676,413068,413081,ref-y.3.4.5.1.2.25,ref-y.3.4.5.1.2.40,7069,7155,1184,1199,ref-mek.1.2.1.95,ref-mek.1.2.1.112,זה הגומר בלב אתה אומר זה הגומר בלב או אינו אלא המוציא בשפתיו בשהוא אומר מוצא ,הזה זה ניסן אתה אומר זה ניסן או אינו אלא אחד מחדשי השנה כשהוא אומר חג האסיף בצאת ,13,15,984.0,11.0,0.5432098765432098,0.6666666666666667,4050000013
13,13,ref-y.4.4.1.1.3.6-ref-y.4.4.1.1.3.14,ref-mek.1.2.1.98-ref-mek.1.2.1.109,3132636,3132681,470862,470868,ref-y.4.4.1.1.3.6,ref-y.4.4.1.1.3.14,7082,7139,1187,1196,ref-mek.1.2.1.98,ref-mek.1.2.1.109,אתה אומר בשנים או אינו אלא באחד כשהוא אומ' ,אתה אומר זה ניסן או אינו אלא אחד מחדשי השנה כשהוא אומר ,6,9,1185.0,11.0,0.32727272727272727,0.36363636363636365,4050000014
14,14,ref-y.2.8.1.1.15.216-ref-y.2.8.1.1.15.243,ref-mek.1.2.1.107-ref-mek.1.2.1.130,1644472,1644613,245073,245097,ref-y.2.8.1.1.15.216,ref-y.2.8.1.1.15.243,7122,7245,1194,1216,ref-mek.1.2.1.107,ref-mek.1.2.1.130,שנים מניין כתוב אחד אומר וחג האסיף בצאת חשנה וכתיב אחר אומר וחג האסיף תקופת השנה אי זהו חדש שיש בו חג ותקופה ואסיף ושנה,השנה כשהוא אומר חג האסיף בצאת השנה וחג האסיף תקופת השנה אמרת צא וראה אי זה חדש שיש בו אסיף ותקופה ושנה יוצאה,25,23,570.0,11.0,0.47058823529411764,0.5,4050000015
