,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifra,dam-lev,jac,id
0,0,ref-y.3.5.7.4.4.4-ref-y.3.5.7.4.4.36,ref-sifra.1.2.18-ref-sifra.1.2.57,2320574,2320735,347355,347376,ref-y.3.5.7.4.4.4,ref-y.3.5.7.4.4.36,112,306,17,49,ref-sifra.1.2.18,ref-sifra.1.2.57,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר ליה כן אמר רבי יוחנן משום רבי שמעון כל שהיה בכלל ויצא מן הכלל ללמד,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו,22,33,2821.0,0.0,0.58,0.6363636363636364,4060000001
1,2,ref-y.4.6.8.1.12.20-ref-y.4.6.8.1.12.30,ref-sifra.1.4.4-ref-sifra.1.4.37,3404352,3404416,512833,512843,ref-y.4.6.8.1.12.20,ref-y.4.6.8.1.12.30,900,1061,140,169,ref-sifra.1.4.4,ref-sifra.1.4.37,שנאמר בשומר חנם לשליחות יד שנאמר בשומר שכר שליחות יד שנאמר ,נאמ' בשומר חנם אם לא שלח ידו במלאכת רעהו ונא' בשומ' שכר אם לא שלח ידו במלאכת רעהו מה בשומר הנם שנאמ' בו אם לא שלח ידו פטר את היורשין אף בשומר שכר שנאמ' ,10,29,4300.0,2.0,0.6907894736842105,0.7222222222222222,4060000002
2,3,ref-y.4.1.1.1.7.84-ref-y.4.1.1.1.7.97,ref-sifra.1.5.6-ref-sifra.1.5.13,2956516,2956580,443558,443571,ref-y.4.1.1.1.7.84,ref-y.4.1.1.1.7.97,1126,1173,182,189,ref-sifra.1.5.6,ref-sifra.1.5.13,לא הרי מושב כהרי משכב ולא הרי משבב כהרי מושב ניחא לא הרי מושב,לא המשכב כהרי המושב ולא המושב כהרי המשכב,14,8,3373.0,3.0,0.5081967213114754,0.75,4060000003
3,5,ref-y.4.1.1.1.7.142-ref-y.4.1.1.1.7.160,ref-sifra.1.6.6-ref-sifra.1.6.18,2956814,2956914,443614,443631,ref-y.4.1.1.1.7.142,ref-y.4.1.1.1.7.160,1434,1503,236,248,ref-sifra.1.6.6,ref-sifra.1.6.18,לא פרשת נירות בהרי פרשת שילוה טמאין ולא פרשת שילוח טמאין כהרי פרשת נירות אילו לא נאמר פרשת,לא פרשת הנידות כהרי פרשת שלוח טמאים ולא פרשת שלוח טמאים כהרי פרשת,18,13,3380.0,5.0,0.35555555555555557,0.375,4060000004
4,7,ref-y.4.6.3.5.2.32-ref-y.4.6.3.5.2.45,ref-sifra.1.7.11-ref-sifra.1.8.19,3360224,3360290,506256,506269,ref-y.4.6.3.5.2.32,ref-y.4.6.3.5.2.45,1640,1761,270,295,ref-sifra.1.7.11,ref-sifra.1.8.19,אלא כיני להרע או להיטיב פרט לכל אשר יבטא כלל פרט וכלל והכל בכלל,פרט כלל ופרט' אין בכלל אלא מה שבפרט ח מפרט וכלל כיצד כי יתן איש אל רעהו חמור או שור או שה פרט וכל בהמה לשמור,14,26,4219.0,7.0,0.6944444444444444,0.631578947368421,4060000005
5,9,ref-y.1.8.1.3.2.10-ref-y.1.8.1.3.2.26,ref-sifra.1.9.5-ref-sifra.1.9.16,702819,702908,106230,106242,ref-y.1.8.1.3.2.10,ref-y.1.8.1.3.2.26,1814,1878,306,317,ref-sifra.1.9.5,ref-sifra.1.9.16,ונתת הכסף בכל אשר תאוה נפשך כלל מעשר שני פרק ראשון בבקר בבקר ובצאן ביין ובשבר פרט ,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ,12,11,441.0,9.0,0.3048780487804878,0.375,4060000006
6,10,ref-y.2.2.3.1.3.4-ref-y.2.2.3.1.3.45,ref-sifra.1.9.5-ref-sifra.1.9.41,1135708,1135913,169158,169190,ref-y.2.2.3.1.3.4,ref-y.2.2.3.1.3.45,1814,2002,306,340,ref-sifra.1.9.5,ref-sifra.1.9.41,ונתת הכסף בכל אשר תאוה נפשך הרי זה כלל בבקר ובצאן ביין ובשכר הרי זה פרט ובכל אשר תשאלך נפשך חרי זה כלל אחר כלל ופרט וכלל ואין אתה דן אלא בעין הפרט לומר מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,32,34,847.0,9.0,0.15625,0.2068965517241379,4060000007
7,11,ref-y.4.6.6.6.1.155-ref-y.4.6.6.6.1.171,ref-sifra.1.9.7-ref-sifra.1.9.35,3396354,3396430,511584,511598,ref-y.4.6.6.6.1.155,ref-y.4.6.6.6.1.171,1826,1968,308,335,ref-sifra.1.9.7,ref-sifra.1.9.35,פרט לכל אשר יבטא חזר וכלל כלל ופרט וכלל אין אתה דן אלא כעין הפרט,בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה,15,28,4293.0,9.0,0.5476190476190477,0.5,4060000008
8,12,ref-y.4.6.3.5.2.61-ref-y.4.6.3.5.2.78,ref-sifra.1.9.7-ref-sifra.1.9.36,3360363,3360445,506285,506299,ref-y.4.6.3.5.2.61,ref-y.4.6.3.5.2.78,1826,1974,308,336,ref-sifra.1.9.7,ref-sifra.1.9.36,פרט לכל אשר יבטא חזר וכלל כלל ופרט וכלל אי אתה דן אלא בעין הפרט,בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט,15,29,4221.0,9.0,0.5648854961832062,0.5,4060000009
9,15,ref-y.1.8.1.3.2.32-ref-y.1.8.1.3.2.52,ref-sifra.1.9.23-ref-sifra.1.9.41,702933,703031,106245,106261,ref-y.1.8.1.3.2.32,ref-y.1.8.1.3.2.52,1910,2002,324,340,ref-sifra.1.9.23,ref-sifra.1.9.41,כלל אחר כלל ופרט וכלל אי אתה דן אלא בעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,16,16,442.0,9.0,0.10638297872340426,0.1875,4060000010
