,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifre-d,dam-lev,jac,id
0,0,ref-y.1.5.6.1.4.109-ref-y.1.5.6.1.4.114,ref-sifre-d.1.3.47-ref-sifre-d.1.3.52,479052,479077,73531,73536,ref-y.1.5.6.1.4.109,ref-y.1.5.6.1.4.114,670,695,110,115,ref-sifre-d.1.3.47,ref-sifre-d.1.3.52,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,5,5,319.0,0.0,0.0,0.0,4080000001
1,1,ref-y.3.7.1.8.4.111-ref-y.3.7.1.8.4.116,ref-sifre-d.1.3.47-ref-sifre-d.1.3.52,2881615,2881640,432021,432026,ref-y.3.7.1.8.4.111,ref-y.3.7.1.8.4.116,670,695,110,115,ref-sifre-d.1.3.47,ref-sifre-d.1.3.52,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,5,5,2175.0,0.0,0.0,0.0,4080000002
2,2,ref-y.2.9.1.1.12.64-ref-y.2.9.1.1.12.69,ref-sifre-d.1.3.64-ref-sifre-d.1.3.69,1743996,1744028,259891,259896,ref-y.2.9.1.1.12.64,ref-y.2.9.1.1.12.69,749,780,127,132,ref-sifre-d.1.3.64,ref-sifre-d.1.3.69,ועת צרה היא ליעקב וממנה יוושע,ההוא עת צרה ליעקב וממנה יושע,6,6,1065.0,2.0,0.3103448275862069,0.0,4080000003
3,4,ref-y.2.2.5.1.13.64-ref-y.2.2.5.1.13.76,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,1161850,1161910,172984,172996,ref-y.2.2.5.1.13.64,ref-y.2.2.5.1.13.76,1152,1179,186,191,ref-sifre-d.1.5.25,ref-sifre-d.1.5.30,הולך אל דרום וסוב אל צפון הולך אל דרום ביום וסובב אל צפון,הולך אל דרום וסובב אל צפון,13,6,670.0,4.0,0.543859649122807,0.2857142857142857,4080000004
4,6,ref-y.2.1.7.2.7.82-ref-y.2.1.7.2.7.104,ref-sifre-d.1.18.10-ref-sifre-d.1.18.27,993735,993853,148812,148830,ref-y.2.1.7.2.7.82,ref-y.2.1.7.2.7.104,3607,3694,598,612,ref-sifre-d.1.18.10,ref-sifre-d.1.18.27,הייתה ויצאת מן הכלל ללמד לומר מה הכערה מיוחדת מעשה יחידי וחייבין עליה בפני עצמה אף כל מעש' ומעש' שיש בו לחייב עליו ,לכל מה שעשיתם במעשה העגל קשה עלי מן הכל היה רבי אומר משל למה הדבר דומה לאחד שעשה ,18,14,640.0,6.0,0.7304347826086957,0.8666666666666667,4080000005
5,7,ref-y.2.4.1.1.5.93-ref-y.2.4.1.1.6.2,ref-sifre-d.1.18.111-ref-sifre-d.1.18.121,1495230,1495276,222686,222696,ref-y.2.4.1.1.5.93,ref-y.2.4.1.1.6.2,4112,4165,685,694,ref-sifre-d.1.18.111,ref-sifre-d.1.18.121,יבוא זהב של כפרת ויכפר על זהבו של עגל רבי חני ,יבוא זהב משכן ויכפר על זהב העגל ר' יוסי ברבי חנינא ,10,9,870.0,7.0,0.39215686274509803,0.5384615384615384,4080000006
6,8,ref-y.2.10.1.12.8.47-ref-y.2.10.1.12.8.53,ref-sifre-d.1.20.73-ref-sifre-d.1.20.80,1885438,1885471,281498,281504,ref-y.2.10.1.12.8.47,ref-y.2.10.1.12.8.53,4945,4987,821,828,ref-sifre-d.1.20.73,ref-sifre-d.1.20.80,מנוחה זו ירושלם זאת מנוחתי עדי עד ,מנוחתו אלא ירושלם שנאמר זאת מנוחתי עדי עד ,6,7,1163.0,8.0,0.2619047619047619,0.5,4080000007
7,9,ref-y.1.4.8.2.5.7-ref-y.1.4.8.2.5.12,ref-sifre-d.1.21.8-ref-sifre-d.1.21.13,432143,432176,66410,66415,ref-y.1.4.8.2.5.7,ref-y.1.4.8.2.5.12,5583,5616,926,931,ref-sifre-d.1.21.8,ref-sifre-d.1.21.13,וירכב אותו במרכבת המשנה אשר לו ,וירכב אותו במרכבת המשנה אשר לו ,5,5,289.0,9.0,0.0,0.0,4080000008
8,10,ref-y.2.10.1.12.8.23-ref-y.2.10.1.12.8.30,ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,1885328,1885361,281475,281481,ref-y.2.10.1.12.8.23,ref-y.2.10.1.12.8.30,6544,6584,1092,1099,ref-sifre-d.2.2.64,ref-sifre-d.2.2.72,כי לא באתם עד עתה אל המנוחה נחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,6,7,1163.0,10.0,0.13157894736842105,0.2857142857142857,4080000009
9,11,ref-y.2.9.4.5.4.24-ref-y.2.9.4.5.4.30,ref-sifre-d.2.3.110-ref-sifre-d.2.4.11,1815285,1815319,270919,270925,ref-y.2.9.4.5.4.24,ref-y.2.9.4.5.4.30,7461,7538,1250,1263,ref-sifre-d.2.3.110,ref-sifre-d.2.4.11,בעשתי עשרה שנה כאחד לחדש היה דבר ,"שהשנה י""ב חודש ד""א ויהי בארבעים שנה בעשתי עשר חודש באחד לחודש מלמד שלא ",6,13,1094.0,11.0,0.704225352112676,0.5833333333333333,4080000010
