,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifre-n,dam-lev,jac,id
0,0,ref-y.2.1.7.2.12.27-ref-y.2.1.7.2.12.34,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,996596,996639,149234,149241,ref-y.2.1.7.2.12.27,ref-y.2.1.7.2.12.34,1938,1976,253,260,ref-sifre-n.1.4.25,ref-sifre-n.1.4.32,בכלל היית' ויצאת מן הכלל לחילוק על הכלל ,היה בכלל ויצא מן הכלל ולמד על הכלל ,7,7,308.0,0.0,0.375,0.625,4070000001
1,1,ref-y.4.4.7.5.2.17-ref-y.4.4.7.5.2.24,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,3228289,3228328,485878,485885,ref-y.4.4.7.5.2.17,ref-y.4.4.7.5.2.24,1938,1976,253,260,ref-sifre-n.1.4.25,ref-sifre-n.1.4.32,בכלל היו ויצאו מן הכלל לחלוק על הכלל ,היה בכלל ויצא מן הכלל ולמד על הכלל ,7,7,1789.0,0.0,0.35135135135135137,0.33333333333333337,4070000002
2,2,ref-y.2.3.9.1.1.113-ref-y.2.3.9.1.1.126,ref-sifre-n.1.4.55-ref-sifre-n.1.4.65,1364361,1364427,202536,202547,ref-y.2.3.9.1.1.113,ref-y.2.3.9.1.1.126,2101,2158,283,293,ref-sifre-n.1.4.55,ref-sifre-n.1.4.65,טמא זיבה וטמא צרעת מניין תלמו' לומ' טמא מת ריבה מה תלמוד לומר טמא ,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא ,11,10,386.0,2.0,0.6060606060606061,0.875,4070000003
3,3,ref-y.4.6.2.1.7.48-ref-y.4.6.2.1.7.62,ref-sifre-n.1.4.55-ref-sifre-n.1.4.65,3349561,3349647,504625,504639,ref-y.4.6.2.1.7.48,ref-y.4.6.2.1.7.62,2101,2158,283,293,ref-sifre-n.1.4.55,ref-sifre-n.1.4.65,לטומאת המת תדחה לטומאת שרץ ולידיעתה ואין שם לטומאה קלה אצל טומאה חמורה נטמא במת,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא,15,11,1982.0,2.0,0.6455696202531646,0.875,4070000004
4,5,ref-y.1.8.2.4.5.1-ref-y.1.8.2.4.5.14,ref-sifre-n.1.4.60-ref-sifre-n.1.4.67,713395,713472,107740,107753,ref-y.1.8.2.4.5.1,ref-y.1.8.2.4.5.14,2128,2166,288,295,ref-sifre-n.1.4.60,ref-sifre-n.1.4.67,בטמאין טמא מת שאין בלי חרש מיטמא מאחוריו אבל בטמאין טומאת זיבה שהזב מיטמא,שמטמא בביאה כל שטמא מת מטמא זב מטמא,14,8,167.0,2.0,0.6164383561643836,0.6923076923076923,4070000005
5,7,ref-y.4.6.2.1.7.48-ref-y.4.6.2.1.7.62,ref-sifre-n.1.4.71-ref-sifre-n.1.4.84,3349561,3349647,504625,504639,ref-y.4.6.2.1.7.48,ref-y.4.6.2.1.7.62,2182,2242,299,312,ref-sifre-n.1.4.71,ref-sifre-n.1.4.84,לטומאת המת תדחה לטומאת שרץ ולידיעתה ואין שם לטומאה קלה אצל טומאה חמורה נטמא במת ,מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת ,14,13,1982.0,7.0,0.55,0.8823529411764706,4070000006
6,8,ref-y.2.12.3.2.7.13-ref-y.2.12.3.2.7.24,ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,1976690,1976764,295732,295743,ref-y.2.12.3.2.7.13,ref-y.2.12.3.2.7.24,2266,2338,317,328,ref-sifre-n.1.4.90,ref-sifre-n.1.4.102,מחוסר כיפורים שאינו פוסל בתרומה הרי פוסל בקודש רביעי שהוא פוסל בתרומה ,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,11,11,880.0,8.0,0.44285714285714284,0.75,4070000007
7,9,ref-y.2.12.3.2.7.217-ref-y.2.12.3.2.7.229,ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,1977768,1977846,295879,295891,ref-y.2.12.3.2.7.217,ref-y.2.12.3.2.7.229,2266,2338,317,328,ref-sifre-n.1.4.90,ref-sifre-n.1.4.102,מחוסר כיפורים שאינו פוסל בתרומה הרי הו' פוסל בקודש שלישי שהוא פוסל בתרומה ,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,12,11,881.0,8.0,0.44594594594594594,0.7647058823529411,4070000008
8,10,ref-y.2.10.1.8.3.72-ref-y.2.10.1.8.3.83,ref-sifre-n.1.5.287-ref-sifre-n.1.5.294,1857731,1857790,277214,277222,ref-y.2.10.1.8.3.72,ref-y.2.10.1.8.3.83,3793,3833,519,524,ref-sifre-n.1.5.287,ref-sifre-n.1.5.294,אל תתמה על מי שפרחה בכולו שאף על פי שטהר וסימני מטמאיו ,ואל תתמה בכלים שאף על פי שאין מטמאים ,8,5,739.0,10.0,0.4727272727272727,0.36363636363636365,4070000009
9,11,ref-y.4.1.5.6.1.9-ref-y.4.1.5.6.1.16,ref-sifre-n.2.1.124-ref-sifre-n.2.1.132,2990096,2990129,448720,448727,ref-y.4.1.5.6.1.9,ref-y.4.1.5.6.1.16,5892,5928,849,857,ref-sifre-n.2.1.124,ref-sifre-n.2.1.132,כי יפתח איש בור וכי יכרה איש בור ,וכי יפתח איש בור או כי יכרה איש בור ,7,8,1545.0,11.0,0.08333333333333333,0.0,4070000010
10,12,ref-y.3.5.9.5.3.51-ref-y.3.5.9.5.3.66,ref-sifre-n.2.1.235-ref-sifre-n.2.1.249,2347328,2347404,351409,351422,ref-y.3.5.9.5.3.51,ref-y.3.5.9.5.3.66,6445,6520,933,947,ref-sifre-n.2.1.235,ref-sifre-n.2.1.249,עול עול לגזירה שוה מה עול האמור בעגלה עשה בה שאר כל העבודות כעול אף עול ,במעלו אשר מעל בה' ואומר בעוזיה צא מן המקדש כי מעלת ואומר ומעלה בו מעל ,13,14,1180.0,12.0,0.6805555555555556,0.8235294117647058,4070000011
11,13,ref-y.2.5.5.4.4.150-ref-y.2.5.5.4.4.171,ref-sifre-n.2.1.245-ref-sifre-n.2.1.252,1452181,1452299,216173,216194,ref-y.2.5.5.4.4.150,ref-y.2.5.5.4.4.171,6495,6533,943,950,ref-sifre-n.2.1.245,ref-sifre-n.2.1.252,למעלן מה דמים אמורין בו למטה שבע אף דמים אמורין בו למעלן שבע נראה למי דומה דנין שלמעלן משלמעלן ואין דנין שלמעלן ,מעלת ואומר ומעלה בו מעל הא אין מעילה ,21,7,444.0,12.0,0.7410714285714286,0.9230769230769231,4070000012
12,14,ref-y.2.4.7.3.8.10-ref-y.2.4.7.3.8.25,ref-sifre-n.2.1.245-ref-sifre-n.2.1.252,1568679,1568760,233837,233852,ref-y.2.4.7.3.8.10,ref-y.2.4.7.3.8.25,6495,6533,943,950,ref-sifre-n.2.1.245,ref-sifre-n.2.1.252,שימעלו בה והן גזרו שלא ימעלו בה והא תני חטאת מלמד שמועלין בה בה מועלין ואין ,מעלת ואומר ומעלה בו מעל הא אין מעילה ,15,7,579.0,12.0,0.6842105263157895,0.8181818181818181,4070000013
13,15,ref-y.4.1.9.9.1.56-ref-y.4.1.9.9.1.80,ref-sifre-n.3.1.153-ref-sifre-n.4.1.43,3013820,3013952,452445,452463,ref-y.4.1.9.9.1.56,ref-y.4.1.9.9.1.80,8194,8428,1208,1241,ref-sifre-n.3.1.153,ref-sifre-n.4.1.43,בגוזל את הגר ונשבע לו ומת שמשלם קרן וחומש לכחנים ואשם למזבח שנאמר ואם אין לאיש גואל וגו' אין,אשם לו מכל מקום ואם אין לאיש גואל ר' ישמעאל אמר וכי יש לך אדם בישראל שאין לו גואל ומה תלמוד לומר ואם אין לאיש גואל בא הכתוב ולימד על הגוזל הגר ונשבע לו,19,34,1550.0,15.0,0.6688741721854304,0.75,4070000014
14,17,ref-y.4.1.9.9.1.24-ref-y.4.1.9.9.1.39,ref-sifre-n.4.1.19-ref-sifre-n.4.1.43,3013648,3013735,452417,452428,ref-y.4.1.9.9.1.24,ref-y.4.1.9.9.1.39,8298,8428,1224,1241,ref-sifre-n.4.1.19,ref-sifre-n.4.1.43,בגוזל את הגר ונשבע לו ומת שמשלם קרן וחומש לכחנים ואשם למזבח,ואם אין לאיש גואל בא הכתוב ולימד על הגוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם,12,18,1548.0,15.0,0.5,0.631578947368421,4070000015
