,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6043,ref-b.01.01.01.3a.6.35-ref-b.01.01.01.3a.6.39,ref-mek.3.10.1.243-ref-mek.3.10.1.246,3472,3499,480,484,ref-b.00001.00001.00001.0003a.00006.00035,ref-b.00001.00001.00001.0003a.00006.00039,174506,174525,28599,28602,ref-mek.00003.00010.00001.00243,ref-mek.00003.00010.00001.00246,ה' ממרום ישאג וממעון קדשו ,ה' ממרום ישאג מקדש ,ref-mek
6044,ref-b.01.01.01.3b.15.12-ref-b.01.01.01.3b.15.19,ref-mek.1.14.2.5-ref-mek.1.14.2.12,6194,6233,892,899,ref-b.00001.00001.00001.0003b.00015.00012,ref-b.00001.00001.00001.0003b.00015.00019,48602,48643,7569,7576,ref-mek.00001.00014.00002.00005,ref-mek.00001.00014.00002.00012,שלש שעות שכן דרך מלכים לעמוד בשלש שעות ,בשלש שעות שכן דרך מלכים לעמוד בשלש שעות ,ref-mek
6045,ref-b.01.01.01.4a.14.35-ref-b.01.01.01.4a.14.40,ref-mek.4.4.2.242-ref-mek.4.4.2.247,9783,9816,1439,1444,ref-b.00001.00001.00001.0004a.00014.00035,ref-b.00001.00001.00001.0004a.00014.00040,190658,190692,31275,31280,ref-mek.00004.00004.00002.00242,ref-mek.00004.00004.00002.00247,משלם שכר טוב לצדיקים לעתיד לבוא ,שישלם שכר טוב לצדיקים לעתיד לבא ,ref-mek
6046,ref-b.01.01.01.4a.16.11-ref-b.01.01.01.4a.16.21,ref-mek.5.2.1.1001-ref-mek.5.2.1.1012,9922,9981,1458,1468,ref-b.00001.00001.00001.0004a.00016.00011,ref-b.00001.00001.00001.0004a.00016.00021,215225,215294,35398,35409,ref-mek.00005.00002.00001.01001,ref-mek.00005.00002.00001.01012,והנה אנכי עמך ושמרתיך בכל אשר תלך וכתיב ויירא יעקב מאד ,והנה אנכי עמך ושמרתיך והוא היה מפחד ויירא שנאמר ויירא יעקב מאד ,ref-mek
6047,ref-b.01.01.01.4a.17.2-ref-b.01.01.01.4a.18.13,ref-mek.3.9.5.137-ref-mek.3.9.5.144,10010,10095,1474,1490,ref-b.00001.00001.00001.0004a.00017.00002,ref-b.00001.00001.00001.0004a.00018.00013,172773,172803,28303,28310,ref-mek.00003.00009.00005.00137,ref-mek.00003.00009.00005.00144,עד יעבר עמך ה' עד יעבר עם_זו_קנית עד יעבר עמך ה' זו ביאה ראשונה עד יעבר עם_זו_קנית זו ,עד יעבור עמך ה' עד יעבור עם זו ,ref-mek
6048,ref-b.01.01.01.4b.2.8-ref-b.01.01.01.4b.2.21,ref-mek.1.7.2.75-ref-mek.1.7.2.87,10390,10465,1532,1544,ref-b.00001.00001.00001.0004b.00002.00008,ref-b.00001.00001.00001.0004b.00002.00021,21058,21129,3373,3385,ref-mek.00001.00007.00002.00075,ref-mek.00001.00007.00002.00087,אמרי עד חצות כדי להרחיק את האדם מן העבירה כדתניא חכמים עשו סייג לדבריהם ,אמרו עד חצות כדי להרחיק אדם מן העבירה ולעשות סייג לתורה ולקיים דברי ,ref-mek
6049,ref-b.01.01.01.5a.4.17-ref-b.01.01.01.5a.4.23,ref-mek.2.2.7.58-ref-mek.2.2.7.65,13822,13865,2017,2023,ref-b.00001.00001.00001.0005a.00004.00017,ref-b.00001.00001.00001.0005a.00004.00023,101988,102035,16258,16265,ref-mek.00002.00002.00007.00058,ref-mek.00002.00002.00007.00065,שנאמר רוממות אל בגרונם וחרב פיפיות בידם ,שנאמר רוממות אל בגרונם במקום חרב פיפיות בידם ,ref-mek
6050,ref-b.01.01.01.5a.4.18-ref-b.01.01.01.5a.4.40,ref-mek.1.15.1.185-ref-mek.1.15.1.194,13829,13961,2018,2034,ref-b.00001.00001.00001.0005a.00004.00018,ref-b.00001.00001.00001.0005a.00004.00040,53284,53345,8334,8343,ref-mek.00001.00015.00001.00185,ref-mek.00001.00015.00001.00194,רוממות אל בגרונם וחרב פיפיות בידם מאי_משמע_אמר מר_זוטרא_ואיתימא_רב_אשי מרישא דענינא דכתיב יעלזו חסידים בכבוד ירננו על משכבותם ,וכתיב יעלזו חסידים בכבוד ירננו על משכבותם רוממות אל בגרונם ,ref-mek
6051,ref-b.01.01.01.5a.4.43-ref-b.01.01.01.5a.5.8,ref-mek.2.2.7.59-ref-mek.2.2.7.67,13975,14049,2037,2045,ref-b.00001.00001.00001.0005a.00004.00043,ref-b.00001.00001.00001.0005a.00005.00008,101995,102043,16259,16267,ref-mek.00002.00002.00007.00059,ref-mek.00002.00002.00007.00067,רוממות אל בגרונם וחרב פיפיות בידם ואמר_רבי_יצחק_כל הקורא_קריאת_שמע על ,רוממות אל בגרונם במקום חרב פיפיות בידם רומה על ,ref-mek
6052,ref-b.01.01.01.5a.7.24-ref-b.01.01.01.5a.7.40,ref-mek.4.1.5.52-ref-mek.4.1.5.75,14512,14599,2114,2128,ref-b.00001.00001.00001.0005a.00007.00024,ref-b.00001.00001.00001.0005a.00007.00040,182576,182693,29972,29993,ref-mek.00004.00001.00005.00052,ref-mek.00004.00001.00005.00075,והאזנת למצותיו ושמרת כל חקיו כל המחלה אשר שמתי במצרים לא אשים עליך כי_אני_ה' רופאך ,והאזנת למצותיו אלו גזרות ושמרת כל חקיו אלו הלכות כל המחלה אשר שמתי במצרים לא אשים עליך הא אם אשים כי_אני_ה' רפאך ,ref-mek
