,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6869,ref-b.01.01.01.2a.13.21-ref-b.01.01.01.2a.13.25,ref-sifra.12.04-04.7.13-ref-sifra.12.04-04.7.18,691,717,102,106,ref-b.00001.00001.00001.0002a.00013.00021,ref-b.00001.00001.00001.0002a.00013.00025,551908,551937,84302,84307,ref-sifra.00012.04-04.00007.00013,ref-sifra.00012.04-04.00007.00018,ובא השמש וטהר ביאת שמשו ,ובא השמש וטהר מה ביאת שמשו ,ref-sifra
6870,ref-b.01.01.01.2a.13.21-ref-b.01.01.01.2a.14.6,ref-sifra.12.04-04.7.13-ref-sifra.12.04-04.9.3,691,810,102,120,ref-b.00001.00001.00001.0002a.00013.00021,ref-b.00001.00001.00001.0002a.00014.00006,551908,552067,84302,84329,ref-sifra.00012.04-04.00007.00013,ref-sifra.00012.04-04.00009.00003,ובא השמש וטהר ביאת שמשו מעכבתו מלאכול בתרומה ואין כפרתו מעכבתו מלאכול בתרומה וממאי דהאי ובא השמש ביאת השמש ,ובא השמש וטהר מה ביאת שמשו כולו כאחת אף במים כולו כאחת ובא השמש וטהר ביאת שמשו מעכבתו מלאכול בתרומה ואין כפרתו מעכבתו מלאכול בתרומה ואחר יאכל מן ,ref-sifra
6871,ref-b.01.01.01.5a.19.1-ref-b.01.01.01.5a.19.29,ref-sifra.12.03-03.10.3-ref-sifra.12.03-03.10.27,16168,16330,2345,2366,ref-b.00001.00001.00001.0005a.00019.00001,ref-b.00001.00001.00001.0005a.00019.00029,544924,545050,83429,83453,ref-sifra.00012.03-03.00010.00003,ref-sifra.00012.03-03.00010.00027,והיינו דרבי שמעון_בן_לקיש_דאמר_רבי_שמעון_בן_לקיש נאמר ברית במלח ונאמר ברית ביסורין נאמר ברית במלח דכתיב ולא תשבית מלח ברית ונאמר ברית ביסורין דכתיב אלה ,אל הפרוכת למה נאמר אל המזבח ואם נאמר אל המזבח למה נאמר אל הפרוכת שאילו נאמר אל הפרוכת ולא נאמר אל המזבח הייתי אומר אל ,ref-sifra
6872,ref-b.01.01.01.5a.19.1-ref-b.01.01.01.5a.19.25,ref-sifra.12.03-03.10.42-ref-sifra.12.03-03.10.54,16168,16305,2345,2362,ref-b.00001.00001.00001.0005a.00019.00001,ref-b.00001.00001.00001.0005a.00019.00025,545129,545195,83466,83478,ref-sifra.00012.03-03.00010.00042,ref-sifra.00012.03-03.00010.00054,והיינו דרבי שמעון_בן_לקיש_דאמר_רבי_שמעון_בן_לקיש נאמר ברית במלח ונאמר ברית ביסורין נאמר ברית במלח דכתיב ולא תשבית מלח ברית ונאמר ,אל המזבח ואילו נאמר אל המזבח ולא נאמר אל הפרוכת הייתי אומר אל ,ref-sifra
6873,ref-b.01.01.01.5a.19.11-ref-b.01.01.01.5a.19.34,ref-sifra.11.02-05.6.9-ref-sifra.11.02-05.6.21,16219,16357,2348,2371,ref-b.00001.00001.00001.0005a.00019.00011,ref-b.00001.00001.00001.0005a.00019.00034,497917,497975,76238,76250,ref-sifra.00011.02-05.00006.00009,ref-sifra.00011.02-05.00006.00021,נאמר ברית במלח ונאמר ברית ביסורין נאמר ברית במלח דכתיב ולא תשבית מלח ברית ונאמר ברית ביסורין דכתיב אלה דברי הברית מה ברית האמור ,איל אשם נאמר כאן איל אשם ונאמר להלן איל אשם מה איל האמור ,ref-sifra
6874,ref-b.01.01.01.5a.19.21-ref-b.01.01.01.5a.19.34,ref-sifra.2.12-14.6.52-ref-sifra.2.12-14.6.69,16279,16357,2358,2371,ref-b.00001.00001.00001.0005a.00019.00021,ref-b.00001.00001.00001.0005a.00019.00034,64672,64762,9692,9705,ref-sifra.00002.12-14.00006.00052,ref-sifra.00002.12-14.00006.00069,ולא תשבית מלח ברית ונאמר ברית ביסורין דכתיב אלה דברי הברית מה ברית האמור ,ולא תשבית מלח ברית אלהיך מעל מנחתך ולהלן_הוא_אומר מאת_בני_ישראל ברית עולם מה ברית אמורה ,ref-sifra
6875,ref-b.01.01.01.5b.14.35-ref-b.01.01.01.5b.14.42,ref-sifra.2.07-09.7.65-ref-sifra.2.07-09.7.73,18058,18108,2622,2629,ref-b.00001.00001.00001.0005b.00014.00035,ref-b.00001.00001.00001.0005b.00014.00042,43626,43677,6612,6619,ref-sifra.00002.07-09.00007.00065,ref-sifra.00002.07-09.00007.00073,אחד המרבה ואחד הממעיט ובלבד שיכוין לבו לשמים ,שאחד מרבה ואחד ממעט ובלבד שיכוין את דעתו לשמים ,ref-sifra
6876,ref-b.01.01.01.6b.2.27-ref-b.01.01.01.6b.3.3,ref-sifra.3.01-00.5.3-ref-sifra.3.01-00.5.19,22793,22851,3305,3317,ref-b.00001.00001.00001.0006b.00002.00027,ref-b.00001.00001.00001.0006b.00003.00003,83131,83210,12235,12248,ref-sifra.00003.01-00.00005.00003,ref-sifra.00003.01-00.00005.00019,ה' שמע בקול עבדו אשר הלך חשכים ואין נגה לו אם לדבר מצוה ,ולא מצות המלך ולא מצות בית דין מכל_מצות_השם ולא כל מצות ה' פרט לשמיעת קול ,ref-sifra
6877,ref-b.01.01.01.10a.23.16-ref-b.01.01.01.10a.23.37,ref-sifra.10.05-07.2.38-ref-sifra.10.05-07.2.48,48957,49066,7053,7062,ref-b.00001.00001.00001.0010a.00023.00016,ref-b.00001.00001.00001.0010a.00023.00037,451140,451198,69022,69030,ref-sifra.00010.05-07.00002.00038,ref-sifra.00010.05-07.00002.00048,אין לבלותך שלא_כמדת_הקדוש_ברוך_הוא_מדת_בשר_ודם_מדת_בשר_ודם מעשה ידיו מבלין אותו והקדוש_ברוך_הוא מבלה מעשיו ,הנבלות שהן בלא תעשה ולא_ארבה_את החולין שאינם בלא תעשה ,ref-sifra
6878,ref-b.01.01.02.14b.6.11-ref-b.01.01.02.14b.7.8,ref-sifra.5.03-00.3.22-ref-sifra.5.03-00.3.34,72440,72514,10308,10319,ref-b.00001.00001.00002.0014b.00006.00011,ref-b.00001.00001.00002.0014b.00007.00008,268304,268380,39807,39817,ref-sifra.00005.03-00.00003.00022,ref-sifra.00005.03-00.00003.00034,התחלה עד דאמר ועשו להם ציצית אמר_אביי_הלכך אנן אתחולי מתחלינן דקא מתחלי ,נחלים נחלים נחלים נחלים לגזירה_שוה_מה ימים ונחלים האמורים לענין היתר עשה ,ref-sifra
