,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
8279,ref-b.01.01.01.2a.13.21-ref-b.01.01.01.2a.13.26,ref-sifre-d.256.2.1-ref-sifre-d.256.2.6,691,724,102,107,ref-b.00001.00001.00001.0002a.00013.00021,ref-b.00001.00001.00001.0002a.00013.00026,249076,249110,41825,41830,ref-sifre-d.00256.00002.00001,ref-sifre-d.00256.00002.00006,ובא השמש וטהר ביאת שמשו מעכבתו ,וכבוא השמש יבוא ביאת שמשו מעכבתו ,ref-sifre-d
8280,ref-b.01.01.01.3a.13.3-ref-b.01.01.01.3a.13.14,ref-sifre-d.306.1.274-ref-sifre-d.306.1.287,4631,4711,660,671,ref-b.00001.00001.00001.0003a.00013.00003,ref-b.00001.00001.00001.0003a.00013.00014,296104,296174,49889,49902,ref-sifre-d.00306.00001.00274,ref-sifre-d.00306.00001.00287,למדתי ממנו שלשה דברים למדתי שאין נכנסין לחורבה ולמדתי שמתפללין בדרך ולמדתי ,ללמד מן הנמלה אלו למד ועשה עלוב היה אלא שצריך ללמד מדרכיה ולא למד ,ref-sifre-d
8281,ref-b.01.01.01.4a.13.2-ref-b.01.01.01.4a.13.20,ref-sifre-d.48.10.91-ref-sifre-d.48.10.106,9521,9610,1397,1415,ref-b.00001.00001.00001.0004a.00013.00002,ref-b.00001.00001.00001.0004a.00013.00020,95181,95254,16055,16070,ref-sifre-d.00048.00010.00091,ref-sifre-d.00048.00010.00106,אמר שלמה בחכמתו בני אם חכם לבך ישמח לבי גם אני ואומר חכם בני ושמח לבי ואשיבה חרפי דבר ,חכם בני ושמח לבי ואשיבה חורפי דבר ואומר בני אם חכם לבך ישמח לבי גם אני ,ref-sifre-d
8282,ref-b.01.01.01.4b.3.1-ref-b.01.01.01.4b.4.13,ref-sifre-d.72.6.2-ref-sifre-d.72.7.7,10751,10851,1591,1604,ref-b.00001.00001.00001.0004b.00003.00001,ref-b.00001.00001.00001.0004b.00004.00013,117457,117576,19794,19814,ref-sifre-d.00072.00006.00002,ref-sifre-d.00072.00007.00007,וכל העובר על_דברי_חכמים חייב מיתה מאי שנא בכל דוכתא דלא קתני חייב מיתה ומאי_שנא_הכא_דקתני חייב ,"הנותן במתנה יהא חייב ת""ל לא תוכל לאכול בשעריך האוכל חייב ואין הנותן במתנה חייב רבי יוסי אומר יכול לא יהיו חייבים ",ref-sifre-d
8283,ref-b.01.01.01.5a.5.32-ref-b.01.01.01.5a.5.35,ref-sifre-d.321.4.1-ref-sifre-d.321.4.4,14180,14198,2067,2070,ref-b.00001.00001.00001.0005a.00005.00032,ref-b.00001.00001.00001.0005a.00005.00035,332666,332685,56047,56050,ref-sifre-d.00321.00004.00001,ref-sifre-d.00321.00004.00004,מזי רעב ולחמי רשף ,מזי רעב ולחומי רשף ,ref-sifre-d
8284,ref-b.01.01.01.5a.5.32-ref-b.01.01.01.5a.5.35,ref-sifre-d.342.1.11-ref-sifre-d.342.1.14,14180,14198,2067,2070,ref-b.00001.00001.00001.0005a.00005.00032,ref-b.00001.00001.00001.0005a.00005.00035,351497,351516,59300,59303,ref-sifre-d.00342.00001.00011,ref-sifre-d.00342.00001.00014,מזי רעב ולחמי רשף ,מזי רעב ולחומי רשף ,ref-sifre-d
8285,ref-b.01.01.01.5a.6.31-ref-b.01.01.01.5a.6.34,ref-sifre-d.321.4.1-ref-sifre-d.321.4.4,14373,14391,2095,2098,ref-b.00001.00001.00001.0005a.00006.00031,ref-b.00001.00001.00001.0005a.00006.00034,332666,332685,56047,56050,ref-sifre-d.00321.00004.00001,ref-sifre-d.00321.00004.00004,מזי רעב ולחמי רשף ,מזי רעב ולחומי רשף ,ref-sifre-d
8286,ref-b.01.01.01.5a.6.31-ref-b.01.01.01.5a.6.34,ref-sifre-d.342.1.11-ref-sifre-d.342.1.14,14373,14391,2095,2098,ref-b.00001.00001.00001.0005a.00006.00031,ref-b.00001.00001.00001.0005a.00006.00034,351497,351516,59300,59303,ref-sifre-d.00342.00001.00011,ref-sifre-d.00342.00001.00014,מזי רעב ולחמי רשף ,מזי רעב ולחומי רשף ,ref-sifre-d
8287,ref-b.01.01.01.5a.8.28-ref-b.01.01.01.5a.8.49,ref-sifre-d.43.35.26-ref-sifre-d.43.35.32,14927,15033,2165,2177,ref-b.00001.00001.00001.0005a.00008.00028,ref-b.00001.00001.00001.0005a.00008.00049,85631,85663,14483,14489,ref-sifre-d.00043.00035.00026,ref-sifre-d.00043.00035.00032,ולוקח שמח אבל_הקדוש_ברוך_הוא_אינו_כן נתן להם תורה לישראל ושמח שנאמר כי_לקח_טוב_נתתי_לכם תורתי אל תעזבו ,לקח טוב נתתי לכם תורתי אל תעזובו ,ref-sifre-d
8288,ref-b.01.01.01.5a.9.27-ref-b.01.01.01.5a.9.34,ref-sifre-d.32.14.7-ref-sifre-d.32.14.14,15177,15224,2199,2206,ref-b.00001.00001.00001.0005a.00009.00027,ref-b.00001.00001.00001.0005a.00009.00034,42857,42905,7258,7265,ref-sifre-d.00032.00014.00007,ref-sifre-d.00032.00014.00014,שנאמר אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,ואומר אשרי הגבר אשר תייסרנו יה ומתורתך תלמדנו ,ref-sifre-d
