,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
9055,ref-b.01.01.01.4a.10.9-ref-b.01.01.01.4a.10.14,ref-sifre-n.119.2.333-ref-sifre-n.119.2.338,9274,9309,1358,1363,ref-b.00001.00001.00001.0004a.00010.00009,ref-b.00001.00001.00001.0004a.00010.00014,197152,197188,31277,31282,ref-sifre-n.00119.00002.00333,ref-sifre-n.00119.00002.00338,ואדברה בעדתיך נגד מלכים ולא אבוש ,ואדברה בעדותיך נגד מלכים ולא אבוש ,ref-sifre-n
9056,ref-b.01.01.01.5a.7.14-ref-b.01.01.01.5a.7.27,ref-sifre-n.40.1.117-ref-sifre-n.40.1.132,14457,14538,2106,2117,ref-b.00001.00001.00001.0005a.00007.00014,ref-b.00001.00001.00001.0005a.00007.00027,64817,64899,9399,9412,ref-sifre-n.00040.00001.00117,ref-sifre-n.00040.00001.00132,ויאמר אם_שמוע_תשמע לקול ה' אלהיך והישר בעיניו תעשה והאזנת למצותיו ושמרת כל ,יצוה לך לשמרך בכל דרכיך דבר_אחר_וישמרך ישמור לך ברית אבותיך שנאמר ושמר ה' אלהיך ,ref-sifre-n
9057,ref-b.01.01.01.5a.7.18-ref-b.01.01.01.5a.7.23,ref-sifre-n.136.2.69-ref-sifre-n.136.2.74,14477,14511,2108,2113,ref-b.00001.00001.00001.0005a.00007.00018,ref-b.00001.00001.00001.0005a.00007.00023,246779,246813,39414,39419,ref-sifre-n.00136.00002.00069,ref-sifre-n.00136.00002.00074,לקול ה' אלהיך והישר בעיניו תעשה ,בקול ה' אלהיך והישר בעיניו תעשה ,ref-sifre-n
9058,ref-b.01.01.01.6a.18.11-ref-b.01.01.01.6a.18.17,ref-sifre-n.42.2.422-ref-sifre-n.42.2.428,21745,21778,3170,3176,ref-b.00001.00001.00001.0006a.00018.00011,ref-b.00001.00001.00001.0006a.00018.00017,68628,68660,10003,10009,ref-sifre-n.00042.00002.00422,ref-sifre-n.00042.00002.00428,אלו תפילין שנאמר ה' עז לעמו יתן ,אלא שלום שנאמר ה' עוז לעמו יתן ,ref-sifre-n
9059,ref-b.01.01.01.6a.18.13-ref-b.01.01.01.6a.18.17,ref-sifre-n.42.2.294-ref-sifre-n.42.2.298,21756,21778,3172,3176,ref-b.00001.00001.00001.0006a.00018.00013,ref-b.00001.00001.00001.0006a.00018.00017,67967,67990,9888,9892,ref-sifre-n.00042.00002.00294,ref-sifre-n.00042.00002.00298,שנאמר ה' עז לעמו יתן ,שנאמר ה' עוז לעמו יתן ,ref-sifre-n
9060,ref-b.01.01.01.6a.18.13-ref-b.01.01.01.6a.18.17,ref-sifre-n.42.2.350-ref-sifre-n.42.2.354,21756,21778,3172,3176,ref-b.00001.00001.00001.0006a.00018.00013,ref-b.00001.00001.00001.0006a.00018.00017,68241,68264,9935,9939,ref-sifre-n.00042.00002.00350,ref-sifre-n.00042.00002.00354,שנאמר ה' עז לעמו יתן ,שנאמר ה' עוז לעמו יתן ,ref-sifre-n
9061,ref-b.01.01.01.6b.26.30-ref-b.01.01.01.6b.27.4,ref-sifre-n.85.1.237-ref-sifre-n.85.1.240,24846,24877,3606,3611,ref-b.00001.00001.00001.0006b.00026.00030,ref-b.00001.00001.00001.0006b.00027.00004,118636,118656,18224,18227,ref-sifre-n.00085.00001.00237,ref-sifre-n.00085.00001.00240,ה' ענני ענני שתרד אש מן השמים ,ה' ירדה אש מן השמים ,ref-sifre-n
9062,ref-b.01.01.01.6b.34.15-ref-b.01.01.01.6b.35.5,ref-sifre-n.119.5.28-ref-sifre-n.119.5.44,25708,25771,3738,3749,ref-b.00001.00001.00001.0006b.00034.00015,ref-b.00001.00001.00001.0006b.00035.00005,198393,198472,31491,31505,ref-sifre-n.00119.00005.00028,ref-sifre-n.00119.00005.00044,שנאמר סוף דבר הכל נשמע את האלהים ירא וגו' מאי כי זה כל האדם ,ואומר קהלת יב סוף דבר הכל נשמע את האלהים ירא ואת מצותיו שמור כי זה כל האדם ,ref-sifre-n
9063,ref-b.01.01.01.7a.29.15-ref-b.01.01.01.7a.29.27,ref-sifre-n.41.1.57-ref-sifre-n.41.1.64,29559,29617,4327,4334,ref-b.00001.00001.00001.0007a.00029.00015,ref-b.00001.00001.00001.0007a.00029.00027,65674,65713,9533,9538,ref-sifre-n.00041.00001.00057,ref-sifre-n.00041.00001.00064,וחנתי את אשר אחון אף_על_פי_שאינו הגון ורחמתי את אשר ארחם ,וחנותי את אשר אחון ורחמתי את אשר ארחם ,ref-sifre-n
9064,ref-b.01.01.01.8a.1.6-ref-b.01.01.01.8a.2.12,ref-sifre-n.137.2.169-ref-sifre-n.137.2.174,34127,34229,4991,5004,ref-b.00001.00001.00001.0008a.00001.00006,ref-b.00001.00001.00001.0008a.00002.00012,248098,248130,39650,39655,ref-sifre-n.00137.00002.00169,ref-sifre-n.00137.00002.00174,ה' עת רצון אימתי עת רצון בשעה שהצבור מתפללין רבי_יוסי_ברבי_חנינא_אמר_מהכא כה_אמר_ה' בעת רצון עניתיך ,ה' בעת רצון עניתיך וביום ישועה ,ref-sifre-n
9065,ref-b.01.01.01.8a.4.12-ref-b.01.01.01.8a.4.21,ref-sifre-n.135.1.41-ref-sifre-n.135.1.52,34382,34430,5023,5032,ref-b.00001.00001.00001.0008a.00004.00012,ref-b.00001.00001.00001.0008a.00004.00021,244051,244101,38940,38951,ref-sifre-n.00135.00001.00041,ref-sifre-n.00135.00001.00052,מואס בתפלתן של רבים שנאמר הן אל כביר ולא ימאס ,"הן אל כביר לא ימאס תם אין הקב""ה מואס תפלתם של רבים ",ref-sifre-n
9066,ref-b.01.01.01.9a.18.11-ref-b.01.01.01.9a.18.18,ref-sifre-n.118.1.750-ref-sifre-n.118.1.757,41934,41979,6014,6021,ref-b.00001.00001.00001.0009a.00018.00011,ref-b.00001.00001.00001.0009a.00018.00018,192579,192624,30555,30562,ref-sifre-n.00118.00001.00750,ref-sifre-n.00118.00001.00757,קדשים קלים ושלמים קדשים קלים מה שלמים נאכלין ,קדשים קלים ושלמים קדשים קלים מה שלמים נאכלים ,ref-sifre-n
9067,ref-b.01.01.01.9b.29.22-ref-b.01.01.01.9b.29.29,ref-sifre-n.117.1.90-ref-sifre-n.117.1.97,46166,46209,6630,6636,ref-b.00001.00001.00001.0009b.00029.00022,ref-b.00001.00001.00001.0009b.00029.00029,183727,183770,29146,29152,ref-sifre-n.00117.00001.00090,ref-sifre-n.00117.00001.00097,שנאמר יתמו חטאים מן הארץ ורשעים עוד אינם ,ואומר יתמו חטאים מן הארץ ורשעים עוד אינם ,ref-sifre-n
9068,ref-b.01.01.01.10a.18.5-ref-b.01.01.01.10a.18.14,ref-sifre-n.117.1.90-ref-sifre-n.117.1.97,48136,48190,6938,6946,ref-b.00001.00001.00001.0010a.00018.00005,ref-b.00001.00001.00001.0010a.00018.00014,183727,183770,29146,29152,ref-sifre-n.00117.00001.00090,ref-sifre-n.00117.00001.00097,ואמר שירה שנאמר יתמו חטאים מן הארץ ורשעים עוד אינם ,ואומר יתמו חטאים מן הארץ ורשעים עוד אינם ,ref-sifre-n
9069,ref-b.01.01.01.11b.2.1-ref-b.01.01.01.11b.4.6,ref-sifre-n.42.2.661-ref-sifre-n.42.2.671,57028,57099,8171,8183,ref-b.00001.00001.00001.0011b.00002.00001,ref-b.00001.00001.00001.0011b.00004.00006,69951,70005,10222,10231,ref-sifre-n.00042.00002.00661,ref-sifre-n.00042.00002.00671,לימא יוצר אור ובורא נוגה כדכתיב קאמרינן אלא מעתה עשה שלום ובורא רע ,שנאמר כי הנה יוצר הרים ובורא רוח עושה שלום ובורא רע ,ref-sifre-n
9070,ref-b.01.01.01.12b.21.8-ref-b.01.01.01.12b.21.15,ref-sifre-n.115.1.660-ref-sifre-n.115.1.667,63635,63674,9131,9137,ref-b.00001.00001.00001.0012b.00021.00008,ref-b.00001.00001.00001.0012b.00021.00015,173416,173465,27429,27436,ref-sifre-n.00115.00001.00660,ref-sifre-n.00115.00001.00667,וראיתם אתו וזכרתם את כל מצות ה' ציצית ,וראיתם אותו וזכרתם מגיד שכל המקיים מצות ציצית ,ref-sifre-n
