,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-bible.0101.1.1.1-ref-bible.0101.1.3.4,ref-b.02.12.02.12a.6.4-ref-b.02.12.02.12a.6.31,0,127,0,19,ref-bible.00101.00001.00001.00001,ref-bible.00101.00001.00003.00004,2790425,2790570,384850,384873,ref-b.00002.00012.00002.0012a.00006.00004,ref-b.00002.00012.00002.0012a.00006.00031,בראשית ברא אלהים את_השמים_ואת_הארץ והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים ויאמר אלהים יהי אור ,בראשית ברא אלהים את_השמים_ואת_הארץ תהו ובהו דכתיב והארץ היתה תהו ובהו אור וחשך חשך דכתיב וחשך על פני תהום אור דכתיב ויאמר אלהים יהי אור ,ref-b
1,ref-bible.0101.1.2.2-ref-bible.0101.1.3.6,ref-b.05.09.04.32a.4.22-ref-b.05.09.04.32a.4.32,43,137,5,21,ref-bible.00101.00001.00002.00002,ref-bible.00101.00001.00003.00006,8504256,8504313,1197238,1197248,ref-b.00005.00009.00004.0032a.00004.00022,ref-b.00005.00009.00004.0032a.00004.00032,היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים ויאמר אלהים יהי אור ויהי אור ,היתה תהו ובהו וחשך והדר ויאמר אלהים יהי אור ויהי אור ,ref-b
2,ref-bible.0101.1.5.1-ref-bible.0101.1.5.7,ref-b.02.04.01.2a.5.2-ref-b.02.04.01.2a.5.20,201,238,33,39,ref-bible.00101.00001.00005.00001,ref-bible.00101.00001.00005.00007,1267743,1267838,173400,173413,ref-b.00002.00004.00001.0002a.00005.00002,ref-b.00002.00004.00001.0002a.00005.00020,ויקרא אלהים לאור יום ולחשך קרא לילה ,ויקרא אלהים לאור יום אלמא_אור_יממא_הוא_הכי_קאמר למאיר ובא קראו יום אלא מעתה ולחשך קרא לילה ,ref-b
3,ref-bible.0101.1.5.1-ref-bible.0101.1.5.7,ref-b.02.10.02.20b.2.13-ref-b.02.10.02.20b.3.5,201,238,33,39,ref-bible.00101.00001.00005.00001,ref-bible.00101.00001.00005.00007,2588081,2588149,356556,356568,ref-b.00002.00010.00002.0020b.00002.00013,ref-b.00002.00010.00002.0020b.00003.00005,ויקרא אלהים לאור יום ולחשך קרא לילה ,ויקרא אלהים לאור יום למאיר ובא קראו יום אלא מעתה ולחשך קרא לילה ,ref-b
4,ref-bible.0101.1.11.1-ref-bible.0101.1.11.10,ref-b.02.08.01.11a.3.9-ref-b.02.08.01.11a.3.19,603,651,100,109,ref-bible.00101.00001.00011.00001,ref-bible.00101.00001.00011.00010,2273095,2273150,311151,311161,ref-b.00002.00008.00001.0011a.00003.00009,ref-b.00002.00008.00001.0011a.00003.00019,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי ,שנאמר ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי ,ref-b
5,ref-bible.0101.1.11.1-ref-bible.0101.1.12.1,ref-b.02.08.01.11a.4.8-ref-b.02.08.01.11a.4.17,603,703,100,119,ref-bible.00101.00001.00011.00001,ref-bible.00101.00001.00012.00001,2273330,2273381,311189,311198,ref-b.00002.00008.00001.0011a.00004.00008,ref-b.00002.00008.00001.0011a.00004.00017,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן ותוצא ,שנאמר ותוצא הארץ דשא עשב מזריע זרע ועץ עושה פרי ,ref-b
6,ref-bible.0101.1.12.2-ref-bible.0101.1.12.10,ref-b.02.08.01.11a.3.13-ref-b.02.08.01.11a.3.19,704,748,120,128,ref-bible.00101.00001.00012.00002,ref-bible.00101.00001.00012.00010,2273120,2273150,311155,311161,ref-b.00002.00008.00001.0011a.00003.00013,ref-b.00002.00008.00001.0011a.00003.00019,הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי ,הארץ דשא עשב מזריע זרע עץ פרי ,ref-b
7,ref-bible.0101.1.14.12-ref-bible.0101.1.14.16,ref-b.05.03.03.60b.3.45-ref-b.05.03.03.60b.3.49,883,919,150,154,ref-bible.00101.00001.00014.00012,ref-bible.00101.00001.00014.00016,7668395,7668433,1077581,1077585,ref-b.00005.00003.00003.0060b.00003.00045,ref-b.00005.00003.00003.0060b.00003.00049,והיו לאתת ולמועדים ולימים ושנים ,והיו לאותות ולמועדים ולימים ושנים ,ref-b
8,ref-bible.0101.1.16.1-ref-bible.0101.1.16.14,ref-b.05.03.03.60b.2.7-ref-b.05.03.03.60b.2.19,972,1052,163,174,ref-bible.00101.00001.00016.00001,ref-bible.00101.00001.00016.00014,7668000,7668078,1077519,1077529,ref-b.00005.00003.00003.0060b.00002.00007,ref-b.00005.00003.00003.0060b.00002.00019,ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן ,ויעש אלהים את שני המאורות הגדולים וכתיב את המאור הגדול ואת המאור הקטן ,ref-b
9,ref-bible.0101.1.20.1-ref-bible.0101.1.20.9,ref-b.05.03.02.27b.11.6-ref-b.05.03.02.27b.11.14,1227,1275,200,208,ref-bible.00101.00001.00020.00001,ref-bible.00101.00001.00020.00009,7561499,7561547,1062276,1062284,ref-b.00005.00003.00002.0027b.00011.00006,ref-b.00005.00003.00002.0027b.00011.00014,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף ,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף ,ref-b
