,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
7535,ref-bible.0101.1.22.1-ref-bible.0101.1.22.6,ref-m.03.01.6.6.69-ref-m.03.01.6.6.75,1427,1458,235,240,ref-bible.00101.00001.00022.00001,ref-bible.00101.00001.00022.00006,294740,294778,45704,45710,ref-m.00003.00001.00006.00006.00069,ref-m.00003.00001.00006.00006.00075,ויברך אתם אלהים לאמר פרו ורבו ,ויברך אותם אלהים ויאמר להם פרו ורבו ,ref-m
7536,ref-bible.0101.1.24.7-ref-bible.0101.1.25.9,ref-m.06.12.3.2.1-ref-m.06.12.3.2.8,1560,1655,255,270,ref-bible.00101.00001.00024.00007,ref-bible.00101.00001.00025.00009,1031454,1031497,160722,160729,ref-m.00006.00012.00003.00002.00001,ref-m.00006.00012.00003.00002.00008,למינה בהמה ורמש וחיתו ארץ למינה ויהי כן ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ,החותך מן האדם ומן הבהמה ומן החיה ומן ,ref-m
7537,ref-bible.0101.1.27.12-ref-bible.0101.1.28.8,ref-m.03.01.6.6.69-ref-m.03.01.6.6.75,1880,1931,308,317,ref-bible.00101.00001.00027.00012,ref-bible.00101.00001.00028.00008,294740,294778,45704,45710,ref-m.00003.00001.00006.00006.00069,ref-m.00003.00001.00006.00006.00075,ברא אתם ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ,ויברך אותם אלהים ויאמר להם פרו ורבו ,ref-m
7538,ref-bible.0101.4.9.4-ref-bible.0101.4.10.10,ref-m.04.04.4.5.60-ref-m.04.04.4.5.70,6298,6391,1104,1122,ref-bible.00101.00004.00009.00004,ref-bible.00101.00004.00010.00010,516951,517006,80839,80848,ref-m.00004.00004.00004.00005.00060,ref-m.00004.00004.00004.00005.00070,קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי ויאמר מה עשית קול דמי אחיך צעקים אלי מן האדמה ,בקין שהרג את אחיו שנאמר דמי אחיך צועקים אינו אומר דם ,ref-m
7539,ref-bible.0101.6.15.3-ref-bible.0101.6.15.14,ref-m.02.04.8.5.28-ref-m.02.04.8.5.41,10195,10253,1732,1743,ref-bible.00101.00006.00015.00003,ref-bible.00101.00006.00015.00014,211916,211996,32761,32773,ref-m.00002.00004.00008.00005.00028,ref-m.00002.00004.00008.00005.00041,תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה ,אמה ורחבה עשרים אמה ומשמונים ושתי רבוא נעשית ושתים עושין בכל שנה ושלש מאות ,ref-m
7540,ref-bible.0101.12.6.1-ref-bible.0101.12.6.9,ref-m.03.05.7.5.31-ref-m.03.05.7.5.39,19693,19735,3374,3382,ref-bible.00101.00012.00006.00001,ref-bible.00101.00012.00006.00009,395241,395283,61618,61626,ref-m.00003.00005.00007.00005.00031,ref-m.00003.00005.00007.00005.00039,ויעבר אברם בארץ עד מקום שכם עד אלון מורה ,ויעבר אברם בארץ עד מקום שכם עד אלון מורה ,ref-m
7541,ref-bible.0101.12.11.6-ref-bible.0101.12.12.4,ref-m.02.08.3.8.42-ref-m.02.08.3.8.56,20059,20127,3437,3451,ref-bible.00101.00012.00011.00006,ref-bible.00101.00012.00012.00004,254190,254259,39431,39445,ref-m.00002.00008.00003.00008.00042,ref-m.00002.00008.00003.00008.00056,ויאמר אל שרי אשתו הנה נא ידעתי כי אשה יפת מראה את והיה כי יראו אתך ,אומר עשה לך שרף ושים אותו על נס והיה כל הנשוך וראה אותו וחי וכי ,ref-m
7542,ref-bible.0101.13.12.11-ref-bible.0101.13.13.6,ref-m.04.04.10.3.48-ref-m.04.04.10.3.60,21509,21547,3706,3712,ref-bible.00101.00013.00012.00011,ref-bible.00101.00013.00013.00006,531539,531606,83136,83144,ref-m.00004.00004.00010.00003.00048,ref-m.00004.00004.00010.00003.00060,סדם ואנשי סדם רעים וחטאים ליהוה מאד ,סדום אין_להם_חלק_לעולם_הבא שנאמר ואנשי סדום רעים וחטאים ליי מאד ,ref-m
7543,ref-bible.0101.14.19.1-ref-bible.0101.14.19.9,ref-m.04.09.6.10.77-ref-m.04.09.6.10.85,23271,23322,4021,4029,ref-bible.00101.00014.00019.00001,ref-bible.00101.00014.00019.00009,621773,621825,96879,96887,ref-m.00004.00009.00006.00010.00077,ref-m.00004.00009.00006.00010.00085,ויברכהו ויאמר ברוך אברם לאל עליון קנה שמים וארץ ,ויברכהו ויאמר ברוך אברם לאל עליון קונה שמים וארץ ,ref-m
7544,ref-bible.0101.14.22.1-ref-bible.0101.14.22.14,ref-m.04.09.6.10.78-ref-m.04.09.6.10.85,23425,23490,4052,4065,ref-bible.00101.00014.00022.00001,ref-bible.00101.00014.00022.00014,621782,621825,96880,96887,ref-m.00004.00009.00006.00010.00078,ref-m.00004.00009.00006.00010.00085,ויאמר אברם אל מלך סדם הרימתי ידי אל יהוה אל עליון קנה שמים וארץ ,ויאמר ברוך אברם לאל עליון קונה שמים וארץ ,ref-m
