,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
8049,ref-bible.0101.1.27.1-ref-bible.0101.1.27.12,ref-mek.1.15.4.100-ref-mek.1.15.4.108,1820,1883,298,308,ref-bible.00101.00001.00027.00001,ref-bible.00101.00001.00027.00012,54748,54800,8556,8564,ref-mek.00001.00015.00004.00100,ref-mek.00001.00015.00004.00108,ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא ,ברא בראשית אעשה אדם בצלם ובדמות זכר ונקוביו בראם ,ref-mek
8050,ref-bible.0101.2.2.3-ref-bible.0101.2.2.12,ref-mek.6.7.4.2-ref-mek.6.7.4.26,2335,2396,386,395,ref-bible.00101.00002.00002.00003,ref-bible.00101.00002.00002.00012,264606,264737,43595,43609,ref-mek.00006.00007.00004.00002,ref-mek.00006.00007.00004.00026,ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו ,השביעי למה_נאמר_לפי_שהוא_אומר כל העושה מלאכה ביום השבת מות יומת עונש_שמענו_אזהרה_מנין_תלמוד_לומר ויום השביעי לא תעשה כל מלאכה ,ref-mek
8051,ref-bible.0101.2.6.1-ref-bible.0101.2.6.9,ref-mek.3.2.1.167-ref-mek.3.2.1.175,2664,2706,444,450,ref-bible.00101.00002.00006.00001,ref-bible.00101.00002.00006.00009,140640,140683,22775,22781,ref-mek.00003.00002.00001.00167,ref-mek.00003.00002.00001.00175,ואד יעלה מן הארץ והשקה את כל פני האדמה ,ואיד יעלה מן הארץ והשקה את כל פני האדמה ,ref-mek
8052,ref-bible.0101.3.15.15-ref-bible.0101.3.16.12,ref-mek.6.2.1.32-ref-mek.6.2.1.43,5097,5163,888,900,ref-bible.00101.00003.00015.00015,ref-bible.00101.00003.00016.00012,239022,239083,39338,39348,ref-mek.00006.00002.00001.00032,ref-mek.00006.00002.00001.00043,עקב אל האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישך ,יעקב אלו הנשים ותגד לבני ישראל אלו האנשים דבר אחר כה תאמר ,ref-mek
8053,ref-bible.0101.4.7.1-ref-bible.0101.4.7.7,ref-mek.5.1.2.262-ref-mek.5.1.2.270,6133,6166,1075,1080,ref-bible.00101.00004.00007.00001,ref-bible.00101.00004.00007.00007,207224,207264,34014,34021,ref-mek.00005.00001.00002.00262,ref-mek.00005.00001.00002.00270,הלוא אם תיטיב שאת ואם לא תיטיב ,הלא אם תיטיב שאת או שאת ואם לא תיטיב ,ref-mek
8054,ref-bible.0101.4.26.5-ref-bible.0101.4.26.13,ref-mek.6.6.1.249-ref-mek.6.6.1.255,7383,7420,1313,1319,ref-bible.00101.00004.00026.00005,ref-bible.00101.00004.00026.00013,257088,257118,42356,42362,ref-mek.00006.00006.00001.00249,ref-mek.00006.00006.00001.00255,בן ויקרא_את_שמו אנוש אז הוחל לקרא בשם ,בן שת שנאמר אז הוחל לקרוא בשם ,ref-mek
8055,ref-bible.0101.7.11.13-ref-bible.0101.7.11.22,ref-mek.3.2.1.224-ref-mek.3.2.1.232,11487,11541,1963,1972,ref-bible.00101.00007.00011.00013,ref-bible.00101.00007.00011.00022,140955,141010,22823,22831,ref-mek.00003.00002.00001.00224,ref-mek.00003.00002.00001.00232,ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו ,ביום ההוא נבקעו כל מעיינות תהום וארובות השמים נפתחו ,ref-mek
8056,ref-bible.0101.9.5.18-ref-bible.0101.9.6.6,ref-mek.8.3.2.141-ref-mek.8.3.2.146,14397,14430,2475,2481,ref-bible.00101.00009.00005.00018,ref-bible.00101.00009.00006.00006,367712,367740,59601,59606,ref-mek.00008.00003.00002.00141,ref-mek.00008.00003.00002.00146,האדם שפך דם האדם באדם דמו ישפך ,שופך דם האדם באדם דמו ישפך ,ref-mek
8057,ref-bible.0101.10.15.1-ref-bible.0101.10.15.7,ref-mek.1.19.1.53-ref-mek.1.19.1.59,16545,16576,2858,2863,ref-bible.00101.00010.00015.00001,ref-bible.00101.00010.00015.00007,77452,77486,12134,12139,ref-mek.00001.00019.00001.00053,ref-mek.00001.00019.00001.00059,וכנען ילד את צידן בכרו ואת חת ,וכנען ילד את צידון בכורו ואת חת ,ref-mek
8058,ref-bible.0101.11.4.1-ref-bible.0101.11.4.7,ref-mek.3.2.1.248-ref-mek.3.2.1.254,17560,17598,3036,3042,ref-bible.00101.00011.00004.00001,ref-bible.00101.00011.00004.00007,141094,141132,22843,22849,ref-mek.00003.00002.00001.00248,ref-mek.00003.00002.00001.00254,ויאמרו הבה נבנה לנו עיר ומגדל וראשו ,ויאמרו הבה נבנה לנו עיר ומגדל וראשו ,ref-mek
8059,ref-bible.0101.11.6.1-ref-bible.0101.11.6.12,ref-mek.3.5.2.58-ref-mek.3.5.2.70,17697,17756,3060,3071,ref-bible.00101.00011.00006.00001,ref-bible.00101.00011.00006.00012,154860,154923,25187,25199,ref-mek.00003.00005.00002.00058,ref-mek.00003.00005.00002.00070,ויאמר יהוה הן עם אחד ושפה אחת לכלם וזה החלם לעשות ועתה ,שנאמר ויאמר ה' הן עם א' ושפה אחת לכלם וזה החלם לעשות ועתה ,ref-mek
8060,ref-bible.0101.11.7.1-ref-bible.0101.11.7.5,ref-mek.1.15.4.115-ref-mek.1.15.4.119,17787,17810,3078,3082,ref-bible.00101.00011.00007.00001,ref-bible.00101.00011.00007.00005,54841,54864,8571,8575,ref-mek.00001.00015.00004.00115,ref-mek.00001.00015.00004.00119,הבה נרדה ונבלה שם שפתם ,הבה ארדה ואבלה שם שפתם ,ref-mek
8061,ref-bible.0101.13.10.13-ref-bible.0101.13.10.23,ref-mek.3.2.1.411-ref-mek.3.2.1.421,21327,21379,3671,3680,ref-bible.00101.00013.00010.00013,ref-bible.00101.00013.00010.00023,141967,142017,22994,23003,ref-mek.00003.00002.00001.00411,ref-mek.00003.00002.00001.00421,לפני שחת יהוה את סדם ואת עמרה כגן יהוה כארץ מצרים ,לפני שחת ה' את סדום ואת עמורה כגן ה' כארץ מצרים ,ref-mek
8062,ref-bible.0101.13.14.9-ref-bible.0101.13.14.21,ref-mek.5.2.1.636-ref-mek.5.2.1.648,21588,21651,3721,3732,ref-bible.00101.00013.00014.00009,ref-bible.00101.00013.00014.00021,213263,213327,35024,35035,ref-mek.00005.00002.00001.00636,ref-mek.00005.00002.00001.00648,שא נא עיניך וראה מן המקום אשר אתה שם צפנה ונגבה וקדמה וימה ,שא נא עיניך וראה מן המקום אשר אתה שם צפונה ונגבה וקדמה וימה ,ref-mek
8063,ref-bible.0101.14.13.1-ref-bible.0101.14.13.5,ref-mek.1.6.1.271-ref-mek.1.6.1.275,22793,22825,3934,3938,ref-bible.00101.00014.00013.00001,ref-bible.00101.00014.00013.00005,16454,16486,2648,2652,ref-mek.00001.00006.00001.00271,ref-mek.00001.00006.00001.00275,ויבא הפליט ויגד לאברם העברי ,ויבא הפליט ויגד לאברם העברי ,ref-mek
8064,ref-bible.0101.14.15.1-ref-bible.0101.14.15.6,ref-mek.3.6.1.244-ref-mek.3.6.1.249,22979,23014,3968,3973,ref-bible.00101.00014.00015.00001,ref-bible.00101.00014.00015.00006,157539,157574,25656,25661,ref-mek.00003.00006.00001.00244,ref-mek.00003.00006.00001.00249,ויחלק עליהם לילה הוא ועבדיו ויכם ,ויחלק עליהם לילה הוא ועבדיו ויכם ,ref-mek
8065,ref-bible.0101.14.20.7-ref-bible.0101.14.21.7,ref-mek.4.4.1.58-ref-mek.4.4.1.67,23352,23405,4036,4047,ref-bible.00101.00014.00020.00007,ref-bible.00101.00014.00021.00007,189273,189322,31011,31020,ref-mek.00004.00004.00001.00058,ref-mek.00004.00004.00001.00067,בידך ויתן לו מעשר מכל ויאמר מלך סדם אל אברם תן לי ,תאמרו אין ספק בידו ליתנו לנו אלא הריני נותנה לכם ,ref-mek
8066,ref-bible.0101.15.1.10-ref-bible.0101.15.2.1,ref-mek.2.5.3.95-ref-mek.2.5.3.105,23689,23739,4101,4111,ref-bible.00101.00015.00001.00010,ref-bible.00101.00015.00002.00001,115512,115564,18485,18495,ref-mek.00002.00005.00003.00095,ref-mek.00002.00005.00003.00105,לאמר אל תירא אברם אנכי מגן לך שכרך הרבה מאד ויאמר ,שנאמר אל תירא אברם אנכי מגן לך שכרך הרבה מאד ואומר ,ref-mek
8067,ref-bible.0101.15.3.1-ref-bible.0101.15.3.7,ref-mek.5.4.11.377-ref-mek.5.4.11.388,23813,23842,4127,4133,ref-bible.00101.00015.00003.00001,ref-bible.00101.00015.00003.00007,232775,232835,38313,38323,ref-mek.00005.00004.00011.00377,ref-mek.00005.00004.00011.00388,ויאמר אברם הן לי לא נתתה זרע ,שלא נתנה על תנאי שנאמר ברית מלח עולם היא והיתה לו ולזרעו ,ref-mek
8068,ref-bible.0101.15.9.1-ref-bible.0101.15.9.6,ref-mek.6.9.1.215-ref-mek.6.9.1.219,24166,24196,4191,4196,ref-bible.00101.00015.00009.00001,ref-bible.00101.00015.00009.00006,272141,272166,44691,44695,ref-mek.00006.00009.00001.00215,ref-mek.00006.00009.00001.00219,ויאמר אליו קחה לי עגלה משלשת ,שנאמר קחה לי עגלה משולשת ,ref-mek
8069,ref-bible.0101.15.12.1-ref-bible.0101.15.12.13,ref-mek.6.9.1.230-ref-mek.6.9.1.242,24349,24417,4225,4237,ref-bible.00101.00015.00012.00001,ref-bible.00101.00015.00012.00013,272224,272293,44705,44717,ref-mek.00006.00009.00001.00230,ref-mek.00006.00009.00001.00242,ויהי השמש לבוא ותרדמה נפלה על אברם והנה אימה חשכה גדלה נפלת עליו ,ויהי השמש לבא ותרדמה נפלה על אברם והנה אימה חשכה גדולה נופלת עליו ,ref-mek
8070,ref-bible.0101.15.13.12-ref-bible.0101.15.13.17,ref-mek.1.15.4.12-ref-mek.1.15.4.20,24469,24500,4249,4254,ref-bible.00101.00015.00013.00012,ref-bible.00101.00015.00013.00017,54285,54333,8486,8492,ref-mek.00001.00015.00004.00012,ref-mek.00001.00015.00004.00020,ועבדום וענו אתם ארבע מאות שנה ,שנה וכתוב_אחד_אומר ועבדום וענו אותם ארבע מאות ,ref-mek
8071,ref-bible.0101.15.16.9-ref-bible.0101.15.17.10,ref-mek.6.9.1.169-ref-mek.6.9.1.184,24639,24704,4281,4293,ref-bible.00101.00015.00016.00009,ref-bible.00101.00015.00017.00010,271888,271980,44647,44662,ref-mek.00006.00009.00001.00169,ref-mek.00006.00009.00001.00184,האמרי עד הנה ויהי השמש באה ועלטה היה והנה תנור עשן ולפיד אש ,שנאמר ויהי השמש לבוא ועלטה היה והנה תנור זה גיהינום שנאמר ותנור לו בירושלם ולפיד אש ,ref-mek
8072,ref-bible.0101.15.17.9-ref-bible.0101.15.17.15,ref-mek.6.9.1.195-ref-mek.6.9.1.200,24695,24730,4292,4298,ref-bible.00101.00015.00017.00009,ref-bible.00101.00015.00017.00015,272032,272066,44672,44677,ref-mek.00006.00009.00001.00195,ref-mek.00006.00009.00001.00200,ולפיד אש אשר עבר בין הגזרים האלה ,הלפידים אשר עבר בין הגזרים האלה ,ref-mek
8073,ref-bible.0101.17.7.7-ref-bible.0101.17.8.13,ref-mek.5.4.11.384-ref-mek.5.4.11.392,26435,26559,4622,4642,ref-bible.00101.00017.00007.00007,ref-bible.00101.00017.00008.00013,232809,232857,38319,38327,ref-mek.00005.00004.00011.00384,ref-mek.00005.00004.00011.00392,זרעך אחריך לדרתם לברית עולם להיות לך לאלהים ולזרעך אחריך ונתתי לך ולזרעך אחריך את ארץ מגריך את כל ארץ כנען לאחזת עולם ,עולם היא והיתה לו ולזרעו אחריו ברית כהונת עולם ,ref-mek
8074,ref-bible.0101.17.19.1-ref-bible.0101.17.19.12,ref-mek.1.17.1.627-ref-mek.1.17.1.636,27262,27317,4761,4771,ref-bible.00101.00017.00019.00001,ref-bible.00101.00017.00019.00012,65117,65162,10244,10253,ref-mek.00001.00017.00001.00627,ref-mek.00001.00017.00001.00636,ויאמר אלהים אבל שרה אשתך ילדת לך בן וקראת את שמו יצחק ,אומר אבל שרה אשתך יולדת לך בן וקראת שמו יצחק ,ref-mek
