,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
9400,ref-bible.0101.1.11.3-ref-bible.0101.1.11.12,ref-sifra.14.01-01.3.19-ref-sifra.14.01-01.3.35,616,659,102,111,ref-bible.00101.00001.00011.00003,ref-bible.00101.00001.00011.00012,646461,646550,98397,98409,ref-sifra.00014.01-01.00003.00019,ref-sifra.00014.01-01.00003.00035,תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי ,נזרעת ועושה פירות בן יומה_תלמוד_לומר זכר עשה לנפלאותיו וכן_הוא_אומר תדשא הארץ דשא עשב ,ref-sifra
9401,ref-bible.0101.1.12.2-ref-bible.0101.1.12.13,ref-sifra.14.01-01.3.19-ref-sifra.14.01-01.3.35,704,760,120,131,ref-bible.00101.00001.00012.00002,ref-bible.00101.00001.00012.00013,646461,646550,98397,98409,ref-sifra.00014.01-01.00003.00019,ref-sifra.00014.01-01.00003.00035,הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו ,נזרעת ועושה פירות בן יומה_תלמוד_לומר זכר עשה לנפלאותיו וכן_הוא_אומר תדשא הארץ דשא עשב ,ref-sifra
9402,ref-bible.0101.1.27.8-ref-bible.0101.1.28.5,ref-sifra.14.01-02.5.406-ref-sifra.14.01-02.5.424,1861,1915,304,314,ref-bible.00101.00001.00027.00008,ref-bible.00101.00001.00028.00005,651008,651073,99033,99042,ref-sifra.00014.01-02.00005.00406,ref-sifra.00014.01-02.00005.00424,ברא אתו זכר ונקבה ברא אתם ויברך אתם אלהים ויאמר להם ,בריתי אתכם לא כברית הראשונה שהפרתם אותה שנאמר          ה' לכן ,ref-sifra
9403,ref-bible.0101.2.2.5-ref-bible.0101.2.2.14,ref-sifra.12.11-14.2.39-ref-sifra.12.11-14.3.15,2349,2404,388,397,ref-bible.00101.00002.00002.00005,ref-bible.00101.00002.00002.00014,588260,588340,89503,89514,ref-sifra.00012.11-14.00002.00039,ref-sifra.00012.11-14.00003.00015,מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה ,השבים וכל מלאכה לא תעשו בעצם_היום_הזה הרי זו אזהרה למלאכה וכל הנפש אשר תעשה ,ref-sifra
9404,ref-bible.0101.2.10.1-ref-bible.0101.2.10.6,ref-sifra.5.03-00.2.16-ref-sifra.5.03-00.2.23,2952,2981,495,499,ref-bible.00101.00002.00010.00001,ref-bible.00101.00002.00010.00006,267956,268002,39637,39643,ref-sifra.00005.03-00.00002.00016,ref-sifra.00005.03-00.00002.00023,ונהר יצא מעדן להשקות את הגן ,הנהרות שנאמר ונהר יוצא מעדן להשקות את הגן ,ref-sifra
9405,ref-bible.0101.3.1.11-ref-bible.0101.3.2.4,ref-sifra.5.1.39.19-ref-sifra.5.1.39.29,4045,4120,696,711,ref-bible.00101.00003.00001.00011,ref-bible.00101.00003.00002.00004,252361,252411,37168,37178,ref-sifra.00005.00001.00039.00019,ref-sifra.00005.00001.00039.00029,ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן ותאמר האשה אל הנחש ,שנאמר ויאמר ה' אל הנחש כי עשית זאת אל האשה אמר ,ref-sifra
9406,ref-bible.0101.3.13.4-ref-bible.0101.3.14.8,ref-sifra.5.1.39.22-ref-sifra.5.1.39.32,4858,4946,848,860,ref-bible.00101.00003.00013.00004,ref-bible.00101.00003.00014.00008,252378,252428,37171,37181,ref-sifra.00005.00001.00039.00022,ref-sifra.00005.00001.00039.00032,לאשה מה_זאת_עשית ותאמר האשה הנחש השיאני ואכל ויאמר_יהוה_אלהים אל הנחש כי עשית זאת ,אל הנחש כי עשית זאת אל האשה אמר בתחלה נתקלל נחש ,ref-sifra
9407,ref-bible.0101.9.8.5-ref-bible.0101.9.9.6,ref-sifra.14.01-02.5.402-ref-sifra.14.01-02.5.413,14515,14563,2496,2504,ref-bible.00101.00009.00008.00005,ref-bible.00101.00009.00009.00006,650982,651057,99030,99040,ref-sifra.00014.01-02.00005.00402,ref-sifra.00014.01-02.00005.00413,ואל בניו אתו לאמר ואני הנני מקים את בריתי אתכם ,בקומה זקופה והקימותי את בריתי אתכם לא כברית הראשונה שהפרתם אותה שנאמר ,ref-sifra
9408,ref-bible.0101.12.3.5-ref-bible.0101.12.3.9,ref-sifra.14.01-01.2.12-ref-sifra.14.01-01.2.16,19451,19477,3328,3332,ref-bible.00101.00012.00003.00005,ref-bible.00101.00012.00003.00009,646075,646102,98338,98342,ref-sifra.00014.01-01.00002.00012,ref-sifra.00014.01-01.00002.00016,ונברכו בך כל משפחת האדמה ,ונברכו בך כל משפחות האדמה ,ref-sifra
9409,ref-bible.0101.13.13.1-ref-bible.0101.13.13.6,ref-sifra.14.02-00.2.76-ref-sifra.14.02-00.2.81,21513,21547,3707,3712,ref-bible.00101.00013.00013.00001,ref-bible.00101.00013.00013.00006,653557,653589,99426,99431,ref-sifra.00014.02-00.00002.00076,ref-sifra.00014.02-00.00002.00081,ואנשי סדם רעים וחטאים ליהוה מאד ,ואנשי סדום רעים וחטאים לה' מאד ,ref-sifra
9410,ref-bible.0101.17.12.1-ref-bible.0101.17.12.8,ref-sifra.6.01-01.2.41-ref-sifra.6.01-01.2.48,26766,26805,4674,4681,ref-bible.00101.00017.00012.00001,ref-bible.00101.00017.00012.00008,311573,311615,46238,46245,ref-sifra.00006.01-01.00002.00041,ref-sifra.00006.01-01.00002.00048,ובן שמנת ימים ימול לכם כל זכר לדרתיכם ,ובן שמונת ימים ימול לכם כל זכר לדורותיכם ,ref-sifra
9411,ref-bible.0101.17.12.6-ref-bible.0101.17.13.4,ref-sifra.12.05-00.4.26-ref-sifra.12.05-00.5.10,26790,26875,4679,4695,ref-bible.00101.00017.00012.00006,ref-bible.00101.00017.00013.00004,554505,554634,84420,84439,ref-sifra.00012.05-00.00004.00026,ref-sifra.00012.05-00.00005.00010,כל זכר לדרתיכם יליד בית ומקנת כסף מכל בן נכר אשר לא מזרעך הוא המול ימול יליד ביתך ,יליד בית שיש בו כסף ומנין שאף_על_פי_שאין שוה כלום תלמוד לומר ויליד בית' מכל מקום עדיין אני אומר יליד בית בין שיש בו כסף בין ,ref-sifra
9412,ref-bible.0101.17.19.13-ref-bible.0101.17.20.8,ref-sifra.14.01-02.5.397-ref-sifra.14.01-02.5.409,27318,27416,4772,4786,ref-bible.00101.00017.00019.00013,ref-bible.00101.00017.00020.00008,650949,651028,99025,99036,ref-sifra.00014.01-02.00005.00397,ref-sifra.00014.01-02.00005.00409,והקמתי את בריתי אתו לברית עולם לזרעו אחריו ולישמעאל שמעתיך הנה ברכתי אתו והפריתי אתו והרביתי ,אתכם בפריה ורביה והרביתי אתכם בקומה זקופה והקימותי את בריתי אתכם לא כברית ,ref-sifra
9413,ref-bible.0101.22.3.1-ref-bible.0101.22.3.6,ref-sifra.6.01-01.3.13-ref-sifra.6.01-01.3.18,36880,36913,6492,6496,ref-bible.00101.00022.00003.00001,ref-bible.00101.00022.00003.00006,311695,311730,46258,46262,ref-sifra.00006.01-01.00003.00013,ref-sifra.00006.01-01.00003.00018,וישכם אברהם בבקר ויחבש את חמרו ,וישכם אברהם בבקר ויחבוש את חמורו ,ref-sifra
