,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
10895,ref-bible.0101.1.9.1-ref-bible.0101.1.9.9,ref-sifre-d.39.7.24-ref-sifre-d.39.7.31,467,514,75,83,ref-bible.00101.00001.00009.00001,ref-bible.00101.00001.00009.00009,62995,63036,10622,10629,ref-sifre-d.00039.00007.00024,ref-sifre-d.00039.00007.00031,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ,שנאמר יקוו המים מתחת השמים אל מקום אחד ,ref-sifre-d
10896,ref-bible.0101.1.14.12-ref-bible.0101.1.14.16,ref-sifre-d.306.14.23-ref-sifre-d.306.14.27,883,919,150,154,ref-bible.00101.00001.00014.00012,ref-bible.00101.00001.00014.00016,301700,301738,50591,50595,ref-sifre-d.00306.00014.00023,ref-sifre-d.00306.00014.00027,והיו לאתת ולמועדים ולימים ושנים ,והיו לאותות ולמועדים ולימים ושנים ,ref-sifre-d
10897,ref-bible.0101.2.6.1-ref-bible.0101.2.6.9,ref-sifre-d.43.8.48-ref-sifre-d.43.8.55,2664,2706,444,450,ref-bible.00101.00002.00006.00001,ref-bible.00101.00002.00006.00009,76837,76876,12949,12954,ref-sifre-d.00043.00008.00048,ref-sifre-d.00043.00008.00055,ואד יעלה מן הארץ והשקה את כל פני האדמה ,ואד יעלה מן הארץ והשקה את פני האדמה ,ref-sifre-d
10898,ref-bible.0101.2.14.11-ref-bible.0101.2.15.10,ref-sifre-d.41.24.13-ref-sifre-d.41.24.24,3219,3283,543,553,ref-bible.00101.00002.00014.00011,ref-bible.00101.00002.00015.00010,71696,71762,12097,12107,ref-sifre-d.00041.00024.00013,ref-sifre-d.00041.00024.00024,הוא פרת ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה ,כשהוא אומר ויקח ה' אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה ,ref-sifre-d
10899,ref-bible.0101.3.1.18-ref-bible.0101.3.3.1,ref-sifre-d.105.13.11-ref-sifre-d.105.13.18,4077,4146,703,716,ref-bible.00101.00003.00001.00018,ref-bible.00101.00003.00003.00001,143681,143719,24095,24102,ref-sifre-d.00105.00013.00011,ref-sifre-d.00105.00013.00018,לא תאכלו מכל עץ הגן ותאמר האשה אל הנחש מפרי עץ הגן נאכל ומפרי ,"נאכלים ת""ל מפרי העץ ולא כל פרי העץ ",ref-sifre-d
10900,ref-bible.0101.3.12.1-ref-bible.0101.3.12.12,ref-sifre-d.1.14.107-ref-sifre-d.1.14.118,4781,4839,835,846,ref-bible.00101.00003.00012.00001,ref-bible.00101.00003.00012.00012,3159,3217,518,529,ref-sifre-d.00001.00014.00107,ref-sifre-d.00001.00014.00118,ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל ,ויאמר האדם האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,ref-sifre-d
10901,ref-bible.0101.3.24.1-ref-bible.0101.3.24.18,ref-sifre-d.40.14.34-ref-sifre-d.40.14.51,5688,5782,997,1011,ref-bible.00101.00003.00024.00001,ref-bible.00101.00003.00024.00018,68292,68388,11508,11522,ref-sifre-d.00040.00014.00034,ref-sifre-d.00040.00014.00051,ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים ,ויגרש את האדם וישכן מקדם לגן עדן את הכרובים ואת להט החרב המתהפכת לשמור את דרך עץ החיים ,ref-sifre-d
10902,ref-bible.0101.4.4.10-ref-bible.0101.4.5.6,ref-sifre-d.318.16.24-ref-sifre-d.318.16.29,6014,6058,1052,1061,ref-bible.00101.00004.00004.00010,ref-bible.00101.00004.00005.00006,329293,329319,55241,55246,ref-sifre-d.00318.00016.00024,ref-sifre-d.00318.00016.00029,אל הבל ואל מנחתו ואל קין ואל מנחתו לא שעה ,ואל קין ואל מנחתו לא שעה ,ref-sifre-d
10903,ref-bible.0101.4.7.5-ref-bible.0101.4.8.1,ref-sifre-d.45.1.93-ref-sifre-d.45.1.118,6153,6216,1079,1089,ref-bible.00101.00004.00007.00005,ref-bible.00101.00004.00008.00001,86504,86636,14584,14606,ref-sifre-d.00045.00001.00093,ref-sifre-d.00045.00001.00118,ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו ויאמר ,ואם לא תטיב לפתח חטאת רובץ ולא_עוד_אלא שמשאו ומתנו בך שנאמר ואליך תשוקתו ואם אתה רוצה אתה מושל בו שנא' ואתה תמשול בו ואומר ,ref-sifre-d
10904,ref-bible.0101.4.26.2-ref-bible.0101.4.26.13,ref-sifre-d.43.18.41-ref-sifre-d.43.18.51,7372,7420,1311,1319,ref-bible.00101.00004.00026.00002,ref-bible.00101.00004.00026.00013,80659,80706,13600,13609,ref-sifre-d.00043.00018.00041,ref-sifre-d.00043.00018.00051,גם הוא ילד בן ויקרא_את_שמו אנוש אז הוחל לקרא בשם ,גם הוא יולד בן ויקרא שמו אנוש אז הוחל לקרוא בשם ,ref-sifre-d
10905,ref-bible.0101.7.11.13-ref-bible.0101.7.11.22,ref-sifre-d.43.8.99-ref-sifre-d.43.8.108,11487,11541,1963,1972,ref-bible.00101.00007.00011.00013,ref-bible.00101.00007.00011.00022,77105,77163,12993,13002,ref-sifre-d.00043.00008.00099,ref-sifre-d.00043.00008.00108,ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו ,ביום הזה נבקעו כל מעיינות תהום רבה וארובות השמים נפתחו ,ref-sifre-d
10906,ref-bible.0101.8.21.18-ref-bible.0101.8.21.23,ref-sifre-d.45.1.147-ref-sifre-d.45.1.152,13918,13944,2384,2389,ref-bible.00101.00008.00021.00018,ref-bible.00101.00008.00021.00023,86770,86797,14633,14638,ref-sifre-d.00045.00001.00147,ref-sifre-d.00045.00001.00152,כי יצר לב האדם רע מנעריו ,כי יצר לב האדם רע מנעוריו ,ref-sifre-d
10907,ref-bible.0101.11.1.1-ref-bible.0101.11.3.1,ref-sifre-d.43.9.13-ref-sifre-d.43.9.31,17375,17472,3006,3022,ref-bible.00101.00011.00001.00001,ref-bible.00101.00011.00003.00001,77229,77338,13013,13031,ref-sifre-d.00043.00009.00013,ref-sifre-d.00043.00009.00031,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ויאמרו ,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ואין ישיבה האמורה ,ref-sifre-d
10908,ref-bible.0101.11.4.1-ref-bible.0101.11.4.13,ref-sifre-d.43.9.46-ref-sifre-d.43.9.60,17560,17626,3036,3048,ref-bible.00101.00011.00004.00001,ref-bible.00101.00011.00004.00013,77414,77489,13046,13058,ref-sifre-d.00043.00009.00046,ref-sifre-d.00043.00009.00060,ויאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ונעשה לנו שם פן נפוץ ,שאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ונעשה לנו שם מה_נאמר_בהם ויפץ ,ref-sifre-d
10909,ref-bible.0101.12.6.1-ref-bible.0101.12.6.9,ref-sifre-d.56.1.83-ref-sifre-d.56.1.95,19693,19735,3374,3382,ref-bible.00101.00012.00006.00001,ref-bible.00101.00012.00006.00009,104988,105052,17644,17656,ref-sifre-d.00056.00001.00083,ref-sifre-d.00056.00001.00095,ויעבר אברם בארץ עד מקום שכם עד אלון מורה ,ויעבר אברם בארץ וגו' מה אלון מורה האמור להלן שכם אף אלון מורה ,ref-sifre-d
10910,ref-bible.0101.12.6.1-ref-bible.0101.12.6.9,ref-sifre-d.56.1.21-ref-sifre-d.56.1.29,19693,19735,3374,3382,ref-bible.00101.00012.00006.00001,ref-bible.00101.00012.00006.00009,104670,104713,17588,17596,ref-sifre-d.00056.00001.00021,ref-sifre-d.00056.00001.00029,ויעבר אברם בארץ עד מקום שכם עד אלון מורה ,ויעבר אברהם בארץ עד מקום שכם עד אלון מורה ,ref-sifre-d
