,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
12449,ref-bible.0101.2.16.1-ref-bible.0101.2.17.7,ref-sifre-n.1.2.210-ref-sifre-n.1.2.222,3284,3370,554,570,ref-bible.00101.00002.00016.00001,ref-bible.00101.00002.00017.00007,1328,1390,167,178,ref-sifre-n.00001.00002.00210,ref-sifre-n.00001.00002.00222,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל ומעץ הדעת טוב ורע לא תאכל ממנו ,ויצו ה' אלהים על האדם וגו' ומעץ הדעת טוב ורע לא תאכל ממנו ,ref-sifre-n
12450,ref-bible.0101.6.9.1-ref-bible.0101.6.9.9,ref-sifre-n.102.1.207-ref-sifre-n.102.1.215,9822,9863,1663,1671,ref-bible.00101.00006.00009.00001,ref-bible.00101.00006.00009.00009,139545,139589,21803,21811,ref-sifre-n.00102.00001.00207,ref-sifre-n.00102.00001.00215,אלה תולדת נח נח איש צדיק תמים היה בדרתיו ,אלה תולדות נח נח איש צדיק תמים היה בדורותיו ,ref-sifre-n
12451,ref-bible.0101.7.1.10-ref-bible.0101.7.1.16,ref-sifre-n.102.1.194-ref-sifre-n.102.1.200,10812,10845,1847,1853,ref-bible.00101.00007.00001.00010,ref-bible.00101.00007.00001.00016,139479,139513,21791,21797,ref-sifre-n.00102.00001.00194,ref-sifre-n.00102.00001.00200,כי אתך ראיתי צדיק לפני בדור הזה ,כי אותך ראיתי צדיק לפני בדור הזה ,ref-sifre-n
12452,ref-bible.0101.7.23.1-ref-bible.0101.7.23.11,ref-sifre-n.18.1.42-ref-sifre-n.18.1.52,12293,12342,2101,2107,ref-bible.00101.00007.00023.00001,ref-bible.00101.00007.00023.00011,29000,29050,4428,4436,ref-sifre-n.00018.00001.00042,ref-sifre-n.00018.00001.00052,וימח את כל היקום אשר_על_פני_האדמה מאדם עד בהמה ,וימח את כל היקום אשר על פני האדמה מאדם עד בהמה ,ref-sifre-n
12453,ref-bible.0101.12.3.5-ref-bible.0101.12.4.2,ref-sifre-n.18.1.183-ref-sifre-n.18.1.190,19451,19488,3328,3334,ref-bible.00101.00012.00003.00005,ref-bible.00101.00012.00004.00002,29843,29893,4548,4555,ref-sifre-n.00018.00001.00183,ref-sifre-n.00018.00001.00190,ונברכו בך כל משפחת האדמה וילך אברם ,ונברכו בך כל משפחות האדמה ובזרעך ואומר ויברכם ,ref-sifre-n
12454,ref-bible.0101.12.15.1-ref-bible.0101.12.15.8,ref-sifre-n.99.1.254-ref-sifre-n.99.1.261,20292,20331,3481,3488,ref-bible.00101.00012.00015.00001,ref-bible.00101.00012.00015.00008,136635,136676,21286,21293,ref-sifre-n.00099.00001.00254,ref-sifre-n.00099.00001.00261,ויראו אתה שרי פרעה ויהללו אתה אל פרעה ,ויראו אותה שרי פרעה ויהללו אותה אל פרעה ,ref-sifre-n
12455,ref-bible.0101.12.19.7-ref-bible.0101.12.20.8,ref-sifre-n.119.1.125-ref-sifre-n.119.1.139,20589,20664,3534,3548,ref-bible.00101.00012.00019.00007,ref-bible.00101.00012.00020.00008,194988,195057,30837,30849,ref-sifre-n.00119.00001.00125,ref-sifre-n.00119.00001.00139,לי לאשה ועתה הנה אשתך קח ולך ויצו עליו פרעה אנשים וישלחו אתו ואת אשתו ,שולחני אתה שותה וכן_הוא_אומר ויקרא ו חלקם נתתי לך מאשי דברים יח אשי ,ref-sifre-n
12456,ref-bible.0101.13.14.9-ref-bible.0101.13.14.17,ref-sifre-n.136.1.74-ref-sifre-n.136.1.82,21588,21626,3721,3728,ref-bible.00101.00013.00014.00009,ref-bible.00101.00013.00014.00017,245822,245860,39142,39149,ref-sifre-n.00136.00001.00074,ref-sifre-n.00136.00001.00082,שא נא עיניך וראה מן המקום אשר אתה שם ,שא נא עיניך וראה מן המקום אשר אתה שם ,ref-sifre-n
12457,ref-bible.0101.18.9.1-ref-bible.0101.18.9.5,ref-sifre-n.69.2.42-ref-sifre-n.69.2.46,28457,28482,4975,4979,ref-bible.00101.00018.00009.00001,ref-bible.00101.00018.00009.00005,93748,93773,14080,14084,ref-sifre-n.00069.00002.00042,ref-sifre-n.00069.00002.00046,ויאמרו אליו איה שרה אשתך ,ויאמרו אליו איה שרה אשתך ,ref-sifre-n
12458,ref-bible.0101.19.11.1-ref-bible.0101.19.11.7,ref-sifre-n.18.1.63-ref-sifre-n.18.1.69,30979,31018,5431,5437,ref-bible.00101.00019.00011.00001,ref-bible.00101.00019.00011.00007,29111,29150,4444,4450,ref-sifre-n.00018.00001.00063,ref-sifre-n.00018.00001.00069,ואת האנשים אשר פתח הבית הכו בסנורים ,ואת האנשים אשר פתח הבית הכו בסנורים ,ref-sifre-n
12459,ref-bible.0101.23.2.3-ref-bible.0101.23.2.8,ref-sifre-n.160.2.68-ref-sifre-n.160.2.73,38624,38656,6788,6793,ref-bible.00101.00023.00002.00003,ref-bible.00101.00023.00002.00008,284583,284615,45477,45482,ref-sifre-n.00160.00002.00068,ref-sifre-n.00160.00002.00073,בקרית ארבע הוא חברון בארץ כנען ,קרית הארבע היא חברון בארץ כנען ,ref-sifre-n
12460,ref-bible.0101.24.33.2-ref-bible.0101.24.33.13,ref-sifre-n.103.1.106-ref-sifre-n.103.1.122,42245,42304,7461,7472,ref-bible.00101.00024.00033.00002,ref-bible.00101.00024.00033.00013,140280,140360,21928,21941,ref-sifre-n.00103.00001.00106,ref-sifre-n.00103.00001.00122,ויושם לפניו לאכל ויאמר לא אכל עד אם דברתי דברי ויאמר דבר ,דבור אתה אומר מראה דבור או_אינו_אלא מראה שכינה תלמוד לומר שמות לג ויאמר לא תוכל ,ref-sifre-n
