,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
13459,ref-bible.0101.3.1.1-ref-bible.0101.3.1.6,ref-t.3.5.4.16.4-ref-t.3.5.4.16.12,3995,4025,688,693,ref-bible.00101.00003.00001.00001,ref-bible.00101.00003.00001.00006,637101,637154,100537,100545,ref-t.00003.00005.00004.00016.00004,ref-t.00003.00005.00004.00016.00012,והנחש היה ערום מכל חית השדה ,בנחש הקדמוני שהיה ערום מכל הבהמה ומכל חית השדה ,ref-t
13460,ref-bible.0101.3.14.9-ref-bible.0101.3.15.5,ref-t.3.5.4.16.39-ref-t.3.5.4.17.14,4947,5047,861,878,ref-bible.00101.00003.00014.00009,ref-bible.00101.00003.00015.00005,637275,637513,100568,100610,ref-t.00003.00005.00004.00016.00039,ref-t.00003.00005.00004.00017.00014,ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל_ימי_חייך ואיבה אשית בינך ובין האשה ,ארור הוא מכל הבהמה ומכל חית השדה אני אמרתי תלך בקומה זקופה כאדם עכשיו שלא רצית על גחונך תלך אני אמרתי תאכל מאכל אדם ותשתה משתה אדם עכשיו ועפר תאכל כל ימי חייך אתה בקשתה להרוג את אדם ולישא את חוה עכשיו ואיבה אשית בינך ובין האשה ,ref-t
13461,ref-bible.0101.6.5.1-ref-bible.0101.6.5.7,ref-t.3.5.4.10.11-ref-t.3.5.4.10.17,9577,9610,1616,1622,ref-bible.00101.00006.00005.00001,ref-bible.00101.00006.00005.00007,636125,636157,100367,100373,ref-t.00003.00005.00004.00010.00011,ref-t.00003.00005.00004.00010.00017,וירא יהוה כי רבה רעת האדם בארץ ,וירא ייי כי רבה רעת האדם בארץ ,ref-t
13462,ref-bible.0101.6.15.5-ref-bible.0101.6.16.2,ref-t.4.1.6.22.53-ref-t.4.1.6.22.68,10204,10268,1734,1746,ref-bible.00101.00006.00015.00005,ref-bible.00101.00006.00016.00002,750203,750283,118758,118771,ref-t.00004.00001.00006.00022.00053,ref-t.00004.00001.00006.00022.00068,שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה צהר תעשה ,אמה ובשעת הרוח חמשים אמה ר'_עקיבא_או' חמשים אמה ובשעת הרוח שלש מאות אמה מעשה ,ref-t
13463,ref-bible.0101.6.17.1-ref-bible.0101.6.17.7,ref-t.3.5.3.8.17-ref-t.3.5.3.8.23,10344,10382,1760,1765,ref-bible.00101.00006.00017.00001,ref-bible.00101.00006.00017.00007,627998,628036,98933,98938,ref-t.00003.00005.00003.00008.00017,ref-t.00003.00005.00003.00008.00023,ואני הנני מביא את המבול מים על הארץ ,ואני הנני מביא את המבול מים על הארץ ,ref-t
13464,ref-bible.0101.7.11.13-ref-bible.0101.7.11.19,ref-t.3.5.3.9.36-ref-t.3.5.3.9.42,11487,11521,1963,1969,ref-bible.00101.00007.00011.00013,ref-bible.00101.00007.00011.00019,628219,628255,98971,98977,ref-t.00003.00005.00003.00009.00036,ref-t.00003.00005.00003.00009.00042,ביום הזה נבקעו כל מעינת תהום רבה ,ביום הזה נבקעו כל מעיינות תהום רבה ,ref-t
13465,ref-bible.0101.9.5.18-ref-bible.0101.9.7.3,ref-t.3.1.8.7.10-ref-t.3.1.8.7.27,14397,14474,2475,2489,ref-bible.00101.00009.00005.00018,ref-bible.00101.00009.00007.00003,528903,528990,82743,82757,ref-t.00003.00001.00008.00007.00010,ref-t.00003.00001.00008.00007.00027,האדם שפך דם האדם באדם דמו ישפך כי בצלם אלהים עשה את האדם ואתם פרו ורבו ,דמות שנ' שופך דם האדם באדם דמו ישפך ר'_לעזר_בן_עזריה או' כל שאינו עוסק בפריה ורביה ,ref-t
13466,ref-bible.0101.9.5.18-ref-bible.0101.9.6.6,ref-t.4.4.11.4.14-ref-t.4.4.11.4.19,14397,14430,2475,2481,ref-bible.00101.00009.00005.00018,ref-bible.00101.00009.00006.00006,919160,919188,145747,145752,ref-t.00004.00004.00011.00004.00014,ref-t.00004.00004.00011.00004.00019,האדם שפך דם האדם באדם דמו ישפך ,שופך דם האדם באדם דמו ישפך ,ref-t
13467,ref-bible.0101.9.6.1-ref-bible.0101.9.7.3,ref-t.3.1.8.7.30-ref-t.3.1.8.7.45,14403,14474,2476,2489,ref-bible.00101.00009.00006.00001,ref-bible.00101.00009.00007.00003,528998,529077,82759,82772,ref-t.00003.00001.00008.00007.00030,ref-t.00003.00001.00008.00007.00045,שפך דם האדם באדם דמו ישפך כי בצלם אלהים עשה את האדם ואתם פרו ורבו ,שופך דמים ומבטל את הדמות שנ' כי בצלם אלים עשה את האדם וכת' ואתם פרו ורבו ,ref-t
13468,ref-bible.0101.11.1.1-ref-bible.0101.11.2.9,ref-t.3.5.3.10.13-ref-t.3.5.3.10.28,17375,17464,3006,3021,ref-bible.00101.00011.00001.00001,ref-bible.00101.00011.00002.00009,628324,628413,98991,99006,ref-t.00003.00005.00003.00010.00013,ref-t.00003.00005.00003.00010.00028,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ,ref-t
13469,ref-bible.0101.11.8.1-ref-bible.0101.11.8.11,ref-t.4.4.13.7.13-ref-t.4.4.13.7.25,17838,17891,3088,3095,ref-bible.00101.00011.00008.00001,ref-bible.00101.00011.00008.00011,926973,927040,146966,146976,ref-t.00004.00004.00013.00007.00013,ref-t.00004.00004.00013.00007.00025,ויפץ יהוה אתם משם על_פני_כל_הארץ ויחדלו לבנת העיר ,ויפץ ייי אותם משם על פני כל הארץ בעולם הזה ויחדלו לבנות העיר ,ref-t
13470,ref-bible.0101.13.12.11-ref-bible.0101.13.13.4,ref-t.4.4.13.8.2-ref-t.4.4.13.8.12,21509,21536,3706,3710,ref-bible.00101.00013.00012.00011,ref-bible.00101.00013.00013.00004,927057,927111,146979,146985,ref-t.00004.00004.00013.00008.00002,ref-t.00004.00004.00013.00008.00012,סדם ואנשי סדם רעים וחטאים ,סדום אין להן_חלק_לעולם_הבא שנ' ואנשי סדם רעים וחטאים ,ref-t
13471,ref-bible.0101.15.3.6-ref-bible.0101.15.4.8,ref-t.1.3.5.18.37-ref-t.1.3.5.18.45,23834,23902,4132,4144,ref-bible.00101.00015.00003.00006,ref-bible.00101.00015.00004.00008,73421,73461,11868,11876,ref-t.00001.00003.00005.00018.00037,ref-t.00001.00003.00005.00018.00045,נתתה זרע והנה בן ביתי יורש אתי והנה דבר_יהוה_אליו לאמר לא יירשך זה ,שיאמר לו הילך סלע זו ותנם לבן בתי כהן ,ref-t
13472,ref-bible.0101.16.3.9-ref-bible.0101.16.3.15,ref-t.3.1.8.5.28-ref-t.3.1.8.5.34,25141,25175,4373,4379,ref-bible.00101.00016.00003.00009,ref-bible.00101.00016.00003.00015,528449,528483,82662,82668,ref-t.00003.00001.00008.00005.00028,ref-t.00003.00001.00008.00005.00034,מקץ עשר שנים לשבת אברם בארץ כנען ,מקץ עשר שנים לשבת אברם בארץ כנען ,ref-t
13473,ref-bible.0101.17.4.6-ref-bible.0101.17.5.14,ref-t.1.1.1.12.25-ref-t.1.1.1.13.8,26267,26345,4592,4607,ref-bible.00101.00017.00004.00006,ref-bible.00101.00017.00005.00014,3780,3835,616,627,ref-t.00001.00001.00001.00012.00025,ref-t.00001.00001.00001.00013.00008,לאב המון גוים ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב המון גוים נתתיך ,כי אב המון גוים נתתיך כיוצא בו שרי אשתך לא תקרא את שמה ,ref-t
13474,ref-bible.0101.17.5.1-ref-bible.0101.17.5.11,ref-t.1.1.1.12.3-ref-t.1.1.1.12.15,26282,26329,4595,4604,ref-bible.00101.00017.00005.00001,ref-bible.00101.00017.00005.00011,3680,3736,598,607,ref-t.00001.00001.00001.00012.00003,ref-t.00001.00001.00001.00012.00015,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב ,לא יקרא עוד את שמך אברם והיה שמך אברהם כתחלה_הרי_את אב ,ref-t
13475,ref-bible.0101.17.14.1-ref-bible.0101.17.14.8,ref-t.2.1.15.9.108-ref-t.2.1.15.9.115,26921,26955,4703,4708,ref-bible.00101.00017.00014.00001,ref-bible.00101.00017.00014.00008,283214,283248,44284,44289,ref-t.00002.00001.00015.00009.00108,ref-t.00002.00001.00015.00009.00115,וערל זכר אשר לא ימול את בשר ערלתו ,וערל זכר אשר לא ימול את בשר ערלתו ,ref-t
13476,ref-bible.0101.17.15.5-ref-bible.0101.17.15.14,ref-t.1.1.1.13.3-ref-t.1.1.1.13.12,27015,27053,4713,4721,ref-bible.00101.00017.00015.00005,ref-bible.00101.00017.00015.00014,3812,3850,623,631,ref-t.00001.00001.00001.00013.00003,ref-t.00001.00001.00001.00013.00012,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,ref-t
13477,ref-bible.0101.18.5.1-ref-bible.0101.18.5.5,ref-t.3.5.4.3.4-ref-t.3.5.4.3.8,28143,28168,4915,4919,ref-bible.00101.00018.00005.00001,ref-bible.00101.00018.00005.00005,632429,632454,99717,99721,ref-t.00003.00005.00004.00003.00004,ref-t.00003.00005.00004.00003.00008,ואקחה פת לחם וסעדו לבכם ,ואקחה פת לחם וסעדו לבכם ,ref-t
13478,ref-bible.0101.18.19.1-ref-bible.0101.18.19.9,ref-t.3.5.6.5.248-ref-t.3.5.6.5.255,29031,29072,5080,5087,ref-bible.00101.00018.00019.00001,ref-bible.00101.00018.00019.00009,644300,644341,101768,101775,ref-t.00003.00005.00006.00005.00248,ref-t.00003.00005.00006.00005.00255,כי ידעתיו למען אשר יצוה את בניו ואת ביתו ,כי ידעתיו למען אשר יצוה וגומר יהא בביתו ,ref-t
13479,ref-bible.0101.19.5.5-ref-bible.0101.19.5.15,ref-t.5.8.2.14.70-ref-t.5.8.2.14.79,30555,30613,5353,5363,ref-bible.00101.00019.00005.00005,ref-bible.00101.00019.00005.00015,1235779,1235829,195262,195271,ref-t.00005.00008.00002.00014.00070,ref-t.00005.00008.00002.00014.00079,לו איה האנשים אשר באו אליך הלילה הוציאם אלינו ונדעה אתם ,ולא ידע ואשם ונשא עונו והביא איל תמים מן הצאן ,ref-t
