,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
14411,ref-bible.0101.1.4.2-ref-bible.0101.1.4.12,ref-y.1.1.8.6.7.47-ref-y.1.1.8.6.7.59,144,200,23,32,ref-bible.00101.00001.00004.00002,ref-bible.00101.00001.00004.00012,166337,166402,26013,26023,ref-y.00001.00001.00008.00006.00007.00047,ref-y.00001.00001.00008.00006.00007.00059,אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך ,אלהים את האור כי טוב ואחר כך ויבדל אלהים בין האור ובין החשך ,ref-y
14412,ref-bible.0101.1.6.1-ref-bible.0101.1.6.7,ref-y.2.9.4.3.2.14-ref-y.2.9.4.3.2.21,266,304,42,48,ref-bible.00101.00001.00006.00001,ref-bible.00101.00001.00006.00007,1809094,1809138,269949,269956,ref-y.00002.00009.00004.00003.00002.00014,ref-y.00002.00009.00004.00003.00002.00021,ויאמר אלהים יהי רקיע בתוך המים ויהי ,ויאמר אלהי' יהי רקיע בתוך המים בשלישי היו ,ref-y
14413,ref-bible.0101.1.6.3-ref-bible.0101.1.6.7,ref-y.1.1.1.1.22.113-ref-y.1.1.1.1.22.117,279,304,44,48,ref-bible.00101.00001.00006.00003,ref-bible.00101.00001.00006.00007,7107,7130,1122,1126,ref-y.00001.00001.00001.00001.00022.00113,ref-y.00001.00001.00001.00001.00022.00117,יהי רקיע בתוך המים ויהי ,יהי רקיע בתוך המים יהי ,ref-y
14414,ref-bible.0101.1.9.1-ref-bible.0101.1.9.6,ref-y.2.9.4.3.2.26-ref-y.2.9.4.3.2.31,467,502,75,80,ref-bible.00101.00001.00009.00001,ref-bible.00101.00001.00009.00006,1809161,1809196,269961,269966,ref-y.00002.00009.00004.00003.00002.00026,ref-y.00002.00009.00004.00003.00002.00031,ויאמר אלהים יקוו המים מתחת השמים ,ויאמר אלהים יקוו המים מתחת השמים ,ref-y
14415,ref-bible.0101.1.11.3-ref-bible.0101.1.11.11,ref-y.1.4.1.7.3.52-ref-y.1.4.1.7.3.60,616,655,102,110,ref-bible.00101.00001.00011.00003,ref-bible.00101.00001.00011.00011,376367,376408,58298,58306,ref-y.00001.00004.00001.00007.00003.00052,ref-y.00001.00004.00001.00007.00003.00060,תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה ,תדשא הארץ דשא עשב מזריע זרע והיא לא עשת ,ref-y
14416,ref-bible.0101.1.11.4-ref-bible.0101.1.11.8,ref-y.1.4.1.7.3.63-ref-y.1.4.1.7.3.67,621,644,103,107,ref-bible.00101.00001.00011.00004,ref-bible.00101.00001.00011.00008,376420,376443,58309,58313,ref-y.00001.00004.00001.00007.00003.00063,ref-y.00001.00004.00001.00007.00003.00067,הארץ דשא עשב מזריע זרע ,הארץ דשא עשב מזריע זרע ,ref-y
14417,ref-bible.0101.1.12.1-ref-bible.0101.1.12.7,ref-y.1.4.1.7.3.55-ref-y.1.4.1.7.3.68,697,735,119,125,ref-bible.00101.00001.00012.00001,ref-bible.00101.00001.00012.00007,376382,376451,58301,58314,ref-y.00001.00004.00001.00007.00003.00055,ref-y.00001.00004.00001.00007.00003.00068,ותוצא הארץ דשא עשב מזריע זרע למינהו ,עשב מזריע זרע והיא לא עשת אלא ותוצא הארץ דשא עשב מזריע זרע למינהו ,ref-y
14418,ref-bible.0101.1.14.12-ref-bible.0101.1.14.16,ref-y.1.1.9.2.14.35-ref-y.1.1.9.2.14.39,883,919,150,154,ref-bible.00101.00001.00014.00012,ref-bible.00101.00001.00014.00016,187700,187739,29491,29495,ref-y.00001.00001.00009.00002.00014.00035,ref-y.00001.00001.00009.00002.00014.00039,והיו לאתת ולמועדים ולימים ושנים ,והיו לאותות ולמועדים ולימים ולשנים ,ref-y
14419,ref-bible.0101.1.18.4-ref-bible.0101.1.18.12,ref-y.1.1.8.6.7.47-ref-y.1.1.8.6.7.59,1148,1197,189,197,ref-bible.00101.00001.00018.00004,ref-bible.00101.00001.00018.00012,166337,166402,26013,26023,ref-y.00001.00001.00008.00006.00007.00047,ref-y.00001.00001.00008.00006.00007.00059,ולהבדיל בין האור ובין החשך וירא אלהים כי טוב ,אלהים את האור כי טוב ואחר כך ויבדל אלהים בין האור ובין החשך ,ref-y
14420,ref-bible.0101.1.20.1-ref-bible.0101.1.20.7,ref-y.2.9.4.3.2.60-ref-y.2.9.4.3.2.66,1227,1263,200,206,ref-bible.00101.00001.00020.00001,ref-bible.00101.00001.00020.00007,1809364,1809400,269995,270001,ref-y.00002.00009.00004.00003.00002.00060,ref-y.00002.00009.00004.00003.00002.00066,ויאמר אלהים ישרצו המים שרץ נפש חיה ,ויאמר אלהים ישרצו המים שרץ נפש חיה ,ref-y
