,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
11547,ref-m.01.01.1.5.26-ref-m.01.01.1.5.33,ref-bible.0105.16.3.16-ref-bible.0105.16.3.24,1398,1444,217,223,ref-m.00001.00001.00001.00005.00026,ref-m.00001.00001.00001.00005.00033,372966,373017,62346,62353,ref-bible.00105.00016.00003.00016,ref-bible.00105.00016.00003.00024,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ,מצרים למען תזכר את יום צאתך מארץ מצרים כל_ימי_חייך ,ref-bible
11548,ref-m.01.01.7.3.4-ref-m.01.01.7.3.26,ref-bible.0101.48.20.1-ref-bible.0101.48.20.10,7702,7828,1189,1211,ref-m.00001.00001.00007.00003.00004,ref-m.00001.00001.00007.00003.00026,101641,101696,18177,18186,ref-bible.00101.00048.00020.00001,ref-bible.00101.00048.00020.00010,אומר נברך בשלשה והוא אומר ברכו בעשרה אומר נברך לאלהינו בעשרה והוא אומר ברכו אחד עשרה ואחד עשרה רבוא במאה אומר נברך לה' ,ויברכם ביום ההוא לאמור בך יברך ישראל לאמר ישמך אלהים ,ref-bible
11549,ref-m.01.01.9.2.7-ref-m.01.01.9.2.22,ref-bible.0210.10.8.8-ref-bible.0210.10.9.1,9988,10081,1521,1536,ref-m.00001.00001.00009.00002.00007,ref-m.00001.00001.00009.00002.00022,1089017,1089077,184141,184150,ref-bible.00210.00010.00008.00008,ref-bible.00210.00010.00009.00001,ועל הרעמים ועל הרוחות אומר ברוך שכחו וגבורתו מלא עולם על ההרים ועל הגבעות ועל הימים ,יעלה על מזבחותם ואמרו להרים כסונו ולגבעות נפלו עלינו מימי ,ref-bible
11550,ref-m.01.01.9.2.12-ref-m.01.01.9.2.21,ref-bible.0101.49.26.1-ref-bible.0101.49.26.10,10019,10074,1526,1535,ref-m.00001.00001.00009.00002.00012,ref-m.00001.00001.00009.00002.00021,103167,103212,18470,18479,ref-bible.00101.00049.00026.00001,ref-bible.00101.00049.00026.00010,ברוך שכחו וגבורתו מלא עולם על ההרים ועל הגבעות ועל ,ברכת אביך גברו על ברכת הורי עד תאות גבעת עולם ,ref-bible
11551,ref-m.01.01.9.5.16-ref-m.01.01.9.5.22,ref-bible.0206.23.25.10-ref-bible.0206.23.25.16,10819,10855,1659,1665,ref-m.00001.00001.00009.00005.00016,ref-m.00001.00001.00009.00005.00022,771844,771880,130249,130255,ref-bible.00206.00023.00025.00010,ref-bible.00206.00023.00025.00016,בכל לבבך ובכל נפשך ובכל מאדך בכל ,בכל לבבו ובכל נפשו ובכל מאדו ככל ,ref-bible
11552,ref-m.01.01.9.5.118-ref-m.01.01.9.5.131,ref-bible.0305.2.4.1-ref-bible.0305.2.5.1,11366,11440,1753,1766,ref-m.00001.00001.00009.00005.00118,ref-m.00001.00001.00009.00005.00131,1342702,1342780,230678,230691,ref-bible.00305.00002.00004.00001,ref-bible.00305.00002.00005.00001,והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ,והנה בעז בא מבית לחם ויאמר לקוצרים יהוה עמכם ויאמרו לו יברכך יהוה ויאמר ,ref-bible
11553,ref-m.01.01.9.5.118-ref-m.01.01.9.5.126,ref-bible.0305.1.22.10-ref-bible.0305.2.1.1,11366,11413,1753,1761,ref-m.00001.00001.00009.00005.00118,ref-m.00001.00001.00009.00005.00126,1342416,1342459,230627,230634,ref-bible.00305.00001.00022.00010,ref-bible.00305.00002.00001.00001,והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ,והמה באו בית לחם בתחלת קציר שערים ולנעמי ,ref-bible
11554,ref-m.01.01.9.5.120-ref-m.01.01.9.5.137,ref-bible.0305.1.19.8-ref-bible.0305.1.20.2,11377,11468,1755,1772,ref-m.00001.00001.00009.00005.00120,ref-m.00001.00001.00009.00005.00137,1342166,1342234,230578,230589,ref-bible.00305.00001.00019.00008,ref-bible.00305.00001.00020.00002,בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' עמך גבור החיל ואומר אל ,כבאנה בית לחם ותהם כל העיר עליהן ותאמרנה הזאת נעמי ותאמר אליהן ,ref-bible
11555,ref-m.01.02.2.2.11-ref-m.01.02.2.2.15,ref-bible.0207.7.24.9-ref-bible.0207.7.25.5,12871,12900,1980,1984,ref-m.00001.00002.00002.00002.00011,ref-m.00001.00002.00002.00002.00015,787313,787351,132875,132881,ref-bible.00207.00007.00024.00009,ref-bible.00207.00007.00025.00005,וכל ההרים אשר במעדר יעדרון ,כל הארץ וכל ההרים אשר במעדר יעדרון ,ref-bible
11556,ref-m.01.02.7.7.16-ref-m.01.02.7.7.29,ref-bible.0105.24.21.1-ref-bible.0105.24.21.5,22282,22347,3411,3420,ref-m.00001.00002.00007.00007.00016,ref-m.00001.00002.00007.00007.00029,388270,388291,65030,65034,ref-bible.00105.00024.00021.00001,ref-bible.00105.00024.00021.00005,כי תבצור לא תעולל אם אין בציר מנין עוללות אמר_לו_רבי_עקיבא וכרמך ,כי תבצר כרמך לא תעולל ,ref-bible
