,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
12048,ref-m.01.01.1.1.56-ref-m.01.01.1.1.93,ref-mek.1.7.2.51-ref-mek.1.7.2.82,288,487,41,76,ref-m.00001.00001.00001.00001.00056,ref-m.00001.00001.00001.00001.00093,20919,21096,3346,3377,ref-mek.00001.00007.00002.00051,ref-mek.00001.00007.00002.00082,שאמרו חכמים עד חצות מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות כדי להרחיק אדם מן העבירה ,ref-mek
12049,ref-m.01.01.1.2.24-ref-m.01.01.1.2.32,ref-mek.1.14.2.5-ref-mek.1.14.2.12,612,655,95,103,ref-m.00001.00001.00001.00002.00024,ref-m.00001.00001.00001.00002.00032,48602,48643,7550,7557,ref-mek.00001.00014.00002.00005,ref-mek.00001.00014.00002.00012,שלש שעות שכן דרך בני מלכים לעמוד בשלש שעות ,בשלש שעות שכן דרך מלכים לעמוד בשלש שעות ,ref-mek
12050,ref-m.01.01.1.4.4-ref-m.01.01.1.4.14,ref-mek.1.19.9.88-ref-mek.1.19.9.106,1076,1144,164,174,ref-m.00001.00001.00001.00004.00004,ref-m.00001.00001.00001.00004.00014,90199,90310,14262,14278,ref-mek.00001.00019.00009.00088,ref-mek.00001.00019.00009.00106,לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה אחת ארוכה ואחת ,שנים מלמעלה ושנים מלמטה ואחד שהיה מהלך לפניהם ר'_יאשיה_אומר ארבעה אחד לפניהם ואחד לאחריהם אחד למעלה ואחד ,ref-mek
12051,ref-m.01.01.1.5.18-ref-m.01.01.1.5.54,ref-mek.1.17.2.10-ref-mek.1.17.2.43,1353,1548,209,236,ref-m.00001.00001.00001.00005.00018,ref-m.00001.00001.00001.00005.00054,65497,65682,10306,10332,ref-mek.00001.00017.00002.00010,ref-mek.00001.00017.00002.00043,יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח ,ref-mek
12052,ref-m.01.01.6.8.30-ref-m.01.01.6.8.42,ref-mek.2.6.2.193-ref-mek.2.6.2.203,7281,7352,1131,1141,ref-m.00001.00001.00006.00008.00030,ref-m.00001.00001.00006.00008.00042,121337,121392,19482,19491,ref-mek.00002.00006.00002.00193,ref-mek.00002.00006.00002.00203,השותה מים לצמאו אומר שהכל נהיה בדברו רבי_טרפון_אומר בורא נפשות רבות ,השותה מים לצמאו כיצד הוא מברך אמר להם בורא נפשות רבות ,ref-mek
12053,ref-m.01.01.7.3.24-ref-m.01.01.7.3.37,ref-mek.3.1.1.988-ref-mek.3.1.1.1002,7815,7889,1209,1222,ref-m.00001.00001.00007.00003.00024,ref-m.00001.00001.00007.00003.00037,138488,138579,22405,22417,ref-mek.00003.00001.00001.00988,ref-mek.00003.00001.00001.01002,אומר נברך לה' אלהינו במאה והוא אומר ברכו באלף אומר נברך לה' אלהינו אלהי ,ואומר לה' אלהינו הרחמים והסליחות אשירה_לה'_שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר ,ref-mek
12054,ref-m.01.01.7.3.61-ref-m.01.01.7.3.69,ref-mek.1.17.2.322-ref-mek.1.17.2.331,8025,8072,1246,1254,ref-m.00001.00001.00007.00003.00061,ref-m.00001.00001.00007.00003.00069,67064,67118,10556,10565,ref-mek.00001.00017.00002.00322,ref-mek.00001.00017.00002.00331,כענין שהוא מברך כך עונין אחריו ברוך ה' אלהינו ,לאלהינו אלו העונים אחריו ומה הן עונין אחריו ברוך ה' ,ref-mek
12055,ref-m.01.01.7.3.63-ref-m.01.01.7.3.69,ref-mek.6.10.1.246-ref-mek.6.10.1.254,8038,8072,1248,1254,ref-m.00001.00001.00007.00003.00063,ref-m.00001.00001.00007.00003.00069,277470,277520,45572,45580,ref-mek.00006.00010.00001.00246,ref-mek.00006.00010.00001.00254,מברך כך עונין אחריו ברוך ה' אלהינו ,שברית כרותה לארץ כך ברית כרותה ליסורין ה' אלהיך ,ref-mek
12056,ref-m.01.01.7.3.106-ref-m.01.01.7.3.115,ref-mek.5.3.9.118-ref-mek.5.3.10.4,8277,8319,1284,1289,ref-m.00001.00001.00007.00003.00106,ref-m.00001.00001.00007.00003.00115,225385,225418,37059,37065,ref-mek.00005.00003.00009.00118,ref-mek.00005.00003.00010.00004,אומר ברכו את ה' רבי_ישמעאל_אומר ברכו את ה' ,ואמר ברוך ה' ויאמר יתרו ברוך ה' ,ref-mek
12057,ref-m.01.01.9.5.11-ref-m.01.01.9.5.23,ref-mek.6.9.4.70-ref-mek.6.9.4.79,10793,10860,1655,1666,ref-m.00001.00001.00009.00005.00011,ref-m.00001.00001.00009.00005.00023,275047,275097,45178,45187,ref-mek.00006.00009.00004.00070,ref-mek.00006.00009.00004.00079,שנאמר ואהבת את ה' אלהיך בכל לבבך ובכל נפשך ובכל מאדך בכל לבבך ,אוכל וכל גבהי לבב קרואים תועבה שנאמר תועבת ה' כל ,ref-mek
