,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
12366,ref-m.01.01.1.1.61-ref-m.01.01.1.1.93,ref-sifra.4.07-12.5.18-ref-sifra.4.07-12.5.34,315,487,46,76,ref-m.00001.00001.00001.00001.00061,ref-m.00001.00001.00001.00001.00093,199169,199260,28891,28904,ref-sifra.00004.07-12.00005.00018,ref-sifra.00004.07-12.00005.00034,עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,להרחיק מן העבירה אבל אין מחשבה פוסלת בהן ואין חייבים_עליהם_משום נותר עד שיעלה עמוד השחר ,ref-sifra
12367,ref-m.01.01.1.1.82-ref-m.01.01.1.1.92,ref-sifra.4.07-12.5.11-ref-sifra.4.07-12.5.19,433,479,67,75,ref-m.00001.00001.00001.00001.00082,ref-m.00001.00001.00001.00001.00092,199140,199178,28886,28892,ref-sifra.00004.07-12.00005.00011,ref-sifra.00004.07-12.00005.00019,אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן ,אם_כן_למה אמרו חכמים עד חצות להרחיק מן ,ref-sifra
12368,ref-m.01.01.7.3.4-ref-m.01.01.7.3.20,ref-sifra.14.04-00.6.21-ref-sifra.14.04-00.6.29,7702,7798,1189,1205,ref-m.00001.00001.00007.00003.00004,ref-m.00001.00001.00007.00003.00020,674414,674461,102745,102753,ref-sifra.00014.04-00.00006.00021,ref-sifra.00014.04-00.00006.00029,אומר נברך בשלשה והוא אומר ברכו בעשרה אומר נברך לאלהינו בעשרה והוא אומר ברכו אחד עשרה ואחד ,בעשר סלעים אמר אחד בעשרים אמר אחד בשלשים אמר ,ref-sifra
12369,ref-m.01.01.9.4.8-ref-m.01.01.9.4.16,ref-sifra.5.1.34.60-ref-sifra.5.1.34.75,10651,10707,1633,1639,ref-m.00001.00001.00009.00004.00008,ref-m.00001.00001.00009.00004.00016,249327,249417,36691,36700,ref-sifra.00005.00001.00034.00060,ref-sifra.00005.00001.00034.00075,ביציאתו בן_עזאי_אומר ארבע שתים בכניסתו ושתים ביציאתו ,יצא מבית_קדש_הקדשים ונחלקו לארבעה ונכנסו שנים בחוטמו_של_זה ושנים בחוטמו_של_זה ותצא ,ref-sifra
12370,ref-m.01.01.9.5.70-ref-m.01.01.9.5.83,ref-sifra.11.03-07.9.3-ref-sifra.11.03-07.9.17,11087,11175,1710,1723,ref-m.00001.00001.00009.00005.00070,ref-m.00001.00001.00009.00005.00083,504661,504760,77000,77014,ref-sifra.00011.03-07.00009.00003,ref-sifra.00011.03-07.00009.00017,לא יכנס להר הבית במקלו ובמנעלו ובפונדתו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה ,לא יכנס להר הבית במקלו ובתרמילו במנעלו ובאפונדתו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה ,ref-sifra
12371,ref-m.01.01.9.5.128-ref-m.01.01.9.5.136,ref-sifra.2.01-02.13.92-ref-sifra.2.01-02.13.112,11422,11465,1763,1771,ref-m.00001.00001.00009.00005.00128,ref-m.00001.00001.00009.00005.00136,10520,10570,1669,1677,ref-sifra.00002.01-02.00013.00092,ref-sifra.00002.01-02.00013.00112,לו יברכך ה' ואומר ה' עמך גבור החיל ואומר ,לא בשביל עצמו      ה'       ה'  אלעזר בן אחוי אומר ,ref-sifra
12372,ref-m.01.02.1.4.6-ref-m.01.02.1.4.14,ref-sifra.11.01-01.7.44-ref-sifra.11.01-01.7.63,12072,12133,1866,1873,ref-m.00001.00002.00001.00004.00006,ref-m.00001.00002.00001.00004.00014,486623,486742,74136,74151,ref-sifra.00011.01-01.00007.00044,ref-sifra.00011.01-01.00007.00063,אוכל ונשמר וגידוליו מן הארץ ולקיטתו כאחת ומכניסו לקיום ,אוכל ונשמר וגידולו מן הארץ ולקיטתו כאחד ומכניסו לקיום יצאו ירקות שאף_על_פי שלקיטתן כאחת אבל אין מכניסן לקיום ,ref-sifra
12373,ref-m.01.02.1.4.17-ref-m.01.02.1.5.11,ref-sifra.11.01-01.7.75-ref-sifra.11.01-01.8.11,12145,12266,1876,1890,ref-m.00001.00002.00001.00004.00017,ref-m.00001.00002.00001.00005.00011,486804,486920,74160,74174,ref-sifra.00011.01-01.00007.00075,ref-sifra.00011.01-01.00008.00011,והתבואה והקטניות בכלל הזה ובאילן האוג והחרובין והאגוזים והשקדים והגפנים והרמונים והזיתים והתמרים חייבין בפאה ,והתבואה והקטניות בכלל זה ובאילן האוג והחרובין האגוזים והשקדים הגפנים והרמונים הזיתים והתמרים חייבים בפאה ,ref-sifra
12374,ref-m.01.02.1.6.19-ref-m.01.02.1.6.24,ref-sifra.12.10-00.4.17-ref-sifra.12.10-00.4.22,12368,12408,1909,1914,ref-m.00001.00002.00001.00006.00019,ref-m.00001.00002.00001.00006.00024,577186,577226,87848,87853,ref-sifra.00012.10-00.00004.00017,ref-sifra.00012.10-00.00004.00022,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ref-sifra
12375,ref-m.01.02.1.6.19-ref-m.01.02.1.6.24,ref-sifra.12.10-00.4.38-ref-sifra.12.10-00.4.43,12368,12408,1909,1914,ref-m.00001.00002.00001.00006.00019,ref-m.00001.00002.00001.00006.00024,577313,577353,87866,87871,ref-sifra.00012.10-00.00004.00038,ref-sifra.00012.10-00.00004.00043,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ref-sifra
12376,ref-m.01.02.2.1.1-ref-m.01.02.2.4.39,ref-sifra.11.01-02.1.3-ref-sifra.11.01-02.4.39,12593,13252,1943,2042,ref-m.00001.00002.00002.00001.00001,ref-m.00001.00002.00002.00004.00039,487743,488447,74319,74429,ref-sifra.00011.01-02.00001.00003,ref-sifra.00011.01-02.00004.00039,ואלו מפסיקין לפאה הנחל והשלולית ודרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים והבור והניר וזרע אחר והקוצר לשחת מפסיק דברי_רבי_מאיר_וחכמים_אומרים אינו מפסיק אלא_אם_כן חרש אמת המים שאינה יכולה להקצר כאחת רבי_יהודה_אומר מפסקת וכל ההרים אשר במעדר יעדרון אף_על_פי_שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל מפסיק לזרעים ואינו מפסיק לאילן אלא גדר ואם היה שער כותש אינו מפסיק אלא נותן פאה לכל ולחרובין כל הרואין זה_את_זה אמר_רבן_גמליאל נוהגין היו בית אבא נותנין פאה אחת לזיתים שהיו להם בכל רוח ולחרובין כל הרואין זה_את_זה רבי אליעזר ברבי צדוק אומר משמו אף לחרובין שהיו להם בכל העיר ,אלו מפסיקים לפאה הנחל והשלולית דרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע אחר והקוצר לשחת מפסיק דברי_ר'_מאיר_וחכמים_אומרים אינו מפסיק אלא_אם_כן חרש אמת המים הקבועה הרי זו מפסקת ר'_יהודה_אומר אם אינה יכולה להקצר כאחת הרי זו מפסקת כל ההרים אשר במעדר יעדרון אף_על_פי_שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל מפסיקין לזרעים ואינו מפסיק לאילן אלא גדר שהוא גבוה עשרה טפחים אם היה שער כותש אינו מפסיק לאילן אלא נותן פאה לכל לחרובים כל הרואים זה_את_זה אמר רבן גמליאל נוהגים היו בית אבא נותנים פאה אחת לזיתים שהיה להם בכל הרוח ולחרובים כל שרואים זה_את_זה ר' אלעזר בר צדוק אומר משמו אף לחרובין שהיה להם בכל העיר ,ref-sifra
12377,ref-m.01.02.2.7.2-ref-m.01.02.2.7.15,ref-sifra.11.01-01.6.1-ref-sifra.11.01-01.6.13,13718,13798,2126,2139,ref-m.00001.00002.00002.00007.00002,ref-m.00001.00002.00002.00007.00015,486148,486234,74071,74083,ref-sifra.00011.01-01.00006.00001,ref-sifra.00011.01-01.00006.00013,שקצרוה כותים קצרוה לסטים קרסמוה נמלים שברתה הרוח או בהמה פטורה קצר חציה וקצרו ,ובקצרכם פרט לשקצרוהו הלסטים קירסמוה נמלים שברתה הרוח או בהמה ובקצרכם פרט לשקצרוה ,ref-sifra
12378,ref-m.01.02.4.1.18-ref-m.01.02.4.2.12,ref-sifra.11.01-03.5.28-ref-sifra.11.01-03.5.59,15713,15853,2429,2449,ref-m.00001.00002.00004.00001.00018,ref-m.00001.00002.00004.00002.00012,489857,490042,74663,74690,ref-sifra.00011.01-03.00005.00028,ref-sifra.00011.01-03.00005.00059,אפילו תשעים ותשעה אומרים לחלק ואחד אומר לבוז לזה שומעין שאמר כהלכה בדלית ובדקל אינו כן אפילו תשעים ותשעה אומרים לבוז ואחד אומר לחלק ,אפילו תשעים ותשעה אומרים לחלק ואחד אומר לבזבז אפילו בריא אפילו ידיו יפות לזה שומעים שאמר כהלכה יכול בדלית ובדקל כן תלמוד_לומר_אותם אפילו תשעים ותשעה אומרים לבזבז ואחד אומר לחלק ,ref-sifra
12379,ref-m.01.02.4.6.5-ref-m.01.02.4.6.24,ref-sifra.11.01-01.6.20-ref-sifra.11.01-01.6.37,16290,16400,2515,2531,ref-m.00001.00002.00004.00006.00005,ref-m.00001.00002.00004.00006.00024,486278,486379,74090,74105,ref-sifra.00011.01-01.00006.00020,ref-sifra.00011.01-01.00006.00037,שדהו ואחר כך נתגייר פטור מן הלקט ומן השכחה ומן הפאה רבי_יהודה_מחייב בשכחה שאין השכחה אלא בשעת העמור ,שדהו ואחר כך נתגייר פטור מן הלקט והשכחה והפאה ור' יהודה מחייב בשכחה שאין שכחה אלא בשעת העימור ,ref-sifra
12380,ref-m.01.02.4.6.9-ref-m.01.02.4.6.15,ref-sifra.12.10-00.4.21-ref-sifra.12.10-00.4.27,16311,16347,2518,2524,ref-m.00001.00002.00004.00006.00009,ref-m.00001.00002.00004.00006.00015,577217,577255,87852,87858,ref-sifra.00012.10-00.00004.00021,ref-sifra.00012.10-00.00004.00027,פטור מן הלקט ומן השכחה ומן הפאה ,ופטור מן הלקט ומן השכחה ומן הפאה ,ref-sifra
12381,ref-m.01.02.4.6.9-ref-m.01.02.4.6.15,ref-sifra.12.10-00.4.42-ref-sifra.12.10-00.4.48,16311,16347,2518,2524,ref-m.00001.00002.00004.00006.00009,ref-m.00001.00002.00004.00006.00015,577344,577382,87870,87876,ref-sifra.00012.10-00.00004.00042,ref-sifra.00012.10-00.00004.00048,פטור מן הלקט ומן השכחה ומן הפאה ,ופטור מן הלקט ומן השכחה ומן הפאה ,ref-sifra
12382,ref-m.01.02.4.10.5-ref-m.01.02.4.10.15,ref-sifra.11.01-02.5.12-ref-sifra.11.01-02.5.24,16881,16931,2604,2614,ref-m.00001.00002.00004.00010.00005,ref-m.00001.00002.00004.00010.00015,488502,488562,74441,74453,ref-sifra.00011.01-02.00005.00012,ref-sifra.00011.01-02.00005.00024,הקצירה היה קוצר קצר מלא ידו תלש מלא קמצו הכהו קוץ ,הקציר מיכן אמרו היה קוצר קצר מלא ידו תלש מלא קומצו הכהו קוץ ,ref-sifra
12383,ref-m.01.02.4.10.24-ref-m.01.02.4.10.36,ref-sifra.11.01-02.5.36-ref-sifra.11.01-02.5.50,16970,17040,2619,2630,ref-m.00001.00002.00004.00010.00024,ref-m.00001.00002.00004.00010.00036,488614,488696,74463,74476,ref-sifra.00011.01-02.00005.00036,ref-sifra.00011.01-02.00005.00050,תוך היד ותוך המגל לעניים אחר היד ואחר המגל לבעל הבית ראש היד ,תוך היד ותוך המגל לעניים אחר היד ואחר המגל לבעל הבית ראש המגל וראש היד ,ref-sifra
12384,ref-m.01.02.5.2.6-ref-m.01.02.5.2.20,ref-sifra.11.01-03.3.26-ref-sifra.11.01-03.3.38,17458,17520,2685,2694,ref-m.00001.00002.00005.00002.00006,ref-m.00001.00002.00005.00002.00020,489495,489553,74600,74609,ref-sifra.00011.01-03.00003.00026,ref-sifra.00011.01-03.00003.00038,אם נקצרה עם הקמה הרי היא של_בעל_הבית ואם_לאו_הרי היא של עניים ,אם נקצרת עם האשכול הרי של בעל הבית ואם לאו הרי של עניים ,ref-sifra
12385,ref-m.01.02.7.3.5-ref-m.01.02.7.4.47,ref-sifra.11.01-03.2.7-ref-sifra.11.01-03.3.47,21502,21908,3306,3365,ref-m.00001.00002.00007.00003.00005,ref-m.00001.00002.00007.00004.00047,489191,489606,74549,74615,ref-sifra.00011.01-03.00002.00007,ref-sifra.00011.01-03.00003.00047,הבצירה היה בוצר עקץ את האשכול הוסבך בעלים נפל מידו לארץ ונפרט הרי_הוא_של_בעל_הבית המניח את הכלכלה תחת הגפן בשעה שהוא בוצר הרי זה גוזל את העניים על_זה_נאמר אל תסג גבול עולים איזוהי עוללת כל שאין לה לא כתף ולא נטף אם_יש_לה כתף או נטף של_בעל_הבית אם ספק לעניים עוללת שבארכובה אם נקרצת עם האשכול הרי היא של_בעל_הבית ואם_לאו_הרי היא של עניים גרגר יחידי רבי_יהודה_אומר אשכול וחכמים אומרים עוללת ,הבציר מיכן אמרו היה בוצר עקץ את האשכולות הוסבך בעלים ונפל בארץ ונפרט הרי זה של בעל הבית המניח כלכלה תחת הגפן בשעה שהוא בוצר הרי זה גוזל את העניים על זה נאמר לא תשיג גבול עולם איזהו עוללות כל שאין לה כתף ולא נטף יש לו כתף אבל לא נטף נטף אבל לא כתף לבעל הבית אם ספק לעניים עוללות שבארכובה אם נקצרת עם האשכול הרי של בעל הבית ואם לאו הרי של עניים גרגיר יחיד ר'_יהודה_אומר אשכול וחכמים אומרים עוללות ,ref-sifra
12386,ref-m.01.02.7.6.22-ref-m.01.02.7.6.33,ref-sifra.11.03-00.7.34-ref-sifra.11.03-00.7.45,22130,22197,3394,3402,ref-m.00001.00002.00007.00006.00022,ref-m.00001.00002.00007.00006.00033,500228,500295,76312,76320,ref-sifra.00011.03-00.00007.00034,ref-sifra.00011.03-00.00007.00045,פרט ויש לו עוללות והעניים פודין לעצמם ובית_הלל_אומרים כולו לגת ,פרט ויש לו עוללות והעניים פודים לעצמם ובית_הלל_אומרים כולו לגת ,ref-sifra
