,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
14671,ref-m.01.01.1.3.4-ref-m.01.01.1.3.34,ref-sifre-d.34.10.10-ref-sifre-d.34.10.41,720,899,113,136,ref-m.00001.00001.00001.00003.00004,ref-m.00001.00001.00001.00003.00034,47641,47822,8022,8046,ref-sifre-d.00034.00010.00010,ref-sifre-d.00034.00010.00041,בערב כל אדם יטו ויקראו ובבוקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורא כדרכו שנאמר ובלכתך בדרך אם_כן_למה_נאמר ובשכבך ובקומך בשעה שבני אדם שוכבים ובשעה ,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם_כן_למה_נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה ,ref-sifre-d
14672,ref-m.01.01.1.3.4-ref-m.01.01.1.3.34,ref-sifre-d.34.13.4-ref-sifre-d.34.13.35,720,899,113,136,ref-m.00001.00001.00001.00003.00004,ref-m.00001.00001.00001.00003.00034,48182,48363,8101,8125,ref-sifre-d.00034.00013.00004,ref-sifre-d.00034.00013.00035,בערב כל אדם יטו ויקראו ובבוקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורא כדרכו שנאמר ובלכתך בדרך אם_כן_למה_נאמר ובשכבך ובקומך בשעה שבני אדם שוכבים ובשעה ,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם_כן_למה_נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה ,ref-sifre-d
14673,ref-m.01.01.1.5.1-ref-m.01.01.1.5.54,ref-sifre-d.130.7.2-ref-sifre-d.130.7.59,1261,1548,196,236,ref-m.00001.00001.00001.00005.00001,ref-m.00001.00001.00001.00005.00054,165985,166283,27870,27913,ref-sifre-d.00130.00007.00002,ref-sifre-d.00130.00007.00059,מזכירין יציאת מצרים בלילות אמר רבי_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,תזכור את יום צאתך מארץ מצרים זו היא שאמר ר'_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,ref-sifre-d
14674,ref-m.01.01.2.3.1-ref-m.01.01.2.3.7,ref-sifre-d.31.7.113-ref-sifre-d.31.7.119,2172,2207,340,345,ref-m.00001.00001.00002.00003.00001,ref-m.00001.00001.00002.00003.00007,39898,39933,6760,6765,ref-sifre-d.00031.00007.00113,ref-sifre-d.00031.00007.00119,הקורא את שמע ולא השמיע לאזנו יצא ,הקורא את שמע ולא השמיע לאזנו יצא ,ref-sifre-d
14675,ref-m.01.01.4.5.19-ref-m.01.01.4.5.25,ref-sifre-d.29.5.84-ref-sifre-d.29.5.89,4733,4766,729,734,ref-m.00001.00001.00004.00005.00019,ref-m.00001.00001.00004.00005.00025,34827,34860,5897,5902,ref-sifre-d.00029.00005.00084,ref-sifre-d.00029.00005.00089,יכוין את לבו כנגד בית קדש הקדשים ,מכוונים לבם כנגד בית קדשי הקדשים ,ref-sifre-d
14676,ref-m.01.01.7.3.59-ref-m.01.01.7.3.68,ref-sifre-d.306.37.13-ref-sifre-d.306.37.21,8015,8065,1244,1253,ref-m.00001.00001.00007.00003.00059,ref-m.00001.00001.00007.00003.00068,308316,308364,51688,51695,ref-sifre-d.00306.00037.00013,ref-sifre-d.00306.00037.00021,אומר ברכו כענין שהוא מברך כך עונין אחריו ברוך ה' ,ואומר ברכו את ה' המבורך שעונים אחריהם ברוך ה' ,ref-sifre-d
14677,ref-m.01.01.7.3.106-ref-m.01.01.7.3.116,ref-sifre-d.306.37.13-ref-sifre-d.306.37.20,8277,8327,1284,1290,ref-m.00001.00001.00007.00003.00106,ref-m.00001.00001.00007.00003.00116,308316,308361,51688,51694,ref-sifre-d.00306.00037.00013,ref-sifre-d.00306.00037.00020,אומר ברכו את ה' רבי_ישמעאל_אומר ברכו את ה' המבורך ,ואומר ברכו את ה' המבורך שעונים אחריהם ברוך ,ref-sifre-d
14678,ref-m.01.01.9.5.16-ref-m.01.01.9.5.21,ref-sifre-d.41.25.12-ref-sifre-d.41.25.17,10819,10850,1659,1664,ref-m.00001.00001.00009.00005.00016,ref-m.00001.00001.00009.00005.00021,71943,71974,12141,12146,ref-sifre-d.00041.00025.00012,ref-sifre-d.00041.00025.00017,בכל לבבך ובכל נפשך ובכל מאדך ,בכל לבבך ובכל נפשך ובכל מאדך ,ref-sifre-d
14679,ref-m.01.01.9.5.16-ref-m.01.01.9.5.23,ref-sifre-d.41.29.4-ref-sifre-d.41.29.13,10819,10860,1659,1666,ref-m.00001.00001.00009.00005.00016,ref-m.00001.00001.00009.00005.00023,72622,72675,12261,12268,ref-sifre-d.00041.00029.00004,ref-sifre-d.00041.00029.00013,בכל לבבך ובכל נפשך ובכל מאדך בכל לבבך ,בכל לבבכם ובכל נפשכם והלא_כבר_נאמר בכל לבבך ובכל ,ref-sifre-d
14680,ref-m.01.01.9.5.20-ref-m.01.01.9.5.36,ref-sifre-d.32.3.1-ref-sifre-d.32.5.7,10840,10926,1663,1678,ref-m.00001.00001.00009.00005.00020,ref-m.00001.00001.00009.00005.00036,40972,41089,6934,6955,ref-sifre-d.00032.00003.00001,ref-sifre-d.00032.00005.00007,ובכל מאדך בכל לבבך בשני יצריך ביצר טוב וביצר רע ובכל נפשך אפילו הוא נוטל את נפשך ,"בכל לבבך בשני יצריך ביצר טוב ויצר רע ד""א בכל לבבך שלא יהיה לבך חלוק על המקום ובכל נפשך אפילו הוא נוטל את נפשך ",ref-sifre-d
14681,ref-m.01.01.9.5.36-ref-m.01.01.9.5.50,ref-sifre-d.32.7.7-ref-sifre-d.32.7.16,10922,10995,1678,1691,ref-m.00001.00001.00009.00005.00036,ref-m.00001.00001.00009.00005.00050,41491,41538,7023,7032,ref-sifre-d.00032.00007.00007,ref-sifre-d.00032.00007.00016,נפשך ובכל מאדך בכל ממונך דבר אחר בכל מאדך בכל מדה ומדה שהוא מודד לך ,"נפשך ק""ו בכל מאדך בכל מדה ומדה שהוא מודד לך ",ref-sifre-d
14682,ref-m.01.01.9.5.68-ref-m.01.01.9.5.80,ref-sifre-d.258.3.3-ref-sifre-d.258.4.1,11074,11153,1708,1720,ref-m.00001.00001.00009.00005.00068,ref-m.00001.00001.00009.00005.00080,249804,249890,41771,41785,ref-sifre-d.00258.00003.00003,ref-sifre-d.00258.00004.00001,קדשי הקדשים לא יכנס להר הבית במקלו ובמנעלו ובפונדתו ובאבק שעל רגליו ולא ,קדוש קדשהו מכאן אמרו לא יכנס אדם בהר הבית במקלו ובמנעלו ובאבק שעל גבי רגליו ולא ,ref-sifre-d
14683,ref-m.01.01.9.5.117-ref-m.01.01.9.5.132,ref-sifre-d.2.6.57-ref-sifre-d.2.6.70,11359,11443,1752,1767,ref-m.00001.00001.00009.00005.00117,ref-m.00001.00001.00009.00005.00132,8477,8544,1405,1418,ref-sifre-d.00002.00006.00057,ref-sifre-d.00002.00006.00070,שנאמר והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' ,שנאמר הנני ענו בי נגד ה' ונגד משיחו ויאמרו לא ויאמר אליהם עד ה' ,ref-sifre-d
14684,ref-m.01.02.1.1.16-ref-m.01.02.1.1.27,ref-sifre-d.336.2.11-ref-sifre-d.336.2.25,11649,11715,1802,1811,ref-m.00001.00002.00001.00001.00016,ref-m.00001.00002.00001.00001.00027,348164,348254,58494,58505,ref-sifre-d.00336.00002.00011,ref-sifre-d.00336.00002.00025,אוכל פירותיהן בעולם הזה והקרן קיימת לו לעולם הבא כיבוד אב ואם ,אוכל פירותיהם בעולם הזה ואריכות ימים לעולם הבא ומפורש כן בתלמוד תורה וכיבוד אב ואם ,ref-sifre-d
14685,ref-m.01.02.1.1.18-ref-m.01.02.1.1.23,ref-sifre-d.336.1.18-ref-sifre-d.336.1.23,11663,11701,1804,1808,ref-m.00001.00002.00001.00001.00018,ref-m.00001.00002.00001.00001.00023,347695,347733,58416,58420,ref-sifre-d.00336.00001.00018,ref-sifre-d.00336.00001.00023,בעולם הזה והקרן קיימת לו לעולם הבא ,בעולם הזה והקרן קיימת לו לעולם הבא ,ref-sifre-d
14686,ref-m.01.02.2.7.2-ref-m.01.02.2.7.15,ref-sifre-d.282.1.2-ref-sifre-d.282.2.3,13718,13798,2126,2139,ref-m.00001.00002.00002.00007.00002,ref-m.00001.00002.00002.00007.00015,265105,265188,44375,44387,ref-sifre-d.00282.00001.00002,ref-sifre-d.00282.00002.00003,שקצרוה כותים קצרוה לסטים קרסמוה נמלים שברתה הרוח או בהמה פטורה קצר חציה וקצרו ,תקצור פרט לשקצרוהו ליסטים וכרסמוהו נמלים ושברתו הרוח או בהמה קצירך פרט לשקצרהו ,ref-sifre-d
14687,ref-m.01.02.4.6.1-ref-m.01.02.4.6.23,ref-sifre-d.282.2.10-ref-sifre-d.282.2.29,16269,16393,2513,2530,ref-m.00001.00002.00004.00006.00001,ref-m.00001.00002.00004.00006.00023,265223,265332,44394,44411,ref-sifre-d.00282.00002.00010,ref-sifre-d.00282.00002.00029,עובד כוכבים שקצר את שדהו ואחר כך נתגייר פטור מן הלקט ומן השכחה ומן הפאה רבי_יהודה_מחייב בשכחה שאין השכחה אלא בשעת ,"עכו""ם שקצר את שדהו ואח""כ נתגייר פטור מן הלקט ומן השכחה והפאה ר' יהודה מחייב בשכחה שאין שכחה אלא בשעת ",ref-sifre-d
14688,ref-m.01.02.5.2.1-ref-m.01.02.5.2.20,ref-sifre-d.283.5.8-ref-sifre-d.283.5.28,17426,17520,2680,2694,ref-m.00001.00002.00005.00002.00001,ref-m.00001.00002.00005.00002.00020,267139,267233,44703,44718,ref-sifre-d.00283.00005.00008,ref-sifre-d.00283.00005.00028,שבולת שבקציר וראשה מגיע לקמה אם נקצרה עם הקמה הרי היא של_בעל_הבית ואם_לאו_הרי היא של עניים ,שבולת של קציר וראשה מגיע לקמה אם נקצרת עם הקמה הרי היא של_בעל_הבית ואם לאו הרי היא של עניים ,ref-sifre-d
14689,ref-m.01.02.5.2.10-ref-m.01.02.5.2.20,ref-sifre-d.285.2.23-ref-sifre-d.285.2.33,17475,17520,2689,2694,ref-m.00001.00002.00005.00002.00010,ref-m.00001.00002.00005.00002.00020,268519,268563,44942,44947,ref-sifre-d.00285.00002.00023,ref-sifre-d.00285.00002.00033,הרי היא של_בעל_הבית ואם_לאו_הרי היא של עניים ,הרי היא של_בעל_הבית ואם לאו הרי הם של עניים ,ref-sifre-d
14690,ref-m.01.02.5.6.18-ref-m.01.02.5.6.48,ref-sifre-d.284.3.8-ref-sifre-d.284.3.33,18314,18453,2813,2833,ref-m.00001.00002.00005.00006.00018,ref-m.00001.00002.00005.00006.00048,267895,268018,44831,44852,ref-sifre-d.00284.00003.00008,ref-sifre-d.00284.00003.00033,מי שאינו מניח את העניים ללקוט או שהוא מניח את אחד ואחד לא או שהוא מסייע את אחד מהן הרי זה גוזל את העניים על_זה_נאמר אל תסג גבול עולים ,מי שאינו מניח את העניים ללקוט או מניח האחד ואחד לא או שמסייע לאחד מהם הרי זה גוזל העניים על זה נאמר אל תסג גבול עולם ,ref-sifre-d
14691,ref-m.01.02.5.7.1-ref-m.01.02.5.7.23,ref-sifre-d.282.4.14-ref-sifre-d.282.4.36,18454,18580,2834,2852,ref-m.00001.00002.00005.00007.00001,ref-m.00001.00002.00005.00007.00023,265773,265901,44482,44500,ref-sifre-d.00282.00004.00014,ref-sifre-d.00282.00004.00036,העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו בעל הבית ולא שכחוהו פועלים עמדו עניים בפניו או שחיפוהו בקש הרי_זה_אינו שכחה ,העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו בעל הבית ולא שכחוהו פועלים עמדו העניים בפיו או שחיפוהו בקש הרי_זה_אינו שכחה ,ref-sifre-d
14692,ref-m.01.02.5.7.1-ref-m.01.02.5.7.23,ref-sifre-d.283.3.23-ref-sifre-d.283.3.44,18454,18580,2834,2852,ref-m.00001.00002.00005.00007.00001,ref-m.00001.00002.00005.00007.00023,266521,266645,44604,44622,ref-sifre-d.00283.00003.00023,ref-sifre-d.00283.00003.00044,העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו בעל הבית ולא שכחוהו פועלים עמדו עניים בפניו או שחיפוהו בקש הרי_זה_אינו שכחה ,העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו הבית ולא שכחוהו פועלים עמדו העניים בפניו או שחיפוהו בקש הרי_זה_אינו שכחה ,ref-sifre-d
14693,ref-m.01.02.6.1.32-ref-m.01.02.6.2.8,ref-sifre-d.282.4.36-ref-sifre-d.283.1.8,19012,19090,2917,2927,ref-m.00001.00002.00006.00001.00032,ref-m.00001.00002.00006.00002.00008,265897,265944,44500,44508,ref-sifre-d.00282.00004.00036,ref-sifre-d.00283.00001.00008,שכחה ובית_הלל_אומרים שכחה העומר שהוא סמוך לגפה ולגדיש לבקר ולכלים ושכחו ,שכחה ושכחת עומר בשדה ולא הגדיש יכול אף שכחו ,ref-sifre-d
14694,ref-m.01.02.6.3.1-ref-m.01.02.6.3.15,ref-sifre-d.283.3.9-ref-sifre-d.283.3.22,19139,19230,2932,2946,ref-m.00001.00002.00006.00003.00001,ref-m.00001.00002.00006.00003.00015,266431,266520,44590,44603,ref-sifre-d.00283.00003.00009,ref-sifre-d.00283.00003.00022,ראשי שורות העומר שכנגדו מוכיח העומר שהחזיק בו להוליכו אל העיר ושכחו מודים שאינו שכחה ,ראשי שורות העומר שכנגדו יוכיח והעומר שהחזיקו בו להוליכו לעיר ושכחו מודים שאין שכחה ,ref-sifre-d
14695,ref-m.01.02.6.4.51-ref-m.01.02.6.5.27,ref-sifre-d.283.1.20-ref-sifre-d.283.1.38,19523,19680,2992,3020,ref-m.00001.00002.00006.00004.00051,ref-m.00001.00002.00006.00005.00027,266006,266100,44518,44536,ref-sifre-d.00283.00001.00020,ref-sifre-d.00283.00001.00038,אינו שכחה שני עומרים שכחה ושלשה אינן שכחה שני צבורי זיתים וחרובין שכחה ושלשה אינן שכחה שני הוצני פשתן שכחה ושלשה אינן שכחה שני גרגרים פרט ושלשה אינן פרט ,עומרים שכחה ג' אינם שכחה שני צבורי זיתים וחרובין שכחה ג' אינם שכחה שני גרגרים פרט ג' אינן פרט ,ref-sifre-d
14696,ref-m.01.02.6.4.51-ref-m.01.02.6.5.11,ref-sifre-d.283.3.19-ref-sifre-d.283.3.27,19523,19595,2992,3004,ref-m.00001.00002.00006.00004.00051,ref-m.00001.00002.00006.00005.00011,266497,266553,44600,44608,ref-sifre-d.00283.00003.00019,ref-sifre-d.00283.00003.00027,אינו שכחה שני עומרים שכחה ושלשה אינן שכחה שני צבורי זיתים וחרובין שכחה ,ושכחו מודים שאין שכחה העומר ששכחוהו פועלים ולא שכחו ,ref-sifre-d
14697,ref-m.01.02.6.5.1-ref-m.01.02.6.5.24,ref-sifre-d.284.1.23-ref-sifre-d.284.2.2,19533,19664,2994,3017,ref-m.00001.00002.00006.00005.00001,ref-m.00001.00002.00006.00005.00024,267803,267838,44813,44819,ref-sifre-d.00284.00001.00023,ref-sifre-d.00284.00002.00002,שני עומרים שכחה ושלשה אינן שכחה שני צבורי זיתים וחרובין שכחה ושלשה אינן שכחה שני הוצני פשתן שכחה ושלשה אינן שכחה שני גרגרים פרט ,שני מלבנין נשכחו אינן שכחה זיתך פרט ,ref-sifre-d
14698,ref-m.01.02.6.5.1-ref-m.01.02.6.5.14,ref-sifre-d.284.6.34-ref-sifre-d.284.6.48,19533,19612,2994,3007,ref-m.00001.00002.00006.00005.00001,ref-m.00001.00002.00006.00005.00014,268237,268312,44891,44905,ref-sifre-d.00284.00006.00034,ref-sifre-d.00284.00006.00048,שני עומרים שכחה ושלשה אינן שכחה שני צבורי זיתים וחרובין שכחה ושלשה אינן שכחה ,ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו שכחה ,ref-sifre-d
14699,ref-m.01.02.6.6.1-ref-m.01.02.6.7.4,ref-sifre-d.283.4.16-ref-sifre-d.283.4.85,19789,20182,3037,3095,ref-m.00001.00002.00006.00006.00001,ref-m.00001.00002.00006.00007.00004,266726,267083,44638,44694,ref-sifre-d.00283.00004.00016,ref-sifre-d.00283.00004.00085,העומר שיש בו סאתים ושכחו אינו שכחה שני עומרים ובהם סאתים רבן_גמליאל_אומר לבעל הבית וחכמים אומרים לעניים אמר_רבן_גמליאל וכי מרוב העמרים יופי כח של_בעל_הבית או הורע כחו אמרו לו יופי כחו אמר להם ומה אם בזמן שהוא עומר אחד ובו סאתים ושכחו אינו שכחה שני עמרים ובהם סאתים אינו_דין_שלא יהא שכחה אמרו_לו_לא_אם_אמרת בעומר אחד שהוא כגדיש תאמר בשני עמרים שהן ככריכות קמה שיש בה סאתים ,"העומר שיש בו סאתים ושכחו אין שכחה שני עומרים ובהם סאתים רבן_גמליאל_אומר לבעל הבית וחכ""א לעניים אמר להם רבן גמליאל וכי מרוב העומרים יופי כחו של_בעל_הבית או הורע כחו אמרו לו יופי כחו אמר להם אם בזמן שהוא עומר אחר ובו סאתים ושכחו אינו שכחה שני עומרים ובהם סאתים אינו_דין_שלא יהו שכחה אמרו לו אם אמרת בעומר אחד שהוא כגדיש תאמר בשני עמרין שהן ",ref-sifre-d
14700,ref-m.01.02.6.6.2-ref-m.01.02.6.6.7,ref-sifre-d.284.6.31-ref-sifre-d.284.6.36,19796,19825,3038,3042,ref-m.00001.00002.00006.00006.00002,ref-m.00001.00002.00006.00006.00007,268223,268253,44889,44893,ref-sifre-d.00284.00006.00031,ref-sifre-d.00284.00006.00036,שיש בו סאתים ושכחו אינו שכחה ,שיש בו סאתים ושכחו אינו שכחה ,ref-sifre-d
14701,ref-m.01.02.6.6.69-ref-m.01.02.6.7.7,ref-sifre-d.283.1.18-ref-sifre-d.283.1.24,20135,20199,3088,3098,ref-m.00001.00002.00006.00006.00069,ref-m.00001.00002.00006.00007.00007,265997,266030,44516,44522,ref-sifre-d.00283.00001.00018,ref-sifre-d.00283.00001.00024,תאמר בשני עמרים שהן ככריכות קמה שיש בה סאתים ושכחה אינה שכחה ,אמרו שני עומרים שכחה ג' אינם שכחה ,ref-sifre-d
14702,ref-m.01.02.6.8.1-ref-m.01.02.6.8.17,ref-sifre-d.283.2.41-ref-sifre-d.283.2.55,20293,20375,3117,3130,ref-m.00001.00002.00006.00008.00001,ref-m.00001.00002.00006.00008.00017,266293,266365,44566,44577,ref-sifre-d.00283.00002.00041,ref-sifre-d.00283.00002.00055,הקמה מצלת את העומר ואת הקמה העומר אינו מציל לא את העומר ולא את הקמה איזו היא ,מציל לא את העומר ולא את הקמה תאמר בקמה שהיא מצלת את העומר ואת הקמה ,ref-sifre-d
14703,ref-m.01.02.7.1.39-ref-m.01.02.7.2.16,ref-sifre-d.284.6.30-ref-sifre-d.284.6.47,21158,21302,3253,3276,ref-m.00001.00002.00007.00001.00039,ref-m.00001.00002.00007.00002.00016,268219,268307,44888,44904,ref-sifre-d.00284.00006.00030,ref-sifre-d.00284.00006.00047,הזיתים שנים שכחה ושלשה אינן שכחה רבי_יוסי_אומר_אין שכחה לזיתים זית שנמצא עומד בין שלש שורות של שני מלבנים ושכחו אינו שכחה זית שיש בו סאתים ,זית שיש בו סאתים ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו ,ref-sifre-d
14704,ref-m.01.02.7.1.40-ref-m.01.02.7.2.9,ref-sifre-d.284.1.19-ref-sifre-d.284.2.4,21166,21267,3254,3270,ref-m.00001.00002.00007.00001.00040,ref-m.00001.00002.00007.00002.00009,267786,267851,44809,44821,ref-sifre-d.00284.00001.00019,ref-sifre-d.00284.00002.00004,שנים שכחה ושלשה אינן שכחה רבי_יוסי_אומר_אין שכחה לזיתים זית שנמצא עומד בין שלש שורות של שני מלבנים ,בין שלש שורות של שני מלבנין נשכחו אינן שכחה זיתך פרט לאחרים זיתך ,ref-sifre-d
