,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
15332,ref-m.01.01.8.6.3-ref-m.01.01.8.6.12,ref-sifre-n.16.1.110-ref-sifre-n.16.1.116,9257,9307,1411,1416,ref-m.00001.00001.00008.00006.00003,ref-m.00001.00001.00008.00006.00012,27523,27557,4197,4201,ref-sifre-n.00016.00001.00110,ref-sifre-n.00016.00001.00116,לא על הנר ולא על הבשמים של_עובדי_כוכבים ולא על ,לא על הלוח ולא על הנייר ולא על ,ref-sifre-n
15333,ref-m.01.02.1.6.5-ref-m.01.02.1.6.29,ref-sifre-n.110.2.263-ref-sifre-n.110.2.276,12289,12437,1895,1919,ref-m.00001.00002.00001.00006.00005,ref-m.00001.00002.00001.00006.00029,159403,159493,25069,25082,ref-sifre-n.00110.00002.00263,ref-sifre-n.00110.00002.00276,פאה ופטור מן המעשרות עד שימרח ונותן משום הפקר ופטור מן המעשרות עד שימרח ומאכיל לבהמה ולחיה ולעופות ופטור מן המעשרות עד שימרח ונוטל מן ,ופאה שמינם חיבת במעשרות לפיכך חייבים בחלה תאמר בעיסת שביעית שמינם פטורים מן המעשרות ,ref-sifre-n
15334,ref-m.01.02.4.6.9-ref-m.01.02.4.6.15,ref-sifre-n.110.2.138-ref-sifre-n.110.2.145,16311,16347,2518,2524,ref-m.00001.00002.00004.00006.00009,ref-m.00001.00002.00004.00006.00015,158690,158732,24954,24961,ref-sifre-n.00110.00002.00138,ref-sifre-n.00110.00002.00145,פטור מן הלקט ומן השכחה ומן הפאה ,פטורים מן החלה לקט שכחה ופאה שפטורים מן ,ref-sifre-n
15335,ref-m.01.03.5.10.34-ref-m.01.03.5.11.14,ref-sifre-n.120.1.59-ref-sifre-n.120.1.85,31019,31115,4821,4837,ref-m.00001.00003.00005.00010.00034,ref-m.00001.00003.00005.00011.00014,201025,201178,31816,31840,ref-sifre-n.00120.00001.00059,ref-sifre-n.00120.00001.00085,עליה תרומות ומעשרות תרם מן הדמאי על הדמאי מדמאי על הודאי תרומה ויחזור ויתרום מן הודאי על ,מעשר בפירות והרמותם ממנו ממין על מינו ולא ממין על שאינו מינו והרמותם ממנו מופנה להקיש ולדון ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על ,ref-sifre-n
15336,ref-m.01.04.1.9.36-ref-m.01.04.2.1.1,ref-sifre-n.110.2.28-ref-sifre-n.110.2.38,36319,36390,5659,5672,ref-m.00001.00004.00001.00009.00036,ref-m.00001.00004.00002.00001.00001,158041,158121,24854,24864,ref-sifre-n.00110.00002.00028,ref-sifre-n.00110.00002.00038,עד שיהו שני חטים ושעורה או חטה ושתי שעורים או חטה ושעורה וכוסמת כל ,עד שתתגלגל בחטים ותיטמטם בשעורים בלבלה גלגלה בחטים וטימטמה בשעורים האוכל ,ref-sifre-n
15337,ref-m.01.05.1.4.2-ref-m.01.05.1.4.13,ref-sifre-n.70.1.39-ref-sifre-n.70.1.51,50898,50957,7968,7979,ref-m.00001.00005.00001.00004.00002,ref-m.00001.00005.00001.00004.00013,95323,95391,14342,14354,ref-sifre-n.00070.00001.00039,ref-sifre-n.00070.00001.00051,אחד עושה ככר דבלה ושנים אין עושין או שנים עושין ואחד אינו ,היחיד עושה פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין ,ref-sifre-n
15338,ref-m.01.05.2.7.1-ref-m.01.05.2.7.4,ref-sifre-n.110.1.138-ref-sifre-n.110.1.141,53039,53073,8287,8290,ref-m.00001.00005.00002.00007.00001,ref-m.00001.00005.00002.00007.00004,156908,156940,24675,24678,ref-sifre-n.00110.00001.00138,ref-sifre-n.00110.00001.00141,האורז והדוחן והפרגין והשומשמין ,אורז ודוחן והפרגים והשומשומים ,ref-sifre-n
15339,ref-m.01.05.9.9.30-ref-m.01.05.9.9.38,ref-sifre-n.110.2.294-ref-sifre-n.110.2.302,66393,66442,10293,10300,ref-m.00001.00005.00009.00009.00030,ref-m.00001.00005.00009.00009.00038,159590,159638,25099,25106,ref-sifre-n.00110.00002.00294,ref-sifre-n.00110.00002.00302,האוכל מעיסת שביעית עד שלא הורמה חלתה חייב מיתה ,האוכל מעיסת שביעית עד שלא הורמה חלתה חיב מיתה ,ref-sifre-n
15340,ref-m.01.06.1.4.23-ref-m.01.06.1.5.58,ref-sifre-n.120.1.76-ref-sifre-n.120.1.123,68699,69010,10654,10708,ref-m.00001.00006.00001.00004.00023,ref-m.00001.00006.00001.00005.00058,201125,201377,31832,31878,ref-sifre-n.00120.00001.00076,ref-sifre-n.00120.00001.00123,תרומה אין תורמין מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ראשון_שנטלה_תרומתו ולא ממעשר שני_והקדש_שנפדו ולא מן החייב על הפטור ולא מן הפטור על החייב ולא מן התלוש על המחובר ולא מן המחובר על התלוש ולא מן החדש על הישן ולא מן הישן על החדש ולא מפירות הארץ על פירות חוצה לארץ ולא ,"ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא ",ref-sifre-n
15341,ref-m.01.06.1.5.3-ref-m.01.06.1.5.12,ref-sifre-n.110.2.139-ref-sifre-n.110.2.146,68716,68771,10657,10666,ref-m.00001.00006.00001.00005.00003,ref-m.00001.00006.00001.00005.00012,158697,158739,24955,24962,ref-sifre-n.00110.00002.00139,ref-sifre-n.00110.00002.00146,מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ,מן החלה לקט שכחה ופאה שפטורים מן המעשר ,ref-sifre-n
