,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
23372,ref-m.01.01.1.1.1-ref-m.01.01.1.1.10,ref-y.1.1.1.1.1.1-ref-y.1.1.1.1.1.13,0,65,0,8,ref-m.00001.00001.00001.00001.00001,ref-m.00001.00001.00001.00001.00010,0,78,0,9,ref-y.00001.00001.00001.00001.00001.00001,ref-y.00001.00001.00001.00001.00001.00013,מאימתי קורין את שמע בערבית משעה שהכהנים נכנסים לאכול בתרומתן ,מאימתי קורין את שמע בערבין כו'_אנן_תנינן משעה שהכהנים נכנסין לוכל בתרומתן ,ref-y
23373,ref-m.01.01.1.1.26-ref-m.01.01.1.1.49,ref-y.1.1.1.1.31.1-ref-y.1.1.1.1.31.22,148,264,17,35,ref-m.00001.00001.00001.00001.00026,ref-m.00001.00001.00001.00001.00049,12026,12130,1900,1916,ref-y.00001.00001.00001.00001.00031.00001,ref-y.00001.00001.00001.00001.00031.00022,שיעלה עמוד השחר מעשה שבאו בניו מבית המשתה אמרו_לו_לא קרינו את שמע אמר להם אם לא עלה עמוד השחר חייבין אתם לקרות ,מעשה שבאו בניו מבית המשתה אמרו_לו_לא קרינו את שמע מתני' אמר_להן_אם לא עלה עמוד השחר חייבין אתם לקרות ,ref-y
23374,ref-m.01.01.1.1.44-ref-m.01.01.1.1.69,ref-y.1.1.1.1.35.44-ref-y.1.1.1.1.35.64,233,363,30,54,ref-m.00001.00001.00001.00001.00044,ref-m.00001.00001.00001.00001.00069,13810,13919,2181,2200,ref-y.00001.00001.00001.00001.00035.00044,ref-y.00001.00001.00001.00001.00035.00064,עלה עמוד השחר חייבין אתם לקרות ולא זו בלבד אלא כל מה שאמרו חכמים עד חצות מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד ,ולא זו בלבד אלא כל שאמרו חכמ' עד חצו' מצותן עד שיעלה עמוד השחר הקטר חלבים ואיברים ואכילת פסחים מצותן עד ,ref-y
23375,ref-m.01.01.1.1.56-ref-m.01.01.1.1.93,ref-y.1.1.1.1.35.124-ref-y.1.1.1.1.35.144,288,487,41,76,ref-m.00001.00001.00001.00001.00056,ref-m.00001.00001.00001.00001.00093,14229,14332,2253,2271,ref-y.00001.00001.00001.00001.00035.00124,ref-y.00001.00001.00001.00001.00035.00144,שאמרו חכמים עד חצות מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,ref-y
23376,ref-m.01.01.1.1.56-ref-m.01.01.1.1.76,ref-y.1.1.1.1.35.146-ref-y.1.1.1.1.35.172,288,405,41,61,ref-m.00001.00001.00001.00001.00056,ref-m.00001.00001.00001.00001.00076,14336,14469,2273,2294,ref-y.00001.00001.00001.00001.00035.00146,ref-y.00001.00001.00001.00001.00035.00172,שאמרו חכמים עד חצות מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד ,הנאכלין ליום אחד קדשים קלים ואם_כן_למה אמרו חכמים וכו' אם את הוא אומר עד ושיעלה עמוד השחר הוא סבור שלא עלה עמוד השחר נמצא אוכל ,ref-y
23377,ref-m.01.01.1.2.1-ref-m.01.01.1.2.38,ref-y.1.1.1.1.35.188-ref-y.1.1.1.1.35.223,488,689,77,109,ref-m.00001.00001.00001.00002.00001,ref-m.00001.00001.00001.00002.00038,14545,14731,2307,2338,ref-y.00001.00001.00001.00001.00035.00188,ref-y.00001.00001.00001.00001.00035.00223,מאימתי קורין את שמע בשחרית משיכיר בין תכלת ללבן רבי_אליעזר_אומר בין תכלת לכרתי וגומרה עד הנץ החמה רבי_יהושע_אומר עד שלש שעות שכן דרך בני מלכים לעמוד בשלש שעות הקורא מכאן ואילך לא הפסיד כאדם ,מאימתי קורין את שמע בשחרית משיכיר בין תכלת ללבן רבי_אליעזר_אומר בין תכלת לכרתן עד הנץ החמה ור' יהושע או' עד שלש שעות שכן דרך מלכים לעמוד בשלש שעות הקורא מיכן ואילך לא הפסיד כאדם ,ref-y
23378,ref-m.01.01.1.3.4-ref-m.01.01.1.3.37,ref-y.1.1.1.2.8.290-ref-y.1.1.1.2.8.327,720,916,113,139,ref-m.00001.00001.00001.00003.00004,ref-m.00001.00001.00001.00003.00037,18329,18549,2872,2904,ref-y.00001.00001.00001.00002.00008.00290,ref-y.00001.00001.00001.00002.00008.00327,בערב כל אדם יטו ויקראו ובבוקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורא כדרכו שנאמר ובלכתך בדרך אם_כן_למה_נאמר ובשכבך ובקומך בשעה שבני אדם שוכבים ובשעה שבני אדם עומדים ,"בערב כל אדם יטו ויקרו ובבוק יעמודו שנאמר בשבתך בביתך ובלכתך בדרך ובשכבך ובקומך וב""ה אומרים כל אדם קורין כדרכן שנ' ובלבתך בדרך אם_כן_למה_נאמר ובשכבך ובקומך אלא בשעה שבני אדם שוכבין ובשעה שבני אדם עומדין ",ref-y
23379,ref-m.01.01.1.3.38-ref-m.01.01.1.3.63,ref-y.1.1.1.3.2.81-ref-y.1.1.1.3.2.105,917,1059,140,160,ref-m.00001.00001.00001.00003.00038,ref-m.00001.00001.00001.00003.00063,19117,19249,2988,3010,ref-y.00001.00001.00001.00003.00002.00081,ref-y.00001.00001.00001.00003.00002.00105,אמר רבי טרפון אני הייתי בא בדרך והטיתי לקרות כדברי_בית_שמאי וסכנתי בעצמי מפני הלסטים אמרו לו כדי היית לחוב בעצמך שעברת על דברי בית הלל ,"א""ר טרפון אני הייתי בא בדרך והטיתי לקרו' כדברי ב""ש וסיכנתי בעצמי מפני הליסטין אמרו לו כדיי היית לחוב על עצמך שעבר' על דברי ב""ה ",ref-y
23380,ref-m.01.01.1.4.1-ref-m.01.01.1.4.33,ref-y.1.1.1.4.3.104-ref-y.1.1.1.4.3.137,1060,1249,161,193,ref-m.00001.00001.00001.00004.00001,ref-m.00001.00001.00001.00004.00033,20761,20954,3254,3287,ref-y.00001.00001.00001.00004.00003.00104,ref-y.00001.00001.00001.00004.00003.00137,בשחר מברך שתים לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה אחת ארוכה ואחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום ושלא לחתום אינו ,בשחר מברך שתים לפניה ואחת לאחריה ובערב מברך שתים לפניה ושתים לאחריה אחת ארוכה ואחת קצרה מקו' שאמרו להאריך אינו שאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו ,ref-y
23381,ref-m.01.01.1.4.3-ref-m.01.01.1.4.11,ref-y.3.1.4.2.2.18-ref-y.3.1.4.2.2.35,1071,1128,163,171,ref-m.00001.00001.00001.00004.00003,ref-m.00001.00001.00001.00004.00011,2095357,2095440,313497,313511,ref-y.00003.00001.00004.00002.00002.00018,ref-y.00003.00001.00004.00002.00002.00035,שתים לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה ,לפניו שני זיתים אחד של חלב ואחר של שומן ואכל א' מהן ובא עורב ואכל את השני מאחר ,ref-y
