,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-mek.1.1.1.157-ref-mek.1.1.1.179,ref-b.02.12.02.12a.16.13-ref-b.02.12.02.12a.16.36,762,883,113,130,ref-mek.00001.00001.00001.00157,ref-mek.00001.00001.00001.00179,2792366,2792492,385127,385144,ref-b.00002.00012.00002.0012a.00016.00013,ref-b.00002.00012.00002.0012a.00016.00036,אומר בראשית ברא אלהים את_השמים_ואת_הארץ שומע_אני_כל הקודם במקרא קודם במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,שנאמר בראשית ברא אלהים את_השמים_ואת_הארץ ובית_הלל_אומרים ארץ נבראת תחלה ואחר כך שמים שנאמר ביום עשות ה' אלהים ארץ ושמים ,ref-b
1,ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-b.02.05.05.54b.5.11-ref-b.02.05.05.54b.5.16,853,883,125,130,ref-mek.00001.00001.00001.00174,ref-mek.00001.00001.00001.00179,1840532,1840562,252263,252268,ref-b.00002.00005.00005.0054b.00005.00011,ref-b.00002.00005.00005.0054b.00005.00016,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,ref-b
2,ref-mek.1.1.1.191-ref-mek.1.1.1.204,ref-b.02.04.08.88a.3.16-ref-b.02.04.08.88a.3.25,944,1016,138,149,ref-mek.00001.00001.00001.00191,ref-mek.00001.00001.00001.00204,1573201,1573252,214352,214361,ref-b.00002.00004.00008.0088a.00003.00016,ref-b.00002.00004.00008.0088a.00003.00025,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע_אני_כל הקודם בדבר ,בית אלהי יעקב וגו' אלהי יעקב ולא אלהי אברהם ויצחק ,ref-b
3,ref-mek.1.1.1.192-ref-mek.1.1.1.204,ref-b.01.01.09.64a.6.13-ref-b.01.01.09.64a.6.20,949,1016,139,149,ref-mek.00001.00001.00001.00192,ref-mek.00001.00001.00001.00204,354779,354821,49612,49619,ref-b.00001.00001.00009.0064a.00006.00013,ref-b.00001.00001.00009.0064a.00006.00020,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע_אני_כל הקודם בדבר ,אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק ,ref-b
4,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.04.04.11.107a.2.28-ref-b.04.04.11.107a.2.33,949,991,139,146,ref-mek.00001.00001.00001.00192,ref-mek.00001.00001.00001.00199,6386044,6386076,891940,891945,ref-b.00004.00004.00011.0107a.00002.00028,ref-b.00004.00004.00011.0107a.00002.00033,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי יצחק ואלהי יעקב ,ref-b
5,ref-mek.1.1.1.347-ref-mek.1.1.1.356,ref-b.05.01.14.119a.11.9-ref-b.05.01.14.119a.11.22,1768,1816,259,268,ref-mek.00001.00001.00001.00347,ref-mek.00001.00001.00001.00356,7133980,7134045,1001177,1001190,ref-b.00005.00001.00014.0119a.00011.00009,ref-b.00005.00001.00014.0119a.00011.00022,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,ואומר זאת מנוחתי עדי עד פה אשב כי אויתיה ואומר כי בחר ה' בציון ,ref-b
6,ref-mek.1.1.1.347-ref-mek.1.1.1.351,ref-b.05.02.09.87a.19.12-ref-b.05.02.09.87a.19.21,1768,1791,259,263,ref-mek.00001.00001.00001.00347,ref-mek.00001.00001.00001.00351,7409388,7409428,1040662,1040668,ref-b.00005.00002.00009.0087a.00019.00012,ref-b.00005.00002.00009.0087a.00019.00021,שנאמר כי בחר ה' בציון ,אמרי אמר_רבא_בר_רב שילא כי בחר ה' בציון ,ref-b
7,ref-mek.1.1.1.377-ref-mek.1.1.1.388,ref-b.03.05.09.49a.2.9-ref-b.03.05.09.49a.2.19,1919,1982,286,296,ref-mek.00001.00001.00001.00377,ref-mek.00001.00001.00001.00388,4078696,4078746,563721,563730,ref-b.00003.00005.00009.0049a.00002.00009,ref-b.00003.00005.00009.0049a.00002.00019,ה' ואומר והיתה לו ולזרעו אחריו עד שלא נבחר דוד היו כל ישראל ,דוד היו כל ישראל מוכרי רבב שנאמר שיתה ה' מורה להם ,ref-b
8,ref-mek.1.1.1.480-ref-mek.1.1.1.488,ref-b.02.01.06.63a.19.21-ref-b.02.01.06.63a.19.28,2455,2498,379,386,ref-mek.00001.00001.00001.00480,ref-mek.00001.00001.00001.00488,571219,571256,79285,79292,ref-b.00002.00001.00006.0063a.00019.00021,ref-b.00002.00001.00006.0063a.00019.00028,ואומר היה היה דבר ה' וגו' ויש אומרים נדבר ,שנאמר אז נדברו יראי ה' וגו' אין דבור ,ref-b
9,ref-mek.1.1.1.562-ref-mek.1.1.1.566,ref-b.04.04.04.38a.18.16-ref-b.04.04.04.38a.18.22,2863,2889,453,457,ref-mek.00001.00001.00001.00562,ref-mek.00001.00001.00001.00566,6078252,6078289,845303,845309,ref-b.00004.00004.00004.0038a.00018.00016,ref-b.00004.00004.00004.0038a.00018.00022,עיני ה' משוטטות בכל הארץ ,עיניך כי ה' עיניו משוטטות בכל הארץ א,ref-b
10,ref-mek.1.1.1.561-ref-mek.1.1.1.566,ref-b.04.03.01.16a.3.18-ref-b.04.03.01.16a.3.29,2858,2889,452,457,ref-mek.00001.00001.00001.00561,ref-mek.00001.00001.00001.00566,5561979,5562037,772725,772732,ref-b.00004.00003.00001.0016a.00003.00018,ref-b.00004.00003.00001.0016a.00003.00029,וגו' עיני ה' משוטטות בכל הארץ ,ה' ויאמר משט בארץ וגו' אמר_לפניו_רבונו_של_עולם שטתי בכל ,ref-b
