,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
2453,ref-mek.1.1.1.190-ref-mek.1.1.1.199,ref-bible.0102.3.6.2-ref-bible.0102.3.6.10,939,991,137,146,ref-mek.00001.00001.00001.00190,ref-mek.00001.00001.00001.00199,109149,109196,19516,19524,ref-bible.00102.00003.00006.00002,ref-bible.00102.00003.00006.00010,אנכי האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אנכי אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,ref-bible
2454,ref-mek.1.1.1.190-ref-mek.1.1.1.209,ref-bible.0101.28.13.1-ref-bible.0101.28.13.12,939,1044,137,154,ref-mek.00001.00001.00001.00190,ref-mek.00001.00001.00001.00209,53294,53357,9473,9484,ref-bible.00101.00028.00013.00001,ref-bible.00101.00028.00013.00012,אנכי האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע_אני_כל הקודם בדבר הוא חשוב מחברו כשהוא אומר ,והנה יהוה נצב עליו ויאמר אני יהוה אלהי אברהם אביך ואלהי יצחק ,ref-bible
2455,ref-mek.1.1.1.191-ref-mek.1.1.1.204,ref-bible.0102.4.5.5-ref-bible.0102.4.6.3,944,1016,138,149,ref-mek.00001.00001.00001.00191,ref-mek.00001.00001.00001.00204,111071,111138,19828,19840,ref-bible.00102.00004.00005.00005,ref-bible.00102.00004.00006.00003,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע_אני_כל הקודם בדבר ,אליך יהוה אלהי אבתם אלהי אברהם אלהי יצחק ואלהי יעקב ויאמר יהוה לו ,ref-bible
2456,ref-mek.1.1.1.193-ref-mek.1.1.1.199,ref-bible.0102.3.15.13-ref-bible.0102.3.15.19,954,991,140,146,ref-mek.00001.00001.00001.00193,ref-mek.00001.00001.00001.00199,110028,110067,19657,19663,ref-bible.00102.00003.00015.00013,ref-bible.00102.00003.00015.00019,אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אבתיכם אלהי אברהם אלהי יצחק ואלהי יעקב ,ref-bible
2457,ref-mek.1.1.1.210-ref-mek.1.1.1.220,ref-bible.0103.26.42.1-ref-bible.0103.26.42.12,1045,1102,155,163,ref-mek.00001.00001.00001.00210,ref-mek.00001.00001.00001.00220,249427,249488,42964,42972,ref-bible.00103.00026.00042.00001,ref-bible.00103.00026.00042.00012,וזכרתי את בריתי יעקב ואך בריתי יצחק ואף את בריתי אברהם ,וזכרתי את בריתי יעקוב ואף את בריתי יצחק ואף את בריתי אברהם ,ref-bible
2458,ref-mek.1.1.1.348-ref-mek.1.1.1.356,ref-bible.0301.132.13.1-ref-bible.0301.132.14.4,1775,1816,260,268,ref-mek.00001.00001.00001.00348,ref-mek.00001.00001.00001.00356,1245864,1245914,212269,212279,ref-bible.00301.00132.00013.00001,ref-bible.00301.00132.00014.00004,כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,כי בחר יהוה בציון אוה למושב לו זאת מנוחתי עדי עד ,ref-bible
2459,ref-mek.1.1.1.372-ref-mek.1.1.1.381,ref-bible.0104.18.19.16-ref-bible.0104.18.19.23,1896,1946,281,290,ref-mek.00001.00001.00001.00372,ref-mek.00001.00001.00001.00381,296846,296884,50020,50027,ref-bible.00104.00018.00019.00016,ref-bible.00104.00018.00019.00023,ברית מלח עולם היא לפני ה' ואומר והיתה לו ולזרעו ,ברית מלח עולם הוא לפני יהוה לך ולזרעך ,ref-bible
2460,ref-mek.1.1.1.398-ref-mek.1.1.1.407,ref-bible.0313.13.5.1-ref-bible.0313.13.5.10,2030,2078,304,312,ref-mek.00001.00001.00001.00398,ref-mek.00001.00001.00001.00407,1538263,1538312,264132,264139,ref-bible.00313.00013.00005.00001,ref-bible.00313.00013.00005.00010,הלא לכם לדעת כי אלהי ישראל נתן את הממלכה לדוד ,הלא לכם לדעת כי יהוה_אלהי_ישראל נתן ממלכה לדויד ,ref-bible
2461,ref-mek.1.1.1.441-ref-mek.1.1.1.445,ref-bible.0208.31.16.4-ref-bible.0208.31.16.8,2244,2273,340,344,ref-mek.00001.00001.00001.00441,ref-mek.00001.00001.00001.00445,927431,927460,157455,157459,ref-bible.00208.00031.00016.00004,ref-bible.00208.00031.00016.00008,מנעי קולך מבכי ועיניך מדמעה ,מנעי קולך מבכי ועיניך מדמעה ,ref-bible
2462,ref-mek.1.1.1.473-ref-mek.1.1.1.479,ref-bible.0311.10.4.6-ref-bible.0311.10.4.13,2418,2454,372,378,ref-mek.00001.00001.00001.00473,ref-mek.00001.00001.00001.00479,1449861,1449900,249405,249411,ref-bible.00311.00010.00004.00006,ref-bible.00311.00010.00004.00013,ואני הייתי על הנהר הגדול הוא חדקל ,ואני הייתי על יד הנהר הגדול הוא חדקל ,ref-bible
