,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
3790,ref-mek.1.1.1.481-ref-mek.1.1.1.500,ref-m.02.09.2.3.37-ref-m.02.09.2.3.46,2462,2558,380,398,ref-mek.00001.00001.00001.00481,ref-mek.00001.00001.00001.00500,259043,259086,40153,40162,ref-m.00002.00009.00002.00003.00037,ref-m.00002.00009.00002.00003.00046,היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו בחוצה לארץ שנאמר היה היה דבר ה' היה ,יהיה בארץ דבר כי יהיה בארץ אשר היה דבר ה' ,ref-m
3791,ref-mek.1.1.1.1030-ref-mek.1.1.1.1041,ref-m.04.09.5.19.87-ref-m.04.09.5.20.8,5350,5405,879,888,ref-mek.00001.00001.00001.01030,ref-mek.00001.00001.00001.01041,616404,616454,95966,95976,ref-m.00004.00009.00005.00019.00087,ref-m.00004.00009.00005.00020.00008,אומר לאמר בקול שאתה שומע בו בו למד ר'_עקיבא_אומר לאמר ,ואני אבטח בך יהודה בן תימא אומר הוי עז כנמר וקל ,ref-m
3792,ref-mek.1.2.1.202-ref-mek.1.2.1.209,ref-m.02.08.1.1.28-ref-m.02.08.1.1.32,7636,7690,1277,1284,ref-mek.00001.00002.00001.00202,ref-mek.00001.00002.00001.00209,248415,248458,38511,38515,ref-m.00002.00008.00001.00001.00028,ref-m.00002.00008.00001.00001.00032,לשנים ולא לשמטין ויובלות ולא לנטיעה ולא לירקות ,לשנים ולשמיטין וליובלות לנטיעה ולירקות ,ref-m
3793,ref-mek.1.2.1.232-ref-mek.1.2.1.237,ref-m.02.08.1.1.28-ref-m.02.08.1.1.32,7804,7849,1305,1310,ref-mek.00001.00002.00001.00232,ref-mek.00001.00002.00001.00237,248415,248458,38511,38515,ref-m.00002.00008.00001.00001.00028,ref-m.00002.00008.00001.00001.00032,לשנים ולא לשמטין ויובלות לנטיעה ולירקות ,לשנים ולשמיטין וליובלות לנטיעה ולירקות ,ref-m
3794,ref-mek.1.4.2.66-ref-mek.1.4.2.72,ref-m.02.03.9.5.3-ref-m.02.03.9.5.10,11551,11591,1878,1884,ref-mek.00001.00004.00002.00066,ref-mek.00001.00004.00002.00072,194940,194984,30032,30039,ref-m.00002.00003.00009.00005.00003,ref-m.00002.00003.00009.00005.00010,פסח דורות שפסח מצרים מקחו מבעשור ופסח ,פסח מצרים לפסח דורות פסח מצרים מקחו מבעשור ,ref-m
3795,ref-mek.1.4.2.107-ref-mek.1.4.2.129,ref-m.03.05.1.4.46-ref-m.03.05.1.5.2,11756,11882,1916,1938,ref-mek.00001.00004.00002.00107,ref-mek.00001.00004.00002.00129,385298,385329,59987,59993,ref-m.00003.00005.00001.00004.00046,ref-m.00003.00005.00001.00005.00002,לבית אבות אין לבית אבות אלא למשפחות שנאמר למשפחותם לבית אבותם והרי שהיו עשר משפחות לבית אב אחד שומע אני שה אחד לכולם ,היא וכל משפחת בית אביה אם אמרה ,ref-m
3796,ref-mek.1.4.3.9-ref-mek.1.4.3.17,ref-m.02.03.8.3.24-ref-m.02.03.8.3.40,11950,12002,1949,1957,ref-mek.00001.00004.00003.00009,ref-mek.00001.00004.00003.00017,193205,193292,29751,29762,ref-m.00002.00003.00008.00003.00024,ref-m.00002.00003.00008.00003.00040,שלעולם נמנין על הפסח ומושכים ידיהם ממנו עד שישחט ,לעולם נימנין עליו עד_שיהא_בו כזית לכל_אחד_ואחד נימנין ומושכין את ידיהן ממנו עד שישחט ,ref-m
3797,ref-mek.1.4.3.165-ref-mek.1.4.3.184,ref-m.02.03.8.7.19-ref-m.02.03.8.8.3,12770,12889,2068,2085,ref-mek.00001.00004.00003.00165,ref-mek.00001.00004.00003.00184,193951,194034,29873,29886,ref-m.00002.00003.00008.00007.00019,ref-m.00002.00003.00008.00008.00003,הקטן שאינן יכולין לאכול כזית תלמוד_לומר_איש לפי אכלו יצאו החולה והקטן שאינן יכולין לאכול כזית שאין שוחטין עליהן ,לאכול כזית אין שוחטין עליהן ואין עושין חבורת נשים ועבדים וקטנים אונן טובל ואוכל ,ref-m
3798,ref-mek.1.4.3.176-ref-mek.1.4.3.186,ref-m.02.03.8.6.11-ref-m.02.03.8.6.21,12831,12898,2077,2087,ref-mek.00001.00004.00003.00176,ref-mek.00001.00004.00003.00186,193659,193721,29823,29833,ref-m.00002.00003.00008.00006.00011,ref-m.00002.00003.00008.00006.00021,החולה והקטן שאינן יכולין לאכול כזית שאין שוחטין עליהן תכוסו על ,והחולה והזקן שהן יכולין לאכול כזית שוחטין עליהן על כולן אין ,ref-m
3799,ref-mek.1.4.3.210-ref-mek.1.4.3.218,ref-m.02.03.8.3.34-ref-m.02.03.8.3.40,13009,13058,2103,2110,ref-mek.00001.00004.00003.00210,ref-mek.00001.00004.00003.00218,193253,193292,29757,29762,ref-m.00002.00003.00008.00003.00034,ref-m.00002.00003.00008.00003.00040,שנמנים על הפסח ומושכים את ידיהם ממנו עד שישחט ,נימנין ומושכין את ידיהן ממנו עד שישחט ,ref-m
3800,ref-mek.1.5.1.26-ref-mek.1.5.1.45,ref-m.03.04.3.6.39-ref-m.03.04.3.6.50,13254,13343,2142,2155,ref-mek.00001.00005.00001.00026,ref-mek.00001.00005.00001.00045,372572,372634,57963,57974,ref-m.00003.00004.00003.00006.00039,ref-m.00003.00004.00003.00006.00050,שנה בן שנתו מנין היה ר'_ישמעאל_אומר_קל_וחומר_ומה_אם עולה חמורה כשרה לבא כל שנתה כבת שנתה ,שנים ובא בנה מן המלחמה והיתה נזירה שבע שנים ובסוף שבע שנים ,ref-m
3801,ref-mek.1.5.1.106-ref-mek.1.5.2.29,ref-m.05.02.7.6.12-ref-m.05.02.7.6.26,13648,13876,2193,2223,ref-mek.00001.00005.00001.00106,ref-mek.00001.00005.00002.00029,668280,668354,104092,104106,ref-m.00005.00002.00007.00006.00012,ref-m.00005.00002.00007.00006.00026,להביא מין אחר מה_תלמוד_לומר מן הכבשים ומן העזים מזה_בפני_עצמו ומזה_בפני_עצמו והיה לכם להביא פסח דורות שלא יבוא אלא מן הכשבים ומן העזים דברי_ר'_אליעזר ר'_יאשיה_אומר תקחו למה_נאמר_לפי_שנאמר וזבחת פסח לה' אלהיך צאן ובקר ,וזבחת פסח לה' אלהיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים ,ref-m
3802,ref-mek.1.5.2.117-ref-mek.1.5.2.151,ref-m.05.02.7.6.11-ref-m.05.02.7.6.26,14312,14489,2290,2317,ref-mek.00001.00005.00002.00117,ref-mek.00001.00005.00002.00151,668273,668354,104091,104106,ref-m.00005.00002.00007.00006.00011,ref-m.00005.00002.00007.00006.00026,אמור אם כן מה_תלמוד_לומר וזבחת פסח לה' אלהיך צאן ובקר צאן לפסח ובשר לחגיגה ר'_עקיבא_אומר כתוב_אחד_אומר וזבחת פסח לה' אלהיך צאן ובקר וכתוב אחר אומר מן הכשבים ומן העזים ,שנאמר וזבחת פסח לה' אלהיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים ,ref-m
3803,ref-mek.1.6.1.323-ref-mek.1.6.1.337,ref-m.06.07.6.11.10-ref-m.06.07.6.11.21,16733,16812,2691,2703,ref-mek.00001.00006.00001.00323,ref-mek.00001.00006.00001.00337,985334,985401,153582,153592,ref-m.00006.00007.00006.00011.00010,ref-m.00006.00007.00006.00011.00021,מכל מצות האמורות בתורה סתם כשהוא_אומר_וכי תשגו ולא תעשו וגו' באו כל המצות ,בכל מצות האמורות בתורה וכן תנוק שהביא שתי שערות חייב בכל מצות ,ref-m
3804,ref-mek.1.6.1.582-ref-mek.1.6.1.598,ref-m.05.05.2.5.1-ref-m.05.05.2.5.18,18108,18211,2912,2926,ref-mek.00001.00006.00001.00582,ref-mek.00001.00006.00001.00598,725693,725798,113037,113051,ref-m.00005.00005.00002.00005.00001,ref-m.00005.00005.00002.00005.00018,אין פוחתים מששה טלאים המבוקרין מלשכת הטלאים כדי לשבת ולשני ימים טובים של ראש השנה ומוסיפין לעולם ,אין פוחתין מששה טלאים המבוקרין בלשכת הטלאים כדי לשבת ולשני ימים טובים של_ראש_השנה ומוסיפין עד לעולם ,ref-m
3805,ref-mek.1.6.1.603-ref-mek.1.6.1.609,ref-m.02.03.9.5.3-ref-m.02.03.9.5.10,18236,18275,2929,2935,ref-mek.00001.00006.00001.00603,ref-mek.00001.00006.00001.00609,194940,194984,30032,30039,ref-m.00002.00003.00009.00005.00003,ref-m.00002.00003.00009.00005.00010,פסח דורות שפסח מצרים מקחו בעשור ופסח ,פסח מצרים לפסח דורות פסח מצרים מקחו מבעשור ,ref-m
3806,ref-mek.1.6.1.695-ref-mek.1.6.1.703,ref-m.02.09.4.2.6-ref-m.02.09.4.2.14,18698,18740,3004,3009,ref-mek.00001.00006.00001.00695,ref-mek.00001.00006.00001.00703,263883,263925,40865,40870,ref-m.00002.00009.00004.00002.00006,ref-m.00002.00009.00004.00002.00014,צו את_בני_ישראל ואמרת אליהם את קרבני לחמי ,צו את בני ישראל ואמרת אליהם את קרבני לחמי ,ref-m
3807,ref-mek.1.6.1.770-ref-mek.1.6.1.776,ref-m.02.03.5.5.1-ref-m.02.03.5.5.11,19078,19117,3066,3072,ref-mek.00001.00006.00001.00770,ref-mek.00001.00006.00001.00776,186793,186850,28736,28746,ref-m.00002.00003.00005.00005.00001,ref-m.00002.00003.00005.00005.00011,הפסח נשחט בשלש כתות קהל ועדה וישראל ,הפסח נשחט בשלש כתות שנאמר ושחטו אותו כל קהל עדת ישראל ,ref-m
3808,ref-mek.1.7.2.48-ref-mek.1.7.2.82,ref-m.01.01.1.1.59-ref-m.01.01.1.1.93,20903,21096,3343,3377,ref-mek.00001.00007.00002.00048,ref-mek.00001.00007.00002.00082,304,487,44,76,ref-m.00001.00001.00001.00001.00059,ref-m.00001.00001.00001.00001.00093,עמוד השחר מכאן אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות כדי להרחיק אדם מן העבירה ,חצות מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,ref-m
