,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
4119,ref-mek.1.1.1.856-ref-mek.1.1.1.880,ref-sifra.2.01-02.13.36-ref-sifra.2.01-02.13.47,4375,4508,726,745,ref-mek.00001.00001.00001.00856,ref-mek.00001.00001.00001.00880,10280,10348,1635,1646,ref-sifra.00002.01-02.00013.00036,ref-sifra.00002.01-02.00013.00047,לאמר צא ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם ,לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר ,ref-sifra
4120,ref-mek.1.1.1.874-ref-mek.1.1.1.883,ref-sifra.5.1.36.5-ref-sifra.5.1.36.14,4475,4521,740,748,ref-mek.00001.00001.00001.00874,ref-mek.00001.00001.00001.00883,250554,250602,36857,36866,ref-sifra.00005.00001.00036.00005,ref-sifra.00005.00001.00036.00014,דבר שנאמר וישב משה את דברי העם אל ה' ואומר ,דבר ה' לאמר בקרבי אקדש זה דבור נאמר בסיני למשה ,ref-sifra
4121,ref-mek.1.1.1.1041-ref-mek.1.1.1.1067,ref-sifra.2.01-02.13.24-ref-sifra.2.01-02.13.57,5401,5533,888,912,ref-mek.00001.00001.00001.01041,ref-mek.00001.00001.00001.01067,10227,10369,1627,1648,ref-sifra.00002.01-02.00013.00024,ref-sifra.00002.01-02.00013.00057,"לאמר צא ואמור להם שבזכותם היה מדבר עמי שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ",כאשר תמו כל אנשי המלחמה למות וידבר_ה'_אלי  דבר אחר לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר         ומנין שהיה ,ref-sifra
4122,ref-mek.1.1.1.1041-ref-mek.1.1.1.1061,ref-sifra.2.01-02.13.1-ref-sifra.2.01-02.13.23,5401,5503,888,906,ref-mek.00001.00001.00001.01041,ref-mek.00001.00001.00001.01061,10106,10226,1605,1626,ref-sifra.00002.01-02.00013.00001,ref-sifra.00002.01-02.00013.00023,"לאמר צא ואמור להם שבזכותם היה מדבר עמי שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי ","לאמר אמור להם דברי כבושים בשבילכם מדבר עמי שכן מצאנו שכל ל""ח שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי ",ref-sifra
4123,ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.01-02.12.30-ref-sifra.2.01-02.12.38,5574,5617,917,923,ref-mek.00001.00001.00001.01077,ref-mek.00001.00001.00001.01084,9608,9655,1528,1535,ref-sifra.00002.01-02.00012.00030,ref-sifra.00002.01-02.00012.00038,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,אין אני כמשיב על דברי רבי אלא כמוסיף על דבריו ,ref-sifra
4124,ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.01-02.12.112-ref-sifra.2.01-02.12.119,5574,5617,917,923,ref-mek.00001.00001.00001.01077,ref-mek.00001.00001.00001.01084,9991,10035,1586,1592,ref-sifra.00002.01-02.00012.00112,ref-sifra.00002.01-02.00012.00119,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,איני כמשיב על דברי רבי אלא כמוסיף על דבריו ,ref-sifra
4125,ref-mek.1.1.1.1103-ref-mek.1.1.1.1116,ref-sifra.4.29.37.48-ref-sifra.4.29.37.58,5699,5776,941,954,ref-mek.00001.00001.00001.01103,ref-mek.00001.00001.00001.01116,234919,234974,34309,34319,ref-sifra.00004.00029.00037.00048,ref-sifra.00004.00029.00037.00058,שנאמר ואשב שבעת ימים משמים בתוכם וכתיב ויהי מקצה שבעת ימים ויהי דבר ה' ,שבעת הימים צוה ה' לעשות לכפר עליכם מכאן אמרו שבעת ימים ,ref-sifra
4126,ref-mek.1.1.1.1103-ref-mek.1.1.1.1114,ref-sifra.12.08-00.4.8-ref-sifra.12.08-00.4.17,5699,5769,941,952,ref-mek.00001.00001.00001.01103,ref-mek.00001.00001.00001.01114,565922,565971,86147,86156,ref-sifra.00012.08-00.00004.00008,ref-sifra.00012.08-00.00004.00017,שנאמר ואשב שבעת ימים משמים בתוכם וכתיב ויהי מקצה שבעת ימים ויהי ,והיה שבעת ימים תחת אמו לפי שנאמר שבעת ימים יהיה ,ref-sifra
4127,ref-mek.1.5.1.106-ref-mek.1.5.2.29,ref-sifra.4.06-00.11.13-ref-sifra.4.06-00.11.27,13648,13876,2193,2223,ref-mek.00001.00005.00001.00106,ref-mek.00001.00005.00002.00029,193569,193643,28027,28041,ref-sifra.00004.06-00.00011.00013,ref-sifra.00004.06-00.00011.00027,להביא מין אחר מה_תלמוד_לומר מן הכבשים ומן העזים מזה_בפני_עצמו ומזה_בפני_עצמו והיה לכם להביא פסח דורות שלא יבוא אלא מן הכשבים ומן העזים דברי_ר'_אליעזר ר'_יאשיה_אומר תקחו למה_נאמר_לפי_שנאמר וזבחת פסח לה' אלהיך צאן ובקר ,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים ,ref-sifra
4128,ref-mek.1.5.2.123-ref-mek.1.5.2.151,ref-sifra.4.06-00.11.13-ref-sifra.4.06-00.11.27,14337,14489,2293,2317,ref-mek.00001.00005.00002.00123,ref-mek.00001.00005.00002.00151,193569,193643,28027,28041,ref-sifra.00004.06-00.00011.00013,ref-sifra.00004.06-00.00011.00027,וזבחת פסח לה' אלהיך צאן ובקר צאן לפסח ובשר לחגיגה ר'_עקיבא_אומר כתוב_אחד_אומר וזבחת פסח לה' אלהיך צאן ובקר וכתוב אחר אומר מן הכשבים ומן העזים ,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים ,ref-sifra
