,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
4761,ref-mek.1.1.1.481-ref-mek.1.1.1.492,ref-sifre-d.357.40.50-ref-sifre-d.357.40.60,2462,2519,380,390,ref-mek.00001.00001.00001.00481,ref-mek.00001.00001.00001.00492,388671,388724,65484,65494,ref-sifre-d.00357.00040.00050,ref-sifre-d.00357.00040.00060,היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו ,מדבר עמו עד שנדבר עמו ובלעם היה יודע אימתי היה מדבר ,ref-sifre-d
4762,ref-mek.1.1.1.562-ref-mek.1.1.1.573,ref-sifre-d.40.3.19-ref-sifre-d.40.3.31,2863,2926,453,463,ref-mek.00001.00001.00001.00562,ref-mek.00001.00001.00001.00573,64684,64752,10933,10944,ref-sifre-d.00040.00003.00019,ref-sifre-d.00040.00003.00031,עיני ה' משוטטות בכל הארץ בכל מקום עיני ה' צופות רעים וטובים ,עיני ה' משוטטים בכל הארץ ואומר כל מקום עיני ה' צופות רעים וטובים ,ref-sifre-d
4763,ref-mek.1.1.1.721-ref-mek.1.1.1.727,ref-sifre-d.41.22.16-ref-sifre-d.41.22.22,3693,3729,604,610,ref-mek.00001.00001.00001.00721,ref-mek.00001.00001.00001.00727,71278,71313,12021,12027,ref-sifre-d.00041.00022.00016,ref-sifre-d.00041.00022.00022,נאמר ויאמר לך שוב לדרכך מדברה דמשק ,שאמרתי לו לך שוב לדרכך מדברה דמשק ,ref-sifre-d
4764,ref-mek.1.1.1.799-ref-mek.1.1.1.810,ref-sifre-d.344.2.13-ref-sifre-d.344.2.23,4100,4153,676,684,ref-mek.00001.00001.00001.00799,ref-mek.00001.00001.00001.00810,360592,360642,60614,60623,ref-sifre-d.00344.00002.00013,ref-sifre-d.00344.00002.00023,במשה מה_הוא_אומר ועתה אם תשא חטאתם ואם אין מחני נא ,במשה מהו אומר ועתה אם תשא חטאתם ואם אין מחני נא ,ref-sifre-d
4765,ref-mek.1.1.1.829-ref-mek.1.1.1.839,ref-sifre-d.344.2.24-ref-sifre-d.344.2.35,4239,4296,702,712,ref-mek.00001.00001.00001.00829,ref-mek.00001.00001.00001.00839,360643,360703,60624,60634,ref-sifre-d.00344.00002.00024,ref-sifre-d.00344.00002.00035,בדוד מהו אומר אנכי חטאתי ואני העויתי ואלה הצאן מה עשו ,בדוד הוא אומר אני הוא חטאתי ואני העויתי ואלה הצאן מה עשו ,ref-sifre-d
4766,ref-mek.1.1.1.858-ref-mek.1.1.1.882,ref-sifre-d.310.8.9-ref-sifre-d.310.8.15,4383,4514,728,747,ref-mek.00001.00001.00001.00858,ref-mek.00001.00001.00001.00882,317269,317298,53176,53182,ref-sifre-d.00310.00008.00009,ref-sifre-d.00310.00008.00015,ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ,שנאמר ואל משה אמר עלה אל ה' ,ref-sifre-d
4767,ref-mek.1.1.1.858-ref-mek.1.1.1.883,ref-sifre-d.355.27.10-ref-sifre-d.355.27.21,4383,4521,728,748,ref-mek.00001.00001.00001.00858,ref-mek.00001.00001.00001.00883,380295,380358,64034,64045,ref-sifre-d.00355.00027.00010,ref-sifre-d.00355.00027.00021,ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר ,אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת ,ref-sifre-d
4768,ref-mek.1.2.1.163-ref-mek.1.2.1.185,ref-sifre-d.139.1.36-ref-sifre-d.140.1.19,7413,7542,1243,1262,ref-mek.00001.00002.00001.00163,ref-mek.00001.00002.00001.00185,170966,171083,28668,28686,ref-sifre-d.00139.00001.00036,ref-sifre-d.00140.00001.00019,ומנין אף למלכים תלמוד לומר הוא החדש השני למלוך שלמה על ישראל ומנין אף לרגלים תלמוד לומר חג המצות וחג השבועות וחג הסכות ,ושבעה נוהגים בעצרת חג הסכות תעשה לך שבעת ימים להדיוט ומנין אף לגבוה תלמוד לומר חג למה_נאמר_לפי שנאמר חג הסכות ,ref-sifre-d
4769,ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-sifre-d.143.8.1-ref-sifre-d.143.8.6,7507,7542,1257,1262,ref-mek.00001.00002.00001.00180,ref-mek.00001.00002.00001.00185,173503,173542,29083,29088,ref-sifre-d.00143.00008.00001,ref-sifre-d.00143.00008.00006,חג המצות וחג השבועות וחג הסכות ,בחג המצות ובחג השבועות ובחג הסכות ,ref-sifre-d
4770,ref-mek.1.2.2.21-ref-mek.1.2.2.33,ref-sifre-d.127.1.1-ref-sifre-d.127.1.13,8565,8635,1428,1438,ref-mek.00001.00002.00002.00021,ref-mek.00001.00002.00002.00033,163542,163612,27452,27463,ref-sifre-d.00127.00001.00001,ref-sifre-d.00127.00001.00013,שמור את חדש האביב וגו' שמור את הפסח לאביב ואביב לפסח שיבא בזמנו ,שמור את חדש האביב שמור החדש שהוא סמוך לאביב מפני אביב שיהא בזמנו ,ref-sifre-d
