,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
5628,ref-mek.1.1.1.13-ref-mek.1.1.1.26,ref-sifre-n.99.1.98-ref-sifre-n.99.1.114,58,131,6,17,ref-mek.00001.00001.00001.00013,ref-mek.00001.00001.00001.00026,135781,135872,21145,21160,ref-sifre-n.00099.00001.00098,ref-sifre-n.00099.00001.00114,הדבר לאהרן ולמשה כשהוא אומר ויהי ביום דבר ה'_אל_משה למשה היה הדבר ,ולא שהיה ברוך רגיל לדבר בפני ירמיה אלא מפני צורך ותדבר מרים ואהרן במשה מנין היתה מרים ,ref-sifre-n
5629,ref-mek.1.1.1.18-ref-mek.1.1.1.26,ref-sifre-n.58.1.180-ref-sifre-n.58.1.187,90,131,11,17,ref-mek.00001.00001.00001.00018,ref-mek.00001.00001.00001.00026,82604,82650,12274,12281,ref-sifre-n.00058.00001.00180,ref-sifre-n.00058.00001.00187,ויהי ביום דבר ה'_אל_משה למשה היה הדבר ,משה לו ואחת במצרים ויהי ביום דבר ה'_אל_משה ,ref-sifre-n
5630,ref-mek.1.1.1.40-ref-mek.1.1.1.49,ref-sifre-n.123.1.188-ref-sifre-n.123.1.197,189,240,25,34,ref-mek.00001.00001.00001.00040,ref-mek.00001.00001.00001.00049,205927,205974,32590,32599,ref-sifre-n.00123.00001.00188,ref-sifre-n.00123.00001.00197,שכשם שהיה משה כלל לדברות כך היה אהרן כלל לדברות ,וכשם שהיה משה גזבר לדבר כך היה אהרן גזבר לדבר ,ref-sifre-n
5631,ref-mek.1.1.1.372-ref-mek.1.1.1.377,ref-sifre-n.118.1.1063-ref-sifre-n.118.1.1068,1896,1921,281,286,ref-mek.00001.00001.00001.00372,ref-mek.00001.00001.00001.00377,194217,194242,30723,30728,ref-sifre-n.00118.00001.01063,ref-sifre-n.00118.00001.01068,ברית מלח עולם היא לפני ה' ,ברית מלח עולם היא לפני ה' ,ref-sifre-n
5632,ref-mek.1.1.1.814-ref-mek.1.1.1.828,ref-sifre-n.84.4.164-ref-sifre-n.84.4.178,4170,4238,688,701,ref-mek.00001.00001.00001.00814,ref-mek.00001.00001.00001.00828,114899,114971,17561,17574,ref-sifre-n.00084.00004.00164,ref-sifre-n.00084.00004.00178,אם ככה את עושה לי הרגני נא הרוג אם מצאתי חן בעיניך ואל אראה ברעתי ,ואם ככה את עושה לי הרגני נא הרוג ואם מצאתי חן בעיניך ואל אראה ברעתי ,ref-sifre-n
5633,ref-mek.1.1.1.814-ref-mek.1.1.1.821,ref-sifre-n.91.1.73-ref-sifre-n.91.1.80,4170,4201,688,694,ref-mek.00001.00001.00001.00814,ref-mek.00001.00001.00001.00821,127775,127806,19781,19787,ref-sifre-n.00091.00001.00073,ref-sifre-n.00091.00001.00080,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,ref-sifre-n
5634,ref-mek.1.1.1.814-ref-mek.1.1.1.821,ref-sifre-n.91.1.133-ref-sifre-n.91.1.140,4170,4201,688,694,ref-mek.00001.00001.00001.00814,ref-mek.00001.00001.00001.00821,128082,128113,19831,19837,ref-sifre-n.00091.00001.00133,ref-sifre-n.00091.00001.00140,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,ref-sifre-n
5635,ref-mek.1.2.1.20-ref-mek.1.2.1.28,ref-sifre-n.61.1.13-ref-sifre-n.61.1.22,6671,6713,1119,1125,ref-mek.00001.00002.00001.00020,ref-mek.00001.00002.00001.00028,85626,85675,12752,12759,ref-sifre-n.00061.00001.00013,ref-sifre-n.00061.00001.00022,ר'_עקיבא_אומר זה אחד מג' דברים שנתקשה משה ,ר'_עקיבא_אומר זה אחד משלשה דברים שנתקשה בהם משה ,ref-sifre-n
5636,ref-mek.1.2.1.242-ref-mek.1.2.1.254,ref-sifre-n.108.1.19-ref-sifre-n.108.1.25,7868,7935,1315,1327,ref-mek.00001.00002.00001.00242,ref-mek.00001.00002.00001.00254,154604,154646,24303,24309,ref-sifre-n.00108.00001.00019,ref-sifre-n.00108.00001.00025,מנה בו אדם הראשון אתה אומר לכם ולא מנה בו אדם הראשון או_אינו_אלא ,מין הדמים אתה אומר מין הדמים או_אינו_אלא ,ref-sifre-n
5637,ref-mek.1.2.2.3-ref-mek.1.2.2.16,ref-sifre-n.145.2.34-ref-sifre-n.145.2.50,8467,8565,1415,1427,ref-mek.00001.00002.00002.00003,ref-mek.00001.00002.00002.00016,258837,258931,41339,41351,ref-sifre-n.00145.00002.00034,ref-sifre-n.00145.00002.00050,שומעני מיעוט חדשים שנים מנין לשאר חדשים תלמוד לומר לחדשי השנה ראשון הוא למה_נאמר_לפי_שהוא_אומר ש,"למה_נאמר_לפי_שהוא_אומר ובראשי חדשיכם תקריבו עולה לה' שומעני מיעוט חדשים שנים ת""ל לחדשי השנה ",ref-sifre-n
