,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6340,ref-mek.1.1.1.346-ref-mek.1.1.1.356,ref-t.5.1.13.20.40-ref-t.5.1.13.20.60,1761,1816,258,268,ref-mek.00001.00001.00001.00346,ref-mek.00001.00001.00001.00356,1067503,1067600,168831,168851,ref-t.00005.00001.00013.00020.00040,ref-t.00005.00001.00013.00020.00060,ירושלם שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,או' נחלה זו שילו מנוחה זו ירושלם שנ' כי בחר ייי בציון אוה למושב לו וגו' ואו' זאת מנוחתי עדי עד ,ref-t
6341,ref-mek.1.1.1.477-ref-mek.1.1.1.500,ref-t.1.1.1.14.50-ref-t.1.1.1.14.67,2439,2558,376,398,ref-mek.00001.00001.00001.00477,ref-mek.00001.00001.00001.00500,4189,4269,693,708,ref-t.00001.00001.00001.00014.00050,ref-t.00001.00001.00001.00014.00067,הגדול הוא חדקל ואומר היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו בחוצה לארץ שנאמר היה היה דבר ה' היה ,הן הן עד שלא נדבר עמהן והן הן משנדבר עמהן הן הן עד שלא נכנסו לגדולה והן הן ,ref-t
6342,ref-mek.1.1.1.760-ref-mek.1.1.1.766,ref-t.3.5.6.10.95-ref-t.3.5.6.10.100,3896,3928,640,646,ref-mek.00001.00001.00001.00760,ref-mek.00001.00001.00001.00766,647564,647593,102330,102335,ref-t.00003.00005.00006.00010.00095,ref-t.00003.00005.00006.00010.00100,שנאמר ויהי דבר ה' אל יונה שנית ,שנאמר ויהי דבר ה' אלי בשנה ,ref-t
6343,ref-mek.1.1.1.870-ref-mek.1.1.1.877,ref-t.3.2.2.2.89-ref-t.3.2.2.2.100,4450,4495,736,743,ref-mek.00001.00001.00001.00870,ref-mek.00001.00001.00001.00877,557484,557543,87386,87397,ref-t.00003.00002.00002.00002.00089,ref-t.00003.00002.00002.00002.00100,צא ואמור אליהם והשיבני דבר שנאמר וישב משה ,תצא עד אומ' נשבית וטמאה היא ועד אומ' נשבית וטהורה היא אשה ,ref-t
6344,ref-mek.1.1.1.960-ref-mek.1.1.1.972,ref-t.5.3.7.8.66-ref-t.5.3.7.9.8,4952,5026,813,825,ref-mek.00001.00001.00001.00960,ref-mek.00001.00001.00001.00972,1123656,1123711,177292,177301,ref-t.00005.00003.00007.00008.00066,ref-t.00005.00003.00007.00009.00008,לפניו שנאמר והנה ששה אנשים באים מדרך שער העליון וגו' וכתוב אלהי ישראל ,עלינו וגו' בזמן שישראל ברצון לפני המקום מה נאמר בהן ,ref-t
6345,ref-mek.1.1.1.1110-ref-mek.1.1.1.1123,ref-t.5.3.13.23.11-ref-t.5.3.13.23.21,5742,5809,948,961,ref-mek.00001.00001.00001.01110,ref-mek.00001.00001.00001.01123,1155522,1155581,182572,182582,ref-t.00005.00003.00013.00023.00011,ref-t.00005.00003.00013.00023.00021,ויהי מקצה שבעת ימים ויהי דבר ה' וגו' ויהי דבר ה' אל ירמיהו וגו' ,והיה באחרית הימים נכון יהיה הר בית ייי בראש ההרים וגו' ,ref-t
6346,ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-t.2.12.1.6.34-ref-t.2.12.1.6.40,7507,7542,1257,1262,ref-mek.00001.00002.00001.00180,ref-mek.00001.00002.00001.00185,496236,496278,77567,77573,ref-t.00002.00012.00001.00006.00034,ref-t.00002.00012.00001.00006.00040,חג המצות וחג השבועות וחג הסכות ,בחג המצות בא בחג השבועות ובחג הסוכות ,ref-t
6347,ref-mek.1.2.1.283-ref-mek.1.2.1.321,ref-t.2.6.2.6.69-ref-t.2.6.2.6.98,8090,8315,1354,1389,ref-mek.00001.00002.00001.00283,ref-mek.00001.00002.00001.00321,417348,417520,65319,65346,ref-t.00002.00006.00002.00006.00069,ref-t.00002.00006.00002.00006.00098,וכשהחמה לוקה סימן רע לגויים שהם מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם מונים ללבנה ר' אומר כשהחמה לוקה במזרח סימן רע ליושבי מזרח במערב סימן רע ליושבי מערב ר'_יוסי_אומר כשהמזלות לוקים במזרח סימן ,שחמה לוקה סימן רע לאומות העולם לבנה לוקה סימן רע לשונאיהם של ישראל מפני שהגוים מונין לחמה וישראל מונין ללבנה בזמן שלוקה במזרח סימן רע ליושבי מזרח במערב סימן רע ,ref-t
6348,ref-mek.1.2.1.284-ref-mek.1.2.1.298,ref-t.2.6.2.6.42-ref-t.2.6.2.6.49,8099,8183,1355,1368,ref-mek.00001.00002.00001.00284,ref-mek.00001.00002.00001.00298,417204,417246,65294,65300,ref-t.00002.00006.00002.00006.00042,ref-t.00002.00006.00002.00006.00049,לוקה סימן רע לגויים שהם מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם ,לוקין סימן רע לשונאיהן של ישראל מפני שהן ,ref-t
6349,ref-mek.1.2.1.289-ref-mek.1.2.1.302,ref-t.3.4.1.3.60-ref-t.3.4.1.3.80,8125,8204,1360,1372,ref-mek.00001.00002.00001.00289,ref-mek.00001.00002.00001.00302,604832,604947,95062,95080,ref-t.00003.00004.00001.00003.00060,ref-t.00003.00004.00001.00003.00080,מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם מונים ללבנה ר' אומר ,ר' אומ' עד שיאמר הריני נזיר נזיריות כימות החמה כמניין ימות החמה כימות לבנה כמניין ימות לבנה ר'_יהודה_או' אמ' ,ref-t
