,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6803,ref-mek.1.1.1.31-ref-mek.1.1.1.46,ref-y.2.4.5.1.4.8-ref-y.2.4.5.1.4.19,150,223,21,31,ref-mek.00001.00001.00001.00031,ref-mek.00001.00001.00001.00046,1535591,1535647,228660,228669,ref-y.00002.00004.00005.00001.00004.00008,ref-y.00002.00004.00005.00001.00004.00019,מה_תלמוד_לומר אל_משה_ואל_אהרן אלא מלמד שכשם שהיה משה כלל לדברות כך היה ,מה_תלמוד_לומר סופר אלא כשם שהיה סופר בדברי תורה כך היה ,ref-y
6804,ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-y.1.1.1.1.24.111-ref-y.1.1.1.1.24.116,853,883,125,130,ref-mek.00001.00001.00001.00174,ref-mek.00001.00001.00001.00179,8145,8175,1284,1289,ref-y.00001.00001.00001.00001.00024.00111,ref-y.00001.00001.00001.00001.00024.00116,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,ref-y
6805,ref-mek.1.1.1.178-ref-mek.1.1.1.184,ref-y.2.12.2.1.16.276-ref-y.2.12.2.1.16.282,873,917,129,135,ref-mek.00001.00001.00001.00178,ref-mek.00001.00001.00001.00184,1953227,1953269,292204,292210,ref-y.00002.00012.00002.00001.00016.00276,ref-y.00002.00012.00002.00001.00016.00282,ארץ ושמים מגיד ששניהם שקולים כאחד זה בזה ,ארץ לשמים אלא מלמד ששניהן שקולים זה בזה ,ref-y
6806,ref-mek.1.1.1.531-ref-mek.1.1.1.537,ref-y.4.4.11.5.1.342-ref-y.4.4.11.5.1.346,2717,2757,424,430,ref-mek.00001.00001.00001.00531,ref-mek.00001.00001.00001.00537,3315578,3315608,499536,499540,ref-y.00004.00004.00011.00005.00001.00342,ref-y.00004.00004.00011.00005.00001.00346,ויקם יונה לברוח תרשישה וגו' וכי מלפני ,ויקם יונה לברוח תרשישה מלפני ,ref-y
6807,ref-mek.1.1.1.657-ref-mek.1.1.1.662,ref-y.1.1.9.2.9.26-ref-y.1.1.9.2.9.30,3357,3383,540,545,ref-mek.00001.00001.00001.00657,ref-mek.00001.00001.00001.00662,185186,185210,29084,29088,ref-y.00001.00001.00009.00002.00009.00026,ref-y.00001.00001.00009.00002.00009.00030,וה' הטיל רוח גדולה אל הים ,וה' הטיל רוח גדולה בימי ,ref-y
6808,ref-mek.1.1.1.760-ref-mek.1.1.1.771,ref-y.2.9.2.1.14.28-ref-y.2.9.2.1.14.44,3896,3952,640,651,ref-mek.00001.00001.00001.00760,ref-mek.00001.00001.00001.00771,1766438,1766522,263398,263414,ref-y.00002.00009.00002.00001.00014.00028,ref-y.00002.00009.00002.00001.00014.00044,שנאמר ויהי דבר ה' אל יונה שנית לאמר שנית נדבר עמו ולא ,אמר ולא יעשה ודבר ולא וקימנה ורבנן אמרי לא איש היא שעשה דבריו של אל כאילו אינן ,ref-y
6809,ref-mek.1.1.1.858-ref-mek.1.1.1.876,ref-y.3.1.10.3.2.95-ref-y.3.1.10.3.2.107,4383,4491,728,742,ref-mek.00001.00001.00001.00858,ref-mek.00001.00001.00001.00876,2174265,2174341,325085,325097,ref-y.00003.00001.00010.00003.00002.00095,ref-y.00003.00001.00010.00003.00002.00107,ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב ,אומרי' טהור' ואילו אומ' טמיא' כמי שאילו אומ' נשבית ואילו אומרי' לא נשבית ,ref-y
6810,ref-mek.1.1.1.858-ref-mek.1.1.1.876,ref-y.3.2.2.2.3.234-ref-y.3.2.2.2.3.246,4383,4491,728,742,ref-mek.00001.00001.00001.00858,ref-mek.00001.00001.00001.00876,2386181,2386252,357256,357267,ref-y.00003.00002.00002.00002.00003.00234,ref-y.00003.00002.00002.00002.00003.00246,ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב ,אומ' טהורה ואילו אומרי' טמאה כמי שאילו או' נשבית ואילו או' לא נשבית ,ref-y
6811,ref-mek.1.1.1.1051-ref-mek.1.1.1.1067,ref-y.2.9.3.4.3.21-ref-y.2.9.3.4.3.37,5451,5533,898,912,ref-mek.00001.00001.00001.01051,ref-mek.00001.00001.00001.01067,1784912,1784998,266203,266218,ref-y.00002.00009.00003.00004.00003.00021,ref-y.00002.00009.00003.00004.00003.00037,שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ,שנים שהיו ישראל כמנודים לא היה מדבר עם משה שנאמ' ויהי כאשר תמו כל אנשי המלחמה למות ,ref-y
6812,ref-mek.1.1.1.1116-ref-mek.1.1.1.1123,ref-y.1.5.6.1.1.44-ref-y.1.5.6.1.1.53,5774,5809,954,961,ref-mek.00001.00001.00001.01116,ref-mek.00001.00001.00001.01123,477098,477142,73254,73262,ref-y.00001.00005.00006.00001.00001.00044,ref-y.00001.00005.00006.00001.00001.00053,ה' וגו' ויהי דבר ה' אל ירמיהו וגו' ,ה' בכם וגו' ושמתם את דברי אלה על לבבכם וגו' ,ref-y
