,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-sifra.1.1.3-ref-sifra.1.2.5,ref-b.04.04.10.86a.16.17-ref-b.04.04.10.86a.16.24,11,44,1,6,ref-sifra.00001.00001.00003,ref-sifra.00001.00002.00005,6264496,6264539,872774,872781,ref-b.00004.00004.00010.0086a.00016.00017,ref-b.00004.00004.00010.0086a.00016.00024,אומ' בשלש עשרה מדות התורה נדרשת ,אמרת צא ולמד משלש עשרה מדות שהתורה נדרשת ,ref-b
1,ref-sifra.1.1.3-ref-sifra.1.2.5,ref-b.04.04.10.86a.17.18-ref-b.04.04.10.86a.17.25,11,44,1,6,ref-sifra.00001.00001.00003,ref-sifra.00001.00002.00005,6264690,6264733,872798,872805,ref-b.00004.00004.00010.0086a.00017.00018,ref-b.00004.00004.00010.0086a.00017.00025,אומ' בשלש עשרה מדות התורה נדרשת ,אמרת צא ולמד משלש עשרה מדות שהתורה נדרשת ,ref-b
2,ref-sifra.1.2.18-ref-sifra.1.2.33,ref-b.05.03.06.88b.3.3-ref-b.05.03.06.88b.4.12,112,194,17,31,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00033,7752901,7753026,1089585,1089600,ref-b.00005.00003.00006.0088b.00003.00003,ref-b.00005.00003.00006.0088b.00004.00012,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך ,כלל עפר פרט כלל_ופרט_אין_בכלל_אלא_מה שבפרט עפר אין_מידי_אחרינא_לא_אמר_רב_מרי משום דהוה כלל הצריך לפרט וכל כלל הצריך לפרט ,ref-b
3,ref-sifra.1.2.18-ref-sifra.1.2.32,ref-b.02.04.01.6b.8.28-ref-b.02.04.01.6b.9.11,112,189,17,30,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00032,1284938,1285016,175714,175725,ref-b.00002.00004.00001.0006b.00008.00028,ref-b.00002.00004.00001.0006b.00009.00011,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא ,שבפרט דילמא פרט וכלל הוא ותו פרט וכלל נעשה_כלל_מוסף_על_הפרט דילמא כלל ופרט ,ref-b
4,ref-sifra.1.2.38-ref-sifra.1.2.52,ref-b.05.07.01.2b.21.10-ref-b.05.07.01.2b.21.23,218,283,36,44,ref-sifra.00001.00002.00038,ref-sifra.00001.00002.00052,8340563,8340621,1173170,1173177,ref-b.00005.00007.00001.0002b.00021.00010,ref-b.00005.00007.00001.0002b.00021.00023,לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד על עצמו יצא אלא ,כל דבר_שהיה_בכלל_ויצא_מן_הכלל ללמד לא ללמד על עצמו יצא אלא ,ref-b
5,ref-sifra.1.2.46-ref-sifra.1.2.52,ref-b.02.04.10.120a.12.10-ref-b.02.04.10.120a.12.16,255,283,39,44,ref-sifra.00001.00002.00046,ref-sifra.00001.00002.00052,1677022,1677050,229107,229112,ref-b.00002.00004.00010.0120a.00012.00010,ref-b.00002.00004.00010.0120a.00012.00016,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,ref-b
6,ref-sifra.1.2.46-ref-sifra.1.2.52,ref-b.03.01.01.7a.8.16-ref-b.03.01.01.7a.8.22,255,283,39,44,ref-sifra.00001.00002.00046,ref-sifra.00001.00002.00052,2858969,2858997,394489,394494,ref-b.00003.00001.00001.0007a.00008.00016,ref-b.00003.00001.00001.0007a.00008.00022,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,ref-b
7,ref-sifra.1.2.46-ref-sifra.1.2.52,ref-b.05.02.05.55b.7.20-ref-b.05.02.05.55b.7.26,255,283,39,44,ref-sifra.00001.00002.00046,ref-sifra.00001.00002.00052,7312086,7312114,1027013,1027018,ref-b.00005.00002.00005.0055b.00007.00020,ref-b.00005.00002.00005.0055b.00007.00026,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,ref-b
8,ref-sifra.1.2.46-ref-sifra.1.2.54,ref-b.05.04.01.6a.2.16-ref-b.05.04.01.6a.2.28,255,291,39,46,ref-sifra.00001.00002.00046,ref-sifra.00001.00002.00054,7940018,7940076,1116215,1116223,ref-b.00005.00004.00001.0006a.00002.00016,ref-b.00005.00004.00001.0006a.00002.00028,ללמד לא ללמד על עצמו יצא אלא ללמד על ,ללמד לא ללמד על עצמו יצא אלא ללמד_על_הכלל_כולו יצא ולעולם ,ref-b
9,ref-sifra.1.2.102-ref-sifra.1.2.108,ref-b.03.01.01.7a.13.15-ref-b.03.01.01.7a.13.21,522,569,78,84,ref-sifra.00001.00002.00102,ref-sifra.00001.00002.00108,2859472,2859516,394555,394561,ref-b.00003.00001.00001.0007a.00013.00015,ref-b.00003.00001.00001.0007a.00013.00021,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש ,ref-b
