,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
7536,ref-sifra.1.3.26-ref-sifra.1.3.31,ref-m.04.01.2.5.69-ref-m.04.01.2.5.74,810,839,125,129,ref-sifra.00001.00003.00026,ref-sifra.00001.00003.00031,438834,438863,68465,68469,ref-m.00004.00001.00002.00005.00069,ref-m.00004.00001.00002.00005.00074,דיו לבא מן הדין להיות כנדון ,דיו לבא מן הדין להיות כנדון ,ref-m
7537,ref-sifra.1.3.26-ref-sifra.1.3.31,ref-m.04.01.2.5.122-ref-m.04.01.2.5.127,810,839,125,129,ref-sifra.00001.00003.00026,ref-sifra.00001.00003.00031,439105,439134,68510,68514,ref-m.00004.00001.00002.00005.00122,ref-m.00004.00001.00002.00005.00127,דיו לבא מן הדין להיות כנדון ,דיו לבא מן הדין להיות כנדון ,ref-m
7538,ref-sifra.1.3.26-ref-sifra.1.3.31,ref-m.06.07.4.6.40-ref-m.06.07.4.6.45,810,839,125,129,ref-sifra.00001.00003.00026,ref-sifra.00001.00003.00031,981620,981649,152998,153002,ref-m.00006.00007.00004.00006.00040,ref-m.00006.00007.00004.00006.00045,דיו לבא מן הדין להיות כנדון ,דיו לבא מן הדין להיות כנדון ,ref-m
7539,ref-sifra.1.4.4-ref-sifra.1.4.26,ref-m.04.02.3.12.35-ref-m.04.02.3.12.43,900,1010,140,160,ref-sifra.00001.00004.00004,ref-sifra.00001.00004.00026,466425,466464,72869,72876,ref-m.00004.00002.00003.00012.00035,ref-m.00004.00002.00003.00012.00043,נאמ' בשומר חנם אם לא שלח ידו במלאכת רעהו ונא' בשומ' שכר אם לא שלח ידו במלאכת רעהו מה בשומר הנם שנאמ' בו ,בו יד שנאמר אם לא שלח ידו במלאכת רעהו ,ref-m
7540,ref-sifra.1.14.48-ref-sifra.1.14.53,ref-m.06.03.14.9.26-ref-m.06.03.14.9.31,3647,3681,614,619,ref-sifra.00001.00014.00048,ref-sifra.00001.00014.00053,917230,917254,142962,142967,ref-m.00006.00003.00014.00009.00026,ref-m.00006.00003.00014.00009.00031,בבוהן יד ובבוהן רגל ובאזן ימנית ,בהן יד בהן רגל אזן ימנית ,ref-m
7541,ref-sifra.1.16.12-ref-sifra.1.16.39,ref-m.06.03.12.7.7-ref-m.06.03.12.7.17,4107,4247,699,722,ref-sifra.00001.00016.00012,ref-sifra.00001.00016.00039,912518,912569,142172,142180,ref-m.00006.00003.00012.00007.00007,ref-m.00006.00003.00012.00007.00017,בית שיש בו אבנים ועצים ועפר מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית ,ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית ,ref-m
7542,ref-sifra.1.16.15-ref-sifra.1.16.29,ref-m.06.03.13.3.42-ref-m.06.03.13.3.47,4118,4201,701,714,ref-sifra.00001.00016.00015,ref-sifra.00001.00016.00029,913537,913572,142343,142348,ref-m.00006.00003.00013.00003.00042,ref-m.00006.00003.00013.00003.00047,אבנים ועצים ועפר מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ ,ניתץ עמו אבניו ועציו ועפרו מטמאין ,ref-m
7543,ref-sifra.2.01-02.13.92-ref-sifra.2.01-02.13.112,ref-m.01.01.9.5.128-ref-m.01.01.9.5.136,10520,10570,1669,1677,ref-sifra.00002.01-02.00013.00092,ref-sifra.00002.01-02.00013.00112,11422,11465,1763,1771,ref-m.00001.00001.00009.00005.00128,ref-m.00001.00001.00009.00005.00136,לא בשביל עצמו      ה'       ה'  אלעזר בן אחוי אומר ,לו יברכך ה' ואומר ה' עמך גבור החיל ואומר ,ref-m
7544,ref-sifra.2.02-00.1.67-ref-sifra.2.02-00.1.78,ref-m.05.02.9.9.2-ref-m.05.02.9.9.18,11128,11211,1759,1770,ref-sifra.00002.02-00.00001.00067,ref-sifra.00002.02-00.00001.00078,673223,673339,104918,104934,ref-m.00005.00002.00009.00009.00002,ref-m.00005.00002.00009.00009.00018,סמיכה ונתמעטה תנופה שהסמיכה נוהגת בכל החוברים ואין התנופה נוהגת בכל החוברים ,בסמיכה מבתנופה ובתנופה מבסמיכה שאחד מניף לכל החברים ואין אחד סומך לכל החברים וחומר בתנופה שהתנופה נוהגת ,ref-m
7545,ref-sifra.2.02-00.2.71-ref-sifra.2.02-00.3.1,ref-m.02.07.2.4.6-ref-m.02.07.2.5.6,11763,11813,1852,1861,ref-sifra.00002.02-00.00002.00071,ref-sifra.00002.02-00.00003.00001,242798,242909,37673,37686,ref-m.00002.00007.00002.00004.00006,ref-m.00002.00007.00002.00005.00006,שאין סומכים על העולות כך לא יסמכו על השלמים אדם ,ואין סומכין עליהן אבל לא עולות ובית_הלל_אומרים מביאין שלמים ועולות וסומכין עליהם בית_שמאי_אומרים_לא יחם אדם ,ref-m
7546,ref-sifra.2.02-00.7.15-ref-sifra.2.02-00.7.24,ref-m.05.01.8.1.16-ref-m.05.01.8.1.34,13630,13685,2137,2146,ref-sifra.00002.02-00.00007.00015,ref-sifra.00002.02-00.00007.00024,640333,640430,99779,99791,ref-m.00005.00001.00008.00001.00016,ref-m.00005.00001.00008.00001.00034,נעבדה בו עבירה פסול מעל גבי מזבח הרובע והנרבע שנעבדה ,שנעבדה בו עבירה או שהמית את האדם על_פי_עד_אחד או_על_פי הבעלים ברובע ובנרבע ובמוקצה ובנעבד ,ref-m
7547,ref-sifra.2.02-00.8.5-ref-sifra.2.02-00.8.11,ref-m.06.11.4.7.28-ref-m.06.11.4.7.36,13810,13847,2167,2173,ref-sifra.00002.02-00.00008.00005,ref-sifra.00002.02-00.00008.00011,1027172,1027229,160055,160063,ref-m.00006.00011.00004.00007.00028,ref-m.00006.00011.00004.00007.00036,שור עם החמור שאינם חייבים מיתה תאמר ,אנו עליכם פרושים שאתם אומרים שורי וחמורי שהזיקו חייבין ,ref-m
