,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
9819,ref-sifra.1.2.18-ref-sifra.1.2.52,ref-mek.1.19.3.183-ref-mek.1.19.3.194,112,283,17,44,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00052,80043,80105,12563,12574,ref-mek.00001.00019.00003.00183,ref-mek.00001.00019.00003.00194,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד על עצמו יצא אלא ,כלל בכלל הראשון ואמרת לאו אלא כלל ופרט וכלל אלא כעין הפרט ,ref-mek
9820,ref-sifra.1.2.18-ref-sifra.1.2.32,ref-mek.6.8.3.61-ref-mek.6.8.3.75,112,189,17,30,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00032,270387,270459,44428,44439,ref-mek.00006.00008.00003.00061,ref-mek.00006.00008.00003.00075,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא ,וכלל כלל ופרט וכלל אי אתה דן אלא כעין הפרט מה_הפרט_מפורש בדבר שהוא ,ref-mek
9821,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-mek.7.8.4.129-ref-mek.7.8.4.143,112,177,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,316733,316802,51546,51559,ref-mek.00007.00008.00004.00129,ref-mek.00007.00008.00004.00143,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל כלל הראשון אמרת לאו אלא כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,ref-mek
9822,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-mek.7.15.2.235-ref-mek.7.15.2.249,112,177,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,342079,342148,55491,55504,ref-mek.00007.00015.00002.00235,ref-mek.00007.00015.00002.00249,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל כלל הראשון אמרת לאו אלא כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,ref-mek
9823,ref-sifra.1.2.95-ref-sifra.1.2.106,ref-mek.7.10.2.237-ref-mek.7.10.2.244,488,555,72,82,ref-sifra.00001.00002.00095,ref-sifra.00001.00002.00106,325014,325062,52767,52774,ref-mek.00007.00010.00002.00237,ref-mek.00007.00010.00002.00244,הכלל לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב ,בכלל ויצא לידון בדבר חדש והחזירו הכתוב לכללו ,ref-mek
9824,ref-sifra.1.2.95-ref-sifra.1.2.106,ref-mek.7.11.2.112-ref-mek.7.11.2.119,488,555,72,82,ref-sifra.00001.00002.00095,ref-sifra.00001.00002.00106,327542,327590,53174,53181,ref-mek.00007.00011.00002.00112,ref-mek.00007.00011.00002.00119,הכלל לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב ,בכלל ויצא לידון בדבר חדש והחזירו הכתוב לכללו ,ref-mek
9825,ref-sifra.1.2.122-ref-sifra.1.2.127,ref-mek.1.5.2.172-ref-mek.1.5.2.179,644,682,96,101,ref-sifra.00001.00002.00122,ref-sifra.00001.00002.00127,14589,14639,2335,2342,ref-mek.00001.00005.00002.00172,ref-mek.00001.00005.00002.00179,עד שיבא הכתוב השלישי ויכריע ביניהן ,עד שיתקיימו במקומן יבא כתוב שלישי ויכריע ביניהן ,ref-mek
9826,ref-sifra.1.3.26-ref-sifra.1.3.31,ref-mek.7.1.2.201-ref-mek.7.1.2.206,810,839,125,129,ref-sifra.00001.00003.00026,ref-sifra.00001.00003.00031,285864,285893,46877,46881,ref-mek.00007.00001.00002.00201,ref-mek.00007.00001.00002.00206,דיו לבא מן הדין להיות כנדון ,דיו לבא מן הדין להיות כנדון ,ref-mek
9827,ref-sifra.1.4.7-ref-sifra.1.4.13,ref-mek.7.16.2.69-ref-mek.7.16.2.77,916,948,143,148,ref-sifra.00001.00004.00007,ref-sifra.00001.00004.00013,344927,344969,55939,55946,ref-mek.00007.00016.00002.00069,ref-mek.00007.00016.00002.00077,אם לא שלח ידו במלאכת רעהו ונא' ,אם לא שלח ידו במלאכת רעהו לצרכו אתה אומר ,ref-mek
9828,ref-sifra.1.7.11-ref-sifra.1.7.16,ref-mek.1.16.1.44-ref-mek.1.16.1.49,1640,1677,270,275,ref-sifra.00001.00007.00011,ref-sifra.00001.00007.00016,56949,56985,8917,8922,ref-mek.00001.00016.00001.00044,ref-mek.00001.00016.00001.00049,פרט כלל ופרט' אין בכלל אלא מה שבפרט ,פרט כלל ופרט אין בכלל אלא מה שבפרט ,ref-mek
9829,ref-sifra.1.7.11-ref-sifra.1.8.2,ref-mek.1.19.3.165-ref-mek.1.19.3.175,1640,1690,270,278,ref-sifra.00001.00007.00011,ref-sifra.00001.00008.00002,79956,80008,12547,12555,ref-mek.00001.00019.00003.00165,ref-mek.00001.00019.00003.00175,פרט כלל ופרט' אין בכלל אלא מה שבפרט ח מפרט וכלל ,פרט כלל ופרט אין בכלל אלא מה שבפרט וכשהוא אומר כל ,ref-mek
