,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
10460,ref-sifra.1.9.5-ref-sifra.1.9.10,ref-sifre-d.107.8.1-ref-sifre-d.107.8.6,1814,1844,306,311,ref-sifra.00001.00009.00005,ref-sifra.00001.00009.00010,146647,146679,24577,24582,ref-sifre-d.00107.00008.00001,ref-sifre-d.00107.00008.00006,ונתת הכסף בכל אשר תאוה נפשך ,ונתתה הכסף בכל אשר תאווה נפשך ,ref-sifre-d
10461,ref-sifra.1.9.6-ref-sifra.1.9.13,ref-sifre-d.107.9.34-ref-sifre-d.107.10.6,1820,1861,307,314,ref-sifra.00001.00009.00006,ref-sifra.00001.00009.00013,146933,146972,24623,24630,ref-sifre-d.00107.00009.00034,ref-sifre-d.00107.00010.00006,הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ,כסף שני בכל אשר תאוה נפשך בבקר ובצאן ,ref-sifre-d
10462,ref-sifra.1.9.7-ref-sifra.1.9.19,ref-sifre-d.107.12.27-ref-sifre-d.107.13.9,1826,1894,308,320,ref-sifra.00001.00009.00007,ref-sifra.00001.00009.00019,147243,147312,24671,24683,ref-sifre-d.00107.00012.00027,ref-sifre-d.00107.00013.00009,בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך ,"ובכל אשר תשאלך נפשך יכול אף מים ומלח ת""ל בבקר ובצאן וביין ובשכר ",ref-sifre-d
10463,ref-sifra.2.02-00.3.45-ref-sifra.2.02-00.3.61,ref-sifre-d.110.2.6-ref-sifre-d.110.2.18,12037,12128,1893,1909,ref-sifra.00002.02-00.00003.00045,ref-sifra.00002.02-00.00003.00061,149811,149866,25128,25140,ref-sifre-d.00110.00002.00006,ref-sifre-d.00110.00002.00018,מה ישראל בני מקבלי ברית אף מומרים בני מקבלי ברית יצאו גרים שאינם בני מקבלי ברית תלמוד לומר ,"שאינם בני ברית ת""ל לוי מה לוי בן ברית אף כולם בני ברית ",ref-sifre-d
10464,ref-sifra.2.02-00.4.44-ref-sifra.2.02-00.4.75,ref-sifre-d.306.36.82-ref-sifre-d.306.36.99,12485,12644,1964,1988,ref-sifra.00002.02-00.00004.00044,ref-sifra.00002.02-00.00004.00075,308048,308129,51643,51660,ref-sifre-d.00306.00036.00082,ref-sifre-d.00306.00036.00099,יאמר אדם קרבן לה'  שיקדים הקדשו להקרבתו דברי_ר'_יהודה אמר_ר'_שמעון מנין שלא יאמר אדם לה' עולה' עולה לה' מנחה לה' שלמים' שלמים תלמוד לומר תלמוד לומר קרבן לה' ,"יאמר אדם לה' עולה לה' מנחה לה' שלמים אלא עולה לה' מנחה לה' שלמים לה' ת""ל קרבן לה' ",ref-sifre-d
10465,ref-sifra.2.02-00.4.104-ref-sifra.2.02-00.4.108,ref-sifre-d.306.36.94-ref-sifre-d.306.36.99,12777,12800,2006,2009,ref-sifra.00002.02-00.00004.00104,ref-sifra.00002.02-00.00004.00108,308103,308129,51655,51660,ref-sifre-d.00306.00036.00094,ref-sifre-d.00306.00036.00099,לה' תלמוד לומר קרבן לה' ,"לה' שלמים לה' ת""ל קרבן לה' ",ref-sifre-d
10466,ref-sifra.2.02-00.6.4-ref-sifra.2.02-00.6.14,ref-sifre-d.100.2.7-ref-sifre-d.100.2.17,13160,13216,2060,2070,ref-sifra.00002.02-00.00006.00004,ref-sifra.00002.02-00.00006.00014,139224,139284,23359,23369,ref-sifre-d.00100.00002.00007,ref-sifre-d.00100.00002.00017,יכול אף חיה שהיא קרויה בהמה שנאמר זאת הבהמה אשר תאכלו ,זאת החיה אשר תאכלו מכל הבהמה מלמד שחיה קרויה בהמה ובהמה ,ref-sifre-d
10467,ref-sifra.2.02-00.6.10-ref-sifra.2.02-00.6.19,ref-sifre-d.100.3.14-ref-sifre-d.100.3.19,13189,13241,2066,2075,ref-sifra.00002.02-00.00006.00010,ref-sifra.00002.02-00.00006.00019,139370,139405,23384,23389,ref-sifre-d.00100.00003.00014,ref-sifre-d.00100.00003.00019,שנאמר זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,שנאמר זאת הבהמה איל וצבי ויחמור ,ref-sifre-d
10468,ref-sifra.2.02-00.6.11-ref-sifra.2.02-00.6.19,ref-sifre-d.100.1.1-ref-sifre-d.100.1.12,13196,13241,2067,2075,ref-sifra.00002.02-00.00006.00011,ref-sifra.00002.02-00.00006.00019,139113,139174,23337,23348,ref-sifre-d.00100.00001.00001,ref-sifre-d.00100.00001.00012,זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,זאת הבהמה אשר תאכלו שור שה כשבים ושה עזים איל וצבי ויחמור ,ref-sifre-d
10469,ref-sifra.2.02-00.8.24-ref-sifra.2.02-00.8.41,ref-sifre-d.101.3.10-ref-sifre-d.101.3.19,13906,13983,2184,2196,ref-sifra.00002.02-00.00008.00024,ref-sifra.00002.02-00.00008.00041,139787,139831,23450,23456,ref-sifre-d.00101.00003.00010,ref-sifre-d.00101.00003.00019,כשנעבדה בו עבירה על פי שני עדים נעבדה בו עבירה על פי עד אחד או על פי הבעלים ,"שנעבדה בו עבירה על_פי_עד_אחד או ע""פ הבעלים ",ref-sifre-d
