,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
12247,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-sifre-n.118.1.337-ref-sifre-n.118.1.351,112,177,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,190486,190555,30142,30156,ref-sifre-n.00118.00001.00337,ref-sifre-n.00118.00001.00351,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט ,ref-sifre-n
12248,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-sifre-n.118.1.432-ref-sifre-n.118.1.446,112,177,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,190961,191030,30216,30230,ref-sifre-n.00118.00001.00432,ref-sifre-n.00118.00001.00446,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט ,ref-sifre-n
12249,ref-sifra.1.2.23-ref-sifra.1.2.31,ref-sifre-n.24.1.253-ref-sifre-n.24.1.262,141,183,22,29,ref-sifra.00001.00002.00023,ref-sifra.00001.00002.00031,39347,39398,5987,5995,ref-sifre-n.00024.00001.00253,ref-sifre-n.00024.00001.00262,ופרט וכלל אי אתה דן אלא כעין הפרט מכלל ,הפרט אי אתה יכול לדונו כעין הפרט להוציאו מן הכלל ,ref-sifre-n
12250,ref-sifra.1.2.95-ref-sifra.1.2.106,ref-sifre-n.19.1.195-ref-sifre-n.19.1.202,488,555,72,82,ref-sifra.00001.00002.00095,ref-sifra.00001.00002.00106,30939,30988,4721,4728,ref-sifre-n.00019.00001.00195,ref-sifre-n.00019.00001.00202,הכלל לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב ,בכלל ויצאה לידון בדבר החדש החזירה הכתוב לכלל ,ref-sifre-n
12251,ref-sifra.1.2.95-ref-sifra.1.2.109,ref-sifre-n.37.1.145-ref-sifre-n.37.1.159,488,573,72,85,ref-sifra.00001.00002.00095,ref-sifra.00001.00002.00109,60659,60743,8701,8714,ref-sifre-n.00037.00001.00145,ref-sifre-n.00037.00001.00159,הכלל לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש דבר ,בכלל ויצא לדון בדבר החדש אי אתה יכול לההזירו לכללו עד שיחזירנו הכתוב לכללו דברי ,ref-sifre-n
12252,ref-sifra.1.3.8-ref-sifra.1.3.15,ref-sifre-n.138.1.174-ref-sifre-n.138.1.181,717,757,108,115,ref-sifra.00001.00003.00008,ref-sifra.00001.00003.00015,248963,249002,39681,39688,ref-sifre-n.00138.00001.00174,ref-sifre-n.00138.00001.00181,ואביה ירק ירק בפניה הלא תכלם שבעת ימים ,ואביה ירוק ירק בפניה הלא תכלם ז' ימים ,ref-sifre-n
12253,ref-sifra.1.3.22-ref-sifra.1.3.31,ref-sifre-n.106.1.35-ref-sifre-n.106.1.42,792,839,122,129,ref-sifra.00001.00003.00022,ref-sifra.00001.00003.00031,144823,144862,22677,22682,ref-sifre-n.00106.00001.00035,ref-sifre-n.00106.00001.00042,ארבעה עשר יום אלא דיו לבא מן הדין להיות כנדון ,ארבעה עשר דיו לבא מן הדין להיות כנדון ,ref-sifre-n
12254,ref-sifra.1.9.21-ref-sifra.1.9.33,ref-sifre-n.118.1.334-ref-sifre-n.118.1.353,1900,1959,322,333,ref-sifra.00001.00009.00021,ref-sifra.00001.00009.00033,190473,190563,30139,30158,ref-sifre-n.00118.00001.00334,ref-sifre-n.00118.00001.00353,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך ,חזר וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך ,ref-sifre-n
12255,ref-sifra.1.9.21-ref-sifra.1.9.33,ref-sifre-n.118.1.429-ref-sifre-n.118.1.448,1900,1959,322,333,ref-sifra.00001.00009.00021,ref-sifra.00001.00009.00033,190948,191038,30213,30232,ref-sifre-n.00118.00001.00429,ref-sifre-n.00118.00001.00448,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך ,חזר וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך ,ref-sifre-n
12256,ref-sifra.1.9.24-ref-sifra.1.9.35,ref-sifre-n.24.1.253-ref-sifre-n.24.1.268,1914,1968,325,335,ref-sifra.00001.00009.00024,ref-sifra.00001.00009.00035,39347,39431,5987,6001,ref-sifre-n.00024.00001.00253,ref-sifre-n.00024.00001.00268,ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט ,הפרט אי אתה יכול לדונו כעין הפרט להוציאו מן הכלל עד שיפרוט לך הכתוב בדרך שפרט ,ref-sifre-n
