,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
13921,ref-sifra.1.2.10-ref-sifra.1.2.48,ref-t.4.4.7.11.13-ref-t.4.4.7.11.30,68,267,9,41,ref-sifra.00001.00002.00010,ref-sifra.00001.00002.00048,908621,908722,144064,144079,ref-t.00004.00004.00007.00011.00013,ref-t.00004.00004.00007.00011.00030,מבנין אב מכתוב אחד מבנין אב משני כתובים מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד ,ובניין אב וכתב אחד ובניין אב ושני כתובין וכלל ופרט ופרט וכלל וכיוצא בו ממקום אחר דבר הלמד ,ref-t
13922,ref-sifra.1.2.18-ref-sifra.1.2.64,ref-t.4.6.1.7.86-ref-t.4.6.1.7.113,112,337,17,51,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00064,948668,948805,150400,150426,ref-t.00004.00006.00001.00007.00086,ref-t.00004.00006.00001.00007.00113,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא כל_דבר_שהיה_בכלל_ויצא_מן הכלל ,כלל ופרט וכלל אי אתה דן אלא כעין הפרט כשהוא אומ' לכל טומאתו אשר יטמא בה והוא וכלל אם כלל כלל הראשון אמרת ליו אלא כלל ופרט וכלל ,ref-t
13923,ref-sifra.1.3.26-ref-sifra.1.3.31,ref-t.3.6.2.6.64-ref-t.3.6.2.6.69,810,839,125,129,ref-sifra.00001.00003.00026,ref-sifra.00001.00003.00031,687988,688017,109123,109127,ref-t.00003.00006.00002.00006.00064,ref-t.00003.00006.00002.00006.00069,דיו לבא מן הדין להיות כנדון ,דיו לבא מן הדין להיות כנדון ,ref-t
13924,ref-sifra.1.5.38-ref-sifra.1.5.49,ref-t.6.4.15.11.10-ref-t.6.4.15.11.23,1302,1365,212,223,ref-sifra.00001.00005.00038,ref-sifra.00001.00005.00049,1355526,1355608,213317,213330,ref-t.00006.00004.00015.00011.00010,ref-t.00006.00004.00015.00011.00023,אדם לבדו יהא הזב מטמא אותו ברובו לטמא אדם במגע ובמשא ולטמא ,שאדם ניטמא משום משקין מיטמאין וממקום שהמשקין מצילין משם אדם ניצל היכן אדם מטמא ,ref-t
13925,ref-sifra.1.5.42-ref-sifra.1.5.54,ref-t.6.13.1.6.8-ref-t.6.13.1.6.20,1320,1392,216,228,ref-sifra.00001.00005.00042,ref-sifra.00001.00005.00054,1541672,1541743,242332,242343,ref-t.00006.00013.00001.00006.00008,ref-t.00006.00013.00001.00006.00020,מטמא אותו ברובו לטמא אדם במגע ובמשא ולטמא כלים יצא המרכב שהוא עשוי ,שהן שמהן נעשו את הטומאה לטמא בגדים ולטמא אדם ולטמא אוכלין מטמא כלי ,ref-t
13926,ref-sifra.1.9.22-ref-sifra.1.9.36,ref-t.4.6.1.7.96-ref-t.4.6.1.7.124,1904,1974,323,336,ref-sifra.00001.00009.00022,ref-sifra.00001.00009.00036,948716,948853,150409,150436,ref-t.00004.00006.00001.00007.00096,ref-t.00004.00006.00001.00007.00124,וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,אומ' לכל טומאתו אשר יטמא בה והוא וכלל אם כלל כלל הראשון אמרת ליו אלא כלל ופרט וכלל אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,ref-t
13927,ref-sifra.1.9.22-ref-sifra.1.9.31,ref-t.4.6.1.7.86-ref-t.4.6.1.7.94,1904,1951,323,331,ref-sifra.00001.00009.00022,ref-sifra.00001.00009.00031,948668,948708,150400,150407,ref-t.00004.00006.00001.00007.00086,ref-t.00004.00006.00001.00007.00094,וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט ,כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,ref-t
13928,ref-sifra.1.11.21-ref-sifra.1.11.26,ref-t.2.3.8.9.93-ref-t.2.3.8.9.98,2422,2454,415,420,ref-sifra.00001.00011.00021,ref-sifra.00001.00011.00026,364712,364744,56894,56899,ref-t.00002.00003.00008.00009.00093,ref-t.00002.00003.00008.00009.00098,והנפש אשר תאכל בשר מזבח השלמים ,והנפש אשר תאכל בשר מזבח השלמים ,ref-t
13929,ref-sifra.1.16.15-ref-sifra.1.16.29,ref-t.6.5.7.2.34-ref-t.6.5.7.2.39,4118,4201,701,714,ref-sifra.00001.00016.00015,ref-sifra.00001.00016.00029,1389759,1389793,218740,218745,ref-t.00006.00005.00007.00002.00034,ref-t.00006.00005.00007.00002.00039,אבנים ועצים ועפר מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ ,ניתץ עמו אבניו עציו ועפריו מטמאין ,ref-t
13930,ref-sifra.1.17.80-ref-sifra.1.17.107,ref-t.4.4.7.11.21-ref-t.4.4.7.11.39,4717,4866,803,827,ref-sifra.00001.00017.00080,ref-sifra.00001.00017.00107,908667,908771,144072,144088,ref-t.00004.00004.00007.00011.00021,ref-t.00004.00004.00007.00011.00039,שבע מדות לפני זקני בתירה קל וחומר וגזרה שוה ושני כתובים וכלל ופרט וכיוצא בו במקום אחר ודבר למד מענינו אלו שבע מדות שדרש הלל הזקן לפני זקני ,וכלל ופרט ופרט וכלל וכיוצא בו ממקום אחר דבר הלמד מעניינו אילו שבע מדות שדרש הלל הזקן לפני זקני ,ref-t
