,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
16347,ref-sifra.1.2.18-ref-sifra.1.2.57,ref-y.3.5.7.4.4.4-ref-y.3.5.7.4.4.36,112,306,17,49,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00057,2320574,2320735,347355,347376,ref-y.00003.00005.00007.00004.00004.00004,ref-y.00003.00005.00007.00004.00004.00036,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר_ליה_כן_אמר_רבי_יוחנן_משום_רבי_שמעון כל שהיה בכלל ויצא מן_הכלל_ללמד לא ללמר על עצמו יצא אלא ללמד על הכלל כולו יצא ,ref-y
16348,ref-sifra.1.4.4-ref-sifra.1.4.37,ref-y.4.6.8.1.12.20-ref-y.4.6.8.1.12.30,900,1061,140,169,ref-sifra.00001.00004.00004,ref-sifra.00001.00004.00037,3404352,3404416,512833,512843,ref-y.00004.00006.00008.00001.00012.00020,ref-y.00004.00006.00008.00001.00012.00030,נאמ' בשומר חנם אם לא שלח ידו במלאכת רעהו ונא' בשומ' שכר אם לא שלח ידו במלאכת רעהו מה בשומר הנם שנאמ' בו אם לא שלח ידו פטר את היורשין אף בשומר שכר שנאמ' ,שנאמר בשומר חנם לשליחות יד שנאמר בשומר שכר שליחות יד שנאמר ,ref-y
16349,ref-sifra.1.5.6-ref-sifra.1.5.12,ref-y.4.1.1.1.7.84-ref-y.4.1.1.1.7.97,1126,1166,182,188,ref-sifra.00001.00005.00006,ref-sifra.00001.00005.00012,2956516,2956580,443558,443571,ref-y.00004.00001.00001.00001.00007.00084,ref-y.00004.00001.00001.00001.00007.00097,לא המשכב כהרי המושב ולא המושב כהרי ,לא הרי מושב כהרי משכב ולא הרי משבב כהרי מושב ניחא לא הרי מושב ,ref-y
16350,ref-sifra.1.6.6-ref-sifra.1.6.17,ref-y.4.1.1.1.7.142-ref-y.4.1.1.1.7.154,1434,1498,236,247,ref-sifra.00001.00006.00006,ref-sifra.00001.00006.00017,2956814,2956884,443614,443626,ref-y.00004.00001.00001.00001.00007.00142,ref-y.00004.00001.00001.00001.00007.00154,לא פרשת הנידות כהרי פרשת שלוח טמאים ולא פרשת שלוח טמאים כהרי ,לא פרשת נירות בהרי פרשת שילוה טמאין ולא פרשת שילוח טמאין כהרי פרשת ,ref-y
16351,ref-sifra.1.7.11-ref-sifra.1.8.11,ref-y.4.6.3.5.2.32-ref-y.4.6.3.5.2.43,1640,1726,270,287,ref-sifra.00001.00007.00011,ref-sifra.00001.00008.00011,3360224,3360279,506256,506267,ref-y.00004.00006.00003.00005.00002.00032,ref-y.00004.00006.00003.00005.00002.00043,פרט כלל ופרט' אין בכלל אלא מה שבפרט ח מפרט וכלל כיצד כי יתן איש אל רעהו חמור או שור ,אלא כיני להרע או להיטיב פרט לכל אשר יבטא כלל פרט וכלל ,ref-y
16352,ref-sifra.1.9.5-ref-sifra.1.9.16,ref-y.1.8.1.3.2.10-ref-y.1.8.1.3.2.26,1814,1878,306,317,ref-sifra.00001.00009.00005,ref-sifra.00001.00009.00016,702819,702908,106230,106242,ref-y.00001.00008.00001.00003.00002.00010,ref-y.00001.00008.00001.00003.00002.00026,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ,ונתת הכסף בכל_אשר_תאוה_נפשך כלל מעשר שני פרק ראשון בבקר בבקר ובצאן ביין ובשבר פרט ,ref-y
16353,ref-sifra.1.9.5-ref-sifra.1.9.41,ref-y.2.2.3.1.3.4-ref-y.2.2.3.1.3.45,1814,2002,306,340,ref-sifra.00001.00009.00005,ref-sifra.00001.00009.00041,1135708,1135913,169158,169190,ref-y.00002.00002.00003.00001.00003.00004,ref-y.00002.00002.00003.00001.00003.00045,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,ונתת הכסף בכל_אשר_תאוה_נפשך הרי זה כלל בבקר ובצאן ביין ובשכר הרי זה פרט ובכל אשר תשאלך נפשך חרי זה כלל אחר כלל_ופרט_וכלל ואין אתה דן אלא בעין הפרט לומר מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,ref-y
16354,ref-sifra.1.9.7-ref-sifra.1.9.36,ref-y.4.6.3.5.2.61-ref-y.4.6.3.5.2.78,1826,1974,308,336,ref-sifra.00001.00009.00007,ref-sifra.00001.00009.00036,3360363,3360445,506285,506299,ref-y.00004.00006.00003.00005.00002.00061,ref-y.00004.00006.00003.00005.00002.00078,בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,פרט לכל אשר יבטא חזר וכלל כלל_ופרט_וכלל אי אתה דן אלא בעין הפרט מה הפרט מפורש ,ref-y
16355,ref-sifra.1.9.7-ref-sifra.1.9.35,ref-y.4.6.6.6.1.155-ref-y.4.6.6.6.1.171,1826,1968,308,335,ref-sifra.00001.00009.00007,ref-sifra.00001.00009.00035,3396354,3396430,511584,511598,ref-y.00004.00006.00006.00006.00001.00155,ref-y.00004.00006.00006.00006.00001.00171,בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט ,פרט לכל אשר יבטא חזר וכלל כלל_ופרט_וכלל אין אתה דן אלא כעין הפרט מה הפרט ,ref-y
16356,ref-sifra.1.9.23-ref-sifra.1.9.41,ref-y.1.8.1.3.2.32-ref-y.1.8.1.3.2.52,1910,2002,324,340,ref-sifra.00001.00009.00023,ref-sifra.00001.00009.00041,702933,703031,106245,106261,ref-y.00001.00008.00001.00003.00002.00032,ref-y.00001.00008.00001.00003.00002.00052,כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,כלל אחר כלל_ופרט_וכלל אי אתה דן אלא בעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,ref-y
