,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-sifre-d.1.2.33-ref-sifre-d.1.2.41,ref-b.02.01.02.32b.9.13-ref-b.02.01.02.32b.9.21,364,413,59,67,ref-sifre-d.00001.00002.00033,ref-sifre-d.00001.00002.00041,461668,461717,64213,64221,ref-b.00002.00001.00002.0032b.00009.00013,ref-b.00002.00001.00002.0032b.00009.00021,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר שומרון ,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר שומרון ,ref-b
1,ref-sifre-d.1.3.47-ref-sifre-d.1.3.60,ref-b.04.04.11.98b.9.4-ref-b.04.04.11.98b.9.17,670,735,110,123,ref-sifre-d.00001.00003.00047,ref-sifre-d.00001.00003.00060,6335152,6335216,883894,883907,ref-b.00004.00004.00011.0098b.00009.00004,ref-b.00004.00004.00011.0098b.00009.00017,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,שאלו נא וראו אם ילד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,ref-b
2,ref-sifre-d.1.5.25-ref-sifre-d.1.5.34,ref-b.02.03.05.56a.5.44-ref-b.02.03.05.56a.6.7,1152,1202,186,195,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00034,1120840,1120899,153691,153701,ref-b.00002.00003.00005.0056a.00005.00044,ref-b.00002.00003.00005.0056a.00006.00007,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר ,מזרח ושוקעת בחצי מערב שנאמר הולך אל דרום וסובב אל צפון ,ref-b
3,ref-sifre-d.1.5.25-ref-sifre-d.1.5.33,ref-b.02.03.05.56a.6.8-ref-b.02.03.05.56a.6.24,1152,1195,186,194,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00033,1120900,1120986,153702,153718,ref-b.00002.00003.00005.0056a.00006.00008,ref-b.00002.00003.00005.0056a.00006.00024,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ,הולך אל דרום ביום וסובב אל צפון בלילה סובב סובב הולך הרוח אלו פני מזרח ופני מערב ,ref-b
4,ref-sifre-d.1.5.25-ref-sifre-d.1.5.34,ref-b.04.03.02.25b.2.1-ref-b.04.03.02.25b.2.7,1152,1202,186,195,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00034,5595986,5596020,777756,777762,ref-b.00004.00003.00002.0025b.00002.00001,ref-b.00004.00003.00002.0025b.00002.00007,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר ,שנאמר הולך אל דרום וסובב אל צפון ,ref-b
5,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-b.04.03.02.25b.2.9-ref-b.04.03.02.25b.2.15,1152,1179,186,191,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00030,5596026,5596059,777764,777770,ref-b.00004.00003.00002.0025b.00002.00009,ref-b.00004.00003.00002.0025b.00002.00015,הולך אל דרום וסובב אל צפון ,הולך אל דרום ביום וסובב אל צפון ,ref-b
6,ref-sifre-d.1.8.14-ref-sifre-d.1.8.25,ref-b.05.05.03.16b.6.2-ref-b.05.05.03.16b.6.10,1622,1681,269,278,ref-sifre-d.00001.00008.00014,ref-sifre-d.00001.00008.00025,8169016,8169059,1148898,1148905,ref-b.00005.00005.00003.0016b.00006.00002,ref-b.00005.00005.00003.0016b.00006.00010,אמר רבי טרפון העבודה אם יש בדור הזה מי שיכול לקבל תוכחה ,"א""ר טרפון אני אם יש בדור הזה שמקבל תוכחה ",ref-b
7,ref-sifre-d.1.8.18-ref-sifre-d.1.9.1,ref-b.05.05.03.16b.6.30-ref-b.05.05.03.16b.8.8,1644,1970,272,325,ref-sifre-d.00001.00008.00018,ref-sifre-d.00001.00009.00001,8169147,8169403,1148917,1148954,ref-b.00005.00005.00003.0016b.00006.00030,ref-b.00005.00005.00003.0016b.00008.00008,אם יש בדור הזה מי שיכול לקבל תוכחה אמר רבי עקיבא העבודה אם יש בדור הזה יודע היאך מוכיחים אמר ר' יוחנן מעידני עלי שמים וארץ שיותר מחמשה פעמים נתקנתר עלי רבי עקיבא לפני רבן גמליאל ביבנה שהייתי קובלני עליו והיה מקנתרו ויודע אני בו שהיה מוסיף בי אהבה לקיים מה שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך שהתוכחה מ,אם יש בדור הזה שיודע להוכיח ואמר רבי_יוחנן_בן_נורי מעיד אני עלי שמים וארץ שהרבה פעמים לקה עקיבא על ידי שהייתי קובל עליו לפני רבן וכל שכן שהוספתי בו אהבה לקיים_מה_שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך בעא_מיניה_רבי_יהודה_בריה דר' שמעון תוכחה ,ref-b
8,ref-sifre-d.1.8.70-ref-sifre-d.1.8.77,ref-b.03.01.06.65b.6.30-ref-b.03.01.06.65b.6.37,1922,1960,317,324,ref-sifre-d.00001.00008.00070,ref-sifre-d.00001.00008.00077,3057517,3057555,421745,421752,ref-b.00003.00001.00006.0065b.00006.00030,ref-b.00003.00001.00006.0065b.00006.00037,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,ref-b
9,ref-sifre-d.1.14.93-ref-sifre-d.1.14.103,ref-b.03.01.06.63a.2.45-ref-b.03.01.06.63a.3.12,3083,3144,504,514,ref-sifre-d.00001.00014.00093,ref-sifre-d.00001.00014.00103,3045642,3045703,419946,419955,ref-b.00003.00001.00006.0063a.00002.00045,ref-b.00003.00001.00006.0063a.00003.00012,לאדם הראשון שאמרתי לו אעשה לו עזר כנגדו בטובה שהיטבתי לו ,אדם ואמר רבי_אלעזר_מאי_דכתיב אעשה לו עזר כנגדו זכה עוזרתו לא ,ref-b
10,ref-sifre-d.1.14.109-ref-sifre-d.1.14.118,ref-b.04.08.01.5b.1.7-ref-b.04.08.01.5b.1.16,3172,3217,520,529,ref-sifre-d.00001.00014.00109,ref-sifre-d.00001.00014.00118,6518702,6518748,911803,911812,ref-b.00004.00008.00001.0005b.00001.00007,ref-b.00004.00008.00001.0005b.00001.00016,האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,האשה אשר נתתה עמדי היא נתנה לי מן העץ ואוכל ,ref-b
11,ref-sifre-d.1.18.129-ref-sifre-d.1.18.150,ref-b.05.05.03.15a.14.6-ref-b.05.05.03.15a.15.3,4201,4323,702,723,ref-sifre-d.00001.00018.00129,ref-sifre-d.00001.00018.00150,8161423,8161536,1147728,1147747,ref-b.00005.00005.00003.0015a.00014.00006,ref-b.00005.00005.00003.0015a.00015.00003,"נסיונות שנסו אבותינו הקב""ה במדבר ואלו הם ב' בים וב' במים וב' במן ב' בשליו ואחד במעשה העגל ואחד במדבר פארן ואחד ","נסיונות ניסו אבותינו להקב""ה שנים בים ושנים במים שנים במן שנים בשליו אחת בעגל ואחת במדבר פארן שנים בים אחת ",ref-b
12,ref-sifre-d.1.20.159-ref-sifre-d.1.20.169,ref-b.02.04.08.88a.3.1-ref-b.02.04.08.88a.3.18,5419,5477,901,911,ref-sifre-d.00001.00020.00159,ref-sifre-d.00001.00020.00169,1573128,1573214,214340,214354,ref-b.00002.00004.00008.0088a.00003.00001,ref-b.00002.00004.00008.0088a.00003.00018,ואומר והלכו עמים רבים ואמרו לכו ונעלה אל בית אלהי יעקב ,ואמר רבי_אלעזר_מאי_דכתיב והלכו עמים רבים ואמרו לכו ונעלה אל הר ה' אל בית אלהי יעקב ,ref-b
13,ref-sifre-d.1.20.174-ref-sifre-d.1.20.179,ref-b.01.01.09.63b.3.6-ref-b.01.01.09.63b.3.11,5512,5539,916,921,ref-sifre-d.00001.00020.00174,ref-sifre-d.00001.00020.00179,350595,350622,49004,49009,ref-b.00001.00001.00009.0063b.00003.00006,ref-b.00001.00001.00009.0063b.00003.00011,כי מציון תצא תורה ודבר ה' ,כי מציון תצא תורה ודבר ה' ,ref-b
14,ref-sifre-d.2.1.1-ref-sifre-d.2.1.7,ref-b.05.02.06.65a.12.49-ref-b.05.02.06.65a.12.55,5849,5879,968,973,ref-sifre-d.00002.00001.00001,ref-sifre-d.00002.00001.00007,7341556,7341586,1031182,1031187,ref-b.00005.00002.00006.0065a.00012.00049,ref-b.00005.00002.00006.0065a.00012.00055,אחד עשר יום מחורב דרך הר שעיר ,אחד עשר יום מחורב דרך הר שעיר ,ref-b
15,ref-sifre-d.2.1.27-ref-sifre-d.2.1.32,ref-b.02.09.04.29a.3.2-ref-b.02.09.04.29a.3.7,5986,6013,992,997,ref-sifre-d.00002.00001.00027,ref-sifre-d.00002.00001.00032,2481914,2481941,341321,341326,ref-b.00002.00009.00004.0029a.00003.00002,ref-b.00002.00009.00004.0029a.00003.00007,ויסעו מהר ה' דרך שלשת ימים ,ויסעו מהר ה' דרך שלשת ימים ,ref-b
16,ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-b.05.01.14.119a.3.8-ref-b.05.01.14.119a.3.16,6544,6584,1092,1099,ref-sifre-d.00002.00002.00064,ref-sifre-d.00002.00002.00072,7133017,7133057,1001017,1001024,ref-b.00005.00001.00014.0119a.00003.00008,ref-b.00005.00001.00014.0119a.00003.00016,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,ref-b
17,ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-b.05.01.14.119a.9.5-ref-b.05.01.14.119a.9.13,6544,6584,1092,1099,ref-sifre-d.00002.00002.00064,ref-sifre-d.00002.00002.00072,7133779,7133819,1001140,1001147,ref-b.00005.00001.00014.0119a.00009.00005,ref-b.00005.00001.00014.0119a.00009.00013,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,ref-b
18,ref-sifre-d.2.2.66-ref-sifre-d.2.2.72,ref-b.02.10.01.10a.3.4-ref-b.02.10.01.10a.3.10,6550,6584,1093,1099,ref-sifre-d.00002.00002.00066,ref-sifre-d.00002.00002.00072,2529491,2529525,347773,347779,ref-b.00002.00010.00001.0010a.00003.00004,ref-b.00002.00010.00001.0010a.00003.00010,באתם עד עתה אל המנוחה ואל הנחלה ,באתם עד עתה אל המנוחה ואל הנחלה ,ref-b
19,ref-sifre-d.2.2.131-ref-sifre-d.2.3.7,ref-b.02.08.01.3b.7.14-ref-b.02.08.01.3b.8.7,6874,6924,1151,1159,ref-sifre-d.00002.00002.00131,ref-sifre-d.00002.00003.00007,2250216,2250314,308011,308025,ref-b.00002.00008.00001.0003b.00007.00014,ref-b.00002.00008.00001.0003b.00008.00007,אבותיך לך ויהי בארבעים שנה בעשתי עשר חודש באחד ,בשנת שתים בעשרים ואחד לחדש ואם איתא בשביעי בשנת שלש מיבעי_ליה_אמר_רבי אבהו כורש מלך כשר היה ,ref-b
20,ref-sifre-d.2.2.131-ref-sifre-d.2.3.9,ref-b.02.08.01.2b.9.26-ref-b.02.08.01.2b.9.44,6874,6939,1151,1161,ref-sifre-d.00002.00002.00131,ref-sifre-d.00002.00003.00009,2246523,2246626,307416,307433,ref-b.00002.00008.00001.0002b.00009.00026,ref-b.00002.00008.00001.0002b.00009.00044,אבותיך לך ויהי בארבעים שנה בעשתי עשר חודש באחד לחודש דבר משה ,לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש דבר משה וגו' מדקאי באב וקרי לה שנת ארבעים ,ref-b
21,ref-sifre-d.2.3.1-ref-sifre-d.2.3.6,ref-b.02.08.01.3a.11.37-ref-b.02.08.01.3a.11.42,6884,6918,1153,1158,ref-sifre-d.00002.00003.00001,ref-sifre-d.00002.00003.00006,2248392,2248425,307715,307720,ref-b.00002.00008.00001.0003a.00011.00037,ref-b.00002.00008.00001.0003a.00011.00042,ויהי בארבעים שנה בעשתי עשר חודש ,ויהי בארבעים שנה בעשתי עשר חדש ,ref-b
22,ref-sifre-d.2.3.29-ref-sifre-d.2.3.39,ref-b.04.04.01.12a.8.9-ref-b.04.04.01.12a.8.26,7028,7086,1177,1185,ref-sifre-d.00002.00003.00029,ref-sifre-d.00002.00003.00039,5967084,5967180,829006,829019,ref-b.00004.00004.00001.0012a.00008.00009,ref-b.00004.00004.00001.0012a.00008.00026,"ולשלמה י""ב נציבים על כל ישראל ואומר ונציב אחד אשר בארץ ",ולשלמה שנים עשר נציבים על כל ישראל וכלכלו את המלך ואת חדש בשנה והכתיב ונציב אחד אשר בארץ ,ref-b
23,ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,ref-b.02.08.01.11a.12.13-ref-b.02.08.01.11a.12.33,7191,7288,1204,1221,ref-sifre-d.00002.00003.00061,ref-sifre-d.00002.00003.00079,2274615,2274731,311379,311393,ref-b.00002.00008.00001.0011a.00012.00013,ref-b.00002.00008.00001.0011a.00012.00033,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",שנאמר ויאמר אליהם בן מאה_ועשרים_שנה אנכי היום שאין_תלמוד_לומר היום ומה_תלמוד_לומר היום היום מלאו ימי ושנותי ,ref-b
24,ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,ref-b.03.05.01.13b.16.1-ref-b.03.05.01.13b.16.16,7191,7288,1204,1221,ref-sifre-d.00002.00003.00061,ref-sifre-d.00002.00003.00079,3954944,3955031,545891,545902,ref-b.00003.00005.00001.0013b.00016.00001,ref-b.00003.00005.00001.0013b.00016.00016,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",ויאמר אליהם בן מאה_ועשרים_שנה אנכי היום שאין_תלמוד_לומר היום היום מלאו ימי ושנותי ,ref-b
25,ref-sifre-d.2.3.75-ref-sifre-d.2.3.85,ref-b.03.04.01.6b.4.23-ref-b.03.04.01.6b.4.31,7262,7317,1217,1226,ref-sifre-d.00002.00003.00075,ref-sifre-d.00002.00003.00085,3780893,3780940,521391,521399,ref-b.00003.00004.00001.0006b.00004.00023,ref-b.00003.00004.00001.0006b.00004.00031,היום היום מלאו ימי שנותי מעת לעת ר' אומר היום מלאו ,ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת ,ref-b
26,ref-sifre-d.2.3.89-ref-sifre-d.2.3.98,ref-b.02.08.01.13a.11.15-ref-b.02.08.01.13a.12.10,7337,7390,1230,1238,ref-sifre-d.00002.00003.00089,ref-sifre-d.00002.00003.00098,2280047,2280101,312147,312154,ref-b.00002.00008.00001.0013a.00011.00015,ref-b.00002.00008.00001.0013a.00012.00010,לו מעת לעת ואומר והעם עלו מן הירדן בעשור לחודש ,להו לא_סלקא_דעתך_דכתיב והעם עלו מן הירדן בעשור לחדש ,ref-b
27,ref-sifre-d.2.3.92-ref-sifre-d.2.3.99,ref-b.03.01.08.71b.10.17-ref-b.03.01.08.71b.10.24,7350,7398,1232,1239,ref-sifre-d.00002.00003.00092,ref-sifre-d.00002.00003.00099,3077601,3077647,424373,424380,ref-b.00003.00001.00008.0071b.00010.00017,ref-b.00003.00001.00008.0071b.00010.00024,ואומר והעם עלו מן הירדן בעשור לחודש הראשון ,שנאמר והעם עלו מן הירדן בעשור לחדש הראשון ,ref-b
28,ref-sifre-d.2.3.93-ref-sifre-d.2.3.107,ref-b.03.07.01.38a.6.20-ref-b.03.07.01.38a.6.32,7357,7449,1233,1247,ref-sifre-d.00002.00003.00093,ref-sifre-d.00002.00003.00107,4519778,4519849,623550,623562,ref-b.00003.00007.00001.0038a.00006.00020,ref-b.00003.00007.00001.0038a.00006.00032,והעם עלו מן הירדן בעשור לחודש הראשון ויחנו בקצה הגלגל הוצא ומנה שלשים ושלשה למפרע ,והעם עלו מן הירדן בעשור לחדש הראשון צא מהן שלשים ושלשה ימים למפרע ,ref-b
