,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
2965,ref-sifre-d.1.2.5-ref-sifre-d.1.2.12,ref-bible.0212.1.1.1-ref-bible.0212.1.1.8,218,259,35,42,ref-sifre-d.00001.00002.00005,ref-sifre-d.00001.00002.00012,1097697,1097737,185687,185694,ref-bible.00212.00001.00001.00001,ref-bible.00212.00001.00001.00008,דברי עמוס אשר היה בנוקדים מתקוע אשר חזה ,דברי עמוס אשר היה בנקדים מתקוע אשר חזה ,ref-bible
2966,ref-sifre-d.1.2.34-ref-sifre-d.1.2.41,ref-bible.0212.4.1.1-ref-bible.0212.4.1.8,371,413,60,67,ref-sifre-d.00001.00002.00034,ref-sifre-d.00001.00002.00041,1101038,1101079,186196,186203,ref-bible.00212.00004.00001.00001,ref-bible.00212.00004.00001.00008,שמעו הדבר הזה פרות הבשן אשר בהר שומרון ,שמעו הדבר הזה פרות הבשן אשר בהר שמרון ,ref-bible
2967,ref-sifre-d.1.3.33-ref-sifre-d.1.3.69,ref-bible.0208.30.4.1-ref-bible.0208.30.7.13,594,780,96,132,ref-sifre-d.00001.00003.00033,ref-sifre-d.00001.00003.00069,924779,925026,156996,157038,ref-bible.00208.00030.00004.00001,ref-bible.00208.00030.00007.00013,אלה הדברים אלא מלמד שהיו דברי תוכחות שנאמר קול חרדה שמענו פחד ואין שלום שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה הוי כי היום ההוא עת צרה ליעקב וממנה יושע ,ואלה הדברים אשר_דבר_יהוה_אל ישראל ואל יהודה כי_כה_אמר_יהוה קול חרדה שמענו פחד ואין שלום שאלו נא וראו אם ילד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ונהפכו כל פנים לירקון הוי כי גדול היום ההוא מאין כמהו ועת צרה היא ליעקב וממנה יושע ,ref-bible
2968,ref-sifre-d.1.4.22-ref-sifre-d.1.4.31,ref-bible.0204.23.2.1-ref-bible.0204.23.3.2,889,933,145,154,ref-sifre-d.00001.00004.00022,ref-sifre-d.00001.00004.00031,639711,639751,108164,108172,ref-bible.00204.00023.00002.00001,ref-bible.00204.00023.00003.00002,"רוח ה' דבר בי ומלתו על לשוני ומה ת""ל ואלה ",רוח יהוה דבר בי ומלתו על לשוני אמר אלהי ,ref-bible
2969,ref-sifre-d.1.4.44-ref-sifre-d.1.4.47,ref-bible.0204.23.6.1-ref-bible.0204.23.6.4,1007,1031,167,170,ref-sifre-d.00001.00004.00044,ref-sifre-d.00001.00004.00047,639949,639971,108214,108217,ref-bible.00204.00023.00006.00001,ref-bible.00204.00023.00006.00004,ובליעל כקוץ מונד כולהם ,ובליעל כקוץ מנד כלהם ,ref-bible
2970,ref-sifre-d.1.5.21-ref-sifre-d.1.5.30,ref-bible.0201.19.27.2-ref-bible.0201.19.27.11,1129,1179,182,191,ref-sifre-d.00001.00005.00021,ref-sifre-d.00001.00005.00030,450744,450796,75349,75358,ref-bible.00201.00019.00027.00002,ref-bible.00201.00019.00027.00011,וזרח השמש ובא השמש הולך אל דרום וסובב אל צפון ,מזרח השמש בית דגן ופגע בזבלון ובגי יפתח אל צפונה ,ref-bible
2971,ref-sifre-d.1.8.70-ref-sifre-d.1.8.77,ref-bible.0302.9.8.1-ref-bible.0302.9.8.8,1922,1960,317,324,ref-sifre-d.00001.00008.00070,ref-sifre-d.00001.00008.00077,1265118,1265156,215785,215792,ref-bible.00302.00009.00008.00001,ref-bible.00302.00009.00008.00008,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,ref-bible
2972,ref-sifre-d.1.9.8-ref-sifre-d.1.9.15,ref-bible.0101.21.24.2-ref-bible.0101.21.25.6,2001,2048,330,336,ref-sifre-d.00001.00009.00008,ref-sifre-d.00001.00009.00015,36089,36135,6356,6363,ref-bible.00101.00021.00024.00002,ref-bible.00101.00021.00025.00006,באברהם שנאמר והוכיח אברהם את אבימלך על אודות ,אברהם אנכי אשבע והוכח אברהם את אבימלך על אדות ,ref-bible
2973,ref-sifre-d.1.9.26-ref-sifre-d.1.9.37,ref-bible.0101.26.27.1-ref-bible.0101.26.28.1,2103,2174,345,356,ref-sifre-d.00001.00009.00026,ref-sifre-d.00001.00009.00037,48637,48707,8596,8607,ref-bible.00101.00026.00027.00001,ref-bible.00101.00026.00028.00001,ויאמר אליהם יצחק מדוע באתם אלי ואתם שנאתם אותי ותשלחוני מאתכם ואומר ,ויאמר אלהם יצחק מדוע באתם אלי ואתם שנאתם אתי ותשלחוני מאתכם ויאמרו ,ref-bible
2974,ref-sifre-d.1.9.29-ref-sifre-d.1.9.34,ref-bible.0202.11.7.6-ref-bible.0202.11.7.14,2121,2151,348,353,ref-sifre-d.00001.00009.00029,ref-sifre-d.00001.00009.00034,491311,491361,82072,82080,ref-bible.00202.00011.00007.00006,ref-bible.00202.00011.00007.00014,מדוע באתם אלי ואתם שנאתם אותי ,אתם שנאתם אותי ותגרשוני מבית אבי ומדוע באתם אלי ,ref-bible
