,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
4485,ref-sifre-d.1.14.107-ref-sifre-d.1.14.114,ref-m.04.01.9.12.10-ref-m.04.01.9.12.18,3159,3199,518,525,ref-sifre-d.00001.00014.00107,ref-sifre-d.00001.00014.00114,456032,456074,71169,71177,ref-m.00004.00001.00009.00012.00010,ref-m.00004.00001.00009.00012.00018,ויאמר האדם האשה אשר נתת עמדי היא נתנה ,מידם שנאמר איש אשר יתן לכהן לו יהיה נתן ,ref-m
4486,ref-sifre-d.2.6.57-ref-sifre-d.2.6.70,ref-m.01.01.9.5.117-ref-m.01.01.9.5.132,8477,8544,1405,1418,ref-sifre-d.00002.00006.00057,ref-sifre-d.00002.00006.00070,11359,11443,1752,1767,ref-m.00001.00001.00009.00005.00117,ref-m.00001.00001.00009.00005.00132,שנאמר הנני ענו בי נגד ה' ונגד משיחו ויאמרו לא ויאמר אליהם עד ה' ,שנאמר והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' ,ref-m
4487,ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,ref-m.04.06.1.6.15-ref-m.04.06.1.6.19,8718,8760,1444,1448,ref-sifre-d.00002.00008.00016,ref-sifre-d.00002.00008.00020,548624,548666,85763,85767,ref-m.00004.00006.00001.00006.00015,ref-m.00004.00006.00001.00006.00019,שבתורה הקלות והחמורות הזדונות והשגגות ,שבתורה הקלות והחמורות הזדונות והשגגות ,ref-m
4488,ref-sifre-d.6.3.7-ref-sifre-d.6.3.17,ref-m.02.05.6.8.70-ref-m.02.05.6.8.77,11106,11171,1854,1863,ref-sifre-d.00006.00003.00007,ref-sifre-d.00006.00003.00017,224932,224979,34914,34921,ref-m.00002.00005.00006.00008.00070,ref-m.00002.00005.00006.00008.00077,מלבין עונותיהם של ישראל שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,מלבין שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,ref-m
4489,ref-sifre-d.6.3.11-ref-sifre-d.6.3.17,ref-m.02.01.9.3.37-ref-m.02.01.9.3.43,11130,11171,1857,1863,ref-sifre-d.00006.00003.00011,ref-sifre-d.00006.00003.00017,140346,140387,21674,21680,ref-m.00002.00001.00009.00003.00037,ref-m.00002.00001.00009.00003.00043,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,ref-m
4490,ref-sifre-d.11.1.81-ref-sifre-d.11.1.105,ref-m.04.03.3.3.29-ref-m.04.03.3.3.37,14944,15050,2519,2540,ref-sifre-d.00011.00001.00081,ref-sifre-d.00011.00001.00105,489474,489515,76567,76575,ref-m.00004.00003.00003.00003.00029,ref-m.00004.00003.00003.00003.00037,לי אבא בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך אלא משלי אבל מה שהניח לך אביך ,שנתת לי במתנה אביך מכרה לי אביך נתנה לי ,ref-m
4491,ref-sifre-d.11.1.82-ref-sifre-d.11.1.97,ref-m.04.01.8.6.75-ref-m.04.01.8.6.92,14947,15016,2520,2533,ref-sifre-d.00011.00001.00082,ref-sifre-d.00011.00001.00097,452708,452786,70635,70648,ref-m.00004.00001.00008.00006.00075,ref-m.00004.00001.00008.00006.00092,אבא בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי ,באת לפני_רבי_עקיבא וחייבו ליתן לה ארבע מאות זוז אמר_לו_רבי תן לי זמן ונתן לו ,ref-m
4492,ref-sifre-d.11.1.83-ref-sifre-d.11.1.100,ref-m.04.09.3.7.6-ref-m.04.09.3.7.25,14951,15028,2521,2536,ref-sifre-d.00011.00001.00083,ref-sifre-d.00011.00001.00100,605588,605683,94187,94202,ref-m.00004.00009.00003.00007.00006,ref-m.00004.00009.00003.00007.00025,בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך אלא משלי ,תן לו משלו שאתה ושלך שלו וכן בדוד הוא אומר כי ממך הכל ומידך נתנו לך רבי_שמעון_אומר המהלך ,ref-m
4493,ref-sifre-d.11.1.85-ref-sifre-d.11.1.98,ref-m.05.03.11.2.65-ref-m.05.03.11.2.74,14961,15019,2523,2534,ref-sifre-d.00011.00001.00085,ref-sifre-d.00011.00001.00098,702494,702536,109451,109460,ref-m.00005.00003.00011.00002.00065,ref-m.00005.00003.00011.00002.00074,ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך ,תתן לו שיהא בו כדי מתנה לא הספיק ליתנו לו ,ref-m
4494,ref-sifre-d.16.1.46-ref-sifre-d.16.1.51,ref-m.04.09.1.1.23-ref-m.04.09.1.1.28,18383,18422,3102,3107,ref-sifre-d.00016.00001.00046,ref-sifre-d.00016.00001.00051,598252,598291,92972,92977,ref-m.00004.00009.00001.00001.00023,ref-m.00004.00009.00001.00001.00028,והעמידו תלמידים הרבה ועשו סייג לתורה ,והעמידו תלמידים הרבה ועשו סייג לתורה ,ref-m
4495,ref-sifre-d.16.3.130-ref-sifre-d.16.4.1,ref-m.04.09.1.1.23-ref-m.04.09.1.2.1,19203,19247,3226,3232,ref-sifre-d.00016.00003.00130,ref-sifre-d.00016.00004.00001,598252,598297,92972,92978,ref-m.00004.00009.00001.00001.00023,ref-m.00004.00009.00001.00002.00001,והעמידו תלמידים הרבה ועשו סייג לתורה שמוע ,והעמידו תלמידים הרבה ועשו סייג לתורה שמעון ,ref-m
4496,ref-sifre-d.16.5.11-ref-sifre-d.16.5.41,ref-m.05.02.10.3.41-ref-m.05.02.10.3.67,19484,19628,3274,3303,ref-sifre-d.00016.00005.00011,ref-sifre-d.00016.00005.00041,674095,674219,105047,105072,ref-m.00005.00002.00010.00003.00041,ref-m.00005.00002.00010.00003.00067,זה אומר שלי וזה אומר שלי היא וזה חורש בפרתו זה אומר שלי היא וזה יושב בתוך ביתו וזה אומר שלי הוא זה מחזיק בשדהו וזה אומר שלי היא לכך נאמר ,אומרים הין מגל זו אומרים הין מגל זו אומרים הין קופה זו אומרים הין קופה זו אומרים הין בשבת אומר להם שבת זו אומרים הין שבת זו ,ref-m
4497,ref-sifre-d.16.5.13-ref-sifre-d.16.5.24,ref-m.02.03.9.10.27-ref-m.02.03.9.10.41,19492,19546,3276,3287,ref-sifre-d.00016.00005.00013,ref-sifre-d.00016.00005.00024,196553,196629,30305,30319,ref-m.00002.00003.00009.00010.00027,ref-m.00002.00003.00009.00010.00041,שלי וזה אומר שלי היא וזה חורש בפרתו זה אומר שלי היא ,אומרים אם שלנו הוא הפסח הזה ידיך משוכות משלך ונמנית על שלנו ואם שלך הוא ,ref-m
4498,ref-sifre-d.16.5.13-ref-sifre-d.16.5.24,ref-m.02.03.9.11.34-ref-m.02.03.9.11.48,19492,19546,3276,3287,ref-sifre-d.00016.00005.00013,ref-sifre-d.00016.00005.00024,196910,196980,30374,30388,ref-m.00002.00003.00009.00011.00034,ref-m.00002.00003.00009.00011.00048,שלי וזה אומר שלי היא וזה חורש בפרתו זה אומר שלי היא ,אומרים אם שלי הוא פסח זה ידיך משוכות משלך ונמנית על שלי ואם שלך הוא ,ref-m
4499,ref-sifre-d.16.7.1-ref-sifre-d.16.7.17,ref-m.04.03.8.1.29-ref-m.04.03.8.1.46,19721,19798,3318,3332,ref-sifre-d.00016.00007.00001,ref-sifre-d.00016.00007.00017,500040,500134,78185,78198,ref-m.00004.00003.00008.00001.00029,ref-m.00004.00003.00008.00001.00046,בין איש ובין אחיו ובין גרו אין_לי_אלא בין איש לאשתו בין אשה לאיש בין אומה ,האיש את אמו והאיש את אשתו ובני אחיות נוחלין ולא מנחילין האשה את בניה והאשה את בעלה ואחי ,ref-m
4500,ref-sifre-d.17.7.75-ref-sifre-d.17.7.83,ref-m.03.01.13.2.8-ref-m.03.01.13.2.13,21789,21837,3673,3680,ref-sifre-d.00017.00007.00075,ref-sifre-d.00017.00007.00083,307767,307803,47717,47722,ref-m.00003.00001.00013.00002.00008,ref-m.00003.00001.00013.00002.00013,חייך שאני מודיעך שאין אתה רואה ואימתי הודיע לו ,אמה ואחיה לדעתה השיאוה שלא לדעתה ,ref-m
4501,ref-sifre-d.19.2.17-ref-sifre-d.19.2.32,ref-m.02.02.1.5.16-ref-m.02.02.1.5.25,22636,22724,3809,3823,ref-sifre-d.00019.00002.00017,ref-sifre-d.00019.00002.00032,159043,159095,24533,24542,ref-m.00002.00002.00001.00005.00016,ref-m.00002.00002.00001.00005.00025,והיה מחזירו ומראה אותו ואומר לו כל הגפנים הללו שלך הם וכל הכרמים וכל הזיתים הללו ,כאילו היא פשוטה עגולה רואין אותה כאילו היא מרובעת כל ,ref-m
4502,ref-sifre-d.26.3.21-ref-sifre-d.26.3.24,ref-m.05.04.5.5.16-ref-m.05.04.5.5.21,27468,27488,4606,4609,ref-sifre-d.00026.00003.00021,ref-sifre-d.00026.00003.00024,712718,712753,111025,111030,ref-m.00005.00004.00005.00005.00016,ref-m.00005.00004.00005.00005.00021,נסמת עינו נקטעה רגלו ,שנסמת עינו שנקטעה ידו שנשברה רגלו ,ref-m
4503,ref-sifre-d.26.3.40-ref-sifre-d.26.3.43,ref-m.05.04.5.5.16-ref-m.05.04.5.5.21,27565,27585,4625,4628,ref-sifre-d.00026.00003.00040,ref-sifre-d.00026.00003.00043,712718,712753,111025,111030,ref-m.00005.00004.00005.00005.00016,ref-m.00005.00004.00005.00005.00021,נסמת עינו נקטעה רגלו ,שנסמת עינו שנקטעה ידו שנשברה רגלו ,ref-m
4504,ref-sifre-d.26.9.120-ref-sifre-d.26.9.128,ref-m.03.05.5.4.15-ref-m.03.05.5.4.21,30056,30098,5072,5080,ref-sifre-d.00026.00009.00120,ref-sifre-d.00026.00009.00128,392952,393002,61259,61264,ref-m.00003.00005.00005.00004.00015,ref-m.00003.00005.00005.00004.00021,"אומר בעת ההיא לאמר שאין ת""ל לאמר מה ת""ל ",ויאמרו לאמר שאין תלמוד לומר לאמר ומה תלמוד לומר ,ref-m
4505,ref-sifre-d.28.3.15-ref-sifre-d.28.3.24,ref-m.01.11.1.4.23-ref-m.01.11.1.4.40,33320,33375,5638,5646,ref-sifre-d.00028.00003.00015,ref-sifre-d.00028.00003.00024,121952,122057,18816,18832,ref-m.00001.00011.00001.00004.00023,ref-m.00001.00011.00001.00004.00040,נקרא שמו לבנון שמלבין עונותיהם של ישראל שנאמר אם יהיו ,וקורא וכשהוא מתפלל בינו לבין עצמו אומר אלהי אבות ישראל וכשהוא בבית הכנסת אומר אלהי אבותיכם ואם היתה ,ref-m
