,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
5175,ref-sifre-d.1.3.47-ref-sifre-d.1.3.59,ref-mek.3.1.1.629-ref-mek.3.1.1.641,670,727,110,122,ref-sifre-d.00001.00003.00047,ref-sifre-d.00001.00003.00059,136618,136675,22083,22095,ref-mek.00003.00001.00001.00629,ref-mek.00003.00001.00001.00641,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו ,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו ,ref-mek
5176,ref-sifre-d.1.20.15-ref-sifre-d.1.20.21,ref-mek.6.4.4.43-ref-mek.6.4.4.49,4639,4669,770,776,ref-sifre-d.00001.00020.00015,ref-sifre-d.00001.00020.00021,250552,250582,41294,41300,ref-mek.00006.00004.00004.00043,ref-mek.00006.00004.00004.00049,כי לה' עין אדם וכל שבטי ישראל ,כי לה' עין אדם וכל שבטי ישראל ,ref-mek
5177,ref-sifre-d.2.2.46-ref-sifre-d.2.2.60,ref-mek.1.6.1.355-ref-mek.1.6.1.362,6452,6528,1076,1089,ref-sifre-d.00002.00002.00046,ref-sifre-d.00002.00002.00060,16900,16943,2720,2727,ref-mek.00001.00006.00001.00355,ref-mek.00001.00006.00001.00362,שנאמר וארון ברית ה' נוסע לפניהם דרך ג' ימים לתור להם מנוחה ואין מנוחה אלא ,שנאמר לעברך בברית ה' אלהיך ואין ברית אלא ,ref-mek
5178,ref-sifre-d.2.3.110-ref-sifre-d.2.4.6,ref-mek.3.2.1.582-ref-mek.3.2.1.589,7461,7510,1250,1258,ref-sifre-d.00002.00003.00110,ref-sifre-d.00002.00004.00006,142877,142920,23144,23151,ref-mek.00003.00002.00001.00582,ref-mek.00003.00002.00001.00589,"שהשנה י""ב חודש ד""א ויהי בארבעים שנה בעשתי עשר ",לשנים עשר חדש שנאמר ויהי מקץ ארבעים שנה ,ref-mek
5179,ref-sifre-d.3.1.16-ref-sifre-d.3.1.33,ref-mek.5.4.11.21-ref-mek.5.4.11.35,8912,8992,1471,1484,ref-sifre-d.00003.00001.00016,ref-sifre-d.00003.00001.00033,230918,230984,37985,37998,ref-mek.00005.00004.00011.00021,ref-mek.00005.00004.00011.00035,אמרו לו חיילותיו תן לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן לנו ,תשובה שנתן לו אתה למד שנאמר אל נא תעזוב אותנו אמר לו אתה נתת לנו ,ref-mek
5180,ref-sifre-d.3.1.23-ref-sifre-d.3.1.33,ref-mek.4.4.1.40-ref-mek.4.4.1.56,8948,8992,1476,1484,ref-sifre-d.00003.00001.00023,ref-sifre-d.00003.00001.00033,189185,189267,30995,31009,ref-mek.00004.00004.00001.00040,ref-mek.00004.00004.00001.00056,חמות אמר להם אני נותן לכם שוב אמרו לו תן לנו ,לחם ונתתיו לכם חזרתם שאלתם בשר ממלא מעיין הרי אני נותנו לכם מפני מה אני נותנו לכם ,ref-mek
5181,ref-sifre-d.4.1.30-ref-sifre-d.4.1.45,ref-mek.5.3.3.79-ref-mek.5.3.3.90,9853,9936,1631,1644,ref-sifre-d.00004.00001.00030,ref-sifre-d.00004.00001.00045,221708,221766,36443,36453,ref-mek.00005.00003.00003.00079,ref-mek.00005.00003.00003.00090,אין הואלה אלא שבועה שנאמר ויואל משה לשבת את האיש ואומר ויואל שאול את העם לאמר ,משה אין אלה אלא לשון שבועה שנאמר ויואל שאול את העם לאמר ,ref-mek
5182,ref-sifre-d.5.2.18-ref-sifre-d.5.2.28,ref-mek.5.4.7.84-ref-mek.5.4.7.92,10311,10369,1710,1720,ref-sifre-d.00005.00002.00018,ref-sifre-d.00005.00002.00028,229943,229989,37826,37834,ref-mek.00005.00004.00007.00084,ref-mek.00005.00004.00007.00092,עליכם ע' זקנים ושרי אלפים ושרי מאות ושרי נ' ושרי עשרות ,עליהם שרי אלפים שרי מאות שרי חמשים ושרי עשרות ,ref-mek
5183,ref-sifre-d.6.2.53-ref-sifre-d.6.2.63,ref-mek.5.2.1.698-ref-mek.5.2.1.707,10992,11047,1834,1843,ref-sifre-d.00006.00002.00053,ref-sifre-d.00006.00002.00063,213596,213645,35078,35086,ref-mek.00005.00002.00001.00698,ref-mek.00005.00002.00001.00707,ואין לבנון אלא בית המקדש שנא' גלעד אתה לי ראש הלבנון ,ואין גלעד אלא בית המקדש גלעד אתה לי ראש הלבנון ,ref-mek
5184,ref-sifre-d.6.2.63-ref-sifre-d.6.2.67,ref-mek.5.2.1.344-ref-mek.5.2.1.349,11040,11074,1843,1847,ref-sifre-d.00006.00002.00063,ref-sifre-d.00006.00002.00067,211793,211831,34786,34791,ref-mek.00005.00002.00001.00344,ref-mek.00005.00002.00001.00349,הלבנון ואומר והלבנון באדיר יפול ,לבנון דלתיך וכתיב והלבנון באדיר יפול ,ref-mek
5185,ref-sifre-d.8.1.17-ref-sifre-d.8.1.25,ref-mek.3.4.1.68-ref-mek.3.4.1.72,11913,11957,1994,2002,ref-sifre-d.00008.00001.00017,ref-sifre-d.00008.00001.00025,149613,149641,24296,24300,ref-mek.00003.00004.00001.00068,ref-mek.00003.00004.00001.00072,נאמר חבקוק ג עריה תעור קשתך שבועות מטות אומר ,שנאמר עריה תעיר קשתך ואומר ,ref-mek
5186,ref-sifre-d.8.1.104-ref-sifre-d.8.1.113,ref-mek.2.3.2.135-ref-mek.2.3.2.143,12361,12417,2076,2085,ref-sifre-d.00008.00001.00104,ref-sifre-d.00008.00001.00113,103318,103365,16446,16454,ref-mek.00002.00003.00002.00135,ref-mek.00002.00003.00002.00143,ויטע אשל בבאר שבע עמד יצחק והשביחה שנאמר ויזרע יצחק ,ויטע אשל בבאר שבע וגו' ביצחק מהו אומר ויצחק ,ref-mek
5187,ref-sifre-d.9.1.28-ref-sifre-d.9.1.50,ref-mek.4.6.1.17-ref-mek.4.6.1.43,12933,13053,2174,2192,ref-sifre-d.00009.00001.00028,ref-sifre-d.00009.00001.00050,196179,196338,32148,32173,ref-mek.00004.00006.00001.00017,ref-mek.00004.00006.00001.00043,משה לדון את ישראל אדם שהוציאם ממצרים וקרע להם את הים והוריד להם את המן והגיז להם את השליו ועשה להם נסים וגבורות ,משה אמור להם לישראל הוצאתי אתכם ממצרים וקרעתי לכם את הים והורדתי לכם המן והעלתי הבאר והגזתי לכם השליו ונלחמתי לכם מלחמת עמלק ועשיתי לכם נסים וגבורות ,ref-mek
5188,ref-sifre-d.9.1.31-ref-sifre-d.9.1.48,ref-mek.6.5.1.54-ref-mek.6.5.1.70,12945,13039,2176,2190,ref-sifre-d.00009.00001.00031,ref-sifre-d.00009.00001.00048,251938,252023,41537,41553,ref-mek.00006.00005.00001.00054,ref-mek.00006.00005.00001.00070,ישראל אדם שהוציאם ממצרים וקרע להם את הים והוריד להם את המן והגיז להם את השליו ועשה להם ,הוציא ישראל ממצרים קרע להם הים הוריד להם המן העלה להם הבאר הגיז להם השליו עשה להם ,ref-mek
