,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6031,ref-sifre-d.1.8.14-ref-sifre-d.1.8.66,ref-sifra.11.02-04.9.1-ref-sifra.11.02-04.9.66,1622,1905,269,314,ref-sifre-d.00001.00008.00014,ref-sifre-d.00001.00008.00066,494827,495160,75476,75527,ref-sifra.00011.02-04.00009.00001,ref-sifra.00011.02-04.00009.00066,אמר רבי טרפון העבודה אם יש בדור הזה מי שיכול לקבל תוכחה אמר רבי עקיבא העבודה אם יש בדור הזה יודע היאך מוכיחים אמר ר' יוחנן מעידני עלי שמים וארץ שיותר מחמשה פעמים נתקנתר עלי רבי עקיבא לפני רבן גמליאל ביבנה שהייתי קובלני עליו והיה מקנתרו ויודע אני בו שהיה מוסיף בי אהבה ,אמר ר' טרפון העבודה אם יש בדור הזה יכול להוכיח אמר ר'_אלעזר_בן_עזריה העבודה אם יש בדור הזה יכול לקבל תוכחת אמר_ר'_עקיבא העבודה אם יש בדור הזה יודע האיך מוכיחים אמר ר'_יוחנן_בן_נורי מעידני עלי שמים וארץ שיותר מארבעה וחמשה פעמים לקה עקיבא על ידי לפני רבן גמליאל שהייתי קובל לו עליו וכל כך הייתי יודע שהיה מוסיף לי אהבה ,ref-sifra
6032,ref-sifre-d.1.9.32-ref-sifre-d.1.9.41,ref-sifra.11.04-12.17.1-ref-sifra.11.04-12.17.11,2135,2199,351,360,ref-sifre-d.00001.00009.00032,ref-sifre-d.00001.00009.00041,527675,527731,80541,80550,ref-sifra.00011.04-12.00017.00001,ref-sifra.00011.04-12.00017.00011,ואתם שנאתם אותי ותשלחוני מאתכם ואומר וישלחם יצחק וילכו מאתו ,ואומר לכם אתם תירשו את אדמתם אתם נאים יורשים אותם שאתם ,ref-sifra
6033,ref-sifre-d.1.18.136-ref-sifre-d.1.18.140,ref-sifra.7.03-05.2.4-ref-sifra.7.03-05.2.9,4245,4266,709,713,ref-sifre-d.00001.00018.00136,ref-sifre-d.00001.00018.00140,335914,335939,50188,50193,ref-sifra.00007.03-05.00002.00004,ref-sifra.00007.03-05.00002.00009,ב' בים וב' במים וב' ,ב' ימים ב' ימים לביתו ב' ,ref-sifra
6034,ref-sifre-d.2.3.72-ref-sifre-d.2.3.88,ref-sifra.5.1.31.129-ref-sifra.5.1.31.144,7247,7336,1214,1229,ref-sifre-d.00002.00003.00072,ref-sifre-d.00002.00003.00088,248078,248171,36485,36500,ref-sifra.00005.00001.00031.00129,ref-sifra.00005.00001.00031.00144,"היום ומה ת""ל היום היום מלאו ימי שנותי מעת לעת ר' אומר היום מלאו שבאותו היום שלמו ",כימי עולם כימי משה כימי משה וכשנים קדמוניות קדמוניות כימי שלמה רבי אומר כימי עולם כימי ,ref-sifra
6035,ref-sifre-d.2.5.28-ref-sifre-d.2.5.37,ref-sifra.11.04-12.17.1-ref-sifra.11.04-12.17.11,8130,8194,1353,1362,ref-sifre-d.00002.00005.00028,ref-sifre-d.00002.00005.00037,527675,527731,80541,80550,ref-sifra.00011.04-12.00017.00001,ref-sifra.00011.04-12.00017.00011,ואתם שנאתם אותי ותשלחוני מאתכם ואומר וישלחם יצחק וילכו מאתו ,ואומר לכם אתם תירשו את אדמתם אתם נאים יורשים אותם שאתם ,ref-sifra
6036,ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,ref-sifra.10.04-05.8.15-ref-sifra.10.04-05.8.19,8718,8760,1444,1448,ref-sifre-d.00002.00008.00016,ref-sifre-d.00002.00008.00020,446293,446335,68019,68023,ref-sifra.00010.04-05.00008.00015,ref-sifra.00010.04-05.00008.00019,שבתורה הקלות והחמורות הזדונות והשגגות ,שבתורה הקלות והחמורות הזדונות והשגגות ,ref-sifra
6037,ref-sifre-d.9.2.99-ref-sifre-d.9.2.128,ref-sifra.11.01-03.7.52-ref-sifra.11.01-03.7.86,13629,13763,2295,2320,ref-sifre-d.00009.00002.00099,ref-sifre-d.00009.00002.00128,490574,490735,74775,74806,ref-sifra.00011.01-03.00007.00052,ref-sifra.00011.01-03.00007.00086,אתה אינו כך אלא חייבתי ממון נפשות אתה תובע וכן_הוא_אומר_אל תגזל דל כי דל הוא ואל תדכא עני בשער כי ה' יריב ריבם וקבע את קובעיהם נפש ,אני איני גובה מכם אלא נפשות שנאמר אני איני גובה מכם אלא נפשות שנאמר אל תגזל דל כי דל הוא ואל תדכא עני בשער וכן_הוא_אומר כי ה' יריב ריבם וקבע את קובעיהם נפש ,ref-sifra
6038,ref-sifre-d.11.1.1-ref-sifre-d.11.1.8,ref-sifra.5.1.15.97-ref-sifra.5.1.15.104,14519,14560,2448,2455,ref-sifre-d.00011.00001.00001,ref-sifre-d.00011.00001.00008,241661,241701,35457,35464,ref-sifra.00005.00001.00015.00097,ref-sifra.00005.00001.00015.00104,ה' אלהי אבותיכם יוסיף עליכם ככם אלף פעמים ,ה' אלקי אבותיכם יוסף עליכם ככם אלף פעמים ,ref-sifra
6039,ref-sifre-d.11.1.73-ref-sifre-d.11.1.97,ref-sifra.8.01-00.12.11-ref-sifra.8.01-00.12.24,14901,15016,2512,2533,ref-sifre-d.00011.00001.00073,ref-sifre-d.00011.00001.00097,367779,367841,55464,55476,ref-sifra.00008.01-00.00012.00011,ref-sifra.00008.01-00.00012.00024,אמר לו לאפוטרופא תן לי הכסף וזהב שהניח לי אבא בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי ,אמר לי יהודה בני תן לי סנדלי ונתתי לו פשט ידו לחלון ונתן לי ,ref-sifra
6040,ref-sifre-d.11.1.115-ref-sifre-d.11.1.121,ref-sifra.5.1.15.97-ref-sifra.5.1.15.104,15089,15123,2546,2552,ref-sifre-d.00011.00001.00115,ref-sifre-d.00011.00001.00121,241661,241701,35457,35464,ref-sifra.00005.00001.00015.00097,ref-sifra.00005.00001.00015.00104,ה' אלהיכם יוסף עליכם ככם אלף פעמים ,ה' אלקי אבותיכם יוסף עליכם ככם אלף פעמים ,ref-sifra
