,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
7788,ref-sifre-d.1.20.81-ref-sifre-d.1.20.92,ref-sifre-n.88.1.20-ref-sifre-n.88.1.36,4988,5038,829,838,ref-sifre-d.00001.00020.00081,ref-sifre-d.00001.00020.00092,121587,121662,18688,18701,ref-sifre-n.00088.00001.00020,ref-sifre-n.00088.00001.00036,אמר לו מה אתה מקיים ונבנתה העיר על תלה אמר לו מה ,אמרו לו לר' שמעון ומה אתה מקיים דברים כג ויתד תהיה לך על אזניך אמר להם מה ,ref-sifre-n
7789,ref-sifre-d.1.20.155-ref-sifre-d.1.20.166,ref-sifre-n.59.1.80-ref-sifre-n.59.1.93,5397,5463,897,908,ref-sifre-d.00001.00020.00155,ref-sifre-d.00001.00020.00166,83741,83814,12446,12457,ref-sifre-n.00059.00001.00080,ref-sifre-n.00059.00001.00093,ונהרו אליו כל הגוים ואומר והלכו עמים רבים ואמרו לכו ונעלה אל ,אהרן לכלל דבור ואמרת אליו הרי זה אמירה לאהרן בהעלותך את הנרות עשה לה ,ref-sifre-n
7790,ref-sifre-d.2.1.24-ref-sifre-d.2.1.29,ref-sifre-n.82.1.1-ref-sifre-n.82.1.9,5969,5999,989,994,ref-sifre-d.00002.00001.00024,ref-sifre-d.00002.00001.00029,110120,110162,16773,16780,ref-sifre-n.00082.00001.00001,ref-sifre-n.00082.00001.00009,שלשה ימים שנאמר ויסעו מהר ה' ,ויסעו מהר ה' שלשת ימים אפשר לומר כבר נאמר ,ref-sifre-n
7791,ref-sifre-d.2.2.46-ref-sifre-d.2.2.51,ref-sifre-n.82.1.118-ref-sifre-n.82.1.129,6452,6485,1076,1081,ref-sifre-d.00002.00002.00046,ref-sifre-d.00002.00002.00051,110721,110780,16877,16888,ref-sifre-n.00082.00001.00118,ref-sifre-n.00082.00001.00129,שנאמר וארון ברית ה' נוסע לפניהם ,או' וארון ברית יי' נוסע לפניהם למה נאמר אלא וארון ברית ה' ,ref-sifre-n
7792,ref-sifre-d.2.2.47-ref-sifre-d.2.2.51,ref-sifre-n.82.1.67-ref-sifre-n.82.1.71,6459,6485,1077,1081,ref-sifre-d.00002.00002.00047,ref-sifre-d.00002.00002.00051,110457,110483,16829,16833,ref-sifre-n.00082.00001.00067,ref-sifre-n.00082.00001.00071,וארון ברית ה' נוסע לפניהם ,וארון ברית ה' נוסע לפניהם ,ref-sifre-n
7793,ref-sifre-d.2.2.47-ref-sifre-d.2.2.51,ref-sifre-n.82.1.91-ref-sifre-n.82.1.95,6459,6485,1077,1081,ref-sifre-d.00002.00002.00047,ref-sifre-d.00002.00002.00051,110586,110612,16852,16856,ref-sifre-n.00082.00001.00091,ref-sifre-n.00082.00001.00095,וארון ברית ה' נוסע לפניהם ,וארון ברית ה' נוסע לפניהם ,ref-sifre-n
7794,ref-sifre-d.2.3.63-ref-sifre-d.2.3.68,ref-sifre-n.141.3.75-ref-sifre-n.141.3.80,7204,7229,1206,1211,ref-sifre-d.00002.00003.00063,ref-sifre-d.00002.00003.00068,252102,252127,40206,40211,ref-sifre-n.00141.00003.00075,ref-sifre-n.00141.00003.00080,בן מאה וכ' שנה אנכי היום ,בן מאה וכ' שנה אנכי היום ,ref-sifre-n
7795,ref-sifre-d.6.2.12-ref-sifre-d.6.2.38,ref-sifre-n.64.2.16-ref-sifre-n.64.2.35,10770,10917,1796,1821,ref-sifre-d.00006.00002.00012,ref-sifre-d.00006.00002.00038,88521,88628,13225,13244,ref-sifre-n.00064.00002.00016,ref-sifre-n.00064.00002.00035,ולבנות לכם בית הבחירה ומנין שאין לבנון אלא מלך שנאמר בוא אל הלבנון ויקח את צמרת הארז ואומר החוח אשר בלבנון שלח אל הארז אשר בלבנון לאמר ,שנאמר כי תבואו אל הארץ נבנה הבית התחילו מונים לבנינו שנאמר ויהי מקץ עשרים שנה אשר בנה שלמה חרב הבית ,ref-sifre-n
7796,ref-sifre-d.9.1.33-ref-sifre-d.9.1.50,ref-sifre-n.78.3.85-ref-sifre-n.78.3.90,12955,13053,2178,2192,ref-sifre-d.00009.00001.00033,ref-sifre-d.00009.00001.00050,107595,107636,16315,16320,ref-sifre-n.00078.00003.00085,ref-sifre-n.00078.00003.00090,שהוציאם ממצרים וקרע להם את הים והוריד להם את המן והגיז להם את השליו ועשה להם נסים וגבורות ,שהוציאנו ממצרים ועשה לנו נסים וגבורות ,ref-sifre-n
7797,ref-sifre-d.11.1.1-ref-sifre-d.11.1.9,ref-sifre-n.84.5.70-ref-sifre-n.84.5.78,14519,14568,2448,2456,ref-sifre-d.00011.00001.00001,ref-sifre-d.00011.00001.00009,116926,116975,17891,17899,ref-sifre-n.00084.00005.00070,ref-sifre-n.00084.00005.00078,ה' אלהי אבותיכם יוסיף עליכם ככם אלף פעמים אמרו לו ,ה' אלהי אבותיכם יוסיף עליהם ככה אלף פעמים אמרו לו ,ref-sifre-n
7798,ref-sifre-d.11.1.33-ref-sifre-d.11.1.37,ref-sifre-n.84.5.87-ref-sifre-n.84.5.100,14690,14720,2474,2478,ref-sifre-d.00011.00001.00033,ref-sifre-d.00011.00001.00037,117015,117087,17906,17917,ref-sifre-n.00084.00005.00087,ref-sifre-n.00084.00005.00100,ואתה נותן קצבה לברכותינו משל ,ואתה נותן קצבה לברכותינו אמר להם אני בשר ודם יש קצבה לברכותי זו משלי ,ref-sifre-n
7799,ref-sifre-d.11.1.115-ref-sifre-d.11.1.121,ref-sifre-n.84.5.70-ref-sifre-n.84.5.77,15089,15123,2546,2552,ref-sifre-d.00011.00001.00115,ref-sifre-d.00011.00001.00121,116926,116967,17891,17898,ref-sifre-n.00084.00005.00070,ref-sifre-n.00084.00005.00077,ה' אלהיכם יוסף עליכם ככם אלף פעמים ,ה' אלהי אבותיכם יוסיף עליהם ככה אלף פעמים ,ref-sifre-n
7800,ref-sifre-d.11.1.122-ref-sifre-d.11.1.138,ref-sifre-n.84.5.99-ref-sifre-n.84.5.115,15124,15215,2553,2569,ref-sifre-d.00011.00001.00122,ref-sifre-d.00011.00001.00138,117080,117169,17916,17932,ref-sifre-n.00084.00005.00099,ref-sifre-n.00084.00005.00115,זו משלי יש לכם ויברך אתכם כאשר דבר לכם כחול ימים וכצמחי אדמה וכדגי הים וככוכבי השמים ,זו משלי אבל הוא יברך אתכם כאשר דבר לכם כחול ימים וכצמחי אדמה וכדגי הים וכוכבי השמים ,ref-sifre-n
