,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
8921,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-t.2.2.4.6.78-ref-t.2.2.4.6.83,1152,1179,186,191,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00030,307781,307808,48131,48136,ref-t.00002.00002.00004.00006.00078,ref-t.00002.00002.00004.00006.00083,הולך אל דרום וסובב אל צפון ,הולך אל דרום וסובב אל צפון ,ref-t
8922,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-t.2.2.4.6.84-ref-t.2.2.4.6.90,1152,1179,186,191,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00030,307809,307842,48137,48143,ref-t.00002.00002.00004.00006.00084,ref-t.00002.00002.00004.00006.00090,הולך אל דרום וסובב אל צפון ,הולך אל דרום ביום וסובב אל צפון ,ref-t
8923,ref-sifre-d.1.18.36-ref-sifre-d.1.18.51,ref-t.3.2.4.7.51-ref-t.3.2.4.7.60,3738,3803,621,634,ref-sifre-d.00001.00018.00036,ref-sifre-d.00001.00018.00051,562669,562712,88224,88232,ref-t.00003.00002.00004.00007.00051,ref-t.00003.00002.00004.00007.00060,אמר לו האי יתירה לכל מה שעשית לי זו קשה עלי יותר מן הכל כך אמר ,אמ' להם היא נאמנת עלי יתר מכל אדם אמרה להם ,ref-t
8924,ref-sifre-d.1.20.142-ref-sifre-d.1.20.171,ref-t.5.3.13.23.9-ref-t.5.3.13.23.36,5323,5493,884,913,ref-sifre-d.00001.00020.00142,ref-sifre-d.00001.00020.00171,1155514,1155658,182570,182597,ref-t.00005.00003.00013.00023.00009,ref-t.00005.00003.00013.00023.00036,ואומר והיה באחרית הימים נכון יהיה הר בית ה' בראש ההרים ונשא מגבעות ונהרו אליו כל הגוים ואומר והלכו עמים רבים ואמרו לכו ונעלה אל בית אלהי יעקב ויורנו מדרכיו ,נאמר בו והיה באחרית הימים נכון יהיה הר בית ייי בראש ההרים וגו' והלכו עמים רבים ואמרו לכו ונעלה אל הר ייי אל בית אלי יעקב ויורנו מדרכיו ,ref-t
8925,ref-sifre-d.2.2.43-ref-sifre-d.2.2.51,ref-t.3.5.7.18.22-ref-t.3.5.7.18.31,6435,6485,1073,1081,ref-sifre-d.00002.00002.00043,ref-sifre-d.00002.00002.00051,652433,652482,103166,103174,ref-t.00003.00005.00007.00018.00022,ref-t.00003.00005.00007.00018.00031,היו נכנסים לארץ שנאמר וארון ברית ה' נוסע לפניהם ,היה בו ספר תורה שנאמ' וארון ברית ייי נסע לפניהם ,ref-t
8926,ref-sifre-d.2.2.63-ref-sifre-d.2.2.70,ref-t.5.1.13.20.15-ref-t.5.1.13.20.22,6539,6572,1091,1097,ref-sifre-d.00002.00002.00063,ref-sifre-d.00002.00002.00070,1067382,1067414,168811,168817,ref-t.00005.00001.00013.00020.00015,ref-t.00005.00001.00013.00020.00022,שנא' כי לא באתם עד עתה אל המנוחה ,שנ' כי לא באתם עד עתה אל המנוחה ,ref-t
8927,ref-sifre-d.2.3.29-ref-sifre-d.2.3.43,ref-t.4.3.2.10.50-ref-t.4.3.2.10.68,7028,7108,1177,1189,ref-sifre-d.00002.00003.00029,ref-sifre-d.00002.00003.00043,848333,848431,134331,134346,ref-t.00004.00003.00002.00010.00050,ref-t.00004.00003.00002.00010.00068,"ולשלמה י""ב נציבים על כל ישראל ואומר ונציב אחד אשר בארץ ואיזה זה חודש העבור ",ולשלמה שנים עשר נצבים על כל ישראל וכלכלו וגו' ואו' ונציב אחד אשר בארץ הוי או' זה חודש העיבור ,ref-t
8928,ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,ref-t.3.5.11.7.7-ref-t.3.5.11.7.23,7191,7288,1204,1221,ref-sifre-d.00002.00003.00061,ref-sifre-d.00002.00003.00079,667025,667115,105633,105649,ref-t.00003.00005.00011.00007.00007,ref-t.00003.00005.00011.00007.00023,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",ויאמר אליהם בן מאה ועשרים שנה אנכי היום שאין ת'ל היום מה ת'ל היום שהיום מלאו שנותיו ,ref-t
8929,ref-sifre-d.2.3.64-ref-sifre-d.2.3.75,ref-t.3.5.11.7.27-ref-t.3.5.11.7.39,7207,7267,1207,1217,ref-sifre-d.00002.00003.00064,ref-sifre-d.00002.00003.00075,667127,667192,105652,105663,ref-t.00003.00005.00011.00007.00027,ref-t.00003.00005.00011.00007.00039,"מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום ",ת'ל היום מלמד שהן מאה ועשרים שנה מיום ליום מכונות דבר אחר מה ,ref-t
8930,ref-sifre-d.2.3.92-ref-sifre-d.2.3.109,ref-t.3.5.11.8.42-ref-t.3.5.11.9.14,7350,7460,1232,1249,ref-sifre-d.00002.00003.00092,ref-sifre-d.00002.00003.00109,667491,667584,105715,105731,ref-t.00003.00005.00011.00008.00042,ref-t.00003.00005.00011.00009.00014,ואומר והעם עלו מן הירדן בעשור לחודש הראשון ויחנו בקצה הגלגל הוצא ומנה שלשים ושלשה למפרע ואתה מוצא ,לאמר וגו' ואומ' והעם עלו מן הירדן בעשור לחדש הראשון צא ממנו שלשים ושלשה למפרע ואת מוצא ,ref-t
8931,ref-sifre-d.3.1.16-ref-sifre-d.3.1.32,ref-t.4.2.4.7.6-ref-t.4.2.4.7.15,8912,8988,1471,1483,ref-sifre-d.00003.00001.00016,ref-sifre-d.00003.00001.00032,801805,801851,126926,126934,ref-t.00004.00002.00004.00007.00006,ref-t.00004.00002.00004.00007.00015,אמרו לו חיילותיו תן לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן ,ואמ' לו תנה לי ואני נותנה לך כדרך שאתה נותן ,ref-t
8932,ref-sifre-d.3.1.16-ref-sifre-d.3.1.32,ref-t.4.2.5.16.11-ref-t.4.2.5.16.20,8912,8988,1471,1483,ref-sifre-d.00003.00001.00016,ref-sifre-d.00003.00001.00032,808099,808145,127883,127891,ref-t.00004.00002.00005.00016.00011,ref-t.00004.00002.00005.00016.00020,אמרו לו חיילותיו תן לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן ,ואמ' לו תנם לי ואני נותן לך כדרך שאתה נותנן ,ref-t
8933,ref-sifre-d.3.1.16-ref-sifre-d.3.1.33,ref-t.4.2.5.17.11-ref-t.4.2.5.17.21,8912,8992,1471,1484,ref-sifre-d.00003.00001.00016,ref-sifre-d.00003.00001.00033,808236,808285,127909,127918,ref-t.00004.00002.00005.00017.00011,ref-t.00004.00002.00005.00017.00021,אמרו לו חיילותיו תן לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן לנו ,אמ' לו תנם לי ואני נותנם לך כדרך שאתה נותנם לו ,ref-t
8934,ref-sifre-d.3.1.19-ref-sifre-d.3.1.32,ref-t.4.3.2.4.11-ref-t.4.3.2.4.21,8929,8988,1473,1483,ref-sifre-d.00003.00001.00019,ref-sifre-d.00003.00001.00032,846936,846982,134100,134109,ref-t.00004.00003.00002.00004.00011,ref-t.00004.00003.00002.00004.00021,תן לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן ,אמ' לו אתה מכרתה לי אתה נתתה לי במתנה אם מחמת ,ref-t
8935,ref-sifre-d.6.1.21-ref-sifre-d.6.1.31,ref-t.1.5.7.10.72-ref-t.1.5.7.10.81,10532,10582,1753,1763,ref-sifre-d.00006.00001.00021,ref-sifre-d.00006.00001.00031,156962,157004,24778,24787,ref-t.00001.00005.00007.00010.00072,ref-t.00001.00005.00007.00010.00081,זה מישור של יער בהר זה הר המלך בשפלה זה שפילות ,זהו הר שלה זה הר המלך שפלה שלה זה שפילות ,ref-t
8936,ref-sifre-d.6.5.3-ref-sifre-d.6.5.17,ref-t.5.1.10.2.1-ref-t.5.1.10.2.11,11289,11371,1885,1899,ref-sifre-d.00006.00005.00003,ref-sifre-d.00006.00005.00017,1052108,1052161,166421,166431,ref-t.00005.00001.00010.00002.00001,ref-t.00005.00001.00010.00002.00011,"פרת שמפרה והולך עד שכולה שבתחילה יכולה מגריפה לגרפו ד""א נהר פרת שפרה ורבה עד ",פר משוח ופר העדה עומדין פר משוח קודם לפר העדה בכל ,ref-t
8937,ref-sifre-d.8.1.112-ref-sifre-d.8.1.117,ref-t.1.1.6.8.35-ref-t.1.1.6.8.43,12406,12439,2084,2089,ref-sifre-d.00008.00001.00112,ref-sifre-d.00008.00001.00117,30030,30082,4912,4920,ref-t.00001.00001.00006.00008.00035,ref-t.00001.00001.00006.00008.00043,ויזרע יצחק בשנה ההיא מאה שערים ,ויזרע יצחק בארץ ההיא וימצא בשנה ההיא מאה שערים ,ref-t
8938,ref-sifre-d.11.1.2-ref-sifre-d.11.1.9,ref-t.5.3.7.8.31-ref-t.5.3.7.8.38,14522,14568,2449,2456,ref-sifre-d.00011.00001.00002,ref-sifre-d.00011.00001.00009,1123468,1123511,177258,177265,ref-t.00005.00003.00007.00008.00031,ref-t.00005.00003.00007.00008.00038,אלהי אבותיכם יוסיף עליכם ככם אלף פעמים אמרו לו ,אלהי אבתיכם יסף עליכם ככם אלף פעמים אמ' להם ,ref-t
8939,ref-sifre-d.11.1.73-ref-sifre-d.11.1.97,ref-t.6.5.8.2.35-ref-t.6.5.8.2.48,14901,15016,2512,2533,ref-sifre-d.00011.00001.00073,ref-sifre-d.00011.00001.00097,1394272,1394334,219436,219448,ref-t.00006.00005.00008.00002.00035,ref-t.00006.00005.00008.00002.00048,אמר לו לאפוטרופא תן לי הכסף וזהב שהניח לי אבא בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי ,אמ' לי יהודה בני תן לי סנדלי ונתתי לו פשט ידו לחלון ונתן לו ,ref-t
