,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
9805,ref-sifre-d.1.3.47-ref-sifre-d.1.3.52,ref-y.1.5.6.1.4.109-ref-y.1.5.6.1.4.114,670,695,110,115,ref-sifre-d.00001.00003.00047,ref-sifre-d.00001.00003.00052,479052,479077,73531,73536,ref-y.00001.00005.00006.00001.00004.00109,ref-y.00001.00005.00006.00001.00004.00114,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,ref-y
9806,ref-sifre-d.1.3.47-ref-sifre-d.1.3.52,ref-y.3.7.1.8.4.111-ref-y.3.7.1.8.4.116,670,695,110,115,ref-sifre-d.00001.00003.00047,ref-sifre-d.00001.00003.00052,2881615,2881640,432021,432026,ref-y.00003.00007.00001.00008.00004.00111,ref-y.00003.00007.00001.00008.00004.00116,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,ref-y
9807,ref-sifre-d.1.3.65-ref-sifre-d.1.3.69,ref-y.2.9.1.1.12.64-ref-y.2.9.1.1.12.69,755,780,128,132,ref-sifre-d.00001.00003.00065,ref-sifre-d.00001.00003.00069,1743996,1744028,259891,259896,ref-y.00002.00009.00001.00001.00012.00064,ref-y.00002.00009.00001.00001.00012.00069,עת צרה ליעקב וממנה יושע ,ועת צרה היא ליעקב וממנה יוושע ,ref-y
9808,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-y.2.2.5.1.13.64-ref-y.2.2.5.1.13.76,1152,1179,186,191,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00030,1161850,1161910,172984,172996,ref-y.00002.00002.00005.00001.00013.00064,ref-y.00002.00002.00005.00001.00013.00076,הולך אל דרום וסובב אל צפון ,הולך אל דרום וסוב אל צפון הולך אל דרום ביום וסובב אל צפון ,ref-y
9809,ref-sifre-d.1.18.111-ref-sifre-d.1.18.121,ref-y.2.4.1.1.5.93-ref-y.2.4.1.1.6.2,4112,4165,685,694,ref-sifre-d.00001.00018.00111,ref-sifre-d.00001.00018.00121,1495230,1495276,222686,222696,ref-y.00002.00004.00001.00001.00005.00093,ref-y.00002.00004.00001.00001.00006.00002,יבוא זהב משכן ויכפר על זהב העגל ר' יוסי ברבי חנינא ,יבוא זהב של כפרת ויכפר על זהבו של עגל רבי חני ,ref-y
9810,ref-sifre-d.1.20.73-ref-sifre-d.1.20.80,ref-y.2.10.1.12.8.47-ref-y.2.10.1.12.8.53,4945,4987,821,828,ref-sifre-d.00001.00020.00073,ref-sifre-d.00001.00020.00080,1885438,1885471,281498,281504,ref-y.00002.00010.00001.00012.00008.00047,ref-y.00002.00010.00001.00012.00008.00053,מנוחתו אלא ירושלם שנאמר זאת מנוחתי עדי עד ,מנוחה זו ירושלם זאת מנוחתי עדי עד ,ref-y
9811,ref-sifre-d.1.21.8-ref-sifre-d.1.21.13,ref-y.1.4.8.2.5.7-ref-y.1.4.8.2.5.12,5583,5616,926,931,ref-sifre-d.00001.00021.00008,ref-sifre-d.00001.00021.00013,432143,432176,66410,66415,ref-y.00001.00004.00008.00002.00005.00007,ref-y.00001.00004.00008.00002.00005.00012,וירכב אותו במרכבת המשנה אשר לו ,וירכב אותו במרכבת המשנה אשר לו ,ref-y
9812,ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-y.2.10.1.12.8.23-ref-y.2.10.1.12.8.30,6544,6584,1092,1099,ref-sifre-d.00002.00002.00064,ref-sifre-d.00002.00002.00072,1885328,1885361,281475,281481,ref-y.00002.00010.00001.00012.00008.00023,ref-y.00002.00010.00001.00012.00008.00030,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה נחלה ,ref-y
9813,ref-sifre-d.2.3.110-ref-sifre-d.2.4.11,ref-y.2.9.4.5.4.24-ref-y.2.9.4.5.4.30,7461,7538,1250,1263,ref-sifre-d.00002.00003.00110,ref-sifre-d.00002.00004.00011,1815285,1815319,270919,270925,ref-y.00002.00009.00004.00005.00004.00024,ref-y.00002.00009.00004.00005.00004.00030,"שהשנה י""ב חודש ד""א ויהי בארבעים שנה בעשתי עשר חודש באחד לחודש מלמד שלא ",בעשתי עשרה שנה כאחד לחדש היה דבר ,ref-y
9814,ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,ref-y.2.5.8.5.7.122-ref-y.2.5.8.5.7.126,8718,8760,1444,1448,ref-sifre-d.00002.00008.00016,ref-sifre-d.00002.00008.00020,1487906,1487942,221597,221601,ref-y.00002.00005.00008.00005.00007.00122,ref-y.00002.00005.00008.00005.00007.00126,שבתורה הקלות והחמורות הזדונות והשגגות ,שבתורה קלות וחמורות זדונות ושגגות ,ref-y
9815,ref-sifre-d.3.1.19-ref-sifre-d.3.1.49,ref-y.1.8.1.1.8.10-ref-y.1.8.1.1.8.29,8929,9075,1473,1498,ref-sifre-d.00003.00001.00019,ref-sifre-d.00003.00001.00049,695486,695560,105100,105118,ref-y.00001.00008.00001.00001.00008.00010,ref-y.00001.00008.00001.00001.00008.00029,תן לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן לנו גלוסקאות חמות אמר להם האיפרכיס שלו בשביל שהמלך כשר אם לאו מאין לו רחיים מאין לו ,ותן לי שמן הא לך שמן ותן לי יין אבל אומר לו הא לך יין שאין לך יין הא לך ,ref-y
