,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-sifre-n.1.2.41-ref-sifre-n.1.2.49,ref-b.05.02.09.86b.5.1-ref-b.05.02.09.86b.5.9,447,485,49,54,ref-sifre-n.00001.00002.00041,ref-sifre-n.00001.00002.00049,7407341,7407379,1040349,1040354,ref-b.00005.00002.00009.0086b.00005.00001,ref-b.00005.00002.00009.0086b.00005.00009,צו_את_בני_ישראל ויקחו אליך שמן זית זך ,צו_את_בני_ישראל ויקחו אליך שמן זית זך ,ref-b
1,ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-b.01.01.09.57a.8.50-ref-b.01.01.09.57a.8.54,463,485,50,54,ref-sifre-n.00001.00002.00045,ref-sifre-n.00001.00002.00049,305408,305430,42333,42337,ref-b.00001.00001.00009.0057a.00008.00050,ref-b.00001.00001.00009.0057a.00008.00054,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-b
2,ref-sifre-n.1.2.109-ref-sifre-n.1.2.115,ref-b.03.07.01.29a.14.1-ref-b.03.07.01.29a.14.7,817,857,93,98,ref-sifre-n.00001.00002.00109,ref-sifre-n.00001.00002.00115,4483209,4483251,618455,618460,ref-b.00003.00007.00001.0029a.00014.00001,ref-b.00003.00007.00001.0029a.00014.00007,זירוז שנא' וצו את יהושע וחזקהו ואמצהו ,זירוז דכתיב וצו את יהושע וחזקהו ואמצהו ,ref-b
3,ref-sifre-n.1.2.139-ref-sifre-n.1.2.148,ref-b.01.01.09.57a.8.49-ref-b.01.01.09.57a.8.54,983,1028,116,122,ref-sifre-n.00001.00002.00139,ref-sifre-n.00001.00002.00148,305401,305430,42332,42337,ref-b.00001.00001.00009.0057a.00008.00049,ref-b.00001.00001.00009.0057a.00008.00054,שנאמר צו_את_בני_ישראל ויקחו אליך שמן זית זך ,שנאמר ויקחו אליך שמן זית זך ,ref-b
4,ref-sifre-n.1.2.140-ref-sifre-n.1.2.148,ref-b.05.02.09.86b.5.1-ref-b.05.02.09.86b.5.9,990,1028,117,122,ref-sifre-n.00001.00002.00140,ref-sifre-n.00001.00002.00148,7407341,7407379,1040349,1040354,ref-b.00005.00002.00009.0086b.00005.00001,ref-b.00005.00002.00009.0086b.00005.00009,צו_את_בני_ישראל ויקחו אליך שמן זית זך ,צו_את_בני_ישראל ויקחו אליך שמן זית זך ,ref-b
5,ref-sifre-n.1.2.210-ref-sifre-n.1.2.216,ref-b.04.04.07.56b.4.8-ref-b.04.04.07.56b.4.15,1328,1362,167,173,ref-sifre-n.00001.00002.00210,ref-sifre-n.00001.00002.00216,6155475,6155511,856677,856684,ref-b.00004.00004.00007.0056b.00004.00008,ref-b.00004.00004.00007.0056b.00004.00015,ויצו ה' אלהים על האדם וגו' ומעץ ,ויצו ה' אלהים על האדם לאמר מכל עץ ,ref-b
6,ref-sifre-n.1.2.210-ref-sifre-n.1.2.214,ref-b.04.04.07.56b.23.13-ref-b.04.04.07.56b.23.17,1328,1351,167,171,ref-sifre-n.00001.00002.00210,ref-sifre-n.00001.00002.00214,6157506,6157529,856959,856963,ref-b.00004.00004.00007.0056b.00023.00013,ref-b.00004.00004.00007.0056b.00023.00017,ויצו ה' אלהים על האדם ,ויצו ה' אלהים על האדם ,ref-b
7,ref-sifre-n.1.3.75-ref-sifre-n.1.4.8,ref-b.02.04.06.67b.5.22-ref-b.02.04.06.67b.6.11,1761,1849,223,238,ref-sifre-n.00001.00003.00075,ref-sifre-n.00001.00004.00008,1493615,1493679,203576,203587,ref-b.00002.00004.00006.0067b.00005.00022,ref-b.00002.00004.00006.0067b.00006.00011,כל צרוע וכל זב אלא בא הכתוב ליתן להם את המחיצות וישלחו_מן_המחנה כל צרוע וכל זב וכל ,ליה בעל קרי לזב וכל צרוע למה_לי_איידי דכתיב כל זב כתיב נמי כל ,ref-b
8,ref-sifre-n.1.4.18-ref-sifre-n.1.4.23,ref-b.05.05.03.16b.2.28-ref-b.05.05.03.16b.2.35,1898,1931,246,251,ref-sifre-n.00001.00004.00018,ref-sifre-n.00001.00004.00023,8168481,8168525,1148808,1148815,ref-b.00005.00005.00003.0016b.00002.00028,ref-b.00005.00005.00003.0016b.00002.00035,במצורע בדד ישב מחוץ למחנה מושבו ,מצורע שאמרה תורה בדד ישב מחוץ למחנה מושבו ,ref-b
9,ref-sifre-n.1.4.19-ref-sifre-n.1.4.25,ref-b.01.01.03.25a.11.9-ref-b.01.01.03.25a.11.15,1906,1941,247,253,ref-sifre-n.00001.00004.00019,ref-sifre-n.00001.00004.00025,130466,130502,18107,18113,ref-b.00001.00001.00003.0025a.00011.00009,ref-b.00001.00001.00003.0025a.00011.00015,בדד ישב מחוץ למחנה מושבו מצורע היה ,בדד ישב מחוץ למחנה מושבו הכא והיה ,ref-b
10,ref-sifre-n.1.4.53-ref-sifre-n.1.4.66,ref-b.02.04.06.66b.13.13-ref-b.02.04.06.66b.13.23,2092,2161,281,294,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00066,1491192,1491244,203228,203238,ref-b.00002.00004.00006.0066b.00013.00013,ref-b.00002.00004.00006.0066b.00013.00023,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,וכל זב וכל טמא לנפש יאמר טמאי מתים ואל יאמר זבין ,ref-b
11,ref-sifre-n.1.4.53-ref-sifre-n.1.4.66,ref-b.02.04.06.67a.12.14-ref-b.02.04.06.67a.12.25,2092,2161,281,294,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00066,1492707,1492760,203438,203449,ref-b.00002.00004.00006.0067a.00012.00014,ref-b.00002.00004.00006.0067a.00012.00025,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,וכל זב וכל טמא לנפש יאמר טמאי מת ואל יאמר טמאי זב ,ref-b
12,ref-sifre-n.1.4.53-ref-sifre-n.1.4.68,ref-b.02.04.06.68a.4.5-ref-b.02.04.06.68a.4.14,2092,2171,281,296,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00068,1494605,1494648,203715,203724,ref-b.00002.00004.00006.0068a.00004.00005,ref-b.00002.00004.00006.0068a.00004.00014,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,מכלל זב ובא לכלל טמא מת דהא טמא מת חמור ,ref-b
13,ref-sifre-n.1.4.53-ref-sifre-n.1.4.84,ref-b.02.04.06.67a.14.5-ref-b.02.04.06.67a.15.11,2092,2242,281,312,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00084,1492997,1493121,203485,203505,ref-b.00002.00004.00006.0067a.00014.00005,ref-b.00002.00004.00006.0067a.00015.00011,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת ,מת שכן טומאה יוצאה_עליו_מגופו אדרבה טמא מת חמור שכן טעון הזאה_שלישי_ושביעי אמר קרא טמא וכל טמא לרבות טמא שרץ וזב חמור מטמא ,ref-b
