,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
2029,ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-bible.0102.27.20.6-ref-bible.0102.27.20.10,463,485,50,54,ref-sifre-n.00001.00002.00045,ref-sifre-n.00001.00002.00049,159829,159851,28126,28130,ref-bible.00102.00027.00020.00006,ref-bible.00102.00027.00020.00010,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-bible
2030,ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-bible.0103.24.2.5-ref-bible.0103.24.2.9,463,485,50,54,ref-sifre-n.00001.00002.00045,ref-sifre-n.00001.00002.00049,241702,241724,41623,41627,ref-bible.00103.00024.00002.00005,ref-bible.00103.00024.00002.00009,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-bible
2031,ref-sifre-n.1.2.51-ref-sifre-n.1.2.56,ref-bible.0102.27.21.8-ref-bible.0102.27.21.19,491,527,56,61,ref-sifre-n.00001.00002.00051,ref-sifre-n.00001.00002.00056,159913,159972,28143,28154,ref-bible.00102.00027.00021.00008,ref-bible.00102.00027.00021.00019,יערוך אותו אהרן חוקת עולם לדורותיכם ,יערך אתו אהרן ובניו מערב עד בקר לפני יהוה חקת עולם לדרתם ,ref-bible
2032,ref-sifre-n.1.2.111-ref-sifre-n.1.2.115,ref-bible.0105.3.28.1-ref-bible.0105.3.28.5,828,857,95,98,ref-sifre-n.00001.00002.00111,ref-sifre-n.00001.00002.00115,345678,345707,57992,57995,ref-bible.00105.00003.00028.00001,ref-bible.00105.00003.00028.00005,וצו את יהושע וחזקהו ואמצהו ,וצו את יהושע וחזקהו ואמצהו ,ref-bible
2033,ref-sifre-n.1.2.144-ref-sifre-n.1.2.148,ref-bible.0102.27.20.6-ref-bible.0102.27.20.10,1006,1028,118,122,ref-sifre-n.00001.00002.00144,ref-sifre-n.00001.00002.00148,159829,159851,28126,28130,ref-bible.00102.00027.00020.00006,ref-bible.00102.00027.00020.00010,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-bible
2034,ref-sifre-n.1.2.144-ref-sifre-n.1.2.148,ref-bible.0103.24.2.5-ref-bible.0103.24.2.9,1006,1028,118,122,ref-sifre-n.00001.00002.00144,ref-sifre-n.00001.00002.00148,241702,241724,41623,41627,ref-bible.00103.00024.00002.00005,ref-bible.00103.00024.00002.00009,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-bible
2035,ref-sifre-n.1.2.210-ref-sifre-n.1.2.222,ref-bible.0101.2.16.1-ref-bible.0101.2.17.7,1328,1390,167,178,ref-sifre-n.00001.00002.00210,ref-sifre-n.00001.00002.00222,3284,3370,554,570,ref-bible.00101.00002.00016.00001,ref-bible.00101.00002.00017.00007,ויצו ה' אלהים על האדם וגו' ומעץ הדעת טוב ורע לא תאכל ממנו ,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל ומעץ הדעת טוב ורע לא תאכל ממנו ,ref-bible
2036,ref-sifre-n.1.3.75-ref-sifre-n.1.4.10,ref-bible.0104.5.2.8-ref-bible.0104.5.2.14,1761,1859,223,240,ref-sifre-n.00001.00003.00075,ref-sifre-n.00001.00004.00010,263983,264013,45061,45067,ref-bible.00104.00005.00002.00008,ref-bible.00104.00005.00002.00014,כל צרוע וכל זב אלא בא הכתוב ליתן להם את המחיצות וישלחו_מן_המחנה כל צרוע וכל זב וכל טמא לנפש ,כל צרוע וכל זב וכל טמא לנפש ,ref-bible
2037,ref-sifre-n.1.4.19-ref-sifre-n.1.4.25,ref-bible.0103.13.46.9-ref-bible.0103.13.47.3,1906,1941,247,253,ref-sifre-n.00001.00004.00019,ref-sifre-n.00001.00004.00025,217146,217187,37506,37513,ref-bible.00103.00013.00046.00009,ref-bible.00103.00013.00047.00003,בדד ישב מחוץ למחנה מושבו מצורע היה ,בדד ישב מחוץ למחנה מושבו והבגד כי יהיה ,ref-bible
2038,ref-sifre-n.1.4.53-ref-sifre-n.1.4.88,ref-bible.0103.5.2.19-ref-bible.0103.5.3.9,2092,2262,281,315,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00088,197975,198047,34331,34345,ref-bible.00103.00005.00002.00019,ref-bible.00103.00005.00003.00009,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם ,טמא ונעלם ממנו והוא טמא ואשם או כי יגע בטמאת אדם לכל טמאתו אשר יטמא ,ref-bible
