,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
3040,ref-sifre-n.1.2.167-ref-sifre-n.1.2.173,ref-m.02.09.4.2.10-ref-m.02.09.4.2.16,1116,1150,132,137,ref-sifre-n.00001.00002.00167,ref-sifre-n.00001.00002.00173,263899,263935,40867,40872,ref-m.00002.00009.00004.00002.00010,ref-m.00002.00009.00004.00002.00016,ואמרת אלהם את קרבני לחמי לאשי הא ,ואמרת אליהם את קרבני לחמי וכי היאך ,ref-m
3041,ref-sifre-n.1.4.53-ref-sifre-n.1.4.91,ref-m.06.01.1.4.25-ref-m.06.01.1.5.7,2092,2280,281,318,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00091,801824,801918,125209,125224,ref-m.00006.00001.00001.00004.00025,ref-m.00006.00001.00001.00005.00007,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים ,חמור מכולם המת שהוא מטמא באהל מה שאין כולם מטמאין עשר טומאות פורשות מן האדם מחוסר כפורים ,ref-m
3042,ref-sifre-n.1.4.53-ref-sifre-n.1.4.72,ref-m.06.02.6.1.14-ref-m.06.02.6.1.25,2092,2190,281,300,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00072,864300,864365,134927,134937,ref-m.00006.00002.00006.00001.00014,ref-m.00006.00002.00006.00001.00025,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת ,טומאה תחתיו כלים שעל גביו טמאין טומאה על גביו כלים שתחתיו טמאים ,ref-m
3043,ref-sifre-n.1.4.53-ref-sifre-n.1.4.72,ref-m.06.02.6.1.40-ref-m.06.02.6.1.51,2092,2190,281,300,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00072,864436,864501,134951,134961,ref-m.00006.00002.00006.00001.00040,ref-m.00006.00002.00006.00001.00051,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת ,טומאה תחתיו כלים שעל גביו טמאים טומאה על גביו כלים שתחתיו טמאים ,ref-m
3044,ref-sifre-n.1.4.53-ref-sifre-n.1.4.89,ref-m.06.05.2.1.30-ref-m.06.05.2.1.45,2092,2265,281,316,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00089,941749,941821,146855,146869,ref-m.00006.00005.00002.00001.00030,ref-m.00006.00005.00002.00001.00045,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל ,טמא אין בו כביצה הוא טמא והכל טהור חזר לקדרה הכל טמא היתה מגע טמא מת ,ref-m
3045,ref-sifre-n.1.4.73-ref-sifre-n.1.4.84,ref-m.06.10.2.8.17-ref-m.06.10.3.1.10,2191,2242,301,312,ref-sifre-n.00001.00004.00073,ref-sifre-n.00001.00004.00084,1016310,1016522,158428,158461,ref-m.00006.00010.00002.00008.00017,ref-m.00006.00010.00003.00001.00010,אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת ,הטומאה וטמא באהל המת הפנימי מלמטה והחיצון מלמעלן טמא באב הטומאה וטמא באהל המת הפנימי מלמעלן והחיצון מלמטן טהור באב הטומאה וטמא באוהל המת כל ידות האוכלים שהם חבור באב הטומאה חבור בטבול יום ,ref-m
3046,ref-sifre-n.1.4.76-ref-sifre-n.1.4.92,ref-m.02.03.1.6.41-ref-m.02.03.1.6.52,2203,2285,304,319,ref-sifre-n.00001.00004.00076,ref-sifre-n.00001.00004.00092,180055,180118,27718,27726,ref-m.00002.00003.00001.00006.00041,ref-m.00002.00003.00001.00006.00052,שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל ,שנפסל בטבול יום בנר שנטמא בטמא מת_אף_על_פי שמוסיפין טומאה ,ref-m
3047,ref-sifre-n.1.4.76-ref-sifre-n.1.4.92,ref-m.04.07.2.1.42-ref-m.04.07.2.1.53,2203,2285,304,319,ref-sifre-n.00001.00004.00076,ref-sifre-n.00001.00004.00092,568490,568553,88613,88621,ref-m.00004.00007.00002.00001.00042,ref-m.00004.00007.00002.00001.00053,שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל ,שנפסל בטבול יום בנר שנטמא בטמא מת_אף_על_פי שמוסיפין טומאה ,ref-m
3048,ref-sifre-n.1.7.87-ref-sifre-n.1.7.96,ref-m.03.05.6.4.19-ref-m.03.05.6.4.32,4660,4711,652,660,ref-sifre-n.00001.00007.00087,ref-sifre-n.00001.00007.00096,394417,394493,61487,61499,ref-m.00003.00005.00006.00004.00019,ref-m.00003.00005.00006.00004.00032,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא ,נטמאת ושנים אומרים לא נטמאת היתה שותה שנים אומרים נטמאת ואחד אומר לא נטמאת ,ref-m
3049,ref-sifre-n.2.1.32-ref-sifre-n.2.1.39,ref-m.04.01.9.7.34-ref-m.04.01.9.7.41,5454,5488,780,787,ref-sifre-n.00002.00001.00032,ref-sifre-n.00002.00001.00039,455139,455174,71029,71036,ref-m.00004.00001.00009.00007.00034,ref-m.00004.00001.00009.00007.00041,או מצא אבדה וכחש בה ונשבע על שקר ,או מצא אבידה וכחש בה ונשבע על שקר ,ref-m
