,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
3509,ref-sifre-n.1.2.167-ref-sifre-n.1.2.174,ref-mek.1.6.1.699-ref-mek.1.6.1.705,1116,1154,132,138,ref-sifre-n.00001.00002.00167,ref-sifre-n.00001.00002.00174,18714,18748,3006,3011,ref-mek.00001.00006.00001.00699,ref-mek.00001.00006.00001.00705,ואמרת אלהם את קרבני לחמי לאשי הא אין ,ואמרת אליהם את קרבני לחמי וגו' אם ,ref-mek
3510,ref-sifre-n.1.4.23-ref-sifre-n.1.4.33,ref-mek.7.4.3.224-ref-mek.7.4.3.230,1926,1979,251,261,ref-sifre-n.00001.00004.00023,ref-sifre-n.00001.00004.00033,302262,302302,49403,49409,ref-mek.00007.00004.00003.00224,ref-mek.00007.00004.00003.00230,מושבו מצורע היה בכלל ויצא מן הכלל ולמד על הכלל מה ,מושבותיכם שריפה היתה בכלל ויצאת ללמד מה ,ref-mek
3511,ref-sifre-n.1.4.25-ref-sifre-n.1.4.33,ref-mek.1.18.2.108-ref-mek.1.18.2.116,1938,1979,253,261,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00033,70706,70744,11097,11105,ref-mek.00001.00018.00002.00108,ref-mek.00001.00018.00002.00116,היה בכלל ויצא מן הכלל ולמד על הכלל מה ,היה בכלל יצא מן הכלל ללמד על הכלל מה ,ref-mek
3512,ref-sifre-n.1.4.25-ref-sifre-n.1.4.33,ref-mek.1.9.1.175-ref-mek.1.9.1.184,1938,1979,253,261,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00033,29874,29919,4708,4717,ref-mek.00001.00009.00001.00175,ref-mek.00001.00009.00001.00184,היה בכלל ויצא מן הכלל ולמד על הכלל מה ,בכלל היה ויצא מוצא מן הכלל ללמד על הכלל מה ,ref-mek
3513,ref-sifre-n.1.4.25-ref-sifre-n.1.4.30,ref-mek.7.15.3.31-ref-mek.7.15.3.36,1938,1967,253,258,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00030,342382,342412,55530,55535,ref-mek.00007.00015.00003.00031,ref-mek.00007.00015.00003.00036,היה בכלל ויצא מן הכלל ולמד ,בכלל היית ויצאת מן הכלל ללמד ,ref-mek
3514,ref-sifre-n.1.5.191-ref-sifre-n.1.5.199,ref-mek.7.9.1.236-ref-mek.7.9.1.244,3298,3357,452,457,ref-sifre-n.00001.00005.00191,ref-sifre-n.00001.00005.00199,318501,318560,51810,51815,ref-mek.00007.00009.00001.00236,ref-mek.00007.00009.00001.00244,אין_לי_אלא שיכול להשתלח שאינו יכול להשתלח מנין_תלמוד_לומר ,אין_לי_אלא שיכול להשתלח שאינו יכול להשתלח מנין_תלמוד_לומר ,ref-mek
3515,ref-sifre-n.1.5.194-ref-sifre-n.1.5.199,ref-mek.7.9.2.87-ref-mek.7.9.2.92,3309,3357,453,457,ref-sifre-n.00001.00005.00194,ref-sifre-n.00001.00005.00199,319232,319280,51917,51921,ref-mek.00007.00009.00002.00087,ref-mek.00007.00009.00002.00092,שיכול להשתלח שאינו יכול להשתלח מנין_תלמוד_לומר ,שיכול להשתלח שאינו יכול להשתלח מנין_תלמוד_לומר ,ref-mek
3516,ref-sifre-n.1.8.5-ref-sifre-n.1.8.14,ref-mek.1.13.4.24-ref-mek.1.13.4.32,5190,5236,741,749,ref-sifre-n.00001.00008.00005,ref-sifre-n.00001.00008.00014,47032,47079,7290,7298,ref-mek.00001.00013.00004.00024,ref-mek.00001.00013.00004.00032,הודיע שבחן של ישראל שכשם שאמר להם משה כן עשו ,להודיעך שבחן שכשם שאמרו להם משה ואהרן כן עשו ,ref-mek
3517,ref-sifre-n.2.1.110-ref-sifre-n.2.1.130,ref-mek.7.11.3.64-ref-mek.7.11.3.69,5832,5920,843,855,ref-sifre-n.00002.00001.00110,ref-sifre-n.00002.00001.00130,328302,328325,53262,53267,ref-mek.00007.00011.00003.00064,ref-mek.00007.00011.00003.00069,איש או אישה ר'_יאשיה_אומר איש_או_אשה למה_נאמר_לפי_שהוא_אומר וכי יפתח איש בור או כי יכרה ,יפתח איש או כי יכרה איש ,ref-mek
3518,ref-sifre-n.2.1.124-ref-sifre-n.2.1.175,ref-mek.7.6.1.79-ref-mek.7.6.1.124,5892,6140,849,885,ref-sifre-n.00002.00001.00124,ref-sifre-n.00002.00001.00175,308761,308987,50348,50376,ref-mek.00007.00006.00001.00079,ref-mek.00007.00006.00001.00124,וכי יפתח איש בור או כי יכרה איש בור אין_לי_אלא איש אשה מנין_תלמוד_לומר איש_או_אשה להשוות אשה לאיש לכל חטאת ונזקין שבתורה ר'_יונתן_אומר_אין_צריך שכבר נאמר בעל הבור ישלם ואומר שלם ישלם המבעיר את הבערה מה_תלמוד_לומר איש_או_אשה לתלמודו הוא בא ,כי יפתח איש בור אין_לי_אלא_איש_אשה מנין_תלמוד_לומר איש ואשה השוה הכתוב אשה לאיש לכל הניזקין שבתורה ר'_יונתן_אומר_אינו_צריך_והלא_כבר_נאמר בעל הבור ישלם שלם ישלם המבעיר את הבערה הא_מה_תלמוד_לומר איש ואשה לתלמודו הוא בא ,ref-mek
