,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
4207,ref-sifre-n.1.2.123-ref-sifre-n.1.2.145,ref-sifra.12.13-00.1.2-ref-sifra.12.13-00.1.19,901,1017,106,119,ref-sifre-n.00001.00002.00123,ref-sifre-n.00001.00002.00145,601481,601568,91379,91392,ref-sifra.00012.13-00.00001.00002,ref-sifra.00012.13-00.00001.00019,ואין מזרזים אלא למזורזים ר' שמעון_בן_יוחי_אומר אין צווי בכל_מקום_אלא חסרון כיס שנאמר צו_את_בני_ישראל ויקחו אליך ,אין צו אלא זירוז מיד ולדורות אמר_ר'_שמעון ביותר כל מקום שיש בו חסרון כיס ויקחו אליך ,ref-sifra
4208,ref-sifre-n.1.3.75-ref-sifre-n.1.4.10,ref-sifra.4.09-14.2.17-ref-sifra.4.09-14.2.23,1761,1859,223,240,ref-sifre-n.00001.00003.00075,ref-sifre-n.00001.00004.00010,209230,209260,30350,30356,ref-sifra.00004.09-14.00002.00017,ref-sifra.00004.09-14.00002.00023,כל צרוע וכל זב אלא בא הכתוב ליתן להם את המחיצות וישלחו_מן_המחנה כל צרוע וכל זב וכל טמא לנפש ,כל צרוע וכל זב וכל טמא לנפש ,ref-sifra
4209,ref-sifre-n.1.4.53-ref-sifre-n.1.4.63,ref-sifra.7.05-16.12.84-ref-sifra.7.05-16.12.99,2092,2150,281,291,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00063,364386,364472,54904,54919,ref-sifra.00007.05-16.00012.00084,ref-sifra.00007.05-16.00012.00099,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא ,בביאה אף כולם מטמאים בביאה אי מה בגד מטמא בכל הטומאות אף כולם מטמאים בכל הטומאות ,ref-sifra
4210,ref-sifre-n.1.4.53-ref-sifre-n.1.4.91,ref-sifra.4.09-00.2.6-ref-sifra.4.09-00.2.25,2092,2280,281,318,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00091,206599,206712,29988,30004,ref-sifra.00004.09-00.00002.00006,ref-sifra.00004.09-00.00002.00025,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים ,טומאות חמורות טומאת מת ובועל נדה וכל המטמאין את האדם מנין_תלמוד_לומר בכל טמא בכל טמא ואפילו במחוסר כפורים ,ref-sifra
4211,ref-sifre-n.1.4.53-ref-sifre-n.1.4.64,ref-sifra.4.09-14.2.34-ref-sifra.4.09-14.3.11,2092,2153,281,292,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00064,209325,209426,30367,30382,ref-sifra.00004.09-14.00002.00034,ref-sifra.00004.09-14.00003.00011,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת ,מתים חייבים אין זבים ומצורעים חייבים וטומאתו עליו טומאת הגוף או יכול טומאת בשר תלמוד לומר וטומאתו ,ref-sifra
4212,ref-sifre-n.1.4.54-ref-sifre-n.1.4.70,ref-sifra.9.01-01.7.14-ref-sifra.9.01-01.7.22,2095,2181,282,298,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00070,399386,399438,60660,60668,ref-sifra.00009.01-01.00007.00014,ref-sifra.00009.01-01.00007.00022,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא ,הזבה שאינה מטמאה בלובן מטמאה בדם הזב שהוא מטמא ,ref-sifra
4213,ref-sifre-n.1.4.54-ref-sifre-n.1.4.71,ref-sifra.9.01-01.8.10-ref-sifra.9.01-01.8.26,2095,2186,282,299,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00071,399574,399662,60686,60701,ref-sifra.00009.01-01.00008.00010,ref-sifra.00009.01-01.00008.00026,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא ,מטמא בדם מטמא בלובן זבה שמטמאה בדם אינו דין שמטמאה בלובן תל ל טומאתו היא היא טומאת ,ref-sifra
4214,ref-sifre-n.1.4.54-ref-sifre-n.1.4.66,ref-sifra.9.01-00.3.10-ref-sifra.9.01-00.3.25,2095,2161,282,294,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00066,396116,396201,60134,60147,ref-sifra.00009.01-00.00003.00010,ref-sifra.00009.01-00.00003.00025,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,טמא ודין_הוא_טימא בזב וטימא בזבה מה זבה מקום שמטמא בטומאה קלה מטמאה טומאה חמורה ,ref-sifra
4215,ref-sifre-n.1.4.54-ref-sifre-n.1.4.66,ref-sifra.9.01-00.3.27-ref-sifra.9.01-00.4.4,2095,2161,282,294,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00066,396205,396266,60149,60158,ref-sifra.00009.01-00.00003.00027,ref-sifra.00009.01-00.00004.00004,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,זב במקום שמטמא בטומאה קלה מטמא טומאה חמורה לא_אם_אמרת בזבה ,ref-sifra
4216,ref-sifre-n.1.4.54-ref-sifre-n.1.4.66,ref-sifra.9.01-00.5.6-ref-sifra.9.01-00.5.18,2095,2161,282,294,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00066,396447,396519,60194,60206,ref-sifra.00009.01-00.00005.00006,ref-sifra.00009.01-00.00005.00018,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,טימא בזב וטימא בזבה מה זבה מקום שמטמאה בטומאה קלה מטמאה טומאה חמורה ,ref-sifra
