,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
5900,ref-sifre-n.1.7.42-ref-sifre-n.1.7.47,ref-sifre-d.255.5.17-ref-sifre-d.255.5.28,4424,4459,614,619,ref-sifre-n.00001.00007.00042,ref-sifre-n.00001.00007.00047,248960,249014,41619,41630,ref-sifre-d.00255.00005.00017,ref-sifre-d.00255.00005.00028,מחנה ישראל ומחנה לויה ומחנה שכינה ,למחנה זו מחנה לויה לא יבא אל תוך המחנה זו מחנה שכינה ,ref-sifre-d
5901,ref-sifre-n.5.1.30-ref-sifre-n.5.1.40,ref-sifre-d.166.1.1-ref-sifre-d.166.1.6,10307,10367,1521,1527,ref-sifre-n.00005.00001.00030,ref-sifre-n.00005.00001.00040,188237,188273,31488,31493,ref-sifre-d.00166.00001.00001,ref-sifre-d.00166.00001.00006,ראשית דגנך תירושך ויצהרך רבי עקיבא אומר_בא_הכתוב_ללמדך שאם ,ראשית דגנך תירושך ויצהרך מלמד שאין ,ref-sifre-d
5902,ref-sifre-n.6.1.158-ref-sifre-n.6.1.168,ref-sifre-d.106.3.27-ref-sifre-d.106.3.32,11843,11899,1728,1738,ref-sifre-n.00006.00001.00158,ref-sifre-n.00006.00001.00168,144646,144677,24254,24259,ref-sifre-d.00106.00003.00027,ref-sifre-d.00106.00003.00032,טעון הבאת מקום ונטע רבעי טעון הבאת מקום אם למדתי למעשר ,טעון הבאת מקום ומעשר טעון הבאת ,ref-sifre-d
5903,ref-sifre-n.6.1.213-ref-sifre-n.6.1.239,ref-sifre-d.106.3.27-ref-sifre-d.106.3.35,12114,12260,1774,1798,ref-sifre-n.00006.00001.00213,ref-sifre-n.00006.00001.00239,144646,144690,24254,24262,ref-sifre-d.00106.00003.00027,ref-sifre-d.00106.00003.00035,וטעון הבאת מקום ופדיון נטע רבעי קרוי קדש וטעון הבאת מקום ופדיון ואל תבא תרומה ותוכיח שאף_על_פי שקרויה קדש אינה טעונה הבאת מקום ולא בכורים ,טעון הבאת מקום ומעשר טעון הבאת מקום מה בכור ,ref-sifre-d
5904,ref-sifre-n.6.1.301-ref-sifre-n.6.1.307,ref-sifre-d.36.2.76-ref-sifre-d.36.2.82,12577,12611,1851,1857,ref-sifre-n.00006.00001.00301,ref-sifre-n.00006.00001.00307,51438,51476,8654,8660,ref-sifre-d.00036.00002.00076,ref-sifre-d.00036.00002.00082,אלמד דבר מדבר ואדון דבר מדבר אלמד ,אלמוד דבר מדבר ואדון דבר מדבר אלמוד ,ref-sifre-d
5905,ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.196.2.9-ref-sifre-d.196.2.15,14072,14108,2067,2072,ref-sifre-n.00007.00001.00097,ref-sifre-n.00007.00001.00102,207217,207261,34655,34660,ref-sifre-d.00196.00002.00009,ref-sifre-d.00196.00002.00015,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",ואלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט ,ref-sifre-d
5906,ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.215.9.28-ref-sifre-d.215.9.34,14072,14108,2067,2072,ref-sifre-n.00007.00001.00097,ref-sifre-n.00007.00001.00102,217976,218018,36473,36478,ref-sifre-d.00215.00009.00028,ref-sifre-d.00215.00009.00034,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",אלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט ,ref-sifre-d
5907,ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.271.1.35-ref-sifre-d.271.1.41,14072,14108,2067,2072,ref-sifre-n.00007.00001.00097,ref-sifre-n.00007.00001.00102,259653,259699,43448,43453,ref-sifre-d.00271.00001.00035,ref-sifre-d.00271.00001.00041,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",ואלמנה לכהן גדול וגרושה וחלוצה לכהן הדיוט ,ref-sifre-d
5908,ref-sifre-n.7.3.148-ref-sifre-n.7.3.161,ref-sifre-d.36.4.18-ref-sifre-d.36.4.32,15954,16016,2348,2360,ref-sifre-n.00007.00003.00148,ref-sifre-n.00007.00003.00161,51985,52057,8747,8760,ref-sifre-d.00036.00004.00018,ref-sifre-d.00036.00004.00032,זה בנה אב כל מקום שנאמר עד הרי בכלל שנים עד שיפרוט לך הכתוב ,זה בנה אב בכל מקום שנאמר מזוזות הרי אין בכלל שתים עד שיפרוט לך הכתוב ,ref-sifre-d
5909,ref-sifre-n.7.3.149-ref-sifre-n.7.3.162,ref-sifre-d.148.1.19-ref-sifre-d.148.2.1,15957,16020,2349,2361,ref-sifre-n.00007.00003.00149,ref-sifre-n.00007.00003.00162,177431,177503,29709,29720,ref-sifre-d.00148.00001.00019,ref-sifre-d.00148.00002.00001,בנה אב כל מקום שנאמר עד הרי בכלל שנים עד שיפרוט לך הכתוב אחד ,בנין אב שכל מקום שנאמר ימצא בשנים עדים ובשלשה עדים הכתוב מדבר באחד ,ref-sifre-d
5910,ref-sifre-n.7.3.299-ref-sifre-n.7.3.321,ref-sifre-d.43.25.2-ref-sifre-d.43.25.12,16731,16835,2470,2484,ref-sifre-n.00007.00003.00299,ref-sifre-n.00007.00003.00321,82472,82519,13904,13914,ref-sifre-d.00043.00025.00002,ref-sifre-d.00043.00025.00012,כאן רשות היחיד אף להלן רשות היחיד מה כאן דבר שיש_בו_דעת_לישאל אף להלן דבר שיש_בו_דעת_לישאל מכאן אמרו ,כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן ,ref-sifre-d
5911,ref-sifre-n.7.3.411-ref-sifre-n.7.3.433,ref-sifre-d.43.25.2-ref-sifre-d.43.25.12,17276,17380,2556,2570,ref-sifre-n.00007.00003.00411,ref-sifre-n.00007.00003.00433,82472,82519,13904,13914,ref-sifre-d.00043.00025.00002,ref-sifre-d.00043.00025.00012,כאן רשות היחיד אף להלן רשות היחיד מה באן דבר שיש_בו_דעת_לישאל אף להלן דבר שיש_בו_דעת_לישאל מכאן אמרו ,כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן ,ref-sifre-d
