,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
7065,ref-sifre-n.1.2.167-ref-sifre-n.1.2.174,ref-t.2.9.3.2.51-ref-t.2.9.3.2.56,1116,1154,132,138,ref-sifre-n.00001.00002.00167,ref-sifre-n.00001.00002.00174,468655,468684,73209,73213,ref-t.00002.00009.00003.00002.00051,ref-t.00002.00009.00003.00002.00056,ואמרת אלהם את קרבני לחמי לאשי הא אין ,ואמרת אליהם את קרבני לחמי אי ,ref-t
7066,ref-sifre-n.1.2.209-ref-sifre-n.1.2.215,ref-t.3.5.7.2.20-ref-t.3.5.7.2.27,1323,1356,166,172,ref-sifre-n.00001.00002.00209,ref-sifre-n.00001.00002.00215,648193,648223,102432,102437,ref-t.00003.00005.00007.00002.00020,ref-t.00003.00005.00007.00002.00027,שנא' ויצו ה' אלהים על האדם וגו' ,שנ' לא תשא שם שם ה' אלהיך וגו' ,ref-t
7067,ref-sifre-n.1.2.209-ref-sifre-n.1.2.215,ref-t.3.5.6.9.120-ref-t.3.5.6.9.127,1323,1356,166,172,ref-sifre-n.00001.00002.00209,ref-sifre-n.00001.00002.00215,646683,646715,102177,102184,ref-t.00003.00005.00006.00009.00120,ref-t.00003.00005.00006.00009.00127,שנא' ויצו ה' אלהים על האדם וגו' ,שנ' בה אמ' ה' על הדם תאכלו וגו' ,ref-t
7068,ref-sifre-n.1.4.53-ref-sifre-n.1.4.89,ref-t.6.5.5.13.40-ref-t.6.5.5.13.55,2092,2265,281,316,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00089,1385050,1385160,218008,218023,ref-t.00006.00005.00005.00013.00040,ref-t.00006.00005.00005.00013.00055,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל ,מיטמא בנגעים וחומר בטומאת המת מטומאת הנגעים שהכל מיטמאין במת ואין הכל מיטמאין בנגעים חיבורן לטומאת ,ref-t
7069,ref-sifre-n.1.4.53-ref-sifre-n.1.4.71,ref-t.6.1.4.7.7-ref-t.6.1.4.7.21,2092,2186,281,299,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00071,1250767,1250855,197528,197542,ref-t.00006.00001.00004.00007.00007,ref-t.00006.00001.00004.00007.00021,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא ,ומטמא הוא טמא וחבירו טהור בשרץ כולו טמא והעובי שביניהן כולו טמא הוסקו שניהן וניטמא ,ref-t
7070,ref-sifre-n.1.4.53-ref-sifre-n.1.4.64,ref-t.6.4.1.1.25-ref-t.6.4.1.1.44,2092,2153,281,292,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00064,1317230,1317320,207715,207731,ref-t.00006.00004.00001.00001.00025,ref-t.00006.00004.00001.00001.00044,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת ,המת אמ'_ר'_יוסי כדרך זו אתה יכול לומר כל הטמא במת טמאה שבעה טמא בזב טמאת ערב כל הטמא ,ref-t
7071,ref-sifre-n.1.4.53-ref-sifre-n.1.4.72,ref-t.6.4.7.1.10-ref-t.6.4.7.1.21,2092,2190,281,300,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00072,1328767,1328832,209500,209510,ref-t.00006.00004.00007.00001.00010,ref-t.00006.00004.00007.00001.00021,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת ,טומאה תחתיו כלים שעל גביו טמאין טומאה על גביו כלים שתחתיו טמאין ,ref-t
7072,ref-sifre-n.1.4.53-ref-sifre-n.1.4.72,ref-t.6.4.7.1.89-ref-t.6.4.7.1.100,2092,2190,281,300,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00072,1329188,1329253,209566,209576,ref-t.00006.00004.00007.00001.00089,ref-t.00006.00004.00007.00001.00100,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת ,טומאה תחתיו כלים שעל גביו טמאין טומאה על גביו כלים שתחתיו טמאין ,ref-t
7073,ref-sifre-n.1.4.54-ref-sifre-n.1.4.68,ref-t.6.11.3.3.1-ref-t.6.11.3.3.9,2095,2171,282,296,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00068,1526633,1526678,239959,239967,ref-t.00006.00011.00003.00003.00001,ref-t.00006.00011.00003.00003.00009,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,חומר בזב שאין בטמא מת ובטמא מת שאין בזב ,ref-t
7074,ref-sifre-n.1.4.55-ref-sifre-n.1.4.61,ref-t.6.11.3.5.9-ref-t.6.11.3.5.20,2101,2141,283,289,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00061,1527139,1527210,240040,240048,ref-t.00006.00011.00003.00005.00009,ref-t.00006.00011.00003.00005.00020,מטמא מצורע מטמא חמור מצורע שמטמא בביאה ,מטמאה את בועלה מה_שאין_כן במצורעת חומר במצורעת שהמצורעת מטמא' בביאה ,ref-t
7075,ref-sifre-n.1.4.55-ref-sifre-n.1.4.83,ref-t.6.11.3.3.29-ref-t.6.11.3.3.51,2101,2239,283,311,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00083,1526782,1526903,239983,240003,ref-t.00006.00011.00003.00003.00029,ref-t.00006.00011.00003.00003.00051,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא ,זובו ורוקו ומימי רגליו מטמאין טומאה חמורה ומטמא כלי שטף במגע וכלי חרש בהסיט מה_שאין_כן בטמא מת חומר בטמא מת שטמא ,ref-t
7076,ref-sifre-n.1.4.55-ref-sifre-n.1.4.66,ref-t.6.11.5.2.32-ref-t.6.11.5.2.41,2101,2161,283,294,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00066,1530133,1530194,240542,240551,ref-t.00006.00011.00005.00002.00032,ref-t.00006.00011.00005.00002.00041,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,מטמאין טומאת משקה זובו ורוקו ומימי רגליו מטמאין טומא' חמורה ,ref-t
7077,ref-sifre-n.1.4.55-ref-sifre-n.1.4.94,ref-t.2.3.1.6.15-ref-t.2.3.1.6.33,2101,2294,283,321,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00094,332940,333040,52035,52053,ref-t.00002.00003.00001.00006.00015,ref-t.00002.00003.00001.00006.00033,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל טבול יום ,שנטמא באב טומאה שניהן טמאין אלא שזה טמא טומאה חמורה וזה טמא טומאה קלה וכן שמן שנפסל בטבול יום ,ref-t
7078,ref-sifre-n.1.4.55-ref-sifre-n.1.4.86,ref-t.6.8.2.10.3-ref-t.6.8.2.10.16,2101,2253,283,314,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00086,1463986,1464070,230441,230454,ref-t.00006.00008.00002.00010.00003,ref-t.00006.00008.00002.00010.00016,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,וטבלו בשניהן אחד טמא טומאה חמורה ואחד טומאה קלה הטובל מטומאה חמורה טמא ומטומאה ,ref-t
7079,ref-sifre-n.1.4.55-ref-sifre-n.1.4.78,ref-t.6.8.2.10.20-ref-t.6.8.2.10.28,2101,2218,283,306,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00078,1464084,1464139,230458,230466,ref-t.00006.00008.00002.00010.00020,ref-t.00006.00008.00002.00010.00028,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא ,הטמא טומאה חמורה ואחד המיקר הטובל מטומאה חמורה טמא ,ref-t
7080,ref-sifre-n.1.4.56-ref-sifre-n.1.4.68,ref-t.6.11.3.4.16-ref-t.6.11.3.5.1,2106,2171,284,296,ref-sifre-n.00001.00004.00056,ref-sifre-n.00001.00004.00068,1527027,1527089,240024,240032,ref-t.00006.00011.00003.00004.00016,ref-t.00006.00011.00003.00005.00001,מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,במצורע חומר במצורע שהמצורע מטמא בביאה מה_שאין_כן בזב חומר ,ref-t
7081,ref-sifre-n.1.5.237-ref-sifre-n.1.5.244,ref-t.6.4.15.10.3-ref-t.6.4.15.10.12,3525,3572,474,481,ref-sifre-n.00001.00005.00237,ref-sifre-n.00001.00005.00244,1355158,1355215,213259,213268,ref-t.00006.00004.00015.00010.00003,ref-t.00006.00004.00015.00010.00012,ואדם מטמא בנגעים וכלים מטמאים בנגעים מה אדם ,אדם הנוגע במת מטמא כלים וכלים הנוגעין במת מטמאין אדם ,ref-t
7082,ref-sifre-n.1.7.87-ref-sifre-n.1.7.96,ref-t.3.5.5.8.36-ref-t.3.5.5.8.43,4660,4711,652,660,ref-sifre-n.00001.00007.00087,ref-sifre-n.00001.00007.00096,638778,638819,100821,100827,ref-t.00003.00005.00005.00008.00036,ref-t.00003.00005.00005.00008.00043,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא ,נטמאת שנים אומ' נטמאת ואחד אומ' לא נטמאת ,ref-t
7083,ref-sifre-n.1.7.87-ref-sifre-n.1.7.101,ref-t.6.6.8.1.29-ref-t.6.6.8.2.2,4660,4735,652,664,ref-sifre-n.00001.00007.00087,ref-sifre-n.00001.00007.00101,1418428,1418497,223334,223344,ref-t.00006.00006.00008.00001.00029,ref-t.00006.00006.00008.00002.00002,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ אשר אתם יושבים ,וטימאו את התחתונה הרי זה או' מטמאך לא טימאני ואתה טימאתני זב שישב ,ref-t
7084,ref-sifre-n.1.7.87-ref-sifre-n.1.7.100,ref-t.6.6.8.2.14-ref-t.6.6.8.2.32,4660,4728,652,663,ref-sifre-n.00001.00007.00087,ref-sifre-n.00001.00007.00100,1418567,1418660,223355,223369,ref-t.00006.00006.00008.00002.00014,ref-t.00006.00006.00008.00002.00032,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ אשר אתם ,טמאין הרי_זה_אומ' מטמאך לא טימאני ואתה טימאתני ר'_יהודה_או' יש כן שהוא אומ' מטמאך לא טימאני ,ref-t
7085,ref-sifre-n.2.1.336-ref-sifre-n.2.1.343,ref-t.3.1.1.6.1-ref-t.3.1.1.6.12,6964,7003,1016,1023,ref-sifre-n.00002.00001.00336,ref-sifre-n.00002.00001.00343,509276,509347,79624,79633,ref-t.00003.00001.00001.00006.00001,ref-t.00003.00001.00001.00006.00012,כשם שפטורים מן האשם כך יהיו פטורים מן ,כשם שפוטרות מן הנשואין כך פוטרות מן האירוסין במי_דברים_אמורים באשה ,ref-t
7086,ref-sifre-n.4.1.98-ref-sifre-n.4.1.104,ref-t.4.1.10.18.31-ref-t.4.1.10.18.37,8708,8742,1273,1279,ref-sifre-n.00004.00001.00098,ref-sifre-n.00004.00001.00104,775860,775894,122713,122719,ref-t.00004.00001.00010.00018.00031,ref-t.00004.00001.00010.00018.00037,מלבד איל הכפורים אשר יכפר בו עליו ,מלבד איל הכפורים אשר יכפר בו עליו ,ref-t
7087,ref-sifre-n.4.1.122-ref-sifre-n.4.1.134,ref-t.5.3.13.17.17-ref-t.5.3.13.17.29,8828,8899,1294,1301,ref-sifre-n.00004.00001.00122,ref-sifre-n.00004.00001.00134,1153891,1153957,182307,182317,ref-t.00005.00003.00013.00017.00017,ref-t.00005.00003.00013.00017.00029,ונתנו לכהנים באנשי משמר הכתוב_מדבר_או_אינו_מדבר_אלא בכל כהן שירצה ,לכל כהן שירצה עורן ובשרן שלו ואם היה בעל מום נותנן לאנשי משמר ,ref-t
7088,ref-sifre-n.4.1.137-ref-sifre-n.4.1.146,ref-t.4.1.10.18.31-ref-t.4.1.10.18.40,8911,8960,1303,1311,ref-sifre-n.00004.00001.00137,ref-sifre-n.00004.00001.00146,775860,775909,122713,122722,ref-t.00004.00001.00010.00018.00031,ref-t.00004.00001.00010.00018.00040,מלבד איל הכפורים אשר יכפר בו עליו את מי שמכפרים ,מלבד איל הכפורים אשר יכפר בו עליו מי שצריך כפרה ,ref-t
7089,ref-sifre-n.4.3.1-ref-sifre-n.4.3.7,ref-t.4.1.10.18.31-ref-t.4.1.10.18.37,9374,9408,1388,1394,ref-sifre-n.00004.00003.00001,ref-sifre-n.00004.00003.00007,775860,775894,122713,122719,ref-t.00004.00001.00010.00018.00031,ref-t.00004.00001.00010.00018.00037,מלבד איל הכפורים אשר יכפר בו עליו ,מלבד איל הכפורים אשר יכפר בו עליו ,ref-t
7090,ref-sifre-n.4.3.31-ref-sifre-n.4.3.37,ref-t.4.1.10.18.31-ref-t.4.1.10.18.37,9532,9566,1413,1419,ref-sifre-n.00004.00003.00031,ref-sifre-n.00004.00003.00037,775860,775894,122713,122719,ref-t.00004.00001.00010.00018.00031,ref-t.00004.00001.00010.00018.00037,מלבד איל הכפורים אשר יכפר בו עליו ,מלבד איל הכפורים אשר יכפר בו עליו ,ref-t
7091,ref-sifre-n.4.3.55-ref-sifre-n.4.3.61,ref-t.4.1.10.19.1-ref-t.4.1.10.19.8,9646,9684,1433,1438,ref-sifre-n.00004.00003.00055,ref-sifre-n.00004.00003.00061,775933,775975,122727,122733,ref-t.00004.00001.00010.00019.00001,ref-t.00004.00001.00010.00019.00008,נתן את הכסף לאנשי משמר ומת היורשים ,נתן את הכסף לאנשי משמר ומת אין היורשין ,ref-t
7092,ref-sifre-n.4.3.90-ref-sifre-n.4.4.10,ref-t.4.1.10.18.31-ref-t.4.1.10.19.4,9827,9918,1457,1471,ref-sifre-n.00004.00003.00090,ref-sifre-n.00004.00004.00010,775860,775952,122713,122729,ref-t.00004.00001.00010.00018.00031,ref-t.00004.00001.00010.00019.00004,שצריך כפרה יצא זה שכפרה לו נפשו מלבד איל הכפורים מכאן_אתה_אומר נתן הכסף ליהויריב ואשם ,מלבד איל הכפורים אשר יכפר בו עליו מי שצריך כפרה יצא זה שאין צריך כפרה נתן את הכסף לאנשי ,ref-t
7093,ref-sifre-n.4.4.7-ref-sifre-n.4.4.29,ref-t.4.1.10.19.19-ref-t.4.1.10.19.28,9893,10017,1468,1481,ref-sifre-n.00004.00004.00007,ref-sifre-n.00004.00004.00029,776026,776091,122744,122753,ref-t.00004.00001.00010.00019.00019,ref-t.00004.00001.00010.00019.00028,נתן הכסף ליהויריב ואשם לידעיה יצא וקורא_אני_עליו איש_אשר_יתן_לכהן_לו_יהיה או אפי' נתן את האשם ליהויריב והכסף לידעיה ,נתן הכסף ליהויריב ואשם לידעיה יצא אשם ליהויריב וכסף לידעיה ,ref-t
7094,ref-sifre-n.5.1.26-ref-sifre-n.5.1.33,ref-t.1.3.2.7.67-ref-t.1.3.2.7.74,10287,10332,1518,1524,ref-sifre-n.00005.00001.00026,ref-sifre-n.00005.00001.00033,56861,56908,9250,9257,ref-t.00001.00003.00002.00007.00067,ref-t.00001.00003.00002.00007.00074,אף משמרה תלמוד לומר ראשית דגנך תירושך ויצהרך ,אף ממתנות גבילין ת'ל ראשית דגנך תירושך ויצהרך ,ref-t
