,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
7751,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.2.1.7.2.12.27-ref-y.2.1.7.2.12.34,1938,1976,253,260,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00032,996596,996639,149234,149241,ref-y.00002.00001.00007.00002.00012.00027,ref-y.00002.00001.00007.00002.00012.00034,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היית' ויצאת מן הכלל לחילוק על הכלל ,ref-y
7752,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.4.4.7.5.2.17-ref-y.4.4.7.5.2.24,1938,1976,253,260,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00032,3228289,3228328,485878,485885,ref-y.00004.00004.00007.00005.00002.00017,ref-y.00004.00004.00007.00005.00002.00024,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היו ויצאו מן הכלל לחלוק על הכלל ,ref-y
7753,ref-sifre-n.1.4.55-ref-sifre-n.1.4.65,ref-y.4.6.2.1.7.51-ref-y.4.6.2.1.7.62,2101,2158,283,293,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00065,3349579,3349647,504628,504639,ref-y.00004.00006.00002.00001.00007.00051,ref-y.00004.00006.00002.00001.00007.00062,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא ,לטומאת שרץ ולידיעתה ואין שם לטומאה קלה אצל טומאה חמורה נטמא במת ,ref-y
7754,ref-sifre-n.1.4.55-ref-sifre-n.1.4.65,ref-y.2.3.9.1.1.113-ref-y.2.3.9.1.1.126,2101,2158,283,293,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00065,1364361,1364427,202536,202547,ref-y.00002.00003.00009.00001.00001.00113,ref-y.00002.00003.00009.00001.00001.00126,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא ,טמא זיבה וטמא צרעת מניין תלמו' לומ' טמא מת ריבה מה_תלמוד_לומר טמא ,ref-y
7755,ref-sifre-n.1.4.60-ref-sifre-n.1.4.67,ref-y.1.8.2.4.5.1-ref-y.1.8.2.4.5.14,2128,2166,288,295,ref-sifre-n.00001.00004.00060,ref-sifre-n.00001.00004.00067,713395,713472,107740,107753,ref-y.00001.00008.00002.00004.00005.00001,ref-y.00001.00008.00002.00004.00005.00014,שמטמא בביאה כל שטמא מת מטמא זב מטמא ,בטמאין טמא מת שאין בלי חרש מיטמא מאחוריו אבל בטמאין טומאת זיבה שהזב מיטמא ,ref-y
7756,ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,ref-y.2.12.3.2.7.13-ref-y.2.12.3.2.7.24,2266,2338,317,328,ref-sifre-n.00001.00004.00090,ref-sifre-n.00001.00004.00102,1976690,1976764,295732,295743,ref-y.00002.00012.00003.00002.00007.00013,ref-y.00002.00012.00003.00002.00007.00024,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,מחוסר כיפורים שאינו פוסל בתרומה הרי פוסל בקודש רביעי שהוא פוסל בתרומה ,ref-y
7757,ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,ref-y.2.12.3.2.7.217-ref-y.2.12.3.2.7.229,2266,2338,317,328,ref-sifre-n.00001.00004.00090,ref-sifre-n.00001.00004.00102,1977768,1977846,295879,295891,ref-y.00002.00012.00003.00002.00007.00217,ref-y.00002.00012.00003.00002.00007.00229,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,מחוסר כיפורים שאינו פוסל בתרומה הרי הו' פוסל בקודש שלישי שהוא פוסל בתרומה ,ref-y
7758,ref-sifre-n.1.5.287-ref-sifre-n.1.5.294,ref-y.2.10.1.8.3.72-ref-y.2.10.1.8.3.83,3793,3833,519,524,ref-sifre-n.00001.00005.00287,ref-sifre-n.00001.00005.00294,1857731,1857790,277214,277222,ref-y.00002.00010.00001.00008.00003.00072,ref-y.00002.00010.00001.00008.00003.00083,ואל תתמה בכלים שאף_על_פי שאין מטמאים ,אל תתמה על מי שפרחה בכולו שאף_על_פי שטהר וסימני מטמאיו ,ref-y
7759,ref-sifre-n.2.1.124-ref-sifre-n.2.1.132,ref-y.4.1.5.6.1.9-ref-y.4.1.5.6.1.16,5892,5928,849,857,ref-sifre-n.00002.00001.00124,ref-sifre-n.00002.00001.00132,2990096,2990129,448720,448727,ref-y.00004.00001.00005.00006.00001.00009,ref-y.00004.00001.00005.00006.00001.00016,וכי יפתח איש בור או כי יכרה איש בור ,כי יפתח איש בור וכי יכרה איש בור ,ref-y
7760,ref-sifre-n.2.1.245-ref-sifre-n.2.1.252,ref-y.2.5.5.4.4.150-ref-y.2.5.5.4.4.171,6495,6533,943,950,ref-sifre-n.00002.00001.00245,ref-sifre-n.00002.00001.00252,1452181,1452299,216173,216194,ref-y.00002.00005.00005.00004.00004.00150,ref-y.00002.00005.00005.00004.00004.00171,מעלת ואומר ומעלה בו מעל הא אין מעילה ,למעלן מה דמים אמורין בו למטה שבע אף דמים אמורין בו למעלן שבע נראה למי דומה דנין שלמעלן משלמעלן ואין דנין שלמעלן ,ref-y
7761,ref-sifre-n.3.1.153-ref-sifre-n.4.1.37,ref-y.4.1.9.9.1.56-ref-y.4.1.9.9.1.80,8194,8401,1208,1238,ref-sifre-n.00003.00001.00153,ref-sifre-n.00004.00001.00037,3013820,3013952,452445,452463,ref-y.00004.00001.00009.00009.00001.00056,ref-y.00004.00001.00009.00009.00001.00080,אשם לו מכל מקום ואם אין לאיש גואל ר' ישמעאל אמר וכי יש לך אדם בישראל שאין לו גואל ומה_תלמוד_לומר ואם אין לאיש גואל בא_הכתוב_ולימד_על הגוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,בגוזל את הגר ונשבע לו ומת שמשלם_קרן_וחומש לכחנים ואשם למזבח שנאמר ואם אין לאיש גואל וגו' אין לך אדם בישראל שאין לו גואל ,ref-y
7762,ref-sifre-n.4.1.19-ref-sifre-n.4.1.37,ref-y.4.1.9.9.1.24-ref-y.4.1.9.9.1.39,8298,8401,1224,1238,ref-sifre-n.00004.00001.00019,ref-sifre-n.00004.00001.00037,3013648,3013735,452417,452428,ref-y.00004.00001.00009.00009.00001.00024,ref-y.00004.00001.00009.00009.00001.00039,ואם אין לאיש גואל בא_הכתוב_ולימד_על הגוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,בגוזל את הגר ונשבע לו ומת שמשלם_קרן_וחומש לכחנים ואשם למזבח ואם אין לאיש גואל ,ref-y
7763,ref-sifre-n.4.1.119-ref-sifre-n.4.1.133,ref-y.1.9.4.4.14.4-ref-y.1.9.4.4.14.18,8812,8892,1291,1300,ref-sifre-n.00004.00001.00119,ref-sifre-n.00004.00001.00133,803716,803805,120925,120939,ref-y.00001.00009.00004.00004.00014.00004,ref-y.00001.00009.00004.00004.00014.00018,לכהן קנאו השם ונתנו לכהנים באנשי משמר הכתוב_מדבר_או_אינו_מדבר_אלא בכל כהן ,לאנשי משמר ויש מהן נותנין לכל כהן הבכורות והביכורים לאנשי משמר ושאר כולהן לכל כהן ,ref-y
7764,ref-sifre-n.4.4.7-ref-sifre-n.4.4.29,ref-y.4.1.9.9.1.118-ref-y.4.1.9.9.1.128,9893,10017,1468,1481,ref-sifre-n.00004.00004.00007,ref-sifre-n.00004.00004.00029,3014135,3014203,452490,452499,ref-y.00004.00001.00009.00009.00001.00118,ref-y.00004.00001.00009.00009.00001.00128,נתן הכסף ליהויריב ואשם לידעיה יצא וקורא_אני_עליו איש_אשר_יתן_לכהן_לו_יהיה או אפי' נתן את האשם ליהויריב והכסף לידעיה ,נתן את הכסף ליהויריב במשמר ידעיה ואשם לידעיה במשמר יהויריב יצא ,ref-y
7765,ref-sifre-n.4.4.7-ref-sifre-n.4.4.29,ref-y.4.1.9.9.1.176-ref-y.4.1.9.9.1.183,9893,10017,1468,1481,ref-sifre-n.00004.00004.00007,ref-sifre-n.00004.00004.00029,3014453,3014500,452544,452550,ref-y.00004.00001.00009.00009.00001.00176,ref-y.00004.00001.00009.00009.00001.00183,נתן הכסף ליהויריב ואשם לידעיה יצא וקורא_אני_עליו איש_אשר_יתן_לכהן_לו_יהיה או אפי' נתן את האשם ליהויריב והכסף לידעיה ,נתן את הכסף ליהויריב במשמר ידעיה אשם לידעיה ,ref-y
7766,ref-sifre-n.5.1.42-ref-sifre-n.5.1.52,ref-y.1.2.1.1.1.97-ref-y.1.2.1.1.1.109,10371,10431,1529,1539,ref-sifre-n.00005.00001.00042,ref-sifre-n.00005.00001.00052,201636,201704,31676,31688,ref-y.00001.00002.00001.00001.00001.00097,ref-y.00001.00002.00001.00001.00001.00109,לעשות כל גרנו תרומה רשאי ובלבד שישייר מקצת וכל תרומה לכל ,לעשו' כל כריו תרומ' אינו עושה דתנינן תמן האומר כל גורני תרומה וכל ,ref-y
