,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
11687,ref-t.1.1.1.1.34-ref-t.1.1.1.1.41,ref-bible.0310.4.15.4-ref-bible.0310.4.15.11,185,235,23,30,ref-t.00001.00001.00001.00001.00034,ref-t.00001.00001.00001.00001.00041,1400464,1400514,240846,240853,ref-bible.00310.00004.00015.00004,ref-bible.00310.00004.00015.00011,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ref-bible
11688,ref-t.1.1.1.10.27-ref-t.1.1.1.10.34,ref-bible.0105.16.3.16-ref-bible.0105.16.3.24,2623,2669,416,422,ref-t.00001.00001.00001.00010.00027,ref-t.00001.00001.00001.00010.00034,372966,373017,62346,62353,ref-bible.00105.00016.00003.00016,ref-bible.00105.00016.00003.00024,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ,מצרים למען תזכר את יום צאתך מארץ מצרים כל_ימי_חייך ,ref-bible
11689,ref-t.1.1.1.10.80-ref-t.1.1.1.10.100,ref-bible.0208.23.8.6-ref-bible.0208.23.8.14,2890,2986,460,475,ref-t.00001.00001.00001.00010.00080,ref-t.00001.00001.00001.00010.00100,909015,909060,154515,154521,ref-bible.00208.00023.00008.00006,ref-bible.00208.00023.00008.00014,אשר העלה את בני ישראל מארץ מצרים כי אם חי ייי אשר העלה ואשר הביא את זרע בית ישראל מארץ צפון ,העלה ואשר הביא את זרע בית ישראל מארץ צפונה ,ref-bible
11690,ref-t.1.1.1.10.122-ref-t.1.1.1.10.129,ref-bible.0101.35.10.6-ref-bible.0101.35.10.13,3104,3136,495,501,ref-t.00001.00001.00001.00010.00122,ref-t.00001.00001.00001.00010.00129,69737,69769,12461,12467,ref-bible.00101.00035.00010.00006,ref-bible.00101.00035.00010.00013,לא יקרא עוד שמך יעקב כי אם ישראל ,לא יקרא שמך עוד יעקב כי אם ישראל ,ref-bible
11691,ref-t.1.1.1.11.3-ref-t.1.1.1.11.25,ref-bible.0207.43.18.1-ref-bible.0207.43.19.5,3228,3356,519,541,ref-t.00001.00001.00001.00011.00003,ref-t.00001.00001.00001.00011.00025,835664,835722,141636,141646,ref-bible.00207.00043.00018.00001,ref-bible.00207.00043.00019.00005,אל תזכרו ראשונות וקדמוניות אל תתבוננו אל תזכרו ראשונות אילו של מלכיות וקדמוניות אל תתבוננו אלו של מצרים הנני עשה חדשה עתה תצמח ,אל תזכרו ראשנות וקדמניות אל תתבננו הנני עשה חדשה עתה תצמח ,ref-bible
11692,ref-t.1.1.1.12.3-ref-t.1.1.1.12.15,ref-bible.0101.17.5.1-ref-bible.0101.17.5.11,3680,3736,598,607,ref-t.00001.00001.00001.00012.00003,ref-t.00001.00001.00001.00012.00015,26282,26329,4595,4604,ref-bible.00101.00017.00005.00001,ref-bible.00101.00017.00005.00011,לא יקרא עוד את שמך אברם והיה שמך אברהם כתחלה_הרי_את אב ,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב ,ref-bible
11693,ref-t.1.1.1.12.25-ref-t.1.1.1.13.8,ref-bible.0101.17.5.1-ref-bible.0101.17.5.14,3780,3835,616,627,ref-t.00001.00001.00001.00012.00025,ref-t.00001.00001.00001.00013.00008,26282,26345,4595,4607,ref-bible.00101.00017.00005.00001,ref-bible.00101.00017.00005.00014,כי אב המון גוים נתתיך כיוצא בו שרי אשתך לא תקרא את שמה ,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב המון גוים נתתיך ,ref-bible
11694,ref-t.1.1.1.13.3-ref-t.1.1.1.13.12,ref-bible.0101.17.15.5-ref-bible.0101.17.15.14,3812,3850,623,631,ref-t.00001.00001.00001.00013.00003,ref-t.00001.00001.00001.00013.00012,27015,27053,4713,4721,ref-bible.00101.00017.00015.00005,ref-bible.00101.00017.00015.00014,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,ref-bible
11695,ref-t.1.1.1.14.69-ref-t.1.1.1.15.7,ref-bible.0301.76.2.5-ref-bible.0301.76.3.5,4279,4329,710,717,ref-t.00001.00001.00001.00014.00069,ref-t.00001.00001.00001.00015.00007,1203652,1203692,204597,204603,ref-bible.00301.00076.00002.00005,ref-bible.00301.00076.00003.00005,לגדול' כיוצא בו ויהי בשלם סוכו ומעונתו בציון ,גדול שמו ויהי בשלם סכו ומעונתו בציון ,ref-bible
11696,ref-t.1.1.1.15.20-ref-t.1.1.1.15.25,ref-bible.0208.32.31.3-ref-bible.0208.32.31.8,4382,4409,729,734,ref-t.00001.00001.00001.00015.00020,ref-t.00001.00001.00001.00015.00025,932155,932182,158210,158215,ref-bible.00208.00032.00031.00003,ref-bible.00208.00032.00031.00008,אפי ועל חמתי היתה לי העיר ,אפי ועל חמתי היתה לי העיר ,ref-bible
