,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
20198,ref-t.1.1.1.9.41-ref-t.1.1.1.10.5,ref-mek.1.17.2.4-ref-mek.1.17.2.15,2473,2514,391,397,ref-t.00001.00001.00001.00009.00041,ref-t.00001.00001.00001.00010.00005,65466,65535,10302,10311,ref-mek.00001.00017.00002.00004,ref-mek.00001.00017.00002.00015,עם המברך מזכירין יציאת מצרים בלילות אמ' ,העם וגו' אין_לי_אלא שמזכירים יציאת מצרים בימים בלילות מנין שנאמר ,ref-mek
20199,ref-t.1.1.1.10.19-ref-t.1.1.1.10.76,ref-mek.1.17.2.9-ref-mek.1.17.2.46,2580,2878,408,456,ref-t.00001.00001.00001.00010.00019,ref-t.00001.00001.00001.00010.00076,65487,65693,10305,10334,ref-mek.00001.00017.00002.00009,ref-mek.00001.00017.00002.00046,יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא לימות המשיח אמ' להם בן זומא וכי מזכירין יציאת מצרים לימות המשיח והלא_כבר_נאמ' לכן הנה ימים נאם ייי ולא יאמר ,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח אמר להם בן ,ref-mek
20200,ref-t.1.1.1.10.62-ref-t.1.1.1.10.94,ref-mek.1.17.2.51-ref-mek.1.17.2.89,2799,2958,444,471,ref-t.00001.00001.00001.00010.00062,ref-t.00001.00001.00001.00010.00094,65717,65899,10339,10372,ref-mek.00001.00017.00002.00051,ref-mek.00001.00017.00002.00089,מזכירין יציאת מצרים לימות המשיח והלא_כבר_נאמ' לכן הנה ימים נאם ייי ולא יאמר עוד חי ייי אשר העלה את בני ישראל מארץ מצרים כי אם חי ייי אשר העלה ואשר הביא ,להזכיר יציאת מצרים לעתיד לבוא שנאמר לכן הנה ימים באים נאם ה' לא יאמר עוד חי ה' אשר העלה את ישראל ממצרים כי אם חי ה' אשר העלה את ישראל מארץ צפון ר'_נתן_אומר אשר העלה ואשר הביא ,ref-mek
20201,ref-t.1.1.1.10.70-ref-t.1.1.1.10.78,ref-mek.1.17.1.493-ref-mek.1.17.1.502,2848,2885,450,458,ref-t.00001.00001.00001.00010.00070,ref-t.00001.00001.00001.00010.00078,64447,64486,10121,10130,ref-mek.00001.00017.00001.00493,ref-mek.00001.00017.00001.00502,לכן הנה ימים נאם ייי ולא יאמר עוד חי ,לכן הנה ימים באים נאם ה' לא יאמר עוד חי ,ref-mek
20202,ref-t.1.1.1.10.70-ref-t.1.1.1.10.86,ref-mek.3.8.1.633-ref-mek.3.8.1.647,2848,2924,450,464,ref-t.00001.00001.00001.00010.00070,ref-t.00001.00001.00001.00010.00086,167939,168008,27417,27431,ref-mek.00003.00008.00001.00633,ref-mek.00003.00008.00001.00647,לכן הנה ימים נאם ייי ולא יאמר עוד חי ייי אשר העלה את בני ישראל מארץ מצרים ,לכן הנה ימים באים נאום ה' ולא יאמר עוד חי ה' אשר העלה ישראל ממצרים ,ref-mek
20203,ref-t.1.1.1.10.120-ref-t.1.1.1.10.130,ref-mek.1.17.1.595-ref-mek.1.17.1.603,3094,3141,493,502,ref-t.00001.00001.00001.00010.00120,ref-t.00001.00001.00001.00010.00130,64948,64989,10212,10220,ref-mek.00001.00017.00001.00595,ref-mek.00001.00017.00001.00603,כיוצא בו לא יקרא עוד שמך יעקב כי אם ישראל וגו' ,כיוצא בו דרש ולא יקרא שמך עוד יעקב וגו' ,ref-mek
20204,ref-t.1.1.1.11.38-ref-t.1.1.1.11.74,ref-mek.1.17.1.536-ref-mek.1.17.1.560,3413,3603,550,585,ref-t.00001.00001.00001.00011.00038,ref-t.00001.00001.00001.00011.00074,64650,64772,10154,10178,ref-mek.00001.00017.00001.00536,ref-mek.00001.00017.00001.00560,שהיה מהלך בדרך ופגע בו זאב וניצל ממנו והיה מספר והולך מעשה הזאב פגע בו ארי וניצל מידו שכח מעשה הזאב והיה מספר במעשה הארי אחר כך פגע בו נחש וניצל מידו שכח מעשה שניהם והיה מספר ,שהיה מהלך בדרך ופגע בו זאב ניצל והיה מספר מעשה זאב פגע בו ארי וניצל הימנו הניח מעשה זאב והיה מספר מעשה ארי כיוצא בו ,ref-mek
20205,ref-t.1.1.1.11.85-ref-t.1.1.1.12.10,ref-mek.1.17.1.569-ref-mek.1.17.1.581,3659,3713,595,604,ref-t.00001.00001.00001.00011.00085,ref-t.00001.00001.00001.00012.00010,64807,64873,10186,10198,ref-mek.00001.00017.00001.00569,ref-mek.00001.00017.00001.00581,הראשונות כיוצא בהן לא יקרא עוד את שמך אברם והיה שמך ,הראשון ונתקיים השני כיוצא בו דרש ולא יקרא עוד שמך אברם עבר שם ,ref-mek
20206,ref-t.1.1.1.13.1-ref-t.1.1.1.13.8,ref-mek.1.17.1.575-ref-mek.1.17.1.591,3802,3835,621,627,ref-t.00001.00001.00001.00013.00001,ref-t.00001.00001.00001.00013.00008,64844,64926,10192,10208,ref-mek.00001.00017.00001.00575,ref-mek.00001.00017.00001.00591,כיוצא בו שרי אשתך לא תקרא את שמה ,ולא יקרא עוד שמך אברם עבר שם הראשון ונתקיים השני כיוצא בו דרש שרי אשתך עבר שם ,ref-mek
20207,ref-t.1.1.1.14.50-ref-t.1.1.1.14.66,ref-mek.1.1.1.477-ref-mek.1.1.1.502,4189,4266,693,707,ref-t.00001.00001.00001.00014.00050,ref-t.00001.00001.00001.00014.00066,2439,2569,376,400,ref-mek.00001.00001.00001.00477,ref-mek.00001.00001.00001.00502,הן הן עד שלא נדבר עמהן והן הן משנדבר עמהן הן הן עד שלא נכנסו לגדולה והן ,הגדול הוא חדקל ואומר היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו בחוצה לארץ שנאמר היה היה דבר ה' היה שנדבר עמו ,ref-mek
