,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
20672,ref-t.1.1.1.10.105-ref-t.1.1.1.10.113,ref-sifra.5.10-12.4.41-ref-sifra.5.10-12.4.50,3005,3054,478,486,ref-t.00001.00001.00001.00010.00105,ref-t.00001.00001.00001.00010.00113,306446,306507,45426,45435,ref-sifra.00005.10-12.00004.00041,ref-sifra.00005.10-12.00004.00050,יציאת מצרים ממקומה אלא שתהא יציאת מצרים מוסף על ,ביציאת מצרים וכל הכופר בעול מצות כופר ביציאת מצרים להיות ,ref-sifra
20673,ref-t.1.1.1.14.17-ref-t.1.1.1.14.25,ref-sifra.2.01-01.12.15-ref-sifra.2.01-01.12.23,4013,4058,662,669,ref-t.00001.00001.00001.00014.00017,ref-t.00001.00001.00001.00014.00025,7189,7229,1190,1197,ref-sifra.00002.01-01.00012.00015,ref-sifra.00002.01-01.00012.00023,הוא אברם עד שלא נדבר עמו והוא אברהם משנדבר ,הוא משה עד שלא נדבר עמו הוא משה משנדבר ,ref-sifra
20674,ref-t.1.1.1.14.37-ref-t.1.1.1.14.58,ref-sifra.2.01-01.12.1-ref-sifra.2.01-01.12.23,4121,4228,680,700,ref-t.00001.00001.00001.00014.00037,ref-t.00001.00001.00001.00014.00058,7118,7229,1177,1197,ref-sifra.00002.01-01.00012.00001,ref-sifra.00002.01-01.00012.00023,משה משה אברהם אברהם יעקב יעקב שמואל שמואל כולן לשון חיבה לשון זירוז הן הן עד שלא נדבר עמהן והן הן משנדבר ,משה משה אברהם אברהם יעקב יעקב שמואל שמואל לשון חיבה לשון זירוז דבר אחר הוא משה עד שלא נדבר עמו הוא משה משנדבר ,ref-sifra
20675,ref-t.1.1.3.6.82-ref-t.1.1.3.6.87,ref-sifra.5.1.20.81-ref-sifra.5.1.20.86,10843,10877,1799,1804,ref-t.00001.00001.00003.00006.00082,ref-t.00001.00001.00003.00006.00087,243064,243097,35669,35674,ref-sifra.00005.00001.00020.00081,ref-sifra.00005.00001.00020.00086,רננו צדיקים בייי לישרים נאוה תהלה ,רננו צדיקים בה' לישרים נאוה תהלה ,ref-sifra
20676,ref-t.1.1.4.15.53-ref-t.1.1.4.15.57,ref-sifra.3.09-15.6.5-ref-sifra.3.09-15.6.9,18201,18227,2968,2972,ref-t.00001.00001.00004.00015.00053,ref-t.00001.00001.00004.00015.00057,133694,133722,19316,19320,ref-sifra.00003.09-15.00006.00005,ref-sifra.00003.09-15.00006.00009,חטין פת שעורין ופת כוסמין ,חטין ופת שעורים ופת כוסמין ,ref-sifra
20677,ref-t.1.1.4.17.3-ref-t.1.1.4.17.7,ref-sifra.5.1.35.20-ref-sifra.5.1.35.29,19372,19405,3157,3161,ref-t.00001.00001.00004.00017.00003,ref-t.00001.00001.00004.00017.00007,249907,249962,36772,36776,ref-sifra.00005.00001.00035.00020,ref-sifra.00005.00001.00035.00029,ויקרבו וישאום בכתנותם אל מחוץ ,ויקרבו וישאום בכתנתם ר'_אליעזר_אומר_לא_מתו_אלא בחוץ ,ref-sifra
20678,ref-t.1.1.4.17.3-ref-t.1.1.4.17.8,ref-sifra.5.1.35.121-ref-sifra.5.1.35.126,19372,19412,3157,3162,ref-t.00001.00001.00004.00017.00003,ref-t.00001.00001.00004.00017.00008,250463,250504,36842,36847,ref-sifra.00005.00001.00035.00121,ref-sifra.00005.00001.00035.00126,ויקרבו וישאום בכתנותם אל מחוץ למחנה ,ויקרבו וישאום בכתנתם מלמד שהטילו חנית ,ref-sifra
20679,ref-t.1.1.5.6.21-ref-t.1.1.5.6.35,ref-sifra.5.1.39.8-ref-sifra.5.1.39.15,22521,22604,3675,3689,ref-t.00001.00001.00005.00006.00021,ref-t.00001.00001.00005.00006.00035,252296,252346,37157,37164,ref-sifra.00005.00001.00039.00008,ref-sifra.00005.00001.00039.00015,מתחילין מן הגדול לאחר המזון מתחילין מן המברך רצה לחלוק כבוד לרבו או למי שגדול ,רבי אומר בגדולה מתחילין מן הגדול ובקללה מתחילין ,ref-sifra
20680,ref-t.1.1.5.18.7-ref-t.1.1.5.18.22,ref-sifra.10.07-12.1.23-ref-sifra.10.07-12.2.6,23735,23825,3861,3876,ref-t.00001.00001.00005.00018.00007,ref-t.00001.00001.00005.00018.00022,468610,468663,71407,71418,ref-sifra.00010.07-12.00001.00023,ref-sifra.00010.07-12.00002.00006,שאין יכול לאכול כזית אין מזמנין עליו ואין מדקדקין בקטן בין שאומר נברך בין שאומ' ברוך ,בן ברית אף גר בן ברית אשר תאכל אין אכילה פחותה מכזית ,ref-sifra
20681,ref-t.1.1.6.16.8-ref-t.1.1.6.16.16,ref-sifra.5.1.34.60-ref-sifra.5.1.34.75,31657,31713,5182,5188,ref-t.00001.00001.00006.00016.00008,ref-t.00001.00001.00006.00016.00016,249327,249417,36691,36700,ref-sifra.00005.00001.00034.00060,ref-sifra.00005.00001.00034.00075,ביציאתו ר'_שמעון_או' ארבע שתים בכניסתו ושתים ביציאתו ,יצא מבית_קדש_הקדשים ונחלקו לארבעה ונכנסו שנים בחוטמו_של_זה ושנים בחוטמו_של_זה ותצא ,ref-sifra
20682,ref-t.1.1.6.19.1-ref-t.1.1.6.19.12,ref-sifra.11.03-07.9.3-ref-sifra.11.03-07.9.13,32729,32794,5353,5364,ref-t.00001.00001.00006.00019.00001,ref-t.00001.00001.00006.00019.00012,504661,504733,77000,77010,ref-sifra.00011.03-07.00009.00003,ref-sifra.00011.03-07.00009.00013,לא יכנס אדם להר הבית במעות צרורין לו בסדינו ובאבק שעל רגליו ,לא יכנס להר הבית במקלו ובתרמילו במנעלו ובאפונדתו ובאבק שעל רגליו ,ref-sifra
20683,ref-t.1.1.6.20.1-ref-t.1.1.6.20.6,ref-sifra.10.08-13.2.94-ref-sifra.10.08-13.2.101,33079,33110,5408,5413,ref-t.00001.00001.00006.00020.00001,ref-t.00001.00001.00006.00020.00006,474763,474800,72304,72311,ref-sifra.00010.08-13.00002.00094,ref-sifra.00010.08-13.00002.00101,הפותח ביוד הי וחותם ביוד הי ,פותח בהם ביוד הא וחותם בהם ביוד הא ,ref-sifra
20684,ref-t.1.1.6.20.1-ref-t.1.1.6.20.6,ref-sifra.10.08-13.2.175-ref-sifra.10.08-13.2.181,33079,33110,5408,5413,ref-t.00001.00001.00006.00020.00001,ref-t.00001.00001.00006.00020.00006,475156,475189,72366,72372,ref-sifra.00010.08-13.00002.00175,ref-sifra.00010.08-13.00002.00181,הפותח ביוד הי וחותם ביוד הי ,פותח בהן ביוד הא וחותם ביוד הא ,ref-sifra
20685,ref-t.1.2.1.5.1-ref-t.1.2.1.5.29,ref-sifra.11.01-01.9.19-ref-sifra.11.01-01.9.29,35211,35356,5767,5791,ref-t.00001.00002.00001.00005.00001,ref-t.00001.00002.00001.00005.00029,487001,487051,74192,74201,ref-sifra.00011.01-01.00009.00019,ref-sifra.00011.01-01.00009.00029,נותן אדם פיאה מבתחילה ובאמצעה ובסוף ואם נתן בין בתחילה בין באמצע בין בסוף יצא ר'_שמעון_או'_אם נתן בין בתחילה בין באמצע בין בסוף הרי זו פיאה ,בסוף מיכן אמרו נתן בין בתחלה בין באמצע הרי זו פאה ,ref-sifra
20686,ref-t.1.2.1.6.5-ref-t.1.2.1.6.22,ref-sifra.11.01-01.10.7-ref-sifra.11.01-01.10.23,35672,35770,5843,5858,ref-t.00001.00002.00001.00006.00005,ref-t.00001.00002.00001.00006.00022,487118,487202,74211,74227,ref-sifra.00011.01-01.00010.00007,ref-sifra.00011.01-01.00010.00023,ארבע' דברים לא יתן אדם פיאה אלא בסוף מפני גזל העניים ומפני בטול העניים ומפני_מראית_העין ומפני ,ארבעה דברים אמרו לא יתן אדם פאה אלא בסוף שדהו מפני גזל עניים מפני ביטול עניים ומפני ,ref-sifra
20687,ref-t.1.2.1.6.10-ref-t.1.2.1.6.62,ref-sifra.11.01-01.10.31-ref-sifra.11.01-01.10.65,35695,35980,5848,5896,ref-t.00001.00002.00001.00006.00010,ref-t.00001.00002.00001.00006.00062,487242,487428,74235,74268,ref-sifra.00011.01-01.00010.00031,ref-sifra.00011.01-01.00010.00065,פיאה אלא בסוף מפני גזל העניים ומפני בטול העניים ומפני_מראית_העין ומפני הרמאין מפני גזל העניים כיצד שלא יראה שעה שאין שם אדם ויאמר לעני מדעתו בוא וטול לך פיאה זו ומפני בטול עניים כיצד שלא יהו עניים יושבין ומשמרין כל היום ואו' עכשיו הוא נותן פיאה עכשיו הוא נותן פאה אלא ,פאת שדך מפני גזל עניים כיצד שלא יראה האדם שעה פנויה ויאמר לקרובו העני בוא וטול לך פאה מפני ביטול עניים כיצד שלא יהיו עניים יושבים ומשמרים כל היום ואומרים עכשיו הוא נותן פאה אלא ,ref-sifra
20688,ref-t.1.2.1.6.75-ref-t.1.2.1.6.99,ref-sifra.11.01-01.10.73-ref-sifra.11.01-01.10.99,36058,36182,5907,5930,ref-t.00001.00002.00001.00006.00075,ref-t.00001.00002.00001.00006.00099,487475,487617,74276,74301,ref-sifra.00011.01-01.00010.00073,ref-sifra.00011.01-01.00010.00099,כיצד שלא יהו עוברין ושבין אומ' ראו היאך פלני שקצר את שדהו ולא הניח ממנו פיאה שכך כת' בתורה לא תכלה פאת שדך וגו' ומפני ,מפני מראית העין כיצד שלא יהיו העוברים והשבים אומרים ראו איך קצר איש פלוני את שדהו ולא הניח פאה לעניים ומשום שאמרה תורה לא תכלה פאת שדך ,ref-sifra
20689,ref-t.1.2.1.6.93-ref-t.1.2.1.6.102,ref-sifra.11.01-01.10.28-ref-sifra.11.01-01.10.37,36148,36200,5924,5933,ref-t.00001.00002.00001.00006.00093,ref-t.00001.00002.00001.00006.00102,487229,487274,74232,74241,ref-sifra.00011.01-01.00010.00028,ref-sifra.00011.01-01.00010.00037,בתורה לא תכלה פאת שדך וגו' ומפני הרמאין כיצד שלא ,תורה לא תכלה פאת שדך מפני גזל עניים כיצד שלא ,ref-sifra
20690,ref-t.1.2.1.7.1-ref-t.1.2.1.7.14,ref-sifra.11.01-01.7.51-ref-sifra.11.01-01.7.74,36258,36345,5944,5957,ref-t.00001.00002.00001.00007.00001,ref-t.00001.00002.00001.00007.00014,486668,486803,74142,74159,ref-sifra.00011.01-01.00007.00051,ref-sifra.00011.01-01.00007.00074,הירק אע'פ שלקיטתו כאחד אין מכניסו לקיום תאנים אע'פ שמכניסו לקיום אין לקיטתן כאחד ,ומכניסו לקיום יצאו ירקות שאף_על_פי שלקיטתן כאחת אבל אין מכניסן לקיום יצאו התאנים שאף_על_פי שמכניסן לקיום אבל אין לקיטתן כאחת ,ref-sifra
20691,ref-t.1.2.1.8.1-ref-t.1.2.1.8.23,ref-sifra.11.01-02.1.3-ref-sifra.11.01-02.1.26,36499,36653,5979,6001,ref-t.00001.00002.00001.00008.00001,ref-t.00001.00002.00001.00008.00023,487743,487900,74319,74342,ref-sifra.00011.01-02.00001.00003,ref-sifra.00011.01-02.00001.00026,אילו מפסיקין לפיאה הנחל והשלולית דרך היחיד ודרך הרבים ושביל היחיד ושביל הרבים הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע וקוצר לשחת ,אלו מפסיקים לפאה הנחל והשלולית דרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע אחר והקוצר לשחת ,ref-sifra
20692,ref-t.1.2.1.8.52-ref-t.1.2.1.8.57,ref-sifra.11.01-01.6.5-ref-sifra.11.01-01.6.10,36803,36836,6024,6029,ref-t.00001.00002.00001.00008.00052,ref-t.00001.00002.00001.00008.00057,486179,486212,74075,74080,ref-sifra.00011.01-01.00006.00005,ref-sifra.00011.01-01.00006.00010,קירסמוה נמלים שברתה הרוח או בהמה ,קירסמוה נמלים שברתה הרוח או בהמה ,ref-sifra
20693,ref-t.1.2.1.10.11-ref-t.1.2.1.10.18,ref-sifra.12.10-00.4.21-ref-sifra.12.10-00.4.28,37152,37196,6082,6089,ref-t.00001.00002.00001.00010.00011,ref-t.00001.00002.00001.00010.00018,577217,577262,87852,87859,ref-sifra.00012.10-00.00004.00021,ref-sifra.00012.10-00.00004.00028,ופטור מן הפרט מן השכחה ומן הפיאה וחייב ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב ,ref-sifra
20694,ref-t.1.2.1.10.11-ref-t.1.2.1.10.18,ref-sifra.12.10-00.4.42-ref-sifra.12.10-00.4.49,37152,37196,6082,6089,ref-t.00001.00002.00001.00010.00011,ref-t.00001.00002.00001.00010.00018,577344,577389,87870,87877,ref-sifra.00012.10-00.00004.00042,ref-sifra.00012.10-00.00004.00049,ופטור מן הפרט מן השכחה ומן הפיאה וחייב ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב ,ref-sifra
20695,ref-t.1.2.1.10.45-ref-t.1.2.1.11.11,ref-sifra.13.02-03.4.13-ref-sifra.13.02-03.5.1,37335,37425,6109,6126,ref-t.00001.00002.00001.00010.00045,ref-t.00001.00002.00001.00011.00011,621377,621420,94372,94380,ref-sifra.00013.02-03.00004.00013,ref-sifra.00013.02-03.00005.00001,לתוך ביתו נותן מן המשואר על הכל המקטף ומכניס לתוך ביתו אפי' כל שדהו פטור מן הלקט ומן ,אוכל מתוך הבית כלה מן השדה  מן הבית מיכן ,ref-sifra
20696,ref-t.1.2.1.11.7-ref-t.1.2.1.11.14,ref-sifra.11.01-01.6.20-ref-sifra.11.01-01.6.28,37402,37444,6122,6129,ref-t.00001.00002.00001.00011.00007,ref-t.00001.00002.00001.00011.00014,486278,486327,74090,74097,ref-sifra.00011.01-01.00006.00020,ref-sifra.00011.01-01.00006.00028,שדהו פטור מן הלקט ומן השכחה ומן הפיאה ,שדהו ואחר כך נתגייר פטור מן הלקט והשכחה והפאה ,ref-sifra
20697,ref-t.1.2.1.11.8-ref-t.1.2.1.11.16,ref-sifra.12.10-00.4.21-ref-sifra.12.10-00.4.29,37407,37460,6123,6131,ref-t.00001.00002.00001.00011.00008,ref-t.00001.00002.00001.00011.00016,577217,577271,87852,87860,ref-sifra.00012.10-00.00004.00021,ref-sifra.00012.10-00.00004.00029,פטור מן הלקט ומן השכחה ומן הפיאה וחייב במעשרות ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב במעשרות ,ref-sifra
20698,ref-t.1.2.1.11.8-ref-t.1.2.1.11.16,ref-sifra.12.10-00.4.42-ref-sifra.12.10-00.4.50,37407,37460,6123,6131,ref-t.00001.00002.00001.00011.00008,ref-t.00001.00002.00001.00011.00016,577344,577398,87870,87878,ref-sifra.00012.10-00.00004.00042,ref-sifra.00012.10-00.00004.00050,פטור מן הלקט ומן השכחה ומן הפיאה וחייב במעשרות ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב במעשרות ,ref-sifra
20699,ref-t.1.2.2.10.20-ref-t.1.2.2.10.28,ref-sifra.12.10-00.4.21-ref-sifra.12.10-00.4.29,39118,39168,6403,6411,ref-t.00001.00002.00002.00010.00020,ref-t.00001.00002.00002.00010.00028,577217,577271,87852,87860,ref-sifra.00012.10-00.00004.00021,ref-sifra.00012.10-00.00004.00029,פטור מן הלקט מן השכחה ומן הפאה וחייב במעשרות ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב במעשרות ,ref-sifra
20700,ref-t.1.2.2.10.20-ref-t.1.2.2.10.28,ref-sifra.12.10-00.4.42-ref-sifra.12.10-00.4.50,39118,39168,6403,6411,ref-t.00001.00002.00002.00010.00020,ref-t.00001.00002.00002.00010.00028,577344,577398,87870,87878,ref-sifra.00012.10-00.00004.00042,ref-sifra.00012.10-00.00004.00050,פטור מן הלקט מן השכחה ומן הפאה וחייב במעשרות ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב במעשרות ,ref-sifra
20701,ref-t.1.2.2.14.13-ref-t.1.2.2.14.24,ref-sifra.11.01-02.5.1-ref-sifra.11.01-02.5.12,39773,39834,6518,6529,ref-t.00001.00002.00002.00014.00013,ref-t.00001.00002.00002.00014.00024,488448,488508,74430,74441,ref-sifra.00011.01-02.00005.00001,ref-sifra.00011.01-02.00005.00012,אין לקט אלא הנושר בשעת הקצירה בלבד שנ' ולקט קצירך לא תלקט ,ולקט קצירך לא לקט קיטוף ולקט קצירך אין לקט אלא מחמת הקציר ,ref-sifra
20702,ref-t.1.2.2.14.18-ref-t.1.2.2.14.24,ref-sifra.12.10-13.11.15-ref-sifra.12.10-13.11.19,39798,39834,6523,6529,ref-t.00001.00002.00002.00014.00018,ref-t.00001.00002.00002.00014.00024,584711,584737,89010,89014,ref-sifra.00012.10-13.00011.00015,ref-sifra.00012.10-13.00011.00019,הקצירה בלבד שנ' ולקט קצירך לא תלקט ,בקצרך ולקט קצירך לא תלקט ,ref-sifra
20703,ref-t.1.2.3.7.13-ref-t.1.2.3.7.27,ref-sifra.11.01-01.6.26-ref-sifra.11.01-01.6.34,43444,43517,7086,7097,ref-t.00001.00002.00003.00007.00013,ref-t.00001.00002.00003.00007.00027,486307,486361,74095,74102,ref-sifra.00011.01-01.00006.00026,ref-sifra.00011.01-01.00006.00034,לקט שכחה ופיאה מה_שאין_כן בעומר העומר שיש בו סאתים ושכחו אין זו שכחה ,הלקט והשכחה והפאה ור' יהודה מחייב בשכחה שאין שכחה ,ref-sifra
20704,ref-t.1.2.3.8.29-ref-t.1.2.3.8.35,ref-sifra.3.12-00.13.54-ref-sifra.3.12-00.14.7,43699,43733,7128,7134,ref-t.00001.00002.00003.00008.00029,ref-t.00001.00002.00003.00008.00035,150993,151038,21782,21787,ref-sifra.00003.12-00.00013.00054,ref-sifra.00003.12-00.00014.00007,ששכח עומר בתוך שדהו ואמ' לבנו צא ,כשוכח עומר בתוך שדהו   קשה_בן_שתי_שנים צאן' ל,ref-sifra
20705,ref-t.1.2.3.11.8-ref-t.1.2.3.11.18,ref-sifra.11.01-03.1.36-ref-sifra.11.01-03.1.50,44624,44685,7277,7284,ref-t.00001.00002.00003.00011.00008,ref-t.00001.00002.00003.00011.00018,488986,489080,74516,74529,ref-sifra.00011.01-03.00001.00036,ref-sifra.00011.01-03.00001.00050,ועניים נוטלין את האשכולות ואת העוללות אי_זו_היא עוללות כל ,תעולל אפילו כולו עוללות שיכול הואיל והתיר הכתוב את העוללות לעניים יבואו עניים ויטלו אותם ,ref-sifra
20706,ref-t.1.2.3.11.17-ref-t.1.2.3.11.34,ref-sifra.11.01-03.3.2-ref-sifra.11.01-03.3.18,44676,44750,7283,7297,ref-t.00001.00002.00003.00011.00017,ref-t.00001.00002.00003.00011.00034,489383,489450,74581,74593,ref-sifra.00011.01-03.00003.00002,ref-sifra.00011.01-03.00003.00018,עוללות כל שאין לה לא כתף ולא נטף יש לה כתף ואין לה נטף נטף ואין לה כתף ,עוללות כל שאין לה כתף ולא נטף יש לו כתף אבל לא נטף נטף אבל לא כתף ,ref-sifra
20707,ref-t.1.2.4.10.8-ref-t.1.2.4.10.18,ref-sifra.8.01-00.12.15-ref-sifra.8.01-00.12.27,47602,47651,7741,7748,ref-t.00001.00002.00004.00010.00008,ref-t.00001.00002.00004.00010.00018,367796,367857,55467,55479,ref-sifra.00008.01-00.00012.00015,ref-sifra.00008.01-00.00012.00027,אותן ממנו אם לא נתן אין_מחייבין_אותו ליתן נתנו לו ,תן לי סנדלי ונתתי לו פשט ידו לחלון ונתן לי ממנה מקל אמר לי ,ref-sifra
