,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
23155,ref-t.1.1.1.4.12-ref-t.1.1.1.5.1,ref-sifre-d.34.11.2-ref-sifre-d.34.13.3,1133,1519,172,231,ref-t.00001.00001.00001.00004.00012,ref-t.00001.00001.00001.00005.00001,47850,48181,8051,8100,ref-sifre-d.00034.00011.00002,ref-sifre-d.00034.00013.00003,והיה ר' ישמעאל מוטה ור' אלעזר_בן_עזריה זקוף הגיע זמן קרית שמע נזקף ר' ישמעאל והטה ר' אלעזר_בן_עזריה אמ'_לו_ר' ישמעאל מה זה אלעזר אמ' לו ישמעאל אחי לאחד או' לו מפני מה זקנך מגודל והוא או' להם יהיה כנגד המשחיתים אני שהייתי זקוף הטיתי אתה שהיית מוטה נזקפתה אמ' לו אתה הטיתה לקיים דברי בית שמאי ואני נזקפתי לקיים בית הלל דבר אחר שלא יראו התלמידים ויעשו קבע הלכה כדבריך למה אמרו ,"היה ר' ישמעאל דורש ורבי אלעזר_בן_עזריה זוקף הגיע זמן קרית שמע נזקף ר' ישמעאל והטה ר'_אלעזר_בן_עזריה ואמר_לו_ר' ישמעאל מה זה אלעזר אמר לו ישמעאל אחי משל לאחד שאומרים לו מפני מה זקנך מגודל והוא אומר להם יהיה כנגד המשחיתים אמר לו אתה היטית כדברי בית שמאי ואני נזקפתי כדברי בית הלל ד""א שלא יקבע הדבר חובה שבית שמאי אומרים ",ref-sifre-d
23156,ref-t.1.1.1.10.1-ref-t.1.1.1.10.56,ref-sifre-d.130.7.2-ref-sifre-d.130.7.59,2483,2776,393,439,ref-t.00001.00001.00001.00010.00001,ref-t.00001.00001.00001.00010.00056,165985,166283,27870,27913,ref-sifre-d.00130.00007.00002,ref-sifre-d.00130.00007.00059,מזכירין יציאת מצרים בלילות אמ' ר'_לעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שאשמע שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא לימות המשיח ,תזכור את יום צאתך מארץ מצרים זו היא שאמר ר'_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,ref-sifre-d
23157,ref-t.1.1.1.14.50-ref-t.1.1.1.14.59,ref-sifre-d.357.40.56-ref-sifre-d.357.40.81,4189,4233,693,701,ref-t.00001.00001.00001.00014.00050,ref-t.00001.00001.00001.00014.00059,388701,388823,65490,65514,ref-sifre-d.00357.00040.00056,ref-sifre-d.00357.00040.00081,הן הן עד שלא נדבר עמהן והן הן משנדבר עמהן ,היה יודע אימתי היה מדבר שנא' ויודע דעת עליון משה לא היה מדבר עמו עד שהוא עומד שנ' ואתה פה עמוד עמדי ובלעם היה מדב' עמו ,ref-sifre-d
23158,ref-t.1.1.1.15.72-ref-t.1.1.1.15.85,ref-sifre-d.352.7.33-ref-sifre-d.352.7.47,4656,4724,779,791,ref-t.00001.00001.00001.00015.00072,ref-t.00001.00001.00001.00015.00085,368952,369024,62051,62065,ref-sifre-d.00352.00007.00033,ref-sifre-d.00352.00007.00047,ויקרא אברהם את שם המקום ההוא ייי יראה אשר יאמר היום בהר ייי יראה ,ויקרא אברהם שם המקום ההוא ה' יראה הרי בנוי אשר יאמר היום בהר ה' יראה ,ref-sifre-d
23159,ref-t.1.1.3.6.10-ref-t.1.1.3.6.25,ref-sifre-d.41.27.16-ref-sifre-d.41.27.31,10486,10563,1728,1743,ref-t.00001.00001.00003.00006.00010,ref-t.00001.00001.00003.00006.00025,72181,72265,12185,12200,ref-sifre-d.00041.00027.00016,ref-sifre-d.00041.00027.00031,וזימנין תלתא ביומא וגו' יכול כשבא לגולה ת'ל כל קבל די הוה עבד מן קדמת דנא ,וזמנין תלתא ביומא הוה בריך על ברכוהי ומודי קדם אלהא כל קבל דהוה עבידא מקדמת דנא ,ref-sifre-d
23160,ref-t.1.1.3.14.5-ref-t.1.1.3.16.48,ref-sifre-d.29.5.67-ref-sifre-d.29.5.116,13046,13591,2135,2215,ref-t.00001.00001.00003.00014.00005,ref-t.00001.00001.00003.00016.00048,34718,35026,5882,5927,ref-sifre-d.00029.00005.00067,ref-sifre-d.00029.00005.00116,לכוין את הרוחות מכוונין את לבם כנגד אביהם שבשמים ומתפללין שנ' ויתפללו אל ייי אליכם וגו' העומדים בחוצה לארץ מכוונין את לבם כנגד ארץ ישראל שנ' ויתפללו דרך ארצם העומדים בארץ ישראל מכוונין את לבם כנגד ירושלם ומתפללין שנ' ויתפללו אל העיר הזאת העומדים בירושלם מכוונין את לבם כנגד בית המקדש שנ' והתפללו אל הבית הזה העומדים במקדש מכוונין את לבם כנגד בית קדשי הקדשים ומתפללין שנ' ויתפללו אל המקום הזה נמצאו עומדין בצפון פניהם לדרום בדרום פניהם לצפון במזרח פניהם למערב במערב פניהם למזרח נמצאו כל ישראל מתפללין למקום אחד ,העיר הזאת העומדים בירושלם הופכים פניהם כנגד בית המקדש שנא' ויתפללו אל הבית הזה העומדים בבית המקדש מכוונים לבם כנגד בית קדשי הקדשים ומתפללים שנא' ויתפלל את המקום הזה נמצאו עומדים בצפון פניהם לדרום בדרום פניהם לצפון במזרח פניהם במערב במערב פניהם למזרח נמצאו כל ישראל מתפללים אל מקום אחד ,ref-sifre-d
23161,ref-t.1.1.3.14.11-ref-t.1.1.3.16.10,ref-sifre-d.29.5.30-ref-sifre-d.29.5.54,13078,13359,2139,2179,ref-t.00001.00001.00003.00014.00011,ref-t.00001.00001.00003.00016.00010,34482,34643,5849,5870,ref-sifre-d.00029.00005.00030,ref-sifre-d.00029.00005.00054,כנגד אביהם שבשמים ומתפללין שנ' ויתפללו אל ייי אליכם וגו' העומדים בחוצה לארץ מכוונין את לבם כנגד ארץ ישראל שנ' ויתפללו דרך ארצם העומדים בארץ ישראל מכוונין את לבם כנגד ירושלם ומתפללין שנ' ויתפללו אל העיר הזאת העומדים בירושלם מכוונין את לבם כנגד בית המקדש שנ' והתפללו ,העומדים בחוצה לארץ הופכים פניהם כנגד ארץ ישראל ומתפללים שנא' והתפללו אליך דרך ארצם העומדים בארץ ישראל הופכים פניהם כנגד בית המקדש ומתפללים שנא' והתפללו ,ref-sifre-d
23162,ref-t.1.1.3.15.12-ref-t.1.1.3.15.25,ref-sifre-d.29.5.55-ref-sifre-d.29.5.66,13203,13285,2158,2169,ref-t.00001.00001.00003.00015.00012,ref-t.00001.00001.00003.00015.00025,34644,34717,5871,5881,ref-sifre-d.00029.00005.00055,ref-sifre-d.00029.00005.00066,דרך ארצם העומדים בארץ ישראל מכוונין את לבם כנגד ירושלם ומתפללין שנ' ויתפללו אל ,דרך ארצם העומדים בארץ ישראל הופכים פניהם כנגד ירושלם שנאמר והתפללו אל ,ref-sifre-d
23163,ref-t.1.1.4.18.40-ref-t.1.1.4.18.49,ref-sifre-d.348.1.26-ref-sifre-d.348.1.35,19943,19995,3238,3247,ref-t.00001.00001.00004.00018.00040,ref-t.00001.00001.00004.00018.00049,364750,364801,61301,61310,ref-sifre-d.00348.00001.00026,ref-sifre-d.00348.00001.00035,אשר חכמים יגידו ולא כחדו מאבתם להם לבדם נתנה הארץ ,אשר חכמים יגידו ולא כחדו מאבותם להם לבדם נתנה ארץ ,ref-sifre-d
23164,ref-t.1.1.5.18.2-ref-t.1.1.5.18.13,ref-sifre-d.132.2.20-ref-sifre-d.132.2.34,23704,23773,3856,3867,ref-t.00001.00001.00005.00018.00002,ref-t.00001.00001.00005.00018.00013,167115,167203,28057,28071,ref-sifre-d.00132.00002.00020,ref-sifre-d.00132.00002.00034,שיכול לאכול כזית מזמנין עליו שאין יכול לאכול כזית אין מזמנין עליו ,ויכול לאכלו שוחטים אותו עליו ופעמים שם עשרה ואין יכולים לאכלו אין שוחטים אותו עליהם ,ref-sifre-d
